district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Alipurduar,1701,Alp-1701,1,Govt Office 1,363,336,0,699,48.07,5,0.7,243,207,6,547,P1,36,44.4,37.8,292,191,536,P1,False,B,3,,0,294,
Alipurduar,1701,Alp-1701,2,Primary School 2,351,315,0,666,47.3,6,0.9,256,185,10,534,P1,71,47.9,34.6,250,204,559,P1,False,B,3,,0,280,
Alipurduar,1701,Alp-1701,3,Primary School 3,381,390,0,771,50.58,6,0.8,269,221,13,614,P1,48,43.8,36.0,369,196,627,P1,False,B,3,,0,324,
Alipurduar,1701,Alp-1701,4,Market Building 4,314,309,0,623,49.6,7,1.1,297,129,5,474,P1,168,62.7,27.2,186,191,477,P2,True,B,3,,0,262,
Alipurduar,1701,Alp-1701,5,Panchayat Bhavan 5,376,353,0,729,48.42,7,1.0,260,185,14,560,P1,75,46.4,33.0,307,216,610,P1,False,B,3,,0,307,
Alipurduar,1701,Alp-1701,6,Anganwadi Centre 6,343,343,0,686,50.0,8,1.2,243,195,6,593,P1,48,41.0,32.9,317,191,565,P1,False,B,3,,0,289,
Alipurduar,1701,Alp-1701,7,Temple Hall 7,299,292,1,592,49.32,5,0.8,263,164,4,474,P1,99,55.5,34.6,331,120,502,P1,False,B,3,,0,249,
Alipurduar,1701,Alp-1701,8,Panchayat Bhavan 8,305,287,0,592,48.48,6,1.0,175,210,8,484,P2,35,36.2,43.4,258,173,479,P1,True,B,3,,0,249,
Alipurduar,1701,Alp-1701,9,Govt Office 9,333,316,1,650,48.62,6,0.9,229,226,5,559,P1,3,41.0,40.4,201,225,522,P2,True,B,3,,0,274,
Alipurduar,1701,Alp-1701,10,Madrasa 10,289,287,1,577,49.74,6,1.0,196,178,4,449,P1,18,43.7,39.6,228,209,489,P1,False,B,3,,0,243,
Alipurduar,1701,Alp-1701,11,Health Sub-Centre 11,293,289,0,582,49.66,5,0.9,295,123,2,465,P1,172,63.4,26.5,233,156,466,P1,False,B,3,,0,245,
Alipurduar,1701,Alp-1701,12,Govt Office 12,379,340,0,719,47.29,9,1.3,323,169,7,573,P1,154,56.4,29.5,198,221,583,P2,True,B,3,,0,303,
Alipurduar,1701,Alp-1701,13,Market Building 13,378,383,0,761,50.33,6,0.8,290,274,5,626,P1,16,46.3,43.8,349,193,602,P1,False,B,3,,0,320,
Alipurduar,1701,Alp-1701,14,Club Building 14,312,290,0,602,48.17,7,1.2,213,168,6,493,P1,45,43.2,34.1,205,163,475,P1,False,B,3,,0,253,
Alipurduar,1701,Alp-1701,15,Panchayat Bhavan 15,295,267,1,563,47.42,6,1.1,163,159,13,433,P1,4,37.6,36.7,254,151,450,P1,False,B,3,,0,237,
Alipurduar,1701,Alp-1701,16,Temple Hall 16,286,272,1,559,48.66,6,1.1,242,149,3,434,P1,93,55.8,34.3,239,154,437,P1,False,B,3,,0,235,
Alipurduar,1701,Alp-1701,17,Madrasa 17,398,361,0,759,47.56,7,0.9,340,234,6,658,P1,106,51.7,35.6,278,199,656,P1,False,B,3,,0,319,
Alipurduar,1701,Alp-1701,18,Temple Hall 18,340,337,1,678,49.71,7,1.0,246,216,6,514,P1,30,47.9,42.0,265,222,541,P1,False,B,3,,0,285,
Alipurduar,1701,Alp-1701,19,Primary School 19,291,279,1,571,48.86,5,0.9,182,149,8,443,P1,33,41.1,33.6,272,163,483,P1,False,B,3,,0,240,
Alipurduar,1701,Alp-1701,20,Govt Office 20,293,294,1,588,50.0,5,0.9,204,179,11,491,P1,25,41.5,36.5,218,201,505,P1,False,B,3,,0,247,
Alipurduar,1701,Alp-1701,21,Community Hall 21,376,373,0,749,49.8,8,1.1,346,197,6,604,P1,149,57.3,32.6,311,227,597,P1,False,B,3,,0,315,
