district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Bankura,1001,Bnk-1001,1,Post Office 1,298,288,1,587,49.06,18,3.1,266,178,5,493,P1,88,54.0,36.1,245,163,491,P1,False,B,3,,0,238,
Bankura,1001,Bnk-1001,2,Health Sub-Centre 2,375,355,0,730,48.63,28,3.8,349,177,3,584,P1,172,59.8,30.3,324,189,570,P1,False,B,3,,0,296,
Bankura,1001,Bnk-1001,3,High School 3,402,388,1,791,49.05,38,4.8,328,232,3,622,P1,96,52.7,37.3,359,185,604,P1,False,B,3,,0,321,
Bankura,1001,Bnk-1001,4,Community Hall 4,256,256,1,513,49.9,22,4.3,187,98,5,387,P1,89,48.3,25.3,185,137,418,P1,False,B,3,,0,208,
Bankura,1001,Bnk-1001,5,Club Building 5,313,306,1,620,49.35,31,5.0,215,189,3,492,P1,26,43.7,38.4,312,137,499,P1,False,B,3,,0,252,
Bankura,1001,Bnk-1001,6,Temple Hall 6,313,298,0,611,48.77,20,3.3,186,141,15,459,P1,45,40.5,30.7,317,135,502,P1,False,B,3,,0,248,
Bankura,1001,Bnk-1001,7,Club Building 7,327,308,1,636,48.43,21,3.3,274,157,3,479,P1,117,57.2,32.8,258,170,484,P1,False,B,3,,0,258,
Bankura,1001,Bnk-1001,8,Post Office 8,393,391,1,785,49.81,23,2.9,348,245,3,659,P1,103,52.8,37.2,322,244,629,P1,False,B,3,,0,319,
Bankura,1001,Bnk-1001,9,Club Building 9,269,262,0,531,49.34,26,4.9,199,117,3,393,P1,82,50.6,29.8,200,165,406,P1,False,B,3,,0,215,
Bankura,1001,Bnk-1001,10,Anganwadi Centre 10,238,242,0,480,50.42,19,4.0,220,125,4,383,P1,95,57.4,32.6,216,102,385,P1,False,B,3,,0,195,
Bankura,1001,Bnk-1001,11,Market Building 11,290,260,1,551,47.19,28,5.1,267,149,3,462,P1,118,57.8,32.3,240,140,423,P1,False,B,3,,0,224,
Bankura,1001,Bnk-1001,12,Post Office 12,391,374,1,766,48.83,31,4.0,315,225,6,635,P1,90,49.6,35.4,421,146,630,P1,False,B,3,,0,311,
Bankura,1001,Bnk-1001,13,Govt Office 13,269,275,0,544,50.55,19,3.5,216,146,4,426,P1,70,50.7,34.3,196,151,407,P1,False,B,3,,0,221,
Bankura,1001,Bnk-1001,14,High School 14,257,236,0,493,47.87,16,3.2,216,110,4,362,P1,106,59.7,30.4,250,95,384,P1,False,B,3,,0,200,
Bankura,1001,Bnk-1001,15,Post Office 15,327,330,1,658,50.15,32,4.9,211,203,6,537,P1,8,39.3,37.8,350,146,551,P1,False,B,3,,0,267,
Bankura,1001,Bnk-1001,16,Madrasa 16,369,335,1,705,47.52,35,5.0,286,142,7,531,P1,144,53.9,26.7,275,119,542,P1,False,B,3,,0,286,
Bankura,1001,Bnk-1001,17,Market Building 17,404,384,0,788,48.73,35,4.4,359,177,3,596,P1,182,60.2,29.7,328,211,653,P1,False,B,3,,0,320,
Bankura,1001,Bnk-1001,18,Post Office 18,317,286,1,604,47.35,27,4.5,227,171,5,472,P1,56,48.1,36.2,251,151,447,P1,False,B,3,,0,245,
Bankura,1001,Bnk-1001,19,Community Hall 19,379,385,1,765,50.33,33,4.3,280,245,5,600,P1,35,46.7,40.8,347,192,599,P1,False,B,3,,0,310,
Bankura,1001,Bnk-1001,20,Health Sub-Centre 20,247,251,1,499,50.3,15,3.0,234,133,3,408,P1,101,57.4,32.6,149,142,368,P1,False,B,3,,0,202,
Bankura,1001,Bnk-1001,21,Primary School 21,250,233,0,483,48.24,25,5.2,210,107,3,352,P1,103,59.7,30.4,212,115,368,P1,False,B,3,,0,196,
Bankura,1001,Bnk-1001,22,Panchayat Bhavan 22,362,339,0,701,48.36,32,4.6,297,131,5,529,P1,166,56.1,24.8,359,171,589,P1,False,B,3,,0,284,
Bankura,1001,Bnk-1001,23,Community Hall 23,321,307,0,628,48.89,29,4.6,237,193,4,488,P1,44,48.6,39.5,295,171,517,P1,False,B,3,,0,255,
Bankura,1001,Bnk-1001,24,Madrasa 24,318,325,0,643,50.54,23,3.6,282,165,6,500,P1,117,56.4,33.0,299,180,533,P1,False,B,3,,0,261,
Bankura,1001,Bnk-1001,25,Post Office 25,376,344,0,720,47.78,31,4.3,358,129,2,541,P1,229,66.2,23.8,292,204,606,P1,False,A,1,,0,292,
Bankura,1001,Bnk-1001,26,Health Sub-Centre 26,408,397,0,805,49.32,33,4.1,259,267,7,591,P2,8,43.8,45.2,383,197,644,P1,True,B,3,,0,327,
Bankura,1001,Bnk-1001,27,Madrasa 27,395,354,1,750,47.2,30,4.0,362,204,2,628,P1,158,57.6,32.5,341,158,606,P1,False,B,3,,0,304,
Bankura,1001,Bnk-1001,28,Panchayat Bhavan 28,384,368,1,753,48.87,31,4.1,235,201,5,598,P1,34,39.3,33.6,336,212,609,P1,False,B,3,,0,306,
Bankura,1001,Bnk-1001,29,Market Building 29,355,361,1,717,50.35,23,3.2,296,179,5,528,P1,117,56.1,33.9,263,159,538,P1,False,B,3,,0,291,
