district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Birbhum,1101,Birb-1101,1,Health Sub-Centre 1,290,284,1,575,49.39,25,4.3,310,101,3,457,P1,209,67.8,22.1,270,122,466,P1,False,A,1,,0,239,
Birbhum,1101,Birb-1101,2,Panchayat Bhavan 2,345,343,1,689,49.78,53,7.7,307,165,2,525,P1,142,58.5,31.4,283,76,524,P1,False,B,3,,0,287,
Birbhum,1101,Birb-1101,3,Panchayat Bhavan 3,431,385,0,816,47.18,40,4.9,371,179,4,611,P1,192,60.7,29.3,301,165,652,P1,False,B,3,,0,339,
Birbhum,1101,Birb-1101,4,Market Building 4,313,317,0,630,50.32,37,5.9,255,116,10,498,P1,139,51.2,23.3,349,110,514,P1,False,B,3,,0,262,
Birbhum,1101,Birb-1101,5,Anganwadi Centre 5,392,400,1,793,50.44,55,6.9,377,197,3,675,P1,180,55.9,29.2,410,163,681,P1,False,B,3,,0,330,
Birbhum,1101,Birb-1101,6,Temple Hall 6,390,370,1,761,48.62,54,7.1,405,168,6,643,P1,237,63.0,26.1,282,102,579,P1,False,B,3,,0,316,
Birbhum,1101,Birb-1101,7,Post Office 7,318,294,0,612,48.04,39,6.4,383,86,3,521,P1,297,73.5,16.5,313,123,485,P1,False,A,1,,0,254,
Birbhum,1101,Birb-1101,8,Anganwadi Centre 8,385,380,1,766,49.61,38,5.0,300,197,15,647,P1,103,46.4,30.4,355,119,659,P1,False,B,3,,0,319,
Birbhum,1101,Birb-1101,9,Govt Office 9,351,336,0,687,48.91,53,7.7,326,131,6,525,P1,195,62.1,25.0,286,166,579,P1,False,B,3,,0,286,
Birbhum,1101,Birb-1101,10,Market Building 10,346,334,0,680,49.12,42,6.2,358,153,6,568,P1,205,63.0,26.9,350,143,578,P1,False,B,3,,0,283,
Birbhum,1101,Birb-1101,11,Market Building 11,408,401,0,809,49.57,41,5.1,447,170,7,686,P1,277,65.2,24.8,407,166,637,P1,False,A,1,,0,336,
Birbhum,1101,Birb-1101,12,Govt Office 12,265,263,1,529,49.72,33,6.2,289,119,2,454,P1,170,63.7,26.2,212,128,415,P1,False,B,3,,0,220,
Birbhum,1101,Birb-1101,13,Govt Office 13,329,298,1,628,47.45,48,7.6,307,157,5,534,P1,150,57.5,29.4,318,106,471,P1,False,B,3,,0,261,
Birbhum,1101,Birb-1101,14,Community Hall 14,321,310,0,631,49.13,40,6.3,313,151,3,515,P1,162,60.8,29.3,375,113,542,P1,False,B,3,,0,262,
Birbhum,1101,Birb-1101,15,Panchayat Bhavan 15,380,352,0,732,48.09,37,5.1,348,111,5,574,P1,237,60.6,19.3,355,136,592,P1,False,B,3,,0,304,
Birbhum,1101,Birb-1101,16,Panchayat Bhavan 16,252,249,1,502,49.6,31,6.2,232,120,7,409,P1,112,56.7,29.3,233,72,427,P1,False,B,3,,0,209,
Birbhum,1101,Birb-1101,17,Club Building 17,310,310,1,621,49.92,45,7.2,364,82,7,530,P1,282,68.7,15.5,295,101,502,P1,False,A,1,,0,258,
Birbhum,1101,Birb-1101,18,High School 18,362,354,1,717,49.37,48,6.7,371,131,5,558,P1,240,66.5,23.5,288,174,551,P1,False,A,1,,0,298,
Birbhum,1101,Birb-1101,19,Community Hall 19,335,314,0,649,48.38,46,7.1,288,117,8,491,P1,171,58.7,23.8,296,173,521,P1,False,B,3,,0,270,
Birbhum,1101,Birb-1101,20,Temple Hall 20,282,278,0,560,49.64,28,5.0,219,162,3,430,P1,57,50.9,37.7,284,123,453,P1,False,B,3,,0,233,
Birbhum,1101,Birb-1101,21,Health Sub-Centre 21,324,316,1,641,49.3,29,4.5,305,142,6,497,P1,163,61.4,28.6,335,98,481,P1,False,B,3,,0,267,
Birbhum,1101,Birb-1101,22,Panchayat Bhavan 22,295,268,1,564,47.52,40,7.1,225,181,2,474,P1,44,47.5,38.2,217,104,433,P1,False,B,3,,0,235,
Birbhum,1101,Birb-1101,23,Community Hall 23,316,282,0,598,47.16,46,7.7,327,86,5,459,P1,241,71.2,18.7,288,111,507,P1,False,A,1,,0,249,
Birbhum,1101,Birb-1101,24,Govt Office 24,335,305,1,641,47.58,35,5.5,237,187,6,515,P1,50,46.0,36.3,369,99,520,P1,False,B,3,,0,267,
Birbhum,1101,Birb-1101,25,Panchayat Bhavan 25,364,331,0,695,47.63,42,6.0,407,128,5,594,P1,279,68.5,21.5,379,157,595,P1,False,A,1,,0,289,
Birbhum,1101,Birb-1101,26,Primary School 26,350,357,1,708,50.42,55,7.8,285,120,6,539,P1,162,52.9,22.3,330,137,601,P1,False,B,3,,0,294,
Birbhum,1101,Birb-1101,27,High School 27,375,347,0,722,48.06,32,4.4,346,173,6,577,P1,173,60.0,30.0,455,57,569,P1,False,B,3,,0,300,
Birbhum,1101,Birb-1101,28,Club Building 28,285,277,1,563,49.2,38,6.7,244,129,2,435,P1,115,56.1,29.7,279,79,450,P1,False,B,3,,0,234,
Birbhum,1101,Birb-1101,29,Govt Office 29,348,356,1,705,50.5,47,6.7,314,148,5,531,P1,166,59.1,27.9,350,132,584,P1,False,B,3,,0,293,
Birbhum,1101,Birb-1101,30,Madrasa 30,300,295,1,596,49.5,34,5.7,288,115,2,448,P1,173,64.3,25.7,329,93,512,P1,False,B,3,,0,248,
Birbhum,1101,Birb-1101,31,High School 31,418,395,1,814,48.53,42,5.2,452,156,7,676,P1,296,66.9,23.1,418,188,674,P1,False,A,1,,0,338,
Birbhum,1101,Birb-1101,32,Post Office 32,415,376,0,791,47.53,61,7.7,393,141,3,593,P1,252,66.3,23.8,297,183,644,P1,False,A,1,,0,329,
Birbhum,1101,Birb-1101,33,High School 33,256,232,1,489,47.44,26,5.3,236,94,2,375,P1,142,62.9,25.1,234,100,372,P1,False,B,3,,0,203,
Birbhum,1101,Birb-1101,34,Madrasa 34,411,392,0,803,48.82,60,7.5,451,136,8,679,P1,315,66.4,20.0,367,171,612,P1,False,A,1,,0,334,
Birbhum,1101,Birb-1101,35,Post Office 35,361,357,0,718,49.72,54,7.5,347,162,4,565,P1,185,61.4,28.7,390,146,595,P1,False,B,3,,0,299,
Birbhum,1101,Birb-1101,36,Club Building 36,385,354,1,740,47.84,49,6.6,364,96,5,573,P1,261,63.5,16.8,353,214,630,P1,False,B,3,,0,308,
Birbhum,1101,Birb-1101,37,Anganwadi Centre 37,350,333,0,683,48.76,47,6.9,334,129,5,514,P1,205,65.0,25.1,371,92,514,P1,False,B,3,,0,284,
Birbhum,1101,Birb-1101,38,Anganwadi Centre 38,300,302,0,602,50.17,44,7.3,275,174,3,517,P1,101,53.2,33.7,291,126,464,P1,False,B,3,,0,250,
Birbhum,1101,Birb-1101,39,Govt Office 39,417,380,0,797,47.68,44,5.5,483,118,4,668,P1,365,72.3,17.7,340,173,596,P1,False,A,1,,0,331,
Birbhum,1101,Birb-1101,40,Panchayat Bhavan 40,402,412,0,814,50.61,47,5.8,361,146,10,630,P1,215,57.3,23.2,435,147,647,P1,False,B,3,,0,338,
Birbhum,1101,Birb-1101,41,Post Office 41,299,275,0,574,47.91,36,6.3,293,142,5,483,P1,151,60.7,29.4,257,136,436,P1,False,B,3,,0,239,
Birbhum,1101,Birb-1101,42,Madrasa 42,337,328,0,665,49.32,32,4.8,324,129,6,531,P1,195,61.0,24.3,406,108,572,P1,False,B,3,,0,277,
Birbhum,1101,Birb-1101,43,Panchayat Bhavan 43,304,292,0,596,48.99,36,6.0,235,91,5,446,P1,125,52.7,20.4,270,104,455,P1,False,B,3,,0,248,
Birbhum,1101,Birb-1101,44,Market Building 44,358,330,0,688,47.97,49,7.1,383,144,4,585,P1,239,65.5,24.6,318,154,524,P1,False,A,1,,0,286,
Birbhum,1101,Birb-1101,45,Market Building 45,266,238,0,504,47.22,37,7.3,283,69,6,406,P1,214,69.7,17.0,293,49,380,P1,False,A,1,,0,210,
Birbhum,1101,Birb-1101,46,Health Sub-Centre 46,361,329,1,691,47.61,53,7.7,407,98,5,561,P1,309,72.5,17.5,328,124,579,P1,False,A,1,,0,287,
Birbhum,1101,Birb-1101,47,Panchayat Bhavan 47,346,358,1,705,50.78,31,4.4,332,112,6,540,P1,220,61.5,20.7,330,72,544,P1,False,B,3,,0,293,
Birbhum,1101,Birb-1101,48,Community Hall 48,291,289,1,581,49.74,29,5.0,304,87,4,437,P1,217,69.6,19.9,253,95,480,P1,False,A,1,,0,242,
