district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Cooch Behar,1201,CB-1201,1,Anganwadi Centre 1,240,246,1,487,50.51,53,10.9,214,118,4,369,P1,96,58.0,32.0,165,168,399,P2,True,D,4,,0,198,
Cooch Behar,1201,CB-1201,2,High School 2,313,286,0,599,47.75,58,9.7,275,154,4,476,P1,121,57.8,32.4,212,174,484,P1,False,B,3,,0,243,
Cooch Behar,1201,CB-1201,3,Club Building 3,290,285,1,576,49.48,86,14.9,244,154,5,442,P1,90,55.2,34.8,207,177,426,P1,False,D,4,,0,234,
Cooch Behar,1201,CB-1201,4,Primary School 4,254,250,0,504,49.6,57,11.3,209,152,4,408,P1,57,51.2,37.3,193,184,423,P1,False,D,4,,0,205,
Cooch Behar,1201,CB-1201,5,Anganwadi Centre 5,390,399,1,790,50.51,112,14.2,327,219,6,606,P1,108,54.0,36.1,321,208,604,P1,False,D,4,,0,321,
Cooch Behar,1201,CB-1201,6,Health Sub-Centre 6,267,265,0,532,49.81,65,12.2,247,111,3,398,P1,136,62.1,27.9,244,146,433,P1,False,D,4,,0,216,
Cooch Behar,1201,CB-1201,7,Market Building 7,243,244,0,487,50.1,74,15.2,215,87,3,372,P1,128,57.8,23.4,193,143,393,P1,False,D,4,,0,198,
Cooch Behar,1201,CB-1201,8,Primary School 8,258,235,1,494,47.57,56,11.3,163,193,3,395,P2,30,41.3,48.9,189,157,413,P1,True,D,4,,0,200,
Cooch Behar,1201,CB-1201,9,Market Building 9,347,322,1,670,48.06,94,14.0,318,181,4,555,P1,137,57.3,32.6,280,202,555,P1,False,D,4,,0,272,
Cooch Behar,1201,CB-1201,10,Club Building 10,288,278,1,567,49.03,74,13.1,226,140,4,444,P1,86,50.9,31.5,211,184,452,P1,False,D,4,,0,230,
Cooch Behar,1201,CB-1201,11,High School 11,241,242,1,484,50.0,72,14.9,163,165,5,384,P2,2,42.4,43.0,166,154,356,P1,True,D,4,,0,196,
Cooch Behar,1201,CB-1201,12,Madrasa 12,307,300,0,607,49.42,85,14.0,254,167,5,487,P1,87,52.2,34.3,233,167,444,P1,False,D,4,,0,246,
Cooch Behar,1201,CB-1201,13,Govt Office 13,265,248,0,513,48.34,68,13.3,247,116,4,405,P1,131,61.0,28.6,148,169,391,P2,True,D,4,,0,208,
Cooch Behar,1201,CB-1201,14,Market Building 14,324,304,1,629,48.33,76,12.1,262,154,2,463,P1,108,56.6,33.3,227,207,482,P1,False,D,4,,0,255,
Cooch Behar,1201,CB-1201,15,High School 15,291,266,1,558,47.67,56,10.0,164,135,17,440,P1,29,37.3,30.7,231,162,445,P1,False,B,3,,0,226,
Cooch Behar,1201,CB-1201,16,High School 16,270,245,0,515,47.57,57,11.1,195,98,7,376,P1,97,51.9,26.1,217,130,386,P1,False,D,4,,0,209,
Cooch Behar,1201,CB-1201,17,High School 17,316,291,1,608,47.86,99,16.3,256,111,5,484,P1,145,52.9,22.9,240,189,512,P1,False,D,4,,0,247,
Cooch Behar,1201,CB-1201,18,Market Building 18,347,314,1,662,47.43,100,15.1,239,229,5,530,P1,10,45.1,43.2,311,186,552,P1,False,D,4,,0,269,
