district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Dakshin Dinajpur,1801,DD-1801,1,Health Sub-Centre 1,310,304,1,615,49.43,19,3.1,229,157,14,508,P1,72,45.1,30.9,281,128,496,P1,False,B,3,,0,253,
Dakshin Dinajpur,1801,DD-1801,2,Post Office 2,368,345,0,713,48.39,21,2.9,378,161,7,598,P1,217,63.2,26.9,275,135,530,P1,False,B,3,,0,293,
Dakshin Dinajpur,1801,DD-1801,3,Health Sub-Centre 3,413,405,1,819,49.45,34,4.2,389,161,13,668,P1,228,58.2,24.1,336,212,698,P1,False,B,3,,0,336,
Dakshin Dinajpur,1801,DD-1801,4,Anganwadi Centre 4,386,375,1,762,49.21,27,3.5,331,165,7,595,P1,166,55.6,27.7,381,123,580,P1,False,B,3,,0,313,
Dakshin Dinajpur,1801,DD-1801,5,Anganwadi Centre 5,401,394,0,795,49.56,27,3.4,375,119,9,639,P1,246,58.7,18.6,344,171,646,P1,False,B,3,,0,327,
Dakshin Dinajpur,1801,DD-1801,6,Market Building 6,318,291,0,609,47.78,19,3.1,284,123,4,471,P1,161,60.3,26.1,268,128,506,P1,False,B,3,,0,250,
Dakshin Dinajpur,1801,DD-1801,7,Temple Hall 7,268,245,1,514,47.67,25,4.9,287,85,5,413,P1,202,69.5,20.6,179,80,386,P1,False,A,1,,0,211,
Dakshin Dinajpur,1801,DD-1801,8,Temple Hall 8,324,295,0,619,47.66,25,4.0,326,132,4,519,P1,194,62.8,25.4,257,77,476,P1,False,B,3,,0,254,
Dakshin Dinajpur,1801,DD-1801,9,Club Building 9,341,312,1,654,47.71,28,4.3,357,145,5,558,P1,212,64.0,26.0,245,142,540,P1,False,B,3,,0,269,
Dakshin Dinajpur,1801,DD-1801,10,Community Hall 10,393,403,1,797,50.56,30,3.8,413,165,5,643,P1,248,64.2,25.7,397,152,611,P1,False,B,3,,0,327,
Dakshin Dinajpur,1801,DD-1801,11,Panchayat Bhavan 11,385,355,0,740,47.97,35,4.7,338,103,9,595,P1,199,56.8,17.3,323,143,620,P1,False,B,3,,0,304,
Dakshin Dinajpur,1801,DD-1801,12,Panchayat Bhavan 12,363,348,0,711,48.95,27,3.8,315,167,2,535,P1,148,58.9,31.2,300,117,560,P1,False,B,3,,0,292,
Dakshin Dinajpur,1801,DD-1801,13,Market Building 13,320,316,1,637,49.61,29,4.6,332,107,7,523,P1,225,63.5,20.5,313,120,505,P1,False,B,3,,0,262,
Dakshin Dinajpur,1801,DD-1801,14,High School 14,318,290,0,608,47.7,25,4.1,312,117,5,505,P1,195,61.8,23.2,279,118,503,P1,False,B,3,,0,250,
Dakshin Dinajpur,1801,DD-1801,15,Primary School 15,383,393,1,777,50.58,24,3.1,371,171,6,603,P1,200,61.5,28.4,374,148,641,P1,False,B,3,,0,319,
Dakshin Dinajpur,1801,DD-1801,16,High School 16,378,382,0,760,50.26,38,5.0,354,205,5,629,P1,149,56.3,32.6,346,154,563,P1,False,B,3,,0,312,
Dakshin Dinajpur,1801,DD-1801,17,Anganwadi Centre 17,394,362,0,756,47.88,38,5.0,328,176,5,608,P1,152,53.9,28.9,333,63,623,P1,False,B,3,,0,311,
Dakshin Dinajpur,1801,DD-1801,18,Govt Office 18,376,354,1,731,48.43,21,2.9,403,150,4,615,P1,253,65.5,24.4,275,179,551,P1,False,A,1,,0,300,
Dakshin Dinajpur,1801,DD-1801,19,Health Sub-Centre 19,250,251,1,502,50.0,16,3.2,203,73,11,394,P1,101,51.5,18.5,214,143,397,P1,False,B,3,,0,206,
Dakshin Dinajpur,1801,DD-1801,20,Madrasa 20,340,343,1,684,50.15,31,4.5,319,111,5,526,P1,208,60.6,21.1,254,204,550,P1,False,B,3,,0,281,
Dakshin Dinajpur,1801,DD-1801,21,Govt Office 21,369,379,1,749,50.6,26,3.5,356,197,6,615,P1,159,57.9,32.0,334,179,579,P1,False,B,3,,0,308,
Dakshin Dinajpur,1801,DD-1801,22,Market Building 22,374,380,1,755,50.33,34,4.5,305,167,12,572,P1,138,53.3,29.2,380,131,594,P1,False,B,3,,0,310,
Dakshin Dinajpur,1801,DD-1801,23,Club Building 23,270,248,1,519,47.78,25,4.8,197,108,15,441,P1,81,44.7,24.5,190,106,402,P1,False,B,3,,0,213,
Dakshin Dinajpur,1801,DD-1801,24,Market Building 24,302,290,0,592,48.99,31,5.2,269,133,7,487,P1,136,55.2,27.3,216,150,453,P1,False,B,3,,0,243,
Dakshin Dinajpur,1801,DD-1801,25,Temple Hall 25,365,330,0,695,47.48,32,4.6,364,151,3,577,P1,213,63.1,26.2,326,132,569,P1,False,B,3,,0,286,
Dakshin Dinajpur,1801,DD-1801,26,Community Hall 26,390,401,1,792,50.63,32,4.0,394,176,8,675,P1,218,58.4,26.1,299,158,604,P1,False,B,3,,0,325,
Dakshin Dinajpur,1801,DD-1801,27,Community Hall 27,284,281,0,565,49.73,27,4.8,284,123,8,481,P1,161,59.0,25.6,292,118,456,P1,False,B,3,,0,232,
Dakshin Dinajpur,1801,DD-1801,28,Govt Office 28,329,321,0,650,49.38,28,4.3,328,99,6,510,P1,229,64.3,19.4,329,127,507,P1,False,B,3,,0,267,
Dakshin Dinajpur,1801,DD-1801,29,High School 29,368,367,1,736,49.86,26,3.5,326,74,9,569,P1,172,57.3,13.0,289,163,587,P1,False,B,3,,0,302,
Dakshin Dinajpur,1801,DD-1801,30,Govt Office 30,382,347,0,729,47.6,28,3.8,307,187,11,596,P1,120,51.5,31.4,307,187,566,P1,False,B,3,,0,299,
Dakshin Dinajpur,1801,DD-1801,31,Community Hall 31,248,231,1,480,48.12,17,3.5,190,108,4,394,P1,82,48.2,27.4,161,135,377,P1,False,B,3,,0,197,
Dakshin Dinajpur,1801,DD-1801,32,High School 32,321,311,1,633,49.13,32,5.1,250,149,8,532,P1,101,47.0,28.0,270,128,495,P1,False,B,3,,0,260,
Dakshin Dinajpur,1801,DD-1801,33,Market Building 33,320,327,1,648,50.46,22,3.4,261,110,12,520,P1,129,50.2,21.2,355,68,518,P1,False,B,3,,0,266,
Dakshin Dinajpur,1801,DD-1801,34,Temple Hall 34,288,291,1,580,50.17,19,3.3,253,128,6,451,P1,125,56.1,28.4,263,155,490,P1,False,B,3,,0,238,
Dakshin Dinajpur,1801,DD-1801,35,Primary School 35,393,380,1,774,49.1,33,4.3,333,142,11,573,P1,191,58.1,24.8,380,125,645,P1,False,B,3,,0,318,
Dakshin Dinajpur,1801,DD-1801,36,Club Building 36,315,301,1,617,48.78,25,4.1,283,69,4,461,P1,182,61.4,15.0,308,133,501,P1,False,B,3,,0,253,
Dakshin Dinajpur,1801,DD-1801,37,High School 37,412,378,0,790,47.85,23,2.9,401,156,7,671,P1,245,59.8,23.2,338,198,657,P1,False,B,3,,0,325,
Dakshin Dinajpur,1801,DD-1801,38,Temple Hall 38,323,290,1,614,47.23,27,4.4,244,122,10,475,P1,122,51.4,25.7,277,156,518,P1,False,B,3,,0,252,
Dakshin Dinajpur,1801,DD-1801,39,Market Building 39,286,291,1,578,50.35,29,5.0,250,128,2,441,P1,122,56.7,29.0,285,137,474,P1,False,B,3,,0,237,
Dakshin Dinajpur,1801,DD-1801,40,Community Hall 40,398,363,0,761,47.7,38,5.0,419,163,5,646,P1,256,64.9,25.2,317,146,634,P1,False,B,3,,0,313,
Dakshin Dinajpur,1801,DD-1801,41,Post Office 41,310,296,0,606,48.84,22,3.6,233,147,7,457,P1,86,51.0,32.2,302,115,506,P1,False,B,3,,0,249,
Dakshin Dinajpur,1801,DD-1801,42,Panchayat Bhavan 42,311,298,1,610,48.85,22,3.6,267,114,5,489,P1,153,54.6,23.3,226,108,464,P1,False,B,3,,0,251,
Dakshin Dinajpur,1801,DD-1801,43,Anganwadi Centre 43,317,321,0,638,50.31,28,4.4,242,118,9,509,P1,108,47.5,23.2,225,58,508,P1,False,B,3,,0,262,
Dakshin Dinajpur,1801,DD-1801,44,Temple Hall 44,342,353,1,696,50.72,21,3.0,356,102,6,550,P1,254,64.7,18.5,277,132,540,P1,False,B,3,,0,286,
Dakshin Dinajpur,1801,DD-1801,45,Primary School 45,294,273,0,567,48.15,26,4.6,305,48,8,483,P1,188,63.1,9.9,221,73,427,P1,False,B,3,,0,233,
Dakshin Dinajpur,1801,DD-1801,46,Post Office 46,403,371,0,774,47.93,25,3.2,440,131,5,634,P1,309,69.4,20.7,346,127,571,P1,False,A,1,,0,318,
Dakshin Dinajpur,1801,DD-1801,47,Madrasa 47,334,303,0,637,47.57,26,4.1,246,135,8,475,P1,111,51.8,28.4,294,154,527,P1,False,B,3,,0,262,
