district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Darjeeling,1901,Drj-1901,1,Market Building 1,268,262,0,530,49.43,6,1.1,166,159,7,392,P1,7,42.3,40.6,174,175,388,P2,True,B,3,,0,207,
Darjeeling,1901,Drj-1901,2,Community Hall 2,295,273,1,569,47.98,7,1.2,175,165,5,423,P1,10,41.4,39.0,181,207,432,P2,True,B,3,,0,222,
Darjeeling,1901,Drj-1901,3,Temple Hall 3,354,319,1,674,47.33,7,1.0,192,241,8,527,P2,49,36.4,45.7,207,213,481,P2,False,B,3,,0,263,
Darjeeling,1901,Drj-1901,4,Community Hall 4,414,397,0,811,48.95,8,1.0,177,237,18,621,P2,54,28.5,38.2,270,232,612,P1,True,B,3,,0,317,
Darjeeling,1901,Drj-1901,5,Madrasa 5,421,386,1,808,47.77,7,0.9,222,277,9,620,P2,55,35.8,44.7,207,266,640,P2,False,B,3,,0,316,
Darjeeling,1901,Drj-1901,6,Post Office 6,288,273,1,562,48.58,5,0.9,207,151,5,412,P1,56,50.2,36.7,169,176,405,P2,True,B,3,,0,220,
Darjeeling,1901,Drj-1901,7,Post Office 7,289,262,0,551,47.55,5,0.9,262,128,4,433,P1,134,60.5,29.6,148,168,413,P2,True,B,3,,0,215,
Darjeeling,1901,Drj-1901,8,Health Sub-Centre 8,257,256,0,513,49.9,5,1.0,168,135,4,377,P1,33,44.6,35.8,182,148,367,P1,False,B,3,,0,200,
Darjeeling,1901,Drj-1901,9,Club Building 9,306,292,0,598,48.83,7,1.2,187,196,3,434,P2,9,43.1,45.2,164,188,438,P2,False,B,3,,0,234,
Darjeeling,1901,Drj-1901,10,Panchayat Bhavan 10,419,383,1,803,47.7,7,0.9,299,215,8,613,P1,84,48.8,35.1,322,222,605,P1,False,B,3,,0,314,
Darjeeling,1901,Drj-1901,11,Market Building 11,318,326,0,644,50.62,8,1.2,195,228,5,505,P2,33,38.6,45.1,195,208,470,P2,False,B,3,,0,252,
Darjeeling,1901,Drj-1901,12,Community Hall 12,393,403,0,796,50.63,6,0.8,304,255,7,623,P1,49,48.8,40.9,293,234,586,P1,False,B,3,,0,311,
Darjeeling,1901,Drj-1901,13,Govt Office 13,303,287,0,590,48.64,5,0.8,242,168,6,468,P1,74,51.7,35.9,250,171,468,P1,False,B,3,,0,231,
Darjeeling,1901,Drj-1901,14,Club Building 14,334,312,0,646,48.3,7,1.1,182,219,11,513,P2,37,35.5,42.7,198,174,494,P1,True,B,3,,0,252,
Darjeeling,1901,Drj-1901,15,Temple Hall 15,293,292,1,586,49.83,6,1.0,269,127,3,440,P1,142,61.1,28.9,189,180,441,P1,False,B,3,,0,229,
Darjeeling,1901,Drj-1901,16,Post Office 16,386,393,0,779,50.45,7,0.9,286,212,6,553,P1,74,51.7,38.3,334,199,592,P1,False,B,3,,0,304,
Darjeeling,1901,Drj-1901,17,Panchayat Bhavan 17,406,401,0,807,49.69,8,1.0,339,201,4,600,P1,138,56.5,33.5,316,216,591,P1,False,B,3,,0,315,
Darjeeling,1901,Drj-1901,18,Govt Office 18,381,344,1,726,47.38,7,1.0,247,225,9,560,P1,22,44.1,40.2,262,231,548,P1,False,B,3,,0,284,
Darjeeling,1901,Drj-1901,19,Club Building 19,356,363,1,720,50.42,9,1.2,264,223,2,542,P1,41,48.7,41.1,207,218,510,P2,True,B,3,,0,281,
Darjeeling,1901,Drj-1901,20,Govt Office 20,364,357,0,721,49.51,5,0.7,260,243,8,574,P1,17,45.3,42.3,187,271,529,P2,True,B,3,,0,282,
Darjeeling,1901,Drj-1901,21,Community Hall 21,304,288,0,592,48.65,6,1.0,177,188,2,426,P2,11,41.5,44.1,221,187,454,P1,True,B,3,,0,231,
Darjeeling,1901,Drj-1901,22,Post Office 22,315,285,1,601,47.42,6,1.0,194,171,7,425,P1,23,45.6,40.2,219,194,459,P1,False,B,3,,0,235,
Darjeeling,1901,Drj-1901,23,Post Office 23,244,250,0,494,50.61,6,1.2,126,206,2,374,P2,80,33.7,55.1,186,162,390,P1,True,B,3,,0,193,
Darjeeling,1901,Drj-1901,24,Community Hall 24,287,297,1,585,50.77,4,0.7,194,181,1,416,P1,13,46.6,43.5,214,159,415,P1,False,B,3,,0,229,
Darjeeling,1901,Drj-1901,25,Madrasa 25,329,296,1,626,47.28,6,1.0,173,214,3,457,P2,41,37.9,46.8,178,236,462,P2,False,B,3,,0,245,
Darjeeling,1901,Drj-1901,26,Anganwadi Centre 26,317,311,0,628,49.52,5,0.8,274,160,4,483,P1,114,56.7,33.1,241,195,484,P1,False,B,3,,0,245,
Darjeeling,1901,Drj-1901,27,Anganwadi Centre 27,411,373,0,784,47.58,9,1.1,236,260,6,590,P2,24,40.0,44.1,301,256,619,P1,True,B,3,,0,306,
Darjeeling,1901,Drj-1901,28,Madrasa 28,367,365,0,732,49.86,6,0.8,199,232,6,526,P2,33,37.8,44.1,196,185,544,P1,True,B,3,,0,286,
Darjeeling,1901,Drj-1901,29,Club Building 29,331,323,0,654,49.39,5,0.8,240,198,6,502,P1,42,47.8,39.4,215,215,478,P1,False,B,3,,0,256,
Darjeeling,1901,Drj-1901,30,Panchayat Bhavan 30,386,350,0,736,47.55,6,0.8,246,237,4,536,P1,9,45.9,44.2,232,264,552,P2,True,B,3,,0,288,
Darjeeling,1901,Drj-1901,31,Market Building 31,357,354,0,711,49.79,7,1.0,271,229,4,560,P1,42,48.4,40.9,226,211,541,P1,False,B,3,,0,278,
Darjeeling,1901,Drj-1901,32,Primary School 32,302,284,0,586,48.46,5,0.9,172,156,11,462,P1,16,37.2,33.8,198,217,461,P2,True,B,3,,0,229,
Darjeeling,1901,Drj-1901,33,Temple Hall 33,292,281,1,574,48.95,4,0.7,236,170,5,451,P1,66,52.3,37.7,178,219,465,P2,True,B,3,,0,224,
Darjeeling,1901,Drj-1901,34,Health Sub-Centre 34,396,376,1,773,48.64,9,1.2,253,269,5,580,P2,16,43.6,46.4,259,252,567,P1,True,B,3,,0,302,
Darjeeling,1901,Drj-1901,35,Panchayat Bhavan 35,412,372,1,785,47.39,7,0.9,233,264,9,589,P2,31,39.6,44.8,181,281,581,P2,False,B,3,,0,307,
Darjeeling,1901,Drj-1901,36,Club Building 36,398,396,1,795,49.81,6,0.8,259,252,8,643,P1,7,40.3,39.2,299,206,562,P1,False,B,3,,0,311,
Darjeeling,1901,Drj-1901,37,Temple Hall 37,272,267,1,540,49.44,6,1.1,152,161,3,400,P2,9,38.0,40.2,224,151,416,P1,True,B,3,,0,211,
Darjeeling,1901,Drj-1901,38,Post Office 38,354,323,0,677,47.71,8,1.2,139,199,16,511,P2,48,27.2,38.9,245,210,527,P1,True,B,3,,0,265,
Darjeeling,1901,Drj-1901,39,Health Sub-Centre 39,323,327,1,651,50.23,7,1.1,211,237,4,497,P2,26,42.5,47.7,214,175,515,P1,True,B,3,,0,254,
Darjeeling,1901,Drj-1901,40,Madrasa 40,297,269,1,567,47.44,5,0.9,183,154,3,400,P1,29,45.8,38.5,108,205,433,P2,True,B,3,,0,222,
Darjeeling,1901,Drj-1901,41,Anganwadi Centre 41,381,362,0,743,48.72,6,0.8,258,239,3,553,P1,19,46.7,43.2,291,239,589,P1,False,B,3,,0,290,
Darjeeling,1901,Drj-1901,42,Market Building 42,271,272,1,544,50.0,6,1.1,132,169,4,391,P2,37,33.8,43.2,132,160,386,P2,False,B,3,,0,213,
Darjeeling,1901,Drj-1901,43,Club Building 43,259,248,1,508,48.82,5,1.0,159,173,6,402,P2,14,39.6,43.0,156,187,381,P2,False,B,3,,0,199,
Darjeeling,1901,Drj-1901,44,Primary School 44,306,280,1,587,47.7,7,1.2,158,237,3,439,P2,79,36.0,54.0,180,190,436,P2,False,B,3,,0,229,
Darjeeling,1901,Drj-1901,45,Madrasa 45,393,368,1,762,48.29,8,1.0,282,255,3,597,P1,27,47.2,42.7,173,217,597,P2,True,B,3,,0,298,
Darjeeling,1901,Drj-1901,46,Anganwadi Centre 46,309,299,0,608,49.18,5,0.8,155,219,7,474,P2,64,32.7,46.2,250,171,467,P1,True,B,3,,0,238,
Darjeeling,1901,Drj-1901,47,Anganwadi Centre 47,397,357,0,754,47.35,8,1.1,252,232,6,564,P1,20,44.7,41.1,200,224,537,P2,True,B,3,,0,295,
Darjeeling,1901,Drj-1901,48,Primary School 48,315,306,0,621,49.28,7,1.1,197,172,12,468,P1,25,42.1,36.8,177,190,462,P2,True,B,3,,0,243,
Darjeeling,1901,Drj-1901,49,Govt Office 49,282,281,0,563,49.91,7,1.2,137,223,4,406,P2,86,33.7,54.9,218,147,405,P1,True,B,3,,0,220,
Darjeeling,1901,Drj-1901,50,Panchayat Bhavan 50,270,242,1,513,47.17,6,1.2,182,119,8,368,P1,63,49.5,32.3,156,165,387,P2,True,B,3,,0,200,
Darjeeling,1901,Drj-1901,51,Primary School 51,351,360,0,711,50.63,8,1.1,151,312,6,568,P2,161,26.6,54.9,226,246,525,P2,False,B,3,,0,278,
Darjeeling,1901,Drj-1901,52,High School 52,269,257,0,526,48.86,5,1.0,183,186,6,417,P2,3,43.9,44.6,220,158,420,P1,True,B,3,,0,206,
Darjeeling,1901,Drj-1901,53,Madrasa 53,353,361,1,715,50.49,6,0.8,190,215,7,526,P2,25,36.1,40.9,191,189,508,P1,True,B,3,,0,279,
Darjeeling,1901,Drj-1901,54,Post Office 54,307,311,0,618,50.32,7,1.1,250,176,5,473,P1,74,52.9,37.2,155,205,472,P2,True,B,3,,0,242,
Darjeeling,1901,Drj-1901,55,Govt Office 55,307,281,0,588,47.79,6,1.0,144,168,14,427,P2,24,33.7,39.3,138,181,425,P2,False,B,3,,0,230,
Darjeeling,1901,Drj-1901,56,Health Sub-Centre 56,413,377,0,790,47.72,7,0.9,249,286,9,615,P2,37,40.5,46.5,278,228,584,P1,True,B,3,,0,309,
Darjeeling,1901,Drj-1901,57,Primary School 57,396,382,0,778,49.1,10,1.3,213,260,8,563,P2,47,37.8,46.2,308,213,579,P1,True,B,3,,0,304,
Darjeeling,1901,Drj-1901,58,Post Office 58,286,266,1,553,48.1,4,0.7,162,195,7,448,P2,33,36.2,43.5,190,191,424,P2,False,B,3,,0,216,
Darjeeling,1901,Drj-1901,59,Community Hall 59,375,351,1,727,48.28,6,0.8,267,189,3,521,P1,78,51.2,36.3,253,251,560,P1,False,B,3,,0,284,
Darjeeling,1901,Drj-1901,60,Anganwadi Centre 60,282,259,0,541,47.87,5,0.9,172,188,6,414,P2,16,41.5,45.4,124,187,424,P2,False,B,3,,0,211,
Darjeeling,1901,Drj-1901,61,Market Building 61,407,396,0,803,49.32,9,1.1,215,230,6,582,P2,15,36.9,39.5,240,256,581,P2,False,B,3,,0,314,
Darjeeling,1901,Drj-1901,62,Temple Hall 62,256,245,1,502,48.8,5,1.0,173,167,7,406,P1,6,42.6,41.1,166,142,372,P1,False,B,3,,0,196,
Darjeeling,1901,Drj-1901,63,Primary School 63,282,266,1,549,48.45,5,0.9,212,138,4,428,P1,74,49.5,32.2,171,149,399,P1,False,B,3,,0,215,
Darjeeling,1901,Drj-1901,64,Health Sub-Centre 64,296,298,0,594,50.17,5,0.8,179,129,16,446,P1,50,40.1,28.9,118,170,473,P2,True,B,3,,0,232,
Darjeeling,1901,Drj-1901,65,Madrasa 65,303,292,0,595,49.08,7,1.2,193,191,4,429,P1,2,45.0,44.5,216,209,480,P1,False,B,3,,0,233,
Darjeeling,1901,Drj-1901,66,Panchayat Bhavan 66,369,376,1,746,50.4,8,1.1,251,273,6,583,P2,22,43.1,46.8,290,232,580,P1,True,B,3,,0,292,
Darjeeling,1901,Drj-1901,67,Community Hall 67,331,319,0,650,49.08,6,0.9,242,203,5,494,P1,39,49.0,41.1,222,203,472,P1,False,B,3,,0,254,
Darjeeling,1901,Drj-1901,68,Market Building 68,270,270,0,540,50.0,6,1.1,153,193,6,404,P2,40,37.9,47.8,153,232,428,P2,False,B,3,,0,211,
Darjeeling,1901,Drj-1901,69,High School 69,285,284,1,570,49.82,5,0.9,138,205,9,430,P2,67,32.1,47.7,191,205,440,P2,False,B,3,,0,223,
Darjeeling,1901,Drj-1901,70,Temple Hall 70,336,346,1,683,50.66,6,0.9,171,235,5,541,P2,64,31.6,43.4,251,193,493,P1,True,B,3,,0,267,
Darjeeling,1901,Drj-1901,71,Govt Office 71,407,409,0,816,50.12,9,1.1,304,244,5,608,P1,60,50.0,40.1,352,208,622,P1,False,B,3,,0,319,
Darjeeling,1901,Drj-1901,72,Panchayat Bhavan 72,279,281,0,560,50.18,6,1.1,175,213,4,454,P2,38,38.5,46.9,159,189,435,P2,False,B,3,,0,219,
Darjeeling,1901,Drj-1901,73,Temple Hall 73,387,360,1,748,48.13,8,1.1,192,232,13,596,P2,40,32.2,38.9,298,243,601,P1,True,B,3,,0,292,
Darjeeling,1901,Drj-1901,74,Govt Office 74,386,384,0,770,49.87,6,0.8,201,254,5,608,P2,53,33.1,41.8,296,208,592,P1,True,B,3,,0,301,
Darjeeling,1901,Drj-1901,75,High School 75,308,316,0,624,50.64,7,1.1,238,205,4,492,P1,33,48.4,41.7,270,149,465,P1,False,B,3,,0,244,
Darjeeling,1901,Drj-1901,76,Primary School 76,348,356,1,705,50.5,9,1.3,185,241,6,506,P2,56,36.6,47.6,215,259,535,P2,False,B,3,,0,275,
Darjeeling,1901,Drj-1901,77,Health Sub-Centre 77,375,385,1,761,50.59,8,1.1,227,250,5,551,P2,23,41.2,45.4,244,252,614,P2,False,B,3,,0,297,
Darjeeling,1901,Drj-1901,78,Post Office 78,321,328,0,649,50.54,7,1.1,125,242,12,501,P2,117,25.0,48.3,211,195,523,P1,True,B,3,,0,254,
Darjeeling,1901,Drj-1901,79,High School 79,285,267,0,552,48.37,7,1.3,138,185,7,406,P2,47,34.0,45.6,159,158,394,P1,True,B,3,,0,216,
Darjeeling,1901,Drj-1901,80,High School 80,381,354,0,735,48.16,8,1.1,209,238,5,523,P2,29,40.0,45.5,182,276,575,P2,False,B,3,,0,287,
Darjeeling,1901,Drj-1901,81,Temple Hall 81,252,250,0,502,49.8,5,1.0,93,202,4,372,P2,109,25.0,54.3,129,215,390,P2,False,B,3,,0,196,
