district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Hooghly,401,Hgl-401,1,Club Building 1,382,387,1,770,50.26,26,3.4,411,158,3,652,P1,253,63.0,24.2,356,233,667,P1,False,B,3,,0,324,
Hooghly,401,Hgl-401,2,Temple Hall 2,316,293,1,610,48.03,25,4.1,259,144,6,512,P1,115,50.6,28.1,246,153,491,P1,False,B,3,,0,257,
Hooghly,401,Hgl-401,3,Anganwadi Centre 3,260,257,1,518,49.61,18,3.5,237,122,3,408,P1,115,58.1,29.9,290,116,451,P1,False,B,3,,0,218,
Hooghly,401,Hgl-401,4,Health Sub-Centre 4,309,284,1,594,47.81,26,4.4,284,151,5,483,P1,133,58.8,31.3,289,116,450,P1,False,B,3,,0,250,
Hooghly,401,Hgl-401,5,Primary School 5,265,250,1,516,48.45,18,3.5,234,121,4,394,P1,113,59.4,30.7,319,40,399,P1,False,B,3,,0,217,
Hooghly,401,Hgl-401,6,Anganwadi Centre 6,400,389,0,789,49.3,23,2.9,342,130,9,601,P1,212,56.9,21.6,385,154,632,P1,False,B,3,,0,332,
Hooghly,401,Hgl-401,7,Club Building 7,317,327,0,644,50.78,19,3.0,336,142,6,531,P1,194,63.3,26.7,272,117,498,P1,False,B,3,,0,271,
Hooghly,401,Hgl-401,8,Govt Office 8,389,351,0,740,47.43,36,4.9,429,126,6,617,P1,303,69.5,20.4,283,177,567,P1,False,A,1,,0,311,
Hooghly,401,Hgl-401,9,Primary School 9,290,278,1,569,48.86,30,5.3,307,136,5,492,P1,171,62.4,27.6,323,121,493,P1,False,B,3,,0,239,
Hooghly,401,Hgl-401,10,Anganwadi Centre 10,314,318,1,633,50.24,30,4.7,294,166,4,511,P1,128,57.5,32.5,316,130,496,P1,False,B,3,,0,266,
Hooghly,401,Hgl-401,11,Panchayat Bhavan 11,357,368,1,726,50.69,30,4.1,314,189,3,583,P1,125,53.9,32.4,305,152,555,P1,False,B,3,,0,306,
Hooghly,401,Hgl-401,12,High School 12,361,349,0,710,49.15,29,4.1,396,157,2,614,P1,239,64.5,25.6,364,137,617,P1,False,B,3,,0,299,
Hooghly,401,Hgl-401,13,High School 13,402,406,0,808,50.25,32,4.0,399,161,3,622,P1,238,64.1,25.9,406,185,663,P1,False,B,3,,0,340,
Hooghly,401,Hgl-401,14,High School 14,309,297,1,607,48.93,24,4.0,270,113,7,484,P1,157,55.8,23.3,313,127,488,P1,False,B,3,,0,255,
Hooghly,401,Hgl-401,15,High School 15,333,309,1,643,48.06,29,4.5,296,183,6,561,P1,113,52.8,32.6,291,141,555,P1,False,B,3,,0,271,
Hooghly,401,Hgl-401,16,Health Sub-Centre 16,322,323,0,645,50.08,21,3.3,309,188,2,553,P1,121,55.9,34.0,303,108,506,P1,False,B,3,,0,271,
Hooghly,401,Hgl-401,17,Madrasa 17,402,378,0,780,48.46,24,3.1,448,118,5,629,P1,330,71.2,18.8,374,168,602,P1,False,A,1,,0,328,
Hooghly,401,Hgl-401,18,Panchayat Bhavan 18,240,242,1,483,50.1,18,3.7,254,82,2,386,P1,172,65.8,21.2,269,108,419,P1,False,A,1,,0,203,
Hooghly,401,Hgl-401,19,Primary School 19,266,271,1,538,50.37,25,4.6,293,108,5,445,P1,185,65.8,24.3,276,96,414,P1,False,A,1,,0,226,
Hooghly,401,Hgl-401,20,Anganwadi Centre 20,270,265,0,535,49.53,27,5.0,302,98,4,444,P1,204,68.0,22.1,249,126,421,P1,False,A,1,,0,225,
Hooghly,401,Hgl-401,21,Primary School 21,366,332,1,699,47.5,33,4.7,291,202,10,592,P1,89,49.2,34.1,337,145,535,P1,False,B,3,,0,294,
Hooghly,401,Hgl-401,22,Primary School 22,306,285,1,592,48.14,30,5.1,296,147,8,514,P1,149,57.6,28.6,340,102,492,P1,False,B,3,,0,249,
Hooghly,401,Hgl-401,23,Panchayat Bhavan 23,371,349,1,721,48.4,29,4.0,343,167,5,567,P1,176,60.5,29.5,321,150,578,P1,False,B,3,,0,303,
Hooghly,401,Hgl-401,24,Govt Office 24,290,281,1,572,49.13,22,3.8,301,133,5,482,P1,168,62.4,27.6,287,143,478,P1,False,B,3,,0,241,
Hooghly,401,Hgl-401,25,Market Building 25,319,325,0,644,50.47,23,3.6,362,112,6,527,P1,250,68.7,21.3,348,101,499,P1,False,A,1,,0,271,
Hooghly,401,Hgl-401,26,Club Building 26,397,408,0,805,50.68,40,5.0,503,129,3,702,P1,374,71.7,18.4,483,129,680,P1,False,A,1,,0,339,
Hooghly,401,Hgl-401,27,Anganwadi Centre 27,409,373,1,783,47.64,25,3.2,382,176,6,620,P1,206,61.6,28.4,429,179,676,P1,False,B,3,,0,330,
Hooghly,401,Hgl-401,28,Health Sub-Centre 28,350,326,0,676,48.22,31,4.6,341,175,4,574,P1,166,59.4,30.5,280,132,523,P1,False,B,3,,0,284,
Hooghly,401,Hgl-401,29,Anganwadi Centre 29,271,260,1,532,48.87,19,3.6,323,83,4,451,P1,240,71.6,18.4,257,110,408,P1,False,A,1,,0,224,
Hooghly,401,Hgl-401,30,Govt Office 30,390,381,1,772,49.35,35,4.5,413,155,5,631,P1,258,65.5,24.6,322,238,637,P1,False,A,1,,0,325,
Hooghly,401,Hgl-401,31,Community Hall 31,398,410,1,809,50.68,37,4.6,401,208,6,677,P1,193,59.2,30.7,346,188,697,P1,False,B,3,,0,340,
Hooghly,401,Hgl-401,32,Madrasa 32,243,245,0,488,50.2,22,4.5,244,129,4,414,P1,115,58.9,31.2,264,110,416,P1,False,B,3,,0,205,
Hooghly,401,Hgl-401,33,Club Building 33,360,329,0,689,47.75,22,3.2,233,184,14,551,P1,49,42.3,33.4,353,176,588,P1,False,B,3,,0,290,
Hooghly,401,Hgl-401,34,Primary School 34,247,244,1,492,49.59,24,4.9,191,134,3,389,P1,57,49.1,34.4,237,148,428,P1,False,B,3,,0,207,
Hooghly,401,Hgl-401,35,High School 35,421,396,0,817,48.47,25,3.1,444,135,4,643,P1,309,69.1,21.0,348,167,710,P1,False,A,1,,0,344,
Hooghly,401,Hgl-401,36,Panchayat Bhavan 36,261,254,1,516,49.22,20,3.9,216,109,8,416,P1,107,51.9,26.2,244,108,394,P1,False,B,3,,0,217,
Hooghly,401,Hgl-401,37,Govt Office 37,327,297,0,624,47.6,20,3.2,300,125,9,503,P1,175,59.6,24.9,265,199,541,P1,False,B,3,,0,263,
Hooghly,401,Hgl-401,38,Primary School 38,279,272,0,551,49.36,19,3.4,325,105,3,478,P1,220,68.0,22.0,241,107,450,P1,False,A,1,,0,232,
Hooghly,401,Hgl-401,39,High School 39,390,371,0,761,48.75,22,2.9,431,131,3,625,P1,300,69.0,21.0,403,176,644,P1,False,A,1,,0,320,
Hooghly,401,Hgl-401,40,Madrasa 40,284,289,0,573,50.44,23,4.0,251,129,5,434,P1,122,57.8,29.7,285,124,455,P1,False,B,3,,0,241,
Hooghly,401,Hgl-401,41,Market Building 41,413,384,1,798,48.12,35,4.4,315,209,11,657,P1,106,47.9,31.8,386,177,626,P1,False,B,3,,0,336,
Hooghly,401,Hgl-401,42,Primary School 42,382,385,0,767,50.2,38,5.0,408,129,5,596,P1,279,68.5,21.6,334,188,609,P1,False,A,1,,0,323,
Hooghly,401,Hgl-401,43,Market Building 43,381,386,1,768,50.26,33,4.3,288,253,2,601,P1,35,47.9,42.1,424,161,650,P1,False,B,3,,0,323,
Hooghly,401,Hgl-401,44,High School 44,406,386,1,793,48.68,38,4.8,397,188,2,650,P1,209,61.1,28.9,242,248,642,P2,True,B,3,,0,334,
Hooghly,401,Hgl-401,45,Anganwadi Centre 45,419,395,1,815,48.47,32,3.9,427,171,8,664,P1,256,64.3,25.8,355,254,677,P1,False,B,3,,0,343,
Hooghly,401,Hgl-401,46,Primary School 46,294,278,0,572,48.6,28,4.9,185,119,15,436,P1,66,42.4,27.3,231,160,434,P1,False,B,3,,0,241,
Hooghly,401,Hgl-401,47,Market Building 47,391,358,1,750,47.73,24,3.2,348,200,5,637,P1,148,54.6,31.4,371,125,635,P1,False,B,3,,0,316,
Hooghly,401,Hgl-401,48,Post Office 48,293,277,1,571,48.51,25,4.4,284,145,4,477,P1,139,59.5,30.4,241,108,449,P1,False,B,3,,0,240,
Hooghly,401,Hgl-401,49,Panchayat Bhavan 49,369,363,0,732,49.59,22,3.0,318,191,4,566,P1,127,56.2,33.7,385,119,560,P1,False,B,3,,0,308,
Hooghly,401,Hgl-401,50,Temple Hall 50,332,312,0,644,48.45,29,4.5,265,174,3,527,P1,91,50.3,33.0,340,132,524,P1,False,B,3,,0,271,
Hooghly,401,Hgl-401,51,Market Building 51,298,289,0,587,49.23,28,4.8,263,146,7,472,P1,117,55.7,30.9,257,86,445,P1,False,B,3,,0,247,
Hooghly,401,Hgl-401,52,Govt Office 52,325,327,1,653,50.08,29,4.4,329,135,6,515,P1,194,63.9,26.2,247,111,540,P1,False,B,3,,0,275,
Hooghly,401,Hgl-401,53,Anganwadi Centre 53,366,337,0,703,47.94,35,5.0,228,216,7,579,P1,12,39.4,37.3,357,148,575,P1,False,B,3,,0,296,
Hooghly,401,Hgl-401,54,Govt Office 54,410,396,0,806,49.13,30,3.7,331,192,14,679,P1,139,48.7,28.3,352,165,620,P1,False,B,3,,0,339,
Hooghly,401,Hgl-401,55,Health Sub-Centre 55,413,371,0,784,47.32,37,4.7,406,170,5,640,P1,236,63.4,26.6,310,198,613,P1,False,B,3,,0,330,
Hooghly,401,Hgl-401,56,Market Building 56,254,228,1,483,47.2,22,4.6,254,121,2,416,P1,133,61.1,29.1,276,77,393,P1,False,B,3,,0,203,
Hooghly,401,Hgl-401,57,Community Hall 57,287,286,0,573,49.91,16,2.8,303,115,4,464,P1,188,65.3,24.8,341,107,498,P1,False,A,1,,0,241,
Hooghly,401,Hgl-401,58,Panchayat Bhavan 58,330,311,1,642,48.44,25,3.9,279,148,6,551,P1,131,50.6,26.9,286,96,540,P1,False,B,3,,0,270,
