district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Howrah,701,Hwr-701,1,Panchayat Bhavan 1,368,363,1,732,49.59,11,1.5,288,170,15,586,P1,118,49.1,29.0,347,199,622,P1,False,B,3,,0,304,
Howrah,701,Hwr-701,2,Primary School 2,305,287,1,593,48.4,12,2.0,301,142,4,492,P1,159,61.2,28.9,245,119,479,P1,False,B,3,,0,247,
Howrah,701,Hwr-701,3,Anganwadi Centre 3,350,333,1,684,48.68,12,1.8,370,115,3,539,P1,255,68.6,21.3,277,114,569,P1,False,A,1,,0,284,
Howrah,701,Hwr-701,4,Post Office 4,242,249,1,492,50.61,7,1.4,215,99,4,384,P1,116,56.0,25.8,252,117,424,P1,False,B,3,,0,205,
Howrah,701,Hwr-701,5,Community Hall 5,329,319,0,648,49.23,16,2.5,287,156,9,536,P1,131,53.5,29.1,288,134,516,P1,False,B,3,,0,269,
Howrah,701,Hwr-701,6,Health Sub-Centre 6,414,385,0,799,48.19,13,1.6,393,155,4,609,P1,238,64.5,25.5,331,205,603,P1,False,B,3,,0,332,
Howrah,701,Hwr-701,7,Club Building 7,404,408,0,812,50.25,12,1.5,317,179,15,635,P1,138,49.9,28.2,379,191,634,P1,False,B,3,,0,338,
Howrah,701,Hwr-701,8,Post Office 8,358,351,1,710,49.44,11,1.5,268,162,6,564,P1,106,47.5,28.7,346,204,611,P1,False,B,3,,0,295,
Howrah,701,Hwr-701,9,Club Building 9,341,308,0,649,47.46,13,2.0,295,153,7,545,P1,142,54.1,28.1,245,135,494,P1,False,B,3,,0,270,
Howrah,701,Hwr-701,10,Madrasa 10,324,298,0,622,47.91,10,1.6,324,131,5,505,P1,193,64.2,25.9,300,154,505,P1,False,B,3,,0,259,
Howrah,701,Hwr-701,11,Anganwadi Centre 11,350,315,0,665,47.37,16,2.4,408,106,3,571,P1,302,71.5,18.6,289,175,515,P1,False,A,1,,0,277,
Howrah,701,Hwr-701,12,Madrasa 12,384,352,1,737,47.76,12,1.6,288,189,8,593,P1,99,48.6,31.9,293,149,555,P1,False,B,3,,0,306,
Howrah,701,Hwr-701,13,Madrasa 13,331,321,1,653,49.16,16,2.5,283,96,7,490,P1,184,57.8,19.6,311,128,508,P1,False,B,3,,0,272,
Howrah,701,Hwr-701,14,High School 14,287,273,0,560,48.75,9,1.6,247,120,5,455,P1,127,54.3,26.4,242,132,437,P1,False,B,3,,0,233,
Howrah,701,Hwr-701,15,Health Sub-Centre 15,256,250,0,506,49.41,12,2.4,244,143,5,437,P1,101,55.8,32.7,261,108,410,P1,False,B,3,,0,210,
Howrah,701,Hwr-701,16,High School 16,309,291,1,601,48.42,9,1.5,360,56,5,462,P1,304,77.9,12.1,267,143,455,P1,False,A,1,,0,250,
Howrah,701,Hwr-701,17,Madrasa 17,396,380,1,777,48.91,12,1.5,337,239,5,666,P1,98,50.6,35.9,389,194,648,P1,False,B,3,,0,323,
Howrah,701,Hwr-701,18,Temple Hall 18,255,252,0,507,49.7,7,1.4,245,114,4,399,P1,131,61.4,28.6,266,112,421,P1,False,B,3,,0,211,
Howrah,701,Hwr-701,19,Primary School 19,371,383,0,754,50.8,13,1.7,378,152,7,610,P1,226,62.0,24.9,460,82,603,P1,False,B,3,,0,314,
Howrah,701,Hwr-701,20,Panchayat Bhavan 20,280,264,0,544,48.53,10,1.8,219,125,7,421,P1,94,52.0,29.7,252,137,432,P1,False,B,3,,0,226,
Howrah,701,Hwr-701,21,Primary School 21,364,349,0,713,48.95,13,1.8,274,182,8,559,P1,92,49.0,32.6,317,168,602,P1,False,B,3,,0,296,
Howrah,701,Hwr-701,22,Market Building 22,306,285,0,591,48.22,15,2.5,276,158,2,487,P1,118,56.7,32.4,313,124,485,P1,False,B,3,,0,246,
Howrah,701,Hwr-701,23,Health Sub-Centre 23,294,266,1,561,47.42,14,2.5,266,123,3,467,P1,143,57.0,26.3,277,110,430,P1,False,B,3,,0,233,
Howrah,701,Hwr-701,24,High School 24,401,397,0,798,49.75,17,2.1,366,193,9,647,P1,173,56.6,29.8,360,217,684,P1,False,B,3,,0,332,
Howrah,701,Hwr-701,25,Anganwadi Centre 25,332,305,0,637,47.88,11,1.7,286,149,2,484,P1,137,59.1,30.8,331,142,526,P1,False,B,3,,0,265,
Howrah,701,Hwr-701,26,Community Hall 26,319,315,1,635,49.61,9,1.4,263,212,4,528,P1,51,49.8,40.2,338,116,504,P1,False,B,3,,0,264,
Howrah,701,Hwr-701,27,Market Building 27,405,415,0,820,50.61,20,2.4,299,224,11,644,P1,75,46.4,34.8,417,183,675,P1,False,B,3,,0,341,
Howrah,701,Hwr-701,28,Govt Office 28,350,337,0,687,49.05,14,2.0,308,160,3,520,P1,148,59.2,30.8,214,179,567,P1,False,B,3,,0,286,
Howrah,701,Hwr-701,29,Community Hall 29,422,379,1,802,47.26,20,2.5,375,203,7,655,P1,172,57.3,31.0,393,192,667,P1,False,B,3,,0,333,
Howrah,701,Hwr-701,30,Anganwadi Centre 30,299,270,1,570,47.37,9,1.6,276,118,2,438,P1,158,63.0,26.9,287,133,467,P1,False,B,3,,0,237,
Howrah,701,Hwr-701,31,High School 31,367,345,1,713,48.39,16,2.2,330,177,6,563,P1,153,58.6,31.4,235,143,540,P1,False,B,3,,0,296,
Howrah,701,Hwr-701,32,Govt Office 32,336,345,0,681,50.66,10,1.5,303,164,6,588,P1,139,51.5,27.9,323,134,513,P1,False,B,3,,0,283,
Howrah,701,Hwr-701,33,Primary School 33,306,297,1,604,49.17,10,1.7,246,158,8,472,P1,88,52.1,33.5,210,113,468,P1,False,B,3,,0,251,
Howrah,701,Hwr-701,34,Temple Hall 34,360,370,1,731,50.62,13,1.8,278,231,8,631,P1,47,44.1,36.6,371,160,590,P1,False,B,3,,0,304,
Howrah,701,Hwr-701,35,High School 35,401,396,1,798,49.62,20,2.5,348,205,2,620,P1,143,56.1,33.1,462,105,630,P1,False,B,3,,0,332,
Howrah,701,Hwr-701,36,Club Building 36,310,297,0,607,48.93,9,1.5,249,197,2,505,P1,52,49.3,39.0,250,180,478,P1,False,B,3,,0,252,
Howrah,701,Hwr-701,37,Govt Office 37,341,307,0,648,47.38,16,2.5,303,164,5,522,P1,139,58.0,31.4,333,102,484,P1,False,B,3,,0,269,
Howrah,701,Hwr-701,38,Club Building 38,258,238,1,497,47.89,9,1.8,272,104,3,418,P1,168,65.1,24.9,205,152,397,P1,False,A,1,,0,207,
Howrah,701,Hwr-701,39,Temple Hall 39,379,383,0,762,50.26,12,1.6,342,183,6,584,P1,159,58.6,31.3,318,180,573,P1,False,B,3,,0,317,
Howrah,701,Hwr-701,40,Panchayat Bhavan 40,291,283,0,574,49.3,14,2.4,200,119,11,439,P1,81,45.6,27.1,248,151,479,P1,False,B,3,,0,239,
Howrah,701,Hwr-701,41,Anganwadi Centre 41,335,313,0,648,48.3,12,1.9,339,145,3,538,P1,194,63.0,27.0,242,148,508,P1,False,B,3,,0,269,
Howrah,701,Hwr-701,42,Madrasa 42,329,316,0,645,48.99,15,2.3,332,140,5,524,P1,192,63.4,26.7,356,115,523,P1,False,B,3,,0,268,
Howrah,701,Hwr-701,43,Panchayat Bhavan 43,354,356,0,710,50.14,17,2.4,323,175,9,594,P1,148,54.4,29.5,314,202,599,P1,False,B,3,,0,295,
Howrah,701,Hwr-701,44,Govt Office 44,349,336,0,685,49.05,17,2.5,291,177,5,520,P1,114,56.0,34.0,340,185,583,P1,False,B,3,,0,285,
Howrah,701,Hwr-701,45,Health Sub-Centre 45,387,379,1,767,49.41,16,2.1,397,185,4,647,P1,212,61.4,28.6,334,225,632,P1,False,B,3,,0,319,
Howrah,701,Hwr-701,46,High School 46,362,347,0,709,48.94,18,2.5,361,153,4,571,P1,208,63.2,26.8,416,131,607,P1,False,B,3,,0,295,
Howrah,701,Hwr-701,47,Anganwadi Centre 47,382,387,0,769,50.33,17,2.2,353,236,7,655,P1,117,53.9,36.0,313,179,629,P1,False,B,3,,0,320,
Howrah,701,Hwr-701,48,Primary School 48,320,319,1,640,49.84,11,1.7,274,157,5,479,P1,117,57.2,32.8,296,144,499,P1,False,B,3,,0,266,
