district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Jalpaiguri,1501,Jlp-1501,1,Madrasa 1,285,270,0,555,48.65,7,1.3,166,185,3,425,P2,19,39.1,43.5,232,163,466,P1,True,B,3,,0,225,
Jalpaiguri,1501,Jlp-1501,2,Club Building 2,288,276,1,565,48.85,4,0.7,219,193,5,458,P1,26,47.8,42.1,176,219,466,P2,True,B,3,,0,229,
Jalpaiguri,1501,Jlp-1501,3,Temple Hall 3,404,372,0,776,47.94,8,1.0,293,222,12,623,P1,71,47.0,35.6,307,195,579,P1,False,B,3,,0,315,
Jalpaiguri,1501,Jlp-1501,4,Community Hall 4,301,273,1,575,47.48,7,1.2,261,135,3,441,P1,126,59.2,30.6,216,161,424,P1,False,B,3,,0,233,
Jalpaiguri,1501,Jlp-1501,5,Health Sub-Centre 5,374,358,1,733,48.84,6,0.8,268,181,13,561,P1,87,47.8,32.3,218,205,539,P1,False,B,3,,0,297,
Jalpaiguri,1501,Jlp-1501,6,Community Hall 6,399,363,0,762,47.64,6,0.8,347,189,11,637,P1,158,54.5,29.7,240,192,576,P1,False,B,3,,0,309,
Jalpaiguri,1501,Jlp-1501,7,Govt Office 7,373,366,0,739,49.53,10,1.4,272,236,5,564,P1,36,48.2,41.8,299,210,611,P1,False,B,3,,0,300,
Jalpaiguri,1501,Jlp-1501,8,Health Sub-Centre 8,395,380,1,776,48.97,8,1.0,258,206,15,617,P1,52,41.8,33.4,344,213,619,P1,False,B,3,,0,315,
Jalpaiguri,1501,Jlp-1501,9,Panchayat Bhavan 9,340,336,1,677,49.63,7,1.0,178,157,13,536,P4,5,33.2,29.3,221,224,525,P2,True,B,3,,0,275,
Jalpaiguri,1501,Jlp-1501,10,Anganwadi Centre 10,283,254,0,537,47.3,6,1.1,198,155,3,430,P1,43,46.0,36.0,154,188,439,P2,True,B,3,,0,218,
Jalpaiguri,1501,Jlp-1501,11,Community Hall 11,355,363,1,719,50.49,8,1.1,257,184,4,527,P1,73,48.8,34.9,276,173,562,P1,False,B,3,,0,292,
Jalpaiguri,1501,Jlp-1501,12,Madrasa 12,253,251,0,504,49.8,4,0.8,134,157,8,380,P2,23,35.3,41.3,189,142,369,P1,True,B,3,,0,205,
Jalpaiguri,1501,Jlp-1501,13,Health Sub-Centre 13,289,268,1,558,48.03,5,0.9,248,146,1,437,P1,102,56.8,33.4,234,147,455,P1,False,B,3,,0,226,
Jalpaiguri,1501,Jlp-1501,14,Health Sub-Centre 14,318,290,1,609,47.62,6,1.0,205,206,5,497,P2,1,41.2,41.4,214,168,454,P1,True,B,3,,0,247,
Jalpaiguri,1501,Jlp-1501,15,Primary School 15,288,286,1,575,49.74,4,0.7,227,133,10,472,P1,94,48.1,28.2,177,206,426,P2,True,B,3,,0,233,
Jalpaiguri,1501,Jlp-1501,16,Temple Hall 16,360,347,1,708,49.01,5,0.7,229,201,6,583,P1,28,39.3,34.5,332,202,593,P1,False,B,3,,0,287,
Jalpaiguri,1501,Jlp-1501,17,Post Office 17,245,243,1,489,49.69,6,1.2,204,118,4,358,P1,86,57.0,33.0,128,159,379,P2,True,B,3,,0,198,
Jalpaiguri,1501,Jlp-1501,18,Post Office 18,356,345,1,702,49.15,7,1.0,340,178,6,576,P1,162,59.0,30.9,263,222,539,P1,False,B,3,,0,285,
Jalpaiguri,1501,Jlp-1501,19,High School 19,289,263,0,552,47.64,5,0.9,220,125,7,411,P1,95,53.5,30.4,225,170,446,P1,False,B,3,,0,224,
Jalpaiguri,1501,Jlp-1501,20,Madrasa 20,316,293,1,610,48.03,6,1.0,215,223,2,504,P2,8,42.7,44.2,265,181,496,P1,True,B,3,,0,248,
Jalpaiguri,1501,Jlp-1501,21,Club Building 21,383,385,0,768,50.13,9,1.2,355,197,5,627,P1,158,56.6,31.4,225,150,579,P1,False,B,3,,0,312,
Jalpaiguri,1501,Jlp-1501,22,Club Building 22,402,413,0,815,50.67,8,1.0,303,255,6,620,P1,48,48.9,41.1,359,168,646,P1,False,B,3,,0,331,
Jalpaiguri,1501,Jlp-1501,23,High School 23,394,385,1,780,49.36,10,1.3,255,241,6,603,P1,14,42.3,40.0,365,204,632,P1,False,B,3,,0,317,
