district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Jhargram,2001,Jhr-2001,1,Anganwadi Centre 1,385,388,1,774,50.13,10,1.3,295,199,8,593,P1,96,49.7,33.6,320,149,610,P1,False,B,3,,0,316,
Jhargram,2001,Jhr-2001,2,Community Hall 2,398,389,0,787,49.43,6,0.8,429,151,7,644,P1,278,66.6,23.4,306,236,608,P1,False,A,1,,0,321,
Jhargram,2001,Jhr-2001,3,High School 3,349,315,1,665,47.37,8,1.2,240,151,12,507,P1,89,47.3,29.8,324,142,526,P1,False,B,3,,0,272,
Jhargram,2001,Jhr-2001,4,Panchayat Bhavan 4,335,322,1,658,48.94,6,0.9,301,132,4,498,P1,169,60.4,26.5,236,178,504,P1,False,B,3,,0,269,
Jhargram,2001,Jhr-2001,5,Health Sub-Centre 5,324,313,0,637,49.14,8,1.3,287,156,4,493,P1,131,58.2,31.6,268,163,480,P1,False,B,3,,0,260,
Jhargram,2001,Jhr-2001,6,Market Building 6,370,337,0,707,47.67,7,1.0,332,159,3,572,P1,173,58.0,27.8,321,174,550,P1,False,B,3,,0,289,
Jhargram,2001,Jhr-2001,7,Post Office 7,247,240,1,488,49.18,5,1.0,199,126,1,361,P1,73,55.1,34.9,185,95,369,P1,False,B,3,,0,199,
Jhargram,2001,Jhr-2001,8,Post Office 8,286,277,0,563,49.2,7,1.2,272,135,2,452,P1,137,60.2,29.9,237,154,473,P1,False,B,3,,0,230,
Jhargram,2001,Jhr-2001,9,Temple Hall 9,376,370,1,747,49.53,9,1.2,287,146,11,620,P1,117,46.3,23.5,276,123,550,P1,False,B,3,,0,305,
Jhargram,2001,Jhr-2001,10,High School 10,397,380,1,778,48.84,10,1.3,284,197,4,601,P1,87,47.3,32.8,272,157,597,P1,False,B,3,,0,318,
Jhargram,2001,Jhr-2001,11,Primary School 11,371,366,1,738,49.59,7,0.9,288,227,5,574,P1,61,50.2,39.5,271,225,551,P1,False,B,3,,0,301,
Jhargram,2001,Jhr-2001,12,Madrasa 12,287,266,1,554,48.01,6,1.1,209,132,10,449,P1,77,46.5,29.4,228,173,465,P1,False,B,3,,0,226,
Jhargram,2001,Jhr-2001,13,Govt Office 13,326,308,0,634,48.58,8,1.3,250,135,11,478,P1,115,52.3,28.2,247,174,468,P1,False,B,3,,0,259,
Jhargram,2001,Jhr-2001,14,Primary School 14,384,380,1,765,49.67,9,1.2,303,203,12,628,P1,100,48.2,32.3,363,189,614,P1,False,B,3,,0,312,
Jhargram,2001,Jhr-2001,15,Market Building 15,348,354,0,702,50.43,9,1.3,311,166,4,530,P1,145,58.7,31.3,272,124,550,P1,False,B,3,,0,287,
Jhargram,2001,Jhr-2001,16,Panchayat Bhavan 16,239,246,1,486,50.62,5,1.0,172,128,3,366,P1,44,47.0,35.0,194,154,395,P1,False,B,3,,0,198,
Jhargram,2001,Jhr-2001,17,Post Office 17,256,262,0,518,50.58,6,1.2,198,134,4,409,P1,64,48.4,32.8,255,139,439,P1,False,B,3,,0,212,
Jhargram,2001,Jhr-2001,18,Community Hall 18,285,281,1,567,49.56,6,1.1,231,143,3,421,P1,88,54.9,34.0,231,125,439,P1,False,B,3,,0,232,
Jhargram,2001,Jhr-2001,19,Post Office 19,380,382,1,763,50.07,6,0.8,231,191,8,611,P1,40,37.8,31.3,395,160,617,P1,False,B,3,,0,312,
Jhargram,2001,Jhr-2001,20,Market Building 20,354,342,1,697,49.07,7,1.0,261,238,2,555,P1,23,47.0,42.9,308,139,518,P1,False,B,3,,0,285,
Jhargram,2001,Jhr-2001,21,High School 21,315,307,0,622,49.36,5,0.8,276,178,3,505,P1,98,54.7,35.2,286,158,501,P1,False,B,3,,0,254,
Jhargram,2001,Jhr-2001,22,Market Building 22,377,363,0,740,49.05,8,1.1,408,151,5,621,P1,257,65.7,24.3,314,222,596,P1,False,A,1,,0,302,
Jhargram,2001,Jhr-2001,23,Panchayat Bhavan 23,274,270,0,544,49.63,4,0.7,270,131,5,445,P1,139,60.7,29.4,218,93,426,P1,False,B,3,,0,222,
Jhargram,2001,Jhr-2001,24,Community Hall 24,273,268,0,541,49.54,4,0.7,205,169,5,415,P1,36,49.4,40.7,206,145,414,P1,False,B,3,,0,221,
Jhargram,2001,Jhr-2001,25,Madrasa 25,323,292,1,616,47.4,7,1.1,303,138,6,491,P1,165,61.7,28.1,274,170,516,P1,False,B,3,,0,252,
Jhargram,2001,Jhr-2001,26,Post Office 26,285,258,0,543,47.51,4,0.7,217,145,3,403,P1,72,53.8,36.0,246,106,457,P1,False,B,3,,0,222,
Jhargram,2001,Jhr-2001,27,Club Building 27,394,361,0,755,47.81,9,1.2,335,190,4,620,P1,145,54.0,30.6,248,147,573,P1,False,B,3,,0,308,
Jhargram,2001,Jhr-2001,28,Primary School 28,401,406,0,807,50.31,8,1.0,379,168,6,608,P1,211,62.3,27.6,409,196,672,P1,False,B,3,,0,330,
Jhargram,2001,Jhr-2001,29,Govt Office 29,317,319,0,636,50.16,7,1.1,307,167,4,527,P1,140,58.3,31.7,313,142,506,P1,False,B,3,,0,260,
Jhargram,2001,Jhr-2001,30,Temple Hall 30,269,260,0,529,49.15,6,1.1,215,127,7,436,P1,88,49.3,29.1,209,145,393,P1,False,B,3,,0,216,
Jhargram,2001,Jhr-2001,31,Govt Office 31,270,262,0,532,49.25,4,0.8,259,130,2,433,P1,129,59.8,30.0,214,155,410,P1,False,B,3,,0,217,
Jhargram,2001,Jhr-2001,32,Club Building 32,314,321,0,635,50.55,5,0.8,315,120,2,484,P1,195,65.1,24.8,199,183,480,P1,False,A,1,,0,259,
Jhargram,2001,Jhr-2001,33,Post Office 33,375,355,1,731,48.56,5,0.7,297,175,8,587,P1,122,50.6,29.8,326,194,600,P1,False,B,3,,0,298,
Jhargram,2001,Jhr-2001,34,Madrasa 34,351,333,1,685,48.61,7,1.0,332,189,2,579,P1,143,57.3,32.6,275,120,514,P1,False,B,3,,0,280,
Jhargram,2001,Jhr-2001,35,Community Hall 35,305,306,0,611,50.08,6,1.0,268,141,6,484,P1,127,55.4,29.1,287,171,509,P1,False,B,3,,0,249,
Jhargram,2001,Jhr-2001,36,Market Building 36,304,276,0,580,47.59,7,1.2,236,148,7,470,P1,88,50.2,31.5,295,112,452,P1,False,B,3,,0,237,
Jhargram,2001,Jhr-2001,37,Club Building 37,376,343,0,719,47.71,8,1.1,316,231,3,607,P1,85,52.1,38.1,263,212,528,P1,False,B,3,,0,294,
Jhargram,2001,Jhr-2001,38,Temple Hall 38,321,327,0,648,50.46,6,0.9,286,172,8,546,P1,114,52.4,31.5,283,181,522,P1,False,B,3,,0,265,
