district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Kalimpong,2201,Klp-2201,1,Market Building 1,411,399,0,810,49.26,18,2.2,201,224,10,544,P2,23,36.9,41.2,213,214,557,P2,False,B,3,,0,292,
Kalimpong,2201,Klp-2201,2,Community Hall 2,280,285,0,565,50.44,14,2.5,167,140,5,368,P1,27,45.4,38.0,154,169,400,P2,True,B,3,,0,204,
Kalimpong,2201,Klp-2201,3,Community Hall 3,359,323,1,683,47.29,26,3.8,172,217,11,486,P2,45,35.4,44.7,166,211,467,P2,False,B,3,,0,246,
Kalimpong,2201,Klp-2201,4,Madrasa 4,294,288,0,582,49.48,19,3.3,176,196,5,416,P2,20,42.3,47.1,142,188,432,P2,False,B,3,,0,210,
Kalimpong,2201,Klp-2201,5,Anganwadi Centre 5,333,336,0,669,50.22,18,2.7,136,198,6,435,P2,62,31.3,45.5,202,233,484,P2,False,B,3,,0,241,
Kalimpong,2201,Klp-2201,6,Health Sub-Centre 6,384,362,1,747,48.46,28,3.7,194,226,9,534,P2,32,36.3,42.3,241,213,514,P1,True,B,3,,0,269,
Kalimpong,2201,Klp-2201,7,Community Hall 7,264,240,1,505,47.52,15,3.0,124,174,3,343,P2,50,36.2,50.7,171,142,360,P1,True,B,3,,0,182,
Kalimpong,2201,Klp-2201,8,Community Hall 8,316,285,1,602,47.34,13,2.2,189,178,8,445,P1,11,42.5,40.0,149,210,403,P2,True,B,3,,0,217,
Kalimpong,2201,Klp-2201,9,Madrasa 9,347,329,0,676,48.67,24,3.6,221,180,1,445,P1,41,49.7,40.4,153,198,460,P2,True,B,3,,0,244,
Kalimpong,2201,Klp-2201,10,High School 10,390,379,1,770,49.22,19,2.5,247,242,3,544,P1,5,45.4,44.5,178,271,561,P2,True,B,3,,0,278,
Kalimpong,2201,Klp-2201,11,Market Building 11,366,373,1,740,50.41,19,2.6,217,237,4,504,P2,20,43.1,47.0,213,195,513,P1,True,B,3,,0,267,
Kalimpong,2201,Klp-2201,12,Primary School 12,358,368,0,726,50.69,22,3.0,214,227,3,495,P2,13,43.2,45.9,242,192,482,P1,True,B,3,,0,262,
Kalimpong,2201,Klp-2201,13,Anganwadi Centre 13,410,374,1,785,47.64,30,3.8,288,214,7,587,P1,74,49.1,36.5,253,214,519,P1,False,B,3,,0,283,
Kalimpong,2201,Klp-2201,14,Primary School 14,400,366,1,767,47.72,24,3.1,173,218,7,501,P2,45,34.5,43.5,197,276,548,P2,False,B,3,,0,277,
Kalimpong,2201,Klp-2201,15,Post Office 15,329,326,1,656,49.7,18,2.7,247,156,4,448,P1,91,55.1,34.8,168,216,461,P2,True,B,3,,0,237,
Kalimpong,2201,Klp-2201,16,Temple Hall 16,290,286,1,577,49.57,20,3.5,105,173,13,421,P2,47,24.9,41.1,151,220,412,P2,False,B,3,,0,208,
Kalimpong,2201,Klp-2201,17,Primary School 17,390,393,0,783,50.19,29,3.7,240,270,3,566,P2,30,42.4,47.7,183,226,514,P2,False,B,3,,0,282,
Kalimpong,2201,Klp-2201,18,Health Sub-Centre 18,364,370,1,735,50.34,28,3.8,190,249,4,491,P2,59,38.7,50.7,198,235,482,P2,False,B,3,,0,265,
Kalimpong,2201,Klp-2201,19,Madrasa 19,379,371,0,750,49.47,27,3.6,175,234,11,508,P2,59,34.4,46.1,189,250,488,P2,False,B,3,,0,271,
