district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Kolkata,2101,KOL-2101,1,Temple Hall 1,334,323,1,658,49.09,6,0.9,250,114,15,518,P1,115,48.3,22.0,289,155,496,P1,False,B,3,,0,264,
Kolkata,2101,KOL-2101,2,High School 2,253,236,1,490,48.16,5,1.0,262,77,3,376,P1,185,69.7,20.5,212,100,368,P1,False,A,1,,0,196,
Kolkata,2101,KOL-2101,3,Temple Hall 3,270,242,1,513,47.17,5,1.0,214,103,4,400,P1,111,53.5,25.8,215,124,402,P1,False,B,3,,0,206,
Kolkata,2101,KOL-2101,4,Community Hall 4,292,266,1,559,47.58,6,1.1,255,104,6,415,P1,151,61.4,25.1,238,129,408,P1,False,B,3,,0,224,
Kolkata,2101,KOL-2101,5,Primary School 5,349,345,0,694,49.71,8,1.2,251,165,8,519,P1,86,48.4,31.8,329,175,560,P1,False,B,3,,0,278,
Kolkata,2101,KOL-2101,6,Post Office 6,317,315,0,632,49.84,8,1.3,329,127,5,506,P1,202,65.0,25.1,322,149,523,P1,False,B,3,,0,253,
Kolkata,2101,KOL-2101,7,Club Building 7,303,310,1,614,50.49,5,0.8,314,138,4,502,P1,176,62.5,27.5,229,144,507,P1,False,B,3,,0,246,
Kolkata,2101,KOL-2101,8,Health Sub-Centre 8,383,394,0,777,50.71,8,1.0,398,160,3,619,P1,238,64.3,25.8,270,139,598,P1,False,B,3,,0,311,
Kolkata,2101,KOL-2101,9,Primary School 9,286,275,1,562,48.93,5,0.9,237,131,11,459,P1,106,51.6,28.5,249,135,439,P1,False,B,3,,0,225,
Kolkata,2101,KOL-2101,10,Primary School 10,328,307,0,635,48.35,7,1.1,391,55,2,496,P1,336,78.8,11.1,311,115,473,P1,False,A,1,,0,255,
Kolkata,2101,KOL-2101,11,Post Office 11,332,320,0,652,49.08,8,1.2,236,205,4,489,P1,31,48.3,41.9,274,141,500,P1,False,B,3,,0,261,
Kolkata,2101,KOL-2101,12,Community Hall 12,367,344,0,711,48.38,7,1.0,344,163,4,563,P1,181,61.1,29.0,285,215,556,P1,False,B,3,,0,285,
Kolkata,2101,KOL-2101,13,Govt Office 13,292,269,1,562,47.86,5,0.9,198,123,3,419,P1,75,47.3,29.4,252,82,411,P1,False,B,3,,0,225,
Kolkata,2101,KOL-2101,14,Madrasa 14,399,357,1,757,47.16,9,1.2,451,113,2,626,P1,338,72.0,18.1,311,153,552,P1,False,A,1,,0,303,
Kolkata,2101,KOL-2101,15,Govt Office 15,311,311,0,622,50.0,6,1.0,344,100,5,493,P1,244,69.8,20.3,378,63,490,P1,False,A,1,,0,249,
Kolkata,2101,KOL-2101,16,Post Office 16,362,337,1,700,48.14,9,1.3,322,170,7,574,P1,152,56.1,29.6,278,221,554,P1,False,B,3,,0,281,
Kolkata,2101,KOL-2101,17,Market Building 17,386,363,0,749,48.46,8,1.1,364,97,16,599,P1,248,60.8,16.2,325,203,587,P1,False,B,3,,0,300,
Kolkata,2101,KOL-2101,18,Market Building 18,295,296,1,592,50.0,6,1.0,323,80,1,448,P1,243,72.1,17.9,233,161,467,P1,False,A,1,,0,237,
Kolkata,2101,KOL-2101,19,Club Building 19,249,249,0,498,50.0,4,0.8,238,108,3,387,P1,130,61.5,27.9,222,96,412,P1,False,B,3,,0,200,
Kolkata,2101,KOL-2101,20,Primary School 20,333,345,1,679,50.81,6,0.9,284,176,2,536,P1,108,53.0,32.8,265,129,528,P1,False,B,3,,0,272,
