district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Malda,801,Malda-801,1,High School 1,331,300,1,632,47.47,299,47.3,325,116,4,553,P1,209,58.8,21.0,265,50,499,P1,False,D,4,,0,269,
Malda,801,Malda-801,2,Club Building 2,279,260,0,539,48.24,205,38.0,250,120,4,441,P1,130,56.7,27.2,204,43,417,P1,False,D,4,,0,229,
Malda,801,Malda-801,3,High School 3,315,289,1,605,47.77,167,27.6,234,126,8,516,P1,92,45.3,24.4,241,110,475,P1,False,D,4,,0,257,
Malda,801,Malda-801,4,Post Office 4,385,349,1,735,47.48,296,40.3,294,127,17,634,P1,105,46.4,20.0,315,158,634,P1,False,D,4,,0,313,
Malda,801,Malda-801,5,Club Building 5,380,341,1,722,47.23,243,33.7,299,145,6,597,P1,154,50.1,24.3,318,138,601,P1,False,D,4,,0,307,
Malda,801,Malda-801,6,Market Building 6,406,376,1,783,48.02,386,49.3,325,220,9,683,P1,105,47.6,32.2,393,161,626,P1,False,D,4,,0,333,
Malda,801,Malda-801,7,Market Building 7,333,312,0,645,48.37,304,47.1,397,59,3,507,P1,338,78.3,11.6,255,154,536,P1,False,D,4,,0,274,
Malda,801,Malda-801,8,Post Office 8,403,393,1,797,49.31,328,41.2,348,168,10,631,P1,180,55.2,26.6,411,168,700,P1,False,D,4,,0,339,
Malda,801,Malda-801,9,Anganwadi Centre 9,355,321,0,676,47.49,196,29.0,300,136,7,523,P1,164,57.4,26.0,330,60,572,P1,False,D,4,,0,288,
Malda,801,Malda-801,10,Anganwadi Centre 10,257,235,0,492,47.76,151,30.7,198,102,7,384,P1,96,51.6,26.6,237,65,397,P1,False,D,4,,0,209,
Malda,801,Malda-801,11,Health Sub-Centre 11,387,383,1,771,49.68,334,43.3,386,68,18,681,P1,183,56.7,10.0,437,147,677,P1,False,D,4,,0,328,
Malda,801,Malda-801,12,Madrasa 12,293,289,0,582,49.66,191,32.8,252,88,10,455,P1,151,55.4,19.3,247,124,502,P1,False,D,4,,0,248,
Malda,801,Malda-801,13,Post Office 13,383,361,0,744,48.52,199,26.7,318,103,18,579,P1,184,54.9,17.8,384,128,573,P1,False,D,4,,0,316,
Malda,801,Malda-801,14,Primary School 14,402,400,0,802,49.88,290,36.2,453,124,3,642,P1,329,70.6,19.3,288,103,671,P1,False,D,4,,0,341,
Malda,801,Malda-801,15,Madrasa 15,403,399,0,802,49.75,225,28.1,402,155,8,625,P1,247,64.3,24.8,296,199,667,P1,False,D,4,,0,341,
Malda,801,Malda-801,16,Temple Hall 16,330,332,1,663,50.08,205,30.9,235,115,13,567,P1,36,41.4,20.3,333,98,509,P1,False,D,4,,0,282,
Malda,801,Malda-801,17,Club Building 17,320,300,1,621,48.31,226,36.4,271,72,19,509,P1,129,53.2,14.1,276,107,528,P1,False,D,4,,0,264,
Malda,801,Malda-801,18,Anganwadi Centre 18,273,249,1,523,47.61,201,38.4,267,73,8,416,P1,194,64.2,17.5,198,63,431,P1,False,D,4,,0,222,
Malda,801,Malda-801,19,Govt Office 19,403,412,0,815,50.55,232,28.5,376,82,9,680,P1,169,55.3,12.1,350,129,627,P1,False,D,4,,0,347,
Malda,801,Malda-801,20,Post Office 20,333,344,1,678,50.74,229,33.8,256,111,14,552,P1,90,46.4,20.1,333,138,590,P1,False,D,4,,0,288,
Malda,801,Malda-801,21,Anganwadi Centre 21,333,332,0,665,49.92,263,39.5,286,89,10,526,P1,149,54.4,16.9,372,131,576,P1,False,D,4,,0,283,
Malda,801,Malda-801,22,Post Office 22,359,343,0,702,48.86,191,27.2,298,60,11,599,P1,74,49.7,10.0,334,122,598,P1,False,D,4,,0,299,
Malda,801,Malda-801,23,Anganwadi Centre 23,250,234,1,485,48.25,234,48.2,245,105,4,389,P1,140,63.0,27.0,221,90,376,P1,False,D,4,,0,206,
Malda,801,Malda-801,24,Anganwadi Centre 24,371,336,0,707,47.52,258,36.5,309,99,22,603,P1,142,51.2,16.4,382,134,611,P1,False,D,4,,0,301,
Malda,801,Malda-801,25,Madrasa 25,373,359,0,732,49.04,303,41.4,322,97,20,614,P1,154,52.4,15.8,280,81,573,P1,False,D,4,,0,311,
Malda,801,Malda-801,26,Panchayat Bhavan 26,320,305,0,625,48.8,197,31.5,235,66,9,493,P1,56,47.7,13.4,262,162,514,P1,False,D,4,,0,266,
Malda,801,Malda-801,27,Market Building 27,248,239,0,487,49.08,196,40.2,247,82,5,423,P1,163,58.4,19.4,216,107,405,P1,False,D,4,,0,207,
Malda,801,Malda-801,28,Temple Hall 28,284,277,0,561,49.38,263,46.9,287,122,3,457,P1,165,62.8,26.7,257,110,444,P1,False,D,4,,0,239,
Malda,801,Malda-801,29,Club Building 29,335,344,0,679,50.66,335,49.3,276,152,17,584,P1,124,47.3,26.0,277,84,532,P1,False,D,4,,0,289,
Malda,801,Malda-801,30,Club Building 30,339,307,0,646,47.52,263,40.7,361,121,6,568,P1,240,63.6,21.3,309,130,510,P1,False,D,4,,0,275,
Malda,801,Malda-801,31,Anganwadi Centre 31,387,347,0,734,47.28,318,43.3,292,87,8,616,P1,69,47.4,14.1,305,110,616,P1,False,D,4,,0,312,
Malda,801,Malda-801,32,Club Building 32,393,389,1,783,49.68,352,45.0,427,145,6,648,P1,282,65.9,22.4,435,146,653,P1,False,D,4,,0,333,
Malda,801,Malda-801,33,Panchayat Bhavan 33,358,364,0,722,50.42,340,47.1,317,170,10,621,P1,147,51.0,27.4,356,167,581,P1,False,D,4,,0,307,
Malda,801,Malda-801,34,Temple Hall 34,346,318,0,664,47.89,277,41.7,339,113,9,554,P1,226,61.2,20.4,299,64,520,P1,False,D,4,,0,282,
Malda,801,Malda-801,35,Post Office 35,307,283,0,590,47.97,222,37.6,228,51,17,462,P1,66,49.4,11.0,281,150,479,P1,False,D,4,,0,251,
Malda,801,Malda-801,36,Govt Office 36,390,390,0,780,50.0,211,27.1,365,82,11,625,P1,204,58.4,13.1,300,179,630,P1,False,D,4,,0,332,
Malda,801,Malda-801,37,Anganwadi Centre 37,332,334,0,666,50.15,205,30.8,313,148,5,585,P1,165,53.5,25.3,288,84,567,P1,False,D,4,,0,283,
Malda,801,Malda-801,38,Temple Hall 38,285,272,0,557,48.83,175,31.4,230,150,7,468,P1,80,49.1,32.1,200,132,444,P1,False,D,4,,0,237,
Malda,801,Malda-801,39,High School 39,296,286,1,583,49.06,170,29.2,237,77,17,469,P1,104,50.5,16.4,249,97,483,P1,False,D,4,,0,248,
Malda,801,Malda-801,40,Anganwadi Centre 40,377,357,0,734,48.64,274,37.3,358,192,3,611,P1,166,58.6,31.4,408,122,606,P1,False,D,4,,0,312,
Malda,801,Malda-801,41,Club Building 41,368,370,1,739,50.07,365,49.4,312,73,9,651,P1,61,47.9,11.2,346,151,623,P1,False,D,4,,0,314,
Malda,801,Malda-801,42,Panchayat Bhavan 42,242,240,0,482,49.79,236,49.0,200,86,7,391,P1,106,51.2,22.0,256,121,419,P1,False,D,4,,0,205,
Malda,801,Malda-801,43,High School 43,352,347,1,700,49.57,316,45.1,255,96,20,537,P1,95,47.5,17.9,287,154,590,P1,False,D,4,,0,298,
Malda,801,Malda-801,44,Panchayat Bhavan 44,396,364,1,761,47.83,209,27.5,347,125,7,586,P1,222,59.2,21.3,319,118,626,P1,False,D,4,,0,324,
Malda,801,Malda-801,45,Community Hall 45,285,292,0,577,50.61,283,49.0,268,69,11,462,P1,159,58.0,14.9,214,128,494,P1,False,D,4,,0,245,
