district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Murshidabad,153,Farakka,1,Govt Office 1,395,368,0,763,48.23,86,11.3,354,145,11,635,P1,209,55.7,22.8,343,102,659,P1,False,D,4,,0,334,
Murshidabad,153,Farakka,2,Temple Hall 2,322,293,0,615,47.64,89,14.5,309,97,6,513,P1,212,60.2,18.9,339,51,511,P1,False,D,4,,0,269,
Murshidabad,153,Farakka,3,Anganwadi Centre 3,398,364,1,763,47.71,103,13.5,400,150,7,668,P1,250,59.9,22.5,399,136,687,P1,False,D,4,,0,334,
Murshidabad,153,Farakka,4,Market Building 4,295,292,0,587,49.74,79,13.5,316,140,3,511,P1,176,61.8,27.4,260,105,470,P1,False,D,4,,0,257,
Murshidabad,153,Farakka,5,Community Hall 5,399,404,1,804,50.25,95,11.8,365,188,7,634,P1,177,57.6,29.7,412,150,713,P1,False,D,4,,0,352,
Murshidabad,153,Farakka,6,Community Hall 6,264,241,1,506,47.63,77,15.2,288,75,4,403,P1,213,71.5,18.6,307,71,420,P1,False,D,4,,0,222,
Murshidabad,153,Farakka,7,Market Building 7,265,237,0,502,47.21,57,11.4,279,49,8,410,P1,209,68.0,12.0,249,130,421,P1,False,D,4,,0,220,
Murshidabad,153,Farakka,8,Health Sub-Centre 8,320,293,1,614,47.72,95,15.5,355,90,5,494,P1,265,71.9,18.2,310,118,522,P1,False,D,4,,0,269,
Murshidabad,153,Farakka,9,High School 9,354,344,0,698,49.28,91,13.0,372,139,12,613,P1,233,60.7,22.7,377,126,582,P1,False,D,4,,0,306,
Murshidabad,153,Farakka,10,Anganwadi Centre 10,282,273,1,556,49.1,68,12.2,305,115,2,467,P1,190,65.3,24.6,244,54,455,P1,False,D,4,,0,243,
Murshidabad,153,Farakka,11,Primary School 11,398,364,0,762,47.77,108,14.2,380,181,11,674,P1,199,56.4,26.9,303,132,628,P1,False,D,4,,0,334,
Murshidabad,153,Farakka,12,Madrasa 12,328,309,0,637,48.51,77,12.1,276,77,18,553,P1,100,49.9,13.9,330,62,535,P1,False,D,4,,0,279,
Murshidabad,153,Farakka,13,Madrasa 13,296,291,0,587,49.57,82,14.0,287,137,6,471,P1,150,60.9,29.1,293,109,481,P1,False,D,4,,0,257,
Murshidabad,153,Farakka,14,Anganwadi Centre 14,379,386,1,766,50.39,93,12.1,362,186,6,609,P1,176,59.4,30.5,393,146,632,P1,False,D,4,,0,335,
Murshidabad,153,Farakka,15,Govt Office 15,277,282,0,559,50.45,64,11.4,344,109,3,503,P1,235,68.4,21.7,278,86,480,P1,False,D,4,,0,245,
