district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Nadia,501,Nadia-501,1,Post Office 1,361,362,1,724,50.0,65,9.0,354,209,3,626,P1,145,56.5,33.4,365,191,618,P1,False,B,3,,0,305,
Nadia,501,Nadia-501,2,High School 2,354,329,1,684,48.1,58,8.5,298,172,5,522,P1,126,57.1,33.0,257,236,562,P1,False,B,3,,0,288,
Nadia,501,Nadia-501,3,Community Hall 3,296,286,1,583,49.06,59,10.1,268,127,6,464,P1,141,57.8,27.4,284,130,507,P1,False,D,4,,0,246,
Nadia,501,Nadia-501,4,Club Building 4,382,384,0,766,50.13,79,10.3,347,174,4,590,P1,173,58.8,29.5,330,204,594,P1,False,D,4,,0,323,
Nadia,501,Nadia-501,5,Anganwadi Centre 5,252,238,1,491,48.47,44,9.0,165,147,7,386,P1,18,42.7,38.1,225,137,418,P1,False,B,3,,0,207,
Nadia,501,Nadia-501,6,High School 6,369,375,1,745,50.34,67,9.0,327,151,5,565,P1,176,57.9,26.7,287,194,646,P1,False,B,3,,0,314,
Nadia,501,Nadia-501,7,Panchayat Bhavan 7,356,321,0,677,47.42,60,8.9,344,157,4,556,P1,187,61.9,28.2,334,165,554,P1,False,B,3,,0,285,
Nadia,501,Nadia-501,8,High School 8,271,245,0,516,47.48,39,7.6,279,116,5,438,P1,163,63.7,26.5,236,150,429,P1,False,B,3,,0,217,
Nadia,501,Nadia-501,9,Madrasa 9,243,236,1,480,49.17,32,6.7,223,149,1,413,P1,74,54.0,36.1,246,113,400,P1,False,B,3,,0,202,
Nadia,501,Nadia-501,10,Govt Office 10,339,310,1,650,47.69,73,11.2,289,182,3,524,P1,107,55.2,34.7,346,151,552,P1,False,D,4,,0,274,
Nadia,501,Nadia-501,11,Market Building 11,253,260,1,514,50.58,43,8.4,292,68,8,442,P1,222,66.1,15.4,181,154,392,P1,False,A,1,,0,217,
Nadia,501,Nadia-501,12,Health Sub-Centre 12,353,325,0,678,47.94,66,9.7,348,150,5,565,P1,198,61.6,26.5,320,178,560,P1,False,B,3,,0,286,
Nadia,501,Nadia-501,13,Panchayat Bhavan 13,319,325,0,644,50.47,75,11.6,322,154,2,540,P1,168,59.6,28.5,345,137,536,P1,False,D,4,,0,271,
Nadia,501,Nadia-501,14,Club Building 14,377,364,1,742,49.06,56,7.5,243,250,14,606,P2,7,40.1,41.3,269,189,564,P1,True,B,3,,0,313,
Nadia,501,Nadia-501,15,Health Sub-Centre 15,402,364,0,766,47.52,84,11.0,367,215,7,646,P1,152,56.8,33.3,296,220,599,P1,False,D,4,,0,323,
Nadia,501,Nadia-501,16,Market Building 16,254,229,1,484,47.31,35,7.2,231,145,2,418,P1,86,55.3,34.7,219,127,384,P1,False,B,3,,0,204,
