district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
North 24 Parganas,101,N24P-101,1,Health Sub-Centre 1,356,319,0,675,47.26,66,9.8,299,162,2,513,P1,137,58.3,31.6,325,144,521,P1,False,B,3,,0,284,
North 24 Parganas,101,N24P-101,2,Madrasa 2,419,392,1,812,48.28,68,8.4,444,187,6,701,P1,257,63.3,26.7,361,226,691,P1,False,B,3,,0,342,
North 24 Parganas,101,N24P-101,3,Temple Hall 3,329,320,0,649,49.31,52,8.0,320,184,3,560,P1,136,57.1,32.9,283,150,559,P1,False,B,3,,0,273,
North 24 Parganas,101,N24P-101,4,Health Sub-Centre 4,380,370,1,751,49.27,63,8.4,423,129,6,613,P1,294,69.0,21.0,304,204,626,P1,False,A,1,,0,316,
North 24 Parganas,101,N24P-101,5,Anganwadi Centre 5,368,370,1,739,50.07,58,7.8,419,151,5,634,P1,268,66.1,23.8,344,163,569,P1,False,A,1,,0,311,
North 24 Parganas,101,N24P-101,6,Market Building 6,384,390,0,774,50.39,63,8.1,284,163,12,615,P1,121,46.2,26.5,291,192,594,P1,False,B,3,,0,326,
North 24 Parganas,101,N24P-101,7,Madrasa 7,398,380,1,779,48.78,63,8.1,351,184,6,595,P1,167,59.0,30.9,279,190,598,P1,False,B,3,,0,328,
North 24 Parganas,101,N24P-101,8,Health Sub-Centre 8,286,291,0,577,50.43,69,12.0,312,141,2,504,P1,171,61.9,28.0,245,159,449,P1,False,D,4,,0,243,
North 24 Parganas,101,N24P-101,9,Health Sub-Centre 9,260,240,1,501,47.9,57,11.4,241,102,5,417,P1,139,57.8,24.5,238,99,386,P1,False,D,4,,0,211,
North 24 Parganas,101,N24P-101,10,Community Hall 10,361,343,1,705,48.65,61,8.7,239,139,16,590,P1,48,40.5,23.6,259,179,535,P1,False,B,3,,0,297,
North 24 Parganas,101,N24P-101,11,Market Building 11,317,293,0,610,48.03,62,10.2,275,140,8,498,P1,135,55.2,28.1,331,134,516,P1,False,D,4,,0,257,
