district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Paschim Bardhaman,1401,WBrd-1401,1,Anganwadi Centre 1,261,267,1,529,50.47,17,3.2,232,167,3,443,P1,65,52.4,37.7,221,117,436,P1,False,B,3,,0,220,
Paschim Bardhaman,1401,WBrd-1401,2,Anganwadi Centre 2,402,365,1,768,47.53,17,2.2,294,201,10,631,P1,93,46.6,31.9,416,128,605,P1,False,B,3,,0,319,
Paschim Bardhaman,1401,WBrd-1401,3,Govt Office 3,348,312,1,661,47.2,25,3.8,217,218,8,533,P2,1,40.7,40.9,287,161,498,P1,True,B,3,,0,275,
Paschim Bardhaman,1401,WBrd-1401,4,High School 4,416,394,0,810,48.64,31,3.8,316,252,3,631,P1,64,50.1,39.9,402,162,627,P1,False,B,3,,0,337,
Paschim Bardhaman,1401,WBrd-1401,5,Club Building 5,281,288,0,569,50.62,19,3.3,263,157,3,466,P1,106,56.4,33.7,285,123,454,P1,False,B,3,,0,237,
Paschim Bardhaman,1401,WBrd-1401,6,Club Building 6,241,239,0,480,49.79,18,3.8,197,92,7,359,P1,105,54.9,25.6,139,137,378,P1,False,B,3,,0,200,
Paschim Bardhaman,1401,WBrd-1401,7,Primary School 7,253,228,1,482,47.3,10,2.1,257,83,4,378,P1,174,68.0,22.0,213,131,395,P1,False,A,1,,0,200,
Paschim Bardhaman,1401,WBrd-1401,8,Community Hall 8,284,274,1,559,49.02,12,2.1,265,137,2,452,P1,128,58.6,30.3,256,123,424,P1,False,B,3,,0,232,
Paschim Bardhaman,1401,WBrd-1401,9,Community Hall 9,328,309,0,637,48.51,15,2.4,299,191,6,544,P1,108,55.0,35.1,292,187,532,P1,False,B,3,,0,265,
Paschim Bardhaman,1401,WBrd-1401,10,Govt Office 10,363,371,1,735,50.48,27,3.7,267,179,9,613,P1,88,43.6,29.2,296,177,555,P1,False,B,3,,0,306,
Paschim Bardhaman,1401,WBrd-1401,11,Primary School 11,383,347,1,731,47.47,26,3.6,313,161,4,570,P1,152,54.9,28.2,380,149,588,P1,False,B,3,,0,304,
Paschim Bardhaman,1401,WBrd-1401,12,Club Building 12,276,253,1,530,47.74,19,3.6,247,159,3,451,P1,88,54.8,35.3,248,127,417,P1,False,B,3,,0,220,
Paschim Bardhaman,1401,WBrd-1401,13,Anganwadi Centre 13,402,386,1,789,48.92,24,3.0,368,231,3,665,P1,137,55.3,34.7,356,172,650,P1,False,B,3,,0,328,
