district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Purba Bardhaman,901,EBrd-901,1,Madrasa 1,314,293,0,607,48.27,77,12.7,225,153,11,481,P1,72,46.8,31.8,269,100,465,P1,False,D,4,,0,258,
Purba Bardhaman,901,EBrd-901,2,Community Hall 2,330,312,1,643,48.52,80,12.4,356,90,8,526,P1,266,67.7,17.1,288,128,555,P1,False,D,4,,0,274,
Purba Bardhaman,901,EBrd-901,3,Madrasa 3,302,278,0,580,47.93,55,9.5,301,114,5,468,P1,187,64.3,24.4,256,121,497,P1,False,B,3,,0,247,
Purba Bardhaman,901,EBrd-901,4,Madrasa 4,318,306,0,624,49.04,79,12.7,326,167,3,548,P1,159,59.5,30.5,334,139,549,P1,False,D,4,,0,266,
Purba Bardhaman,901,EBrd-901,5,Community Hall 5,323,308,0,631,48.81,70,11.1,362,106,6,534,P1,256,67.8,19.9,306,103,516,P1,False,D,4,,0,269,
Purba Bardhaman,901,EBrd-901,6,Post Office 6,353,329,1,683,48.17,69,10.1,279,120,18,545,P1,155,51.2,22.0,352,154,575,P1,False,D,4,,0,291,
Purba Bardhaman,901,EBrd-901,7,Post Office 7,386,383,0,769,49.8,64,8.3,342,171,12,629,P1,171,54.4,27.2,397,135,674,P1,False,B,3,,0,327,
Purba Bardhaman,901,EBrd-901,8,Madrasa 8,263,258,0,521,49.52,43,8.3,259,143,3,446,P1,116,58.1,32.1,266,100,419,P1,False,B,3,,0,222,
Purba Bardhaman,901,EBrd-901,9,Market Building 9,410,377,1,788,47.84,71,9.0,333,97,24,664,P1,130,50.2,14.6,393,209,668,P1,False,B,3,,0,336,
Purba Bardhaman,901,EBrd-901,10,Temple Hall 10,395,376,1,772,48.7,62,8.0,358,154,15,655,P1,204,54.7,23.5,319,137,604,P1,False,B,3,,0,329,
Purba Bardhaman,901,EBrd-901,11,Community Hall 11,312,309,0,621,49.76,81,13.0,335,125,6,514,P1,210,65.2,24.3,371,107,531,P1,False,D,4,,0,264,
Purba Bardhaman,901,EBrd-901,12,Primary School 12,245,245,1,491,49.9,47,9.6,251,79,7,393,P1,172,63.9,20.1,252,114,406,P1,False,B,3,,0,209,
Purba Bardhaman,901,EBrd-901,13,Anganwadi Centre 13,264,266,1,531,50.09,56,10.5,303,117,3,467,P1,186,64.9,25.1,274,123,462,P1,False,D,4,,0,226,
Purba Bardhaman,901,EBrd-901,14,Market Building 14,352,342,0,694,49.28,85,12.2,365,167,5,591,P1,198,61.8,28.3,385,144,587,P1,False,D,4,,0,296,
Purba Bardhaman,901,EBrd-901,15,Govt Office 15,279,283,0,562,50.36,44,7.8,233,171,5,452,P1,62,51.5,37.8,331,87,465,P1,False,B,3,,0,239,
Purba Bardhaman,901,EBrd-901,16,High School 16,343,307,1,651,47.16,52,8.0,283,180,3,550,P1,103,51.5,32.7,348,146,549,P1,False,B,3,,0,277,
Purba Bardhaman,901,EBrd-901,17,Anganwadi Centre 17,397,402,0,799,50.31,87,10.9,430,121,6,612,P1,309,70.3,19.8,345,164,653,P1,False,D,4,,0,340,
Purba Bardhaman,901,EBrd-901,18,Market Building 18,334,300,1,635,47.24,83,13.1,278,105,11,490,P1,173,56.7,21.4,264,141,539,P1,False,D,4,,0,270,
Purba Bardhaman,901,EBrd-901,19,Community Hall 19,280,258,0,538,47.96,64,11.9,171,105,13,440,P1,24,38.9,23.9,198,126,453,P1,False,D,4,,0,229,
Purba Bardhaman,901,EBrd-901,20,High School 20,250,244,0,494,49.39,49,9.9,195,137,8,404,P1,58,48.3,33.9,243,80,429,P1,False,B,3,,0,210,
Purba Bardhaman,901,EBrd-901,21,Madrasa 21,416,379,0,795,47.67,65,8.2,471,107,2,642,P1,364,73.4,16.7,398,153,612,P1,False,A,1,,0,339,
Purba Bardhaman,901,EBrd-901,22,Post Office 22,266,255,1,522,48.85,51,9.8,210,148,7,417,P1,62,50.4,35.5,233,131,421,P1,False,B,3,,0,222,
Purba Bardhaman,901,EBrd-901,23,Club Building 23,298,286,1,585,48.89,48,8.2,338,127,5,516,P1,211,65.5,24.6,324,106,478,P1,False,A,1,,0,249,
Purba Bardhaman,901,EBrd-901,24,Post Office 24,342,313,0,655,47.79,57,8.7,354,137,6,545,P1,217,65.0,25.1,278,137,511,P1,False,B,3,,0,279,
Purba Bardhaman,901,EBrd-901,25,Anganwadi Centre 25,276,263,0,539,48.79,60,11.1,202,114,12,417,P1,88,48.4,27.3,294,83,419,P1,False,D,4,,0,230,
Purba Bardhaman,901,EBrd-901,26,Temple Hall 26,259,262,1,522,50.19,55,10.5,228,110,7,421,P1,118,54.2,26.1,232,129,403,P1,False,D,4,,0,222,
Purba Bardhaman,901,EBrd-901,27,Post Office 27,281,256,1,538,47.58,67,12.5,238,99,4,423,P1,139,56.3,23.4,278,94,414,P1,False,D,4,,0,229,
Purba Bardhaman,901,EBrd-901,28,Temple Hall 28,294,269,1,564,47.7,65,11.5,246,92,4,436,P1,154,56.4,21.1,321,122,492,P1,False,D,4,,0,240,
Purba Bardhaman,901,EBrd-901,29,Health Sub-Centre 29,350,344,0,694,49.57,88,12.7,303,146,3,552,P1,157,54.9,26.4,355,178,593,P1,False,D,4,,0,296,
Purba Bardhaman,901,EBrd-901,30,Health Sub-Centre 30,352,333,0,685,48.61,85,12.4,374,142,5,598,P1,232,62.5,23.7,354,124,559,P1,False,D,4,,0,292,
Purba Bardhaman,901,EBrd-901,31,Temple Hall 31,343,332,0,675,49.19,49,7.3,354,146,6,556,P1,208,63.7,26.3,285,178,560,P1,False,B,3,,0,287,
