district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Purba Medinipur,301,PMed-301,1,Market Building 1,256,234,1,491,47.66,12,2.4,259,126,5,435,P1,133,59.5,29.0,265,109,416,P1,False,B,3,,0,219,
Purba Medinipur,301,PMed-301,2,Panchayat Bhavan 2,395,391,0,786,49.75,13,1.7,447,127,5,637,P1,320,70.2,19.9,446,181,700,P1,False,A,1,,0,350,
Purba Medinipur,301,PMed-301,3,Market Building 3,314,310,1,625,49.6,15,2.4,319,140,4,510,P1,179,62.5,27.5,411,55,517,P1,False,B,3,,0,279,
Purba Medinipur,301,PMed-301,4,Primary School 4,253,242,1,496,48.79,9,1.8,262,112,7,435,P1,150,60.2,25.7,249,55,402,P1,False,B,3,,0,221,
Purba Medinipur,301,PMed-301,5,Health Sub-Centre 5,305,282,1,588,47.96,11,1.9,311,140,4,502,P1,171,62.0,27.9,309,92,541,P1,False,B,3,,0,262,
Purba Medinipur,301,PMed-301,6,Market Building 6,346,326,0,672,48.51,16,2.4,321,214,10,620,P1,107,51.8,34.5,465,68,593,P1,False,B,3,,0,300,
Purba Medinipur,301,PMed-301,7,Post Office 7,394,357,0,751,47.54,15,2.0,359,189,7,632,P1,170,56.8,29.9,367,209,668,P1,False,B,3,,0,335,
Purba Medinipur,301,PMed-301,8,Panchayat Bhavan 8,326,311,0,637,48.82,14,2.2,312,135,13,588,P1,177,53.1,23.0,352,137,577,P1,False,B,3,,0,284,
Purba Medinipur,301,PMed-301,9,Health Sub-Centre 9,382,341,0,723,47.16,13,1.8,403,168,7,635,P1,235,63.5,26.5,330,154,582,P1,False,B,3,,0,322,
Purba Medinipur,301,PMed-301,10,Madrasa 10,257,247,0,504,49.01,12,2.4,265,123,2,441,P1,142,60.1,27.9,297,104,445,P1,False,B,3,,0,225,
Purba Medinipur,301,PMed-301,11,Panchayat Bhavan 11,248,250,1,499,50.1,8,1.6,257,136,2,450,P1,121,57.1,30.2,296,79,417,P1,False,B,3,,0,222,
Purba Medinipur,301,PMed-301,12,Post Office 12,421,389,1,811,47.97,17,2.1,466,158,5,693,P1,308,67.2,22.8,456,134,655,P1,False,A,1,,0,362,
Purba Medinipur,301,PMed-301,13,Anganwadi Centre 13,290,295,1,586,50.34,13,2.2,387,90,4,530,P1,297,73.0,17.0,339,130,521,P1,False,A,1,,0,261,
Purba Medinipur,301,PMed-301,14,Health Sub-Centre 14,370,358,0,728,49.18,15,2.1,424,120,5,604,P1,304,70.2,19.9,431,143,640,P1,False,A,1,,0,325,
