district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Purulia,1601,Prl-1601,1,Anganwadi Centre 1,331,339,0,670,50.6,12,1.8,346,130,6,529,P1,216,65.4,24.6,260,243,559,P1,False,A,1,,0,276,
Purulia,1601,Prl-1601,2,Temple Hall 2,394,395,1,790,50.0,17,2.2,304,223,2,592,P1,81,51.4,37.7,336,253,670,P1,False,B,3,,0,326,
Purulia,1601,Prl-1601,3,Post Office 3,303,277,0,580,47.76,13,2.2,297,104,5,445,P1,193,66.7,23.4,236,156,476,P1,False,A,1,,0,239,
Purulia,1601,Prl-1601,4,Madrasa 4,275,259,1,535,48.41,10,1.9,239,150,6,455,P1,89,52.5,33.0,182,167,437,P1,False,B,3,,0,221,
Purulia,1601,Prl-1601,5,Madrasa 5,357,347,0,704,49.29,13,1.8,307,200,6,564,P1,107,54.4,35.5,242,160,542,P1,False,B,3,,0,290,
Purulia,1601,Prl-1601,6,Club Building 6,390,393,1,784,50.13,19,2.4,308,236,7,663,P1,72,46.5,35.6,315,216,616,P1,False,B,3,,0,323,
Purulia,1601,Prl-1601,7,Temple Hall 7,403,378,0,781,48.4,13,1.7,308,174,5,594,P1,134,51.9,29.3,302,262,668,P1,False,B,3,,0,322,
Purulia,1601,Prl-1601,8,Temple Hall 8,355,346,0,701,49.36,10,1.4,324,148,10,555,P1,176,58.4,26.7,230,208,561,P1,False,B,3,,0,289,
Purulia,1601,Prl-1601,9,Primary School 9,403,414,0,817,50.67,17,2.1,326,234,4,639,P1,92,51.0,36.6,340,197,615,P1,False,B,3,,0,337,
Purulia,1601,Prl-1601,10,Community Hall 10,338,318,1,657,48.4,11,1.7,266,164,10,523,P1,102,50.9,31.4,246,173,538,P1,False,B,3,,0,271,
Purulia,1601,Prl-1601,11,Club Building 11,327,301,1,629,47.85,14,2.2,205,146,12,491,P1,59,41.8,29.7,296,148,493,P1,False,B,3,,0,259,
Purulia,1601,Prl-1601,12,Market Building 12,309,311,1,621,50.08,10,1.6,252,149,12,500,P1,103,50.4,29.8,244,176,500,P1,False,B,3,,0,256,
Purulia,1601,Prl-1601,13,High School 13,398,382,0,780,48.97,12,1.5,351,234,6,653,P1,117,53.8,35.8,376,209,651,P1,False,B,3,,0,322,
Purulia,1601,Prl-1601,14,Madrasa 14,399,388,1,788,49.24,13,1.6,391,154,2,606,P1,237,64.5,25.4,348,176,660,P1,False,B,3,,0,325,
Purulia,1601,Prl-1601,15,Panchayat Bhavan 15,338,331,1,670,49.4,13,1.9,199,188,4,516,P1,11,38.6,36.4,311,179,544,P1,False,B,3,,0,276,
Purulia,1601,Prl-1601,16,High School 16,245,246,0,491,50.1,11,2.2,176,144,7,395,P1,32,44.6,36.5,189,112,374,P1,False,B,3,,0,202,
Purulia,1601,Prl-1601,17,Anganwadi Centre 17,256,247,1,504,49.01,9,1.8,218,124,5,400,P1,94,54.5,31.0,152,155,380,P2,True,B,3,,0,208,
Purulia,1601,Prl-1601,18,Temple Hall 18,361,362,1,724,50.0,17,2.3,275,231,4,584,P1,44,47.1,39.6,359,198,619,P1,False,B,3,,0,299,
Purulia,1601,Prl-1601,19,Primary School 19,378,341,1,720,47.36,16,2.2,310,180,9,570,P1,130,54.4,31.6,367,182,610,P1,False,B,3,,0,297,
Purulia,1601,Prl-1601,20,Club Building 20,311,315,1,627,50.24,14,2.2,218,184,4,529,P1,34,41.2,34.8,278,157,483,P1,False,B,3,,0,259,
Purulia,1601,Prl-1601,21,Club Building 21,276,283,1,560,50.54,9,1.6,248,158,4,452,P1,90,54.9,35.0,189,140,428,P1,False,B,3,,0,231,
Purulia,1601,Prl-1601,22,High School 22,315,296,1,612,48.37,11,1.8,268,152,6,483,P1,116,55.5,31.5,246,181,475,P1,False,B,3,,0,252,
Purulia,1601,Prl-1601,23,Temple Hall 23,289,298,1,588,50.68,10,1.7,221,176,2,441,P1,45,50.1,39.9,246,161,453,P1,False,B,3,,0,242,
Purulia,1601,Prl-1601,24,Health Sub-Centre 24,318,323,0,641,50.39,14,2.2,242,156,5,497,P1,86,48.7,31.4,227,178,517,P1,False,B,3,,0,264,
Purulia,1601,Prl-1601,25,Club Building 25,422,391,0,813,48.09,20,2.5,345,278,4,692,P1,67,49.9,40.2,380,239,688,P1,False,B,3,,0,335,
Purulia,1601,Prl-1601,26,Market Building 26,421,395,0,816,48.41,16,2.0,262,228,8,611,P1,34,42.9,37.3,366,234,689,P1,False,B,3,,0,336,
Purulia,1601,Prl-1601,27,Anganwadi Centre 27,329,337,0,666,50.6,10,1.5,219,212,6,512,P1,7,42.8,41.4,290,195,539,P1,False,B,3,,0,275,
Purulia,1601,Prl-1601,28,Panchayat Bhavan 28,296,283,1,580,48.79,9,1.6,228,149,5,431,P1,79,52.9,34.6,282,144,473,P1,False,B,3,,0,239,
Purulia,1601,Prl-1601,29,Primary School 29,267,265,1,533,49.72,10,1.9,176,172,4,442,P1,4,39.8,38.9,191,113,414,P1,False,B,3,,0,220,
Purulia,1601,Prl-1601,30,Community Hall 30,346,312,0,658,47.42,15,2.3,268,154,4,505,P1,114,53.1,30.5,259,201,511,P1,False,B,3,,0,271,
