district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
South 24 Parganas,201,S24P-201,1,Post Office 1,310,293,1,604,48.51,94,15.6,221,108,10,481,P1,84,45.9,22.5,293,130,470,P1,False,D,4,,0,257,
South 24 Parganas,201,S24P-201,2,Govt Office 2,354,339,0,693,48.92,94,13.6,395,121,6,573,P1,274,68.9,21.1,411,113,582,P1,False,D,4,,0,295,
South 24 Parganas,201,S24P-201,3,Post Office 3,399,393,1,793,49.56,143,18.0,440,156,6,663,P1,284,66.4,23.5,404,159,625,P1,False,D,4,,0,338,
South 24 Parganas,201,S24P-201,4,Health Sub-Centre 4,313,288,1,602,47.84,66,11.0,349,86,4,484,P1,263,72.1,17.8,284,140,481,P1,False,D,4,,0,256,
South 24 Parganas,201,S24P-201,5,Health Sub-Centre 5,279,261,0,540,48.33,74,13.7,276,110,5,428,P1,166,64.5,25.7,286,119,451,P1,False,D,4,,0,230,
South 24 Parganas,201,S24P-201,6,Post Office 6,328,335,0,663,50.53,71,10.7,326,82,10,523,P1,226,62.3,15.7,363,141,560,P1,False,D,4,,0,282,
South 24 Parganas,201,S24P-201,7,Govt Office 7,265,252,0,517,48.74,57,11.0,293,94,2,430,P1,199,68.1,21.9,274,87,401,P1,False,D,4,,0,220,
South 24 Parganas,201,S24P-201,8,Market Building 8,319,295,0,614,48.05,101,16.4,246,140,10,525,P1,106,46.9,26.7,298,141,488,P1,False,D,4,,0,261,
South 24 Parganas,201,S24P-201,9,Health Sub-Centre 9,315,294,0,609,48.28,64,10.5,268,118,12,499,P1,150,53.7,23.6,280,111,481,P1,False,D,4,,0,259,
South 24 Parganas,201,S24P-201,10,Post Office 10,286,267,0,553,48.28,90,16.3,258,136,8,469,P1,122,55.0,29.0,263,121,427,P1,False,D,4,,0,235,
South 24 Parganas,201,S24P-201,11,Health Sub-Centre 11,249,232,1,482,48.13,82,17.0,225,85,5,374,P1,140,60.2,22.7,274,40,400,P1,False,D,4,,0,205,
South 24 Parganas,201,S24P-201,12,Health Sub-Centre 12,400,371,1,772,48.06,147,19.0,393,205,5,664,P1,188,59.2,30.9,469,78,607,P1,False,D,4,,0,329,
South 24 Parganas,201,S24P-201,13,Community Hall 13,392,400,0,792,50.51,115,14.5,383,137,9,656,P1,246,58.4,20.9,304,154,630,P1,False,D,4,,0,337,
South 24 Parganas,201,S24P-201,14,Govt Office 14,325,328,0,653,50.23,70,10.7,382,92,2,527,P1,290,72.5,17.5,300,157,509,P1,False,D,4,,0,278,
South 24 Parganas,201,S24P-201,15,Market Building 15,384,350,0,734,47.68,127,17.3,322,189,2,568,P1,133,56.7,33.3,347,176,586,P1,False,D,4,,0,313,
South 24 Parganas,201,S24P-201,16,Community Hall 16,381,344,1,726,47.38,112,15.4,340,162,3,563,P1,178,60.4,28.8,310,194,562,P1,False,D,4,,0,309,
South 24 Parganas,201,S24P-201,17,High School 17,386,357,0,743,48.05,111,14.9,396,149,5,606,P1,247,65.3,24.6,369,163,642,P1,False,D,4,,0,316,
South 24 Parganas,201,S24P-201,18,Post Office 18,245,246,0,491,50.1,84,17.1,271,80,5,390,P1,191,69.5,20.5,195,76,379,P1,False,D,4,,0,209,
South 24 Parganas,201,S24P-201,19,Madrasa 19,330,300,0,630,47.62,86,13.7,315,84,7,554,P1,172,56.9,15.2,315,153,521,P1,False,D,4,,0,268,
South 24 Parganas,201,S24P-201,20,Anganwadi Centre 20,270,250,1,521,47.98,88,16.9,246,135,7,439,P1,111,56.0,30.8,226,142,409,P1,False,D,4,,0,222,
South 24 Parganas,201,S24P-201,21,Anganwadi Centre 21,333,318,0,651,48.85,119,18.3,320,137,8,525,P1,183,61.0,26.1,338,140,531,P1,False,D,4,,0,277,
South 24 Parganas,201,S24P-201,22,Club Building 22,304,313,1,618,50.65,88,14.2,363,121,2,538,P1,242,67.5,22.5,258,162,483,P1,False,D,4,,0,263,
South 24 Parganas,201,S24P-201,23,Govt Office 23,397,394,0,791,49.81,118,14.9,422,175,7,663,P1,247,63.7,26.4,353,174,652,P1,False,D,4,,0,337,
South 24 Parganas,201,S24P-201,24,Govt Office 24,277,256,0,533,48.03,72,13.5,208,78,14,411,P1,100,50.6,19.0,261,136,441,P1,False,D,4,,0,227,
South 24 Parganas,201,S24P-201,25,Health Sub-Centre 25,383,345,0,728,47.39,115,15.8,329,134,8,573,P1,195,57.4,23.4,355,142,570,P1,False,D,4,,0,310,
South 24 Parganas,201,S24P-201,26,High School 26,371,380,0,751,50.6,112,14.9,318,153,8,609,P1,165,52.2,25.1,390,153,603,P1,False,D,4,,0,320,
South 24 Parganas,201,S24P-201,27,Govt Office 27,400,406,1,807,50.31,156,19.3,472,150,4,691,P1,322,68.3,21.7,438,123,623,P1,False,D,4,,0,344,
South 24 Parganas,201,S24P-201,28,Panchayat Bhavan 28,310,308,1,619,49.76,66,10.7,317,174,2,546,P1,143,58.1,31.9,300,160,522,P1,False,D,4,,0,264,
South 24 Parganas,201,S24P-201,29,Post Office 29,257,237,0,494,47.98,92,18.6,278,110,2,431,P1,168,64.5,25.5,203,101,393,P1,False,D,4,,0,210,
South 24 Parganas,201,S24P-201,30,Primary School 30,319,318,1,638,49.84,103,16.1,322,119,6,490,P1,203,65.7,24.3,298,148,561,P1,False,D,4,,0,272,
South 24 Parganas,201,S24P-201,31,Temple Hall 31,421,383,1,805,47.58,155,19.3,357,182,7,643,P1,175,55.5,28.3,387,148,625,P1,False,D,4,,0,343,
South 24 Parganas,201,S24P-201,32,Temple Hall 32,311,302,0,613,49.27,95,15.5,322,153,4,528,P1,169,61.0,29.0,251,133,487,P1,False,D,4,,0,261,
South 24 Parganas,201,S24P-201,33,Panchayat Bhavan 33,380,389,0,769,50.59,106,13.8,327,165,4,592,P1,162,55.2,27.9,394,187,645,P1,False,D,4,,0,327,
South 24 Parganas,201,S24P-201,34,Primary School 34,395,400,0,795,50.31,141,17.7,389,237,6,696,P1,152,55.9,34.1,367,162,659,P1,False,D,4,,0,339,
South 24 Parganas,201,S24P-201,35,Market Building 35,251,247,0,498,49.6,94,18.9,249,109,4,398,P1,140,62.6,27.4,267,115,425,P1,False,D,4,,0,212,
South 24 Parganas,201,S24P-201,36,Club Building 36,348,319,1,668,47.75,103,15.4,386,133,2,577,P1,253,66.9,23.1,326,147,525,P1,False,D,4,,0,284,
