district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct,adj_count,adj_pct,votes_P1_2021,votes_P2_2021,votes_P3_2021,total_votes_2021,winner_2021,margin_2021,P1_share_2021,P2_share_2021,votes_P1_2019,votes_P2_2019,total_votes_2019,winner_2019,flipped_19_21,booth_category,priority_score,worker_assigned,contact_count,votes_to_win_est,notes
Uttar Dinajpur,1301,UD-1301,1,Govt Office 1,384,388,1,773,50.19,289,37.4,423,156,7,643,P1,267,65.8,24.3,378,173,618,P1,False,D,4,,0,329,
Uttar Dinajpur,1301,UD-1301,2,Panchayat Bhavan 2,400,382,1,783,48.79,308,39.3,293,147,13,672,P1,81,43.6,21.9,354,189,690,P1,False,D,4,,0,333,
Uttar Dinajpur,1301,UD-1301,3,Madrasa 3,327,336,0,663,50.68,236,35.6,323,173,7,560,P1,150,57.7,30.9,333,117,521,P1,False,D,4,,0,282,
Uttar Dinajpur,1301,UD-1301,4,Temple Hall 4,381,364,0,745,48.86,369,49.5,411,126,2,597,P1,285,68.8,21.1,373,118,616,P1,False,D,4,,0,317,
Uttar Dinajpur,1301,UD-1301,5,Health Sub-Centre 5,275,255,1,531,48.02,208,39.2,227,120,10,451,P1,107,50.3,26.6,242,94,457,P1,False,D,4,,0,226,
Uttar Dinajpur,1301,UD-1301,6,Health Sub-Centre 6,298,303,0,601,50.42,246,40.9,269,93,13,483,P1,165,55.7,19.3,277,134,517,P1,False,D,4,,0,256,
Uttar Dinajpur,1301,UD-1301,7,Madrasa 7,289,284,0,573,49.56,238,41.5,262,113,5,477,P1,149,54.9,23.7,275,158,496,P1,False,D,4,,0,244,
Uttar Dinajpur,1301,UD-1301,8,Health Sub-Centre 8,292,280,1,573,48.87,195,34.0,189,52,13,458,P4,10,41.3,11.4,306,85,487,P1,True,D,4,,0,244,
Uttar Dinajpur,1301,UD-1301,9,Community Hall 9,395,368,1,764,48.17,287,37.6,333,167,9,600,P1,166,55.5,27.8,326,154,608,P1,False,D,4,,0,325,
Uttar Dinajpur,1301,UD-1301,10,Panchayat Bhavan 10,331,303,1,635,47.72,273,43.0,289,59,18,522,P1,138,55.4,11.3,351,75,502,P1,False,D,4,,0,270,
