ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
1701,1,B,105,42,2026-04-13,False
1701,2,B,100,31,2026-04-20,False
1701,3,B,116,42,2026-04-15,False
1701,4,B,93,26,2026-04-15,False
1701,5,B,109,53,2026-04-21,False
1701,6,B,103,15,2026-04-17,False
1701,7,B,89,18,2026-04-14,False
1701,8,B,89,9,2026-04-13,False
1701,9,B,98,35,2026-04-12,False
1701,10,B,87,12,2026-04-17,False
1701,11,B,87,24,2026-04-13,False
1701,12,B,108,52,2026-04-16,False
1701,13,B,114,24,2026-04-15,False
1701,14,B,90,33,2026-04-21,False
1701,15,B,84,7,2026-04-21,False
1701,16,B,84,2,2026-04-19,False
1701,17,B,114,23,2026-04-17,False
1701,18,B,102,15,2026-04-14,False
1701,19,B,86,4,2026-04-14,False
1701,20,B,88,33,2026-04-18,False
1701,21,B,112,27,2026-04-14,False
1701,22,B,99,44,2026-04-21,False
1701,23,B,120,10,2026-04-21,False
1701,24,B,118,35,2026-04-16,False
1701,25,B,101,37,2026-04-12,False
1701,26,B,72,9,2026-04-17,False
1701,27,B,104,42,2026-04-20,False
1701,28,B,94,22,2026-04-17,False
1701,29,B,109,44,2026-04-17,False
1701,30,B,76,19,2026-04-14,False
1701,31,B,96,46,2026-04-12,False
1701,32,B,92,19,2026-04-21,False
1701,33,B,115,49,2026-04-15,False
1701,34,B,93,44,2026-04-19,False
1701,35,B,88,5,2026-04-17,False
1701,36,B,103,36,2026-04-15,False
1701,37,B,116,18,2026-04-20,False
1701,38,B,104,5,2026-04-19,False
1701,39,B,120,46,2026-04-16,False
1701,40,B,97,41,2026-04-20,False
1701,41,B,92,45,2026-04-17,False
1701,42,B,116,19,2026-04-15,False
1701,43,B,83,42,2026-04-19,False
1701,44,B,87,2,2026-04-15,False
1701,45,B,103,44,2026-04-18,False
1701,46,B,88,35,2026-04-18,False
1701,47,B,119,51,2026-04-17,False
1701,48,B,76,28,2026-04-21,False
1701,49,B,116,45,2026-04-16,False
1701,50,B,101,38,2026-04-20,False
1701,51,B,97,31,2026-04-20,False
1701,52,B,109,23,2026-04-13,False
1701,53,B,86,26,2026-04-16,False
1701,54,B,86,37,2026-04-21,False
1701,55,B,104,31,2026-04-19,False
1701,56,B,123,7,2026-04-15,False
1701,57,B,89,38,2026-04-19,False
1701,58,B,74,23,2026-04-15,False
1701,59,B,100,40,2026-04-13,False
1701,60,B,76,8,2026-04-18,False
1701,61,B,117,40,2026-04-20,False
1701,62,B,97,18,2026-04-19,False
1701,63,B,107,20,2026-04-21,False
1701,64,B,104,38,2026-04-18,False
1701,65,B,103,29,2026-04-19,False
1701,66,B,111,17,2026-04-17,False
1701,67,B,77,25,2026-04-12,False
1701,68,B,104,33,2026-04-15,False
1701,69,B,96,41,2026-04-16,False
1701,70,B,76,33,2026-04-20,False
1701,71,B,106,50,2026-04-16,False
1701,72,B,88,11,2026-04-13,False
1701,73,B,95,1,2026-04-20,False
1701,74,B,106,52,2026-04-17,False
1701,75,B,107,11,2026-04-18,False
1701,76,B,82,9,2026-04-20,False
1701,77,B,105,56,2026-04-14,False
1701,78,B,99,21,2026-04-12,False
1701,79,B,113,60,2026-04-19,False
1701,80,B,94,13,2026-04-18,False
1701,81,B,101,28,2026-04-17,False
1701,82,B,94,22,2026-04-16,False
1701,83,B,89,18,2026-04-12,False
1701,84,B,76,38,2026-04-19,False
1701,85,B,108,11,2026-04-19,False
1701,86,B,113,4,2026-04-16,False
1701,87,B,88,21,2026-04-12,False
1701,88,B,115,11,2026-04-17,False
1701,89,B,107,28,2026-04-21,False
1701,90,B,84,28,2026-04-17,False
1701,91,B,89,16,2026-04-15,False
1701,92,B,96,33,2026-04-13,False
1701,93,B,91,6,2026-04-19,False
1701,94,B,119,58,2026-04-13,False
1701,95,B,118,47,2026-04-18,False
1701,96,B,85,34,2026-04-13,False
1701,97,B,80,30,2026-04-21,False
1701,98,B,103,26,2026-04-20,False
1701,99,B,72,38,2026-04-21,False
1701,100,B,80,20,2026-04-20,False
1701,101,B,87,27,2026-04-14,False
1701,102,B,113,6,2026-04-19,False
1701,103,B,91,29,2026-04-16,False
