ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
1101,2,B,103,41,2026-04-20,False
1101,3,B,122,64,2026-04-15,False
1101,4,B,94,14,2026-04-20,False
1101,5,B,119,39,2026-04-16,False
1101,6,B,114,27,2026-04-20,False
1101,8,B,115,0,2026-04-21,False
1101,9,B,103,21,2026-04-21,False
1101,10,B,102,9,2026-04-15,False
1101,12,B,79,39,2026-04-19,False
1101,13,B,94,19,2026-04-20,False
1101,14,B,95,46,2026-04-19,False
1101,15,B,110,7,2026-04-18,False
1101,16,B,75,30,2026-04-12,False
1101,19,B,97,2,2026-04-20,False
1101,20,B,84,30,2026-04-18,False
1101,21,B,96,0,2026-04-14,False
1101,22,B,85,7,2026-04-12,False
1101,24,B,96,35,2026-04-13,False
1101,26,B,106,1,2026-04-21,False
1101,27,B,108,3,2026-04-21,False
1101,28,B,84,6,2026-04-17,False
1101,29,B,106,0,2026-04-16,False
1101,30,B,89,37,2026-04-13,False
1101,33,B,73,13,2026-04-20,False
1101,35,B,108,51,2026-04-12,False
1101,36,B,111,3,2026-04-17,False
1101,37,B,102,24,2026-04-14,False
1101,38,B,90,36,2026-04-14,False
1101,40,B,122,32,2026-04-13,False
1101,41,B,86,9,2026-04-13,False
1101,42,B,100,41,2026-04-19,False
1101,43,B,89,48,2026-04-12,False
1101,47,B,106,1,2026-04-14,False
1101,49,B,78,3,2026-04-17,False
1101,50,B,75,35,2026-04-19,False
1101,51,B,123,44,2026-04-20,False
1101,52,B,74,26,2026-04-17,False
1101,53,B,102,16,2026-04-16,False
1101,54,B,122,48,2026-04-21,False
1101,55,B,115,30,2026-04-19,False
1101,56,B,102,27,2026-04-17,False
1101,57,B,115,1,2026-04-15,False
1101,60,B,104,27,2026-04-17,False
1101,63,B,97,4,2026-04-19,False
1101,64,B,123,6,2026-04-12,False
1101,65,B,117,58,2026-04-19,False
1101,66,B,74,1,2026-04-18,False
1101,67,B,107,26,2026-04-21,False
1101,71,B,77,35,2026-04-21,False
1101,73,B,81,12,2026-04-17,False
1101,74,B,102,20,2026-04-17,False
1101,77,B,77,22,2026-04-15,False
1101,78,B,73,14,2026-04-12,False
1101,79,B,82,31,2026-04-12,False
1101,80,B,89,6,2026-04-18,False
1101,83,B,98,21,2026-04-14,False
1101,84,B,95,35,2026-04-12,False
1101,85,B,72,39,2026-04-14,False
1101,86,B,90,31,2026-04-20,False
1101,87,B,72,29,2026-04-17,False
1101,89,B,94,38,2026-04-19,False
1101,93,B,100,43,2026-04-14,False
1101,94,B,94,14,2026-04-12,False
1101,95,B,78,29,2026-04-16,False
1101,96,B,123,4,2026-04-19,False
1101,98,B,121,36,2026-04-19,False
1101,99,B,114,52,2026-04-17,False
1101,100,B,122,49,2026-04-19,False
1101,101,B,73,12,2026-04-15,False
1101,102,B,72,12,2026-04-12,False
1101,104,B,83,40,2026-04-16,False
1101,107,B,117,24,2026-04-17,False
1101,109,B,100,28,2026-04-12,False
1101,111,B,78,21,2026-04-16,False
1101,113,B,82,18,2026-04-16,False
1101,114,B,85,6,2026-04-20,False
1101,115,B,76,17,2026-04-16,False
1101,116,B,110,19,2026-04-19,False
1101,117,B,81,19,2026-04-17,False
1101,118,B,86,14,2026-04-18,False
1101,119,B,97,10,2026-04-17,False
1101,120,B,76,36,2026-04-12,False
1101,121,B,88,29,2026-04-18,False
1101,124,B,89,5,2026-04-20,False
1101,126,B,108,43,2026-04-18,False
1101,127,B,106,2,2026-04-16,False
1101,129,B,88,26,2026-04-12,False
1101,130,B,88,42,2026-04-14,False
1101,133,B,94,25,2026-04-15,False
1101,134,B,104,24,2026-04-18,False
1101,137,B,112,22,2026-04-15,False
1101,138,B,116,52,2026-04-12,False
1101,140,B,106,26,2026-04-21,False
1101,141,B,81,15,2026-04-17,False
1101,142,B,78,17,2026-04-13,False
1101,144,B,114,18,2026-04-17,False
1101,145,B,119,16,2026-04-18,False
1101,148,B,119,28,2026-04-19,False
1101,149,B,89,7,2026-04-12,False
1101,150,B,76,14,2026-04-14,False
1101,153,B,105,50,2026-04-19,False
1101,154,B,81,28,2026-04-12,False
1101,155,B,122,31,2026-04-19,False
1101,156,B,107,50,2026-04-20,False
1101,157,B,101,9,2026-04-17,False
1101,158,B,111,16,2026-04-18,False
1101,159,B,122,3,2026-04-13,False
1101,161,B,94,46,2026-04-18,False
1101,162,B,74,30,2026-04-12,False
1101,163,B,109,15,2026-04-14,False
1101,164,B,116,24,2026-04-20,False
1101,165,B,120,0,2026-04-17,False
1101,166,B,102,3,2026-04-12,False
1101,167,B,91,2,2026-04-14,False
1102,1,B,105,22,2026-04-21,False
1102,2,B,118,42,2026-04-12,False
1102,3,B,95,33,2026-04-16,False
1102,4,B,109,47,2026-04-17,False
1102,5,B,109,29,2026-04-17,False
1102,7,B,97,38,2026-04-14,False
1102,8,B,113,29,2026-04-17,False
1102,9,B,84,5,2026-04-20,False
1102,10,B,99,34,2026-04-13,False
1102,11,B,91,43,2026-04-19,False
1102,12,B,105,32,2026-04-16,False
1102,13,B,119,11,2026-04-21,False
1102,14,B,111,46,2026-04-12,False
1102,15,B,115,36,2026-04-20,False
1102,16,B,94,35,2026-04-17,False
1102,17,B,100,52,2026-04-17,False
1102,18,B,103,32,2026-04-17,False
1102,19,B,106,46,2026-04-12,False
1102,20,B,119,43,2026-04-19,False
1102,21,B,73,36,2026-04-20,False
1102,22,B,101,18,2026-04-14,False
1102,23,B,95,6,2026-04-15,False
1102,24,B,93,37,2026-04-18,False
1102,25,B,73,38,2026-04-16,False
1102,26,B,120,11,2026-04-15,False
1102,27,B,118,6,2026-04-17,False
1102,28,B,87,28,2026-04-16,False
1102,29,B,73,32,2026-04-19,False
1102,32,B,81,37,2026-04-13,False
1102,34,B,116,24,2026-04-14,False
1102,36,B,105,36,2026-04-14,False
1102,37,B,116,2,2026-04-12,False
1102,38,B,77,27,2026-04-19,False
1102,39,B,108,46,2026-04-14,False
1102,40,B,100,30,2026-04-18,False
1102,42,B,91,28,2026-04-12,False
1102,43,B,120,5,2026-04-20,False
1102,47,B,99,46,2026-04-19,False
1102,48,B,97,21,2026-04-19,False
1102,49,B,85,41,2026-04-21,False
1102,50,B,95,23,2026-04-21,False
1102,51,B,121,53,2026-04-20,False
1102,52,B,107,52,2026-04-13,False
1102,53,B,102,43,2026-04-12,False
1102,56,B,80,42,2026-04-13,False
1102,57,B,78,18,2026-04-13,False
1102,58,B,74,26,2026-04-21,False
1102,60,B,117,13,2026-04-18,False
1102,61,B,114,21,2026-04-20,False
1102,63,B,113,6,2026-04-20,False
1102,64,B,95,31,2026-04-13,False
1102,65,B,110,5,2026-04-12,False
1102,66,B,108,58,2026-04-12,False
1102,67,B,76,12,2026-04-14,False
1102,68,B,93,12,2026-04-20,False
1102,69,B,83,37,2026-04-15,False
1102,70,B,93,48,2026-04-15,False
1102,71,B,78,40,2026-04-20,False
1102,74,B,82,28,2026-04-12,False
1102,77,B,84,44,2026-04-12,False
1102,78,B,90,24,2026-04-21,False
1102,81,B,122,51,2026-04-18,False
1102,83,B,76,9,2026-04-16,False
1102,84,B,98,8,2026-04-17,False
1102,85,B,74,8,2026-04-15,False
1102,86,B,121,30,2026-04-19,False
1102,87,B,100,6,2026-04-15,False
1102,88,B,110,38,2026-04-20,False
1102,90,B,109,42,2026-04-14,False
1102,92,B,118,31,2026-04-13,False
1102,93,B,110,58,2026-04-17,False
1102,94,B,96,51,2026-04-13,False
1102,95,B,106,1,2026-04-20,False
1102,96,B,108,5,2026-04-17,False
1102,97,B,120,15,2026-04-16,False
1102,98,B,96,4,2026-04-17,False
1102,99,B,93,10,2026-04-20,False
1102,100,B,86,25,2026-04-12,False
1102,101,B,80,25,2026-04-20,False
1102,103,B,77,20,2026-04-15,False
1102,104,B,100,5,2026-04-15,False
1102,105,B,74,1,2026-04-20,False
1102,106,B,79,26,2026-04-18,False
1102,107,B,107,30,2026-04-15,False
1102,109,B,117,31,2026-04-16,False
1102,110,B,96,40,2026-04-14,False
1102,111,B,86,16,2026-04-12,False
1102,112,B,117,14,2026-04-18,False
1102,113,B,85,8,2026-04-15,False
1102,114,B,74,15,2026-04-16,False
1102,115,B,87,25,2026-04-15,False
1102,116,B,103,7,2026-04-16,False
1102,117,B,102,23,2026-04-18,False
1102,118,B,107,13,2026-04-14,False
1102,119,B,108,52,2026-04-19,False
1102,122,B,112,7,2026-04-12,False
1102,124,B,122,46,2026-04-15,False
1102,125,B,116,58,2026-04-20,False
1102,127,B,113,35,2026-04-20,False
1102,130,B,81,31,2026-04-17,False
1102,131,B,75,18,2026-04-13,False
1102,132,B,99,26,2026-04-18,False
1102,133,B,72,16,2026-04-16,False
1102,135,B,76,28,2026-04-20,False
1102,136,B,93,15,2026-04-21,False
1102,137,B,118,5,2026-04-18,False
1102,138,B,80,1,2026-04-21,False
1102,139,B,85,17,2026-04-19,False
1102,141,B,92,19,2026-04-12,False
1102,142,B,78,10,2026-04-16,False
1102,143,B,78,27,2026-04-19,False
1102,144,B,87,45,2026-04-17,False
1102,145,B,97,44,2026-04-20,False
1102,146,B,106,41,2026-04-13,False
1102,147,B,88,26,2026-04-16,False
1102,149,B,106,25,2026-04-21,False
1102,150,B,84,25,2026-04-17,False
1102,152,B,75,19,2026-04-18,False
1102,153,B,81,4,2026-04-21,False
1102,154,B,89,46,2026-04-17,False
1102,155,B,77,36,2026-04-13,False
1102,156,B,97,52,2026-04-18,False
1102,157,B,98,30,2026-04-18,False
1102,158,B,93,7,2026-04-20,False
1102,160,B,88,3,2026-04-15,False
1103,1,B,78,8,2026-04-18,False
1103,2,B,82,7,2026-04-18,False
1103,3,B,82,20,2026-04-19,False
1103,4,B,89,32,2026-04-15,False
1103,5,B,101,2,2026-04-18,False
1103,6,B,106,37,2026-04-21,False
1103,8,B,87,25,2026-04-12,False
1103,10,B,105,24,2026-04-13,False
1103,12,B,82,6,2026-04-14,False
1103,14,B,99,2,2026-04-19,False
1103,16,B,92,36,2026-04-12,False
1103,17,B,90,17,2026-04-19,False
1103,18,B,115,60,2026-04-13,False
1103,19,B,110,20,2026-04-17,False
1103,20,B,82,38,2026-04-18,False
1103,21,B,103,53,2026-04-19,False
1103,22,B,80,2,2026-04-17,False
1103,23,B,123,57,2026-04-21,False
1103,26,B,78,16,2026-04-13,False
1103,27,B,121,61,2026-04-21,False
1103,28,B,96,28,2026-04-12,False
1103,29,B,73,2,2026-04-17,False
1103,30,B,98,39,2026-04-20,False
1103,32,B,114,2,2026-04-20,False
1103,33,B,100,16,2026-04-20,False
1103,34,B,76,15,2026-04-18,False
1103,35,B,121,54,2026-04-15,False
1103,36,B,86,20,2026-04-18,False
1103,37,B,107,8,2026-04-16,False
1103,38,B,94,3,2026-04-15,False
1103,41,B,97,1,2026-04-18,False
1103,42,B,94,48,2026-04-15,False
1103,43,B,93,5,2026-04-19,False
1103,44,B,113,28,2026-04-12,False
1103,49,B,114,40,2026-04-16,False
1103,50,B,92,20,2026-04-15,False
1103,52,B,103,18,2026-04-12,False
1103,53,B,92,29,2026-04-16,False
1103,54,B,118,60,2026-04-12,False
1103,55,B,92,39,2026-04-14,False
1103,56,B,97,18,2026-04-12,False
1103,57,B,77,20,2026-04-19,False
1103,58,B,72,14,2026-04-14,False
1103,59,B,110,1,2026-04-21,False
1103,60,B,108,12,2026-04-12,False
1103,63,B,93,3,2026-04-16,False
1103,64,B,100,19,2026-04-13,False
1103,65,B,98,47,2026-04-12,False
1103,66,B,94,28,2026-04-13,False
1103,67,B,80,18,2026-04-16,False
1103,68,B,81,17,2026-04-17,False
1103,69,B,121,15,2026-04-13,False
1103,70,B,119,5,2026-04-16,False
1103,71,B,78,41,2026-04-17,False
1103,72,B,123,56,2026-04-19,False
1103,73,B,82,31,2026-04-13,False
1103,74,B,79,32,2026-04-18,False
1103,75,B,81,15,2026-04-21,False
1103,76,B,93,5,2026-04-21,False
1103,77,B,112,52,2026-04-13,False
1103,78,B,120,30,2026-04-13,False
