ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
1201,1,D,73,8,2026-04-19,False
1201,2,B,90,10,2026-04-19,False
1201,3,D,86,33,2026-04-21,True
1201,4,D,76,20,2026-04-20,True
1201,5,D,118,46,2026-04-18,True
1201,6,D,80,12,2026-04-14,False
1201,7,D,73,17,2026-04-17,True
1201,8,D,74,28,2026-04-16,False
1201,9,D,100,0,2026-04-15,False
1201,10,D,85,14,2026-04-18,True
1201,11,D,73,2,2026-04-21,True
1201,12,D,91,26,2026-04-14,True
1201,13,D,77,10,2026-04-13,False
1201,14,D,94,24,2026-04-13,True
1201,15,B,84,17,2026-04-15,False
1201,16,D,77,1,2026-04-16,False
1201,17,D,91,45,2026-04-18,True
1201,18,D,99,35,2026-04-21,False
1201,19,D,122,39,2026-04-12,False
1201,20,D,96,27,2026-04-20,True
1201,21,D,113,33,2026-04-18,False
1201,22,D,97,46,2026-04-14,True
1201,23,D,73,33,2026-04-15,True
1201,24,D,98,28,2026-04-13,True
1201,25,D,116,61,2026-04-15,False
1201,26,B,72,23,2026-04-21,False
1201,27,D,86,24,2026-04-20,False
1201,28,D,112,21,2026-04-17,False
1201,29,D,76,20,2026-04-16,True
1201,30,D,112,18,2026-04-16,False
1201,31,D,76,20,2026-04-16,False
1201,32,D,81,15,2026-04-12,True
1201,33,B,108,23,2026-04-18,False
1201,34,D,98,23,2026-04-12,False
1201,35,D,107,42,2026-04-21,True
1201,36,D,120,31,2026-04-18,True
1201,37,B,80,31,2026-04-21,False
1201,38,D,98,9,2026-04-15,True
1201,39,D,106,27,2026-04-21,False
1201,40,D,77,20,2026-04-15,False
1201,41,D,120,5,2026-04-14,False
1201,42,D,72,3,2026-04-17,False
1201,43,B,84,25,2026-04-18,False
1201,44,B,109,11,2026-04-17,False
1201,45,B,81,5,2026-04-15,False
1201,46,D,121,40,2026-04-21,True
1201,47,D,121,59,2026-04-14,True
1201,48,D,117,59,2026-04-21,False
1201,49,B,117,31,2026-04-13,False
1201,50,D,101,5,2026-04-18,False
1201,51,D,90,31,2026-04-12,True
1201,52,D,94,5,2026-04-21,False
1201,53,D,105,35,2026-04-12,True
1201,54,D,95,4,2026-04-18,False
1201,55,D,76,36,2026-04-14,True
1201,56,D,105,52,2026-04-14,True
1201,57,D,82,17,2026-04-14,True
1201,58,D,83,22,2026-04-13,True
1201,59,D,114,16,2026-04-15,False
1201,60,D,102,19,2026-04-12,False
1201,61,D,90,9,2026-04-17,True
1201,62,D,103,53,2026-04-17,True
1201,63,D,92,17,2026-04-17,False
1201,64,D,102,43,2026-04-19,True
1201,65,D,97,20,2026-04-17,False
1201,66,B,82,20,2026-04-20,False
1201,67,D,95,18,2026-04-12,False
1201,68,D,93,16,2026-04-20,True
1201,69,D,95,11,2026-04-15,True
1201,70,D,98,5,2026-04-17,False
1201,71,D,120,4,2026-04-21,False
1201,72,D,101,28,2026-04-21,False
1201,73,D,103,49,2026-04-12,False
1201,74,D,109,57,2026-04-16,False
1201,75,D,96,31,2026-04-12,False
1201,76,D,103,3,2026-04-21,True
1201,77,D,102,46,2026-04-14,True
1201,78,D,123,21,2026-04-15,False
1201,79,D,77,24,2026-04-12,True
1201,80,D,84,20,2026-04-13,True
1201,81,D,99,51,2026-04-17,False
1201,82,D,91,8,2026-04-21,True
1201,83,D,94,40,2026-04-15,False
1201,84,D,97,22,2026-04-17,False
1201,85,B,77,3,2026-04-12,False
1201,86,D,102,0,2026-04-15,True
1201,87,D,94,47,2026-04-18,True
1201,88,D,99,45,2026-04-17,False
1201,90,D,103,46,2026-04-16,False
1201,91,D,92,35,2026-04-16,False
1201,92,D,110,7,2026-04-16,False
1201,93,D,96,24,2026-04-14,True
1201,94,B,74,16,2026-04-16,False
1201,95,D,89,0,2026-04-19,True
1201,96,D,102,12,2026-04-21,False
1201,97,D,74,5,2026-04-13,True
1201,98,D,117,59,2026-04-20,False
1201,99,B,114,16,2026-04-21,False
1201,100,D,117,41,2026-04-13,False
1201,101,B,87,20,2026-04-13,False
1201,102,D,107,5,2026-04-13,True
1201,103,D,102,44,2026-04-16,True
1201,104,D,112,34,2026-04-19,False
1201,105,B,113,30,2026-04-20,False
1201,106,D,120,40,2026-04-21,False
1201,107,D,111,58,2026-04-15,False
1201,108,D,123,65,2026-04-15,False
1201,109,D,103,23,2026-04-20,True
1201,110,D,103,30,2026-04-14,True
1201,111,D,75,29,2026-04-19,True
1201,112,D,114,15,2026-04-18,True
1201,113,D,89,44,2026-04-16,False
1201,114,D,100,42,2026-04-21,True
