ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
401,1,B,116,46,2026-04-18,False
401,2,B,92,16,2026-04-15,False
401,3,B,78,24,2026-04-17,False
401,4,B,89,13,2026-04-17,False
401,5,B,77,11,2026-04-18,False
401,6,B,118,55,2026-04-16,False
401,7,B,97,36,2026-04-12,False
401,9,B,85,33,2026-04-17,False
401,10,B,95,15,2026-04-12,False
401,11,B,109,43,2026-04-14,False
401,12,B,106,11,2026-04-14,False
401,13,B,121,31,2026-04-15,False
401,14,B,91,37,2026-04-21,False
401,15,B,96,19,2026-04-14,False
401,16,B,97,38,2026-04-17,False
401,21,B,105,30,2026-04-14,False
401,22,B,89,39,2026-04-16,False
401,23,B,108,16,2026-04-13,False
401,24,B,86,25,2026-04-16,False
401,27,B,117,54,2026-04-14,False
401,28,B,101,33,2026-04-12,False
401,31,B,121,0,2026-04-19,False
401,32,B,73,39,2026-04-12,False
401,33,B,103,9,2026-04-21,False
401,34,B,74,2,2026-04-17,False
401,36,B,77,35,2026-04-17,False
401,37,B,94,33,2026-04-14,False
401,40,B,86,0,2026-04-16,False
401,41,B,120,57,2026-04-12,False
401,43,B,115,49,2026-04-20,False
401,44,B,119,38,2026-04-14,False
401,45,B,122,58,2026-04-18,False
401,46,B,86,29,2026-04-19,False
401,47,B,112,25,2026-04-14,False
401,48,B,86,17,2026-04-14,False
401,49,B,110,42,2026-04-12,False
401,50,B,97,24,2026-04-21,False
401,51,B,88,46,2026-04-12,False
401,52,B,98,36,2026-04-14,False
401,53,B,105,30,2026-04-14,False
401,54,B,121,25,2026-04-14,False
401,55,B,118,28,2026-04-21,False
401,56,B,72,38,2026-04-14,False
401,58,B,96,47,2026-04-17,False
401,60,B,100,10,2026-04-13,False
401,61,B,89,3,2026-04-15,False
401,62,B,77,39,2026-04-20,False
401,64,B,99,32,2026-04-16,False
401,65,B,102,45,2026-04-15,False
401,66,B,88,47,2026-04-14,False
401,67,B,102,13,2026-04-17,False
401,68,B,102,1,2026-04-14,False
401,69,B,105,49,2026-04-20,False
401,70,B,100,2,2026-04-14,False
401,71,B,81,12,2026-04-19,False
401,72,B,101,12,2026-04-17,False
401,73,B,90,9,2026-04-20,False
401,74,B,118,55,2026-04-14,False
401,76,B,73,27,2026-04-17,False
401,77,B,73,38,2026-04-19,False
401,78,B,86,39,2026-04-17,False
