ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
701,1,B,110,6,2026-04-20,False
701,2,B,89,2,2026-04-15,False
701,4,B,74,12,2026-04-15,False
701,5,B,97,17,2026-04-17,False
701,6,B,120,38,2026-04-13,False
701,7,B,122,17,2026-04-18,False
701,8,B,106,12,2026-04-15,False
701,9,B,97,12,2026-04-13,False
701,10,B,93,21,2026-04-16,False
701,12,B,111,19,2026-04-21,False
701,13,B,98,20,2026-04-20,False
701,14,B,84,15,2026-04-14,False
701,15,B,76,22,2026-04-13,False
701,17,B,117,25,2026-04-21,False
701,18,B,76,24,2026-04-12,False
701,19,B,113,23,2026-04-19,False
701,20,B,82,33,2026-04-20,False
701,21,B,107,6,2026-04-12,False
701,22,B,89,7,2026-04-17,False
701,23,B,84,37,2026-04-18,False
701,24,B,120,50,2026-04-18,False
701,25,B,96,1,2026-04-15,False
701,26,B,95,2,2026-04-16,False
701,27,B,123,50,2026-04-12,False
701,28,B,103,32,2026-04-19,False
701,29,B,120,14,2026-04-15,False
701,30,B,86,5,2026-04-18,False
701,31,B,107,37,2026-04-18,False
701,32,B,102,51,2026-04-19,False
701,33,B,91,3,2026-04-17,False
701,34,B,110,37,2026-04-20,False
701,35,B,120,47,2026-04-20,False
701,36,B,91,44,2026-04-16,False
701,37,B,97,13,2026-04-12,False
701,39,B,114,10,2026-04-16,False
701,40,B,86,10,2026-04-18,False
701,41,B,97,9,2026-04-14,False
701,42,B,97,10,2026-04-12,False
701,43,B,106,33,2026-04-21,False
701,44,B,103,30,2026-04-21,False
701,45,B,115,0,2026-04-16,False
701,46,B,106,30,2026-04-16,False
701,47,B,115,11,2026-04-16,False
701,48,B,96,16,2026-04-18,False
701,49,B,116,55,2026-04-15,False
701,50,B,85,40,2026-04-15,False
701,51,B,116,48,2026-04-20,False
701,52,B,113,52,2026-04-15,False
701,53,B,77,28,2026-04-17,False
701,54,B,101,16,2026-04-12,False
701,55,B,122,9,2026-04-21,False
701,56,B,72,24,2026-04-12,False
701,57,B,119,47,2026-04-20,False
701,58,B,79,8,2026-04-15,False
701,60,B,99,50,2026-04-19,False
701,61,B,102,25,2026-04-15,False
701,62,B,76,25,2026-04-19,False
701,63,B,122,47,2026-04-17,False
701,66,B,121,25,2026-04-20,False
701,67,B,79,26,2026-04-16,False
701,68,B,114,28,2026-04-13,False
701,70,B,86,4,2026-04-15,False
701,71,B,90,1,2026-04-17,False
701,72,B,119,52,2026-04-17,False
701,73,B,101,12,2026-04-17,False
701,74,B,104,4,2026-04-19,False
701,75,B,87,11,2026-04-15,False
701,77,B,104,5,2026-04-18,False
701,78,B,98,3,2026-04-19,False
701,80,B,76,27,2026-04-21,False
701,82,B,93,43,2026-04-18,False
701,83,B,88,14,2026-04-12,False
701,84,B,104,13,2026-04-16,False
701,85,B,90,3,2026-04-13,False
701,86,B,118,22,2026-04-14,False
701,87,B,95,42,2026-04-12,False
701,88,B,116,6,2026-04-18,False
701,90,B,118,3,2026-04-21,False
701,91,B,87,15,2026-04-17,False
701,92,B,100,10,2026-04-13,False
701,93,B,85,20,2026-04-16,False
701,94,B,104,10,2026-04-15,False
701,95,B,84,16,2026-04-13,False
701,96,B,80,20,2026-04-18,False
701,97,B,117,19,2026-04-21,False
701,98,B,122,0,2026-04-20,False
701,99,B,107,43,2026-04-21,False
701,100,B,80,7,2026-04-19,False
701,102,B,102,52,2026-04-13,False
701,103,B,100,52,2026-04-15,False
701,104,B,77,14,2026-04-17,False
701,105,B,112,41,2026-04-18,False
701,106,B,119,54,2026-04-18,False
