ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
1501,1,B,83,8,2026-04-18,False
1501,2,B,85,44,2026-04-17,False
1501,3,B,116,21,2026-04-17,False
1501,4,B,86,14,2026-04-19,False
1501,5,B,110,6,2026-04-16,False
1501,6,B,114,28,2026-04-12,False
1501,7,B,111,27,2026-04-19,False
1501,8,B,116,25,2026-04-16,False
1501,9,B,102,54,2026-04-16,False
1501,10,B,81,35,2026-04-20,False
1501,11,B,108,55,2026-04-17,False
1501,12,B,76,12,2026-04-14,False
1501,13,B,84,19,2026-04-13,False
1501,14,B,91,25,2026-04-17,False
1501,15,B,86,38,2026-04-14,False
1501,16,B,106,47,2026-04-16,False
1501,17,B,73,28,2026-04-13,False
1501,18,B,105,26,2026-04-14,False
1501,19,B,83,33,2026-04-15,False
1501,20,B,92,14,2026-04-16,False
1501,21,B,115,14,2026-04-12,False
1501,22,B,122,57,2026-04-15,False
1501,23,B,117,9,2026-04-20,False
1501,24,B,102,30,2026-04-19,False
1501,25,B,88,7,2026-04-14,False
1501,26,B,83,30,2026-04-12,False
1501,27,B,96,47,2026-04-12,False
1501,28,B,76,14,2026-04-20,False
1501,29,B,72,31,2026-04-12,False
1501,30,B,91,34,2026-04-17,False
1501,31,B,93,26,2026-04-15,False
1501,32,B,102,2,2026-04-21,False
1501,33,B,113,54,2026-04-12,False
1501,34,B,107,54,2026-04-14,False
1501,35,B,112,41,2026-04-18,False
1501,37,B,115,11,2026-04-16,False
1501,38,B,75,34,2026-04-13,False
1501,39,B,111,39,2026-04-20,False
1501,40,B,123,56,2026-04-16,False
1501,41,B,105,2,2026-04-19,False
1501,42,B,86,36,2026-04-21,False
1501,43,B,100,15,2026-04-12,False
1501,44,B,74,11,2026-04-13,False
1501,45,B,123,57,2026-04-17,False
1501,46,B,76,16,2026-04-19,False
1501,47,B,97,49,2026-04-19,False
1501,48,B,80,34,2026-04-17,False
1501,49,B,82,29,2026-04-17,False
1501,50,B,108,30,2026-04-19,False
1501,51,B,78,34,2026-04-12,False
1501,52,B,114,60,2026-04-18,False
1501,53,B,90,37,2026-04-17,False
1501,54,B,106,19,2026-04-21,False
1501,55,B,114,56,2026-04-21,False
1501,56,B,87,27,2026-04-15,False
1501,57,B,103,25,2026-04-14,False
1501,58,B,97,26,2026-04-16,False
1501,59,B,102,25,2026-04-19,False
1501,60,B,89,18,2026-04-21,False
1501,61,B,87,2,2026-04-15,False
1501,62,B,99,19,2026-04-20,False
1501,63,B,110,26,2026-04-14,False
1501,64,B,92,24,2026-04-14,False
1501,65,B,77,22,2026-04-18,False
1501,66,B,119,42,2026-04-13,False
1501,67,B,109,56,2026-04-14,False
1501,68,B,84,9,2026-04-20,False
1501,69,B,109,0,2026-04-16,False
1501,70,B,98,30,2026-04-17,False
1501,71,B,74,14,2026-04-15,False
1501,72,B,81,21,2026-04-15,False
1501,73,B,104,34,2026-04-17,False
1501,74,B,116,22,2026-04-21,False
1501,75,B,121,34,2026-04-14,False
1501,76,B,87,22,2026-04-12,False
1501,77,B,108,8,2026-04-15,False
1501,78,B,93,6,2026-04-16,False
1501,79,B,104,37,2026-04-15,False
1501,80,B,113,52,2026-04-12,False
1501,81,B,100,31,2026-04-12,False
1501,82,B,102,52,2026-04-20,False
1501,83,B,98,30,2026-04-21,False
1501,84,B,72,8,2026-04-18,False
1501,85,B,72,26,2026-04-13,False
1501,86,B,116,32,2026-04-15,False
1501,87,B,86,40,2026-04-13,False
1501,88,B,108,3,2026-04-15,False
1501,89,B,106,2,2026-04-17,False
1501,90,B,112,11,2026-04-13,False
1501,91,B,98,13,2026-04-15,False
1501,92,B,90,41,2026-04-17,False
1501,93,B,85,24,2026-04-18,False
1501,94,B,113,24,2026-04-12,False
1501,95,B,99,16,2026-04-20,False
1501,96,B,90,7,2026-04-18,False
1501,97,B,72,33,2026-04-17,False
1501,98,B,97,7,2026-04-18,False
1501,99,B,99,37,2026-04-21,False
1501,100,B,90,46,2026-04-20,False
1501,101,B,84,41,2026-04-13,False
1501,102,B,113,20,2026-04-14,False
1501,103,B,108,19,2026-04-19,False
1501,104,B,92,36,2026-04-14,False
1501,105,B,99,42,2026-04-18,False
1501,106,B,81,32,2026-04-14,False
1501,107,B,94,47,2026-04-16,False
1501,108,B,79,7,2026-04-12,False
1501,109,B,92,17,2026-04-19,False
1501,110,B,94,27,2026-04-16,False
1501,111,B,104,27,2026-04-21,False
1501,112,B,91,9,2026-04-12,False
1501,113,B,115,10,2026-04-13,False
1501,114,B,113,2,2026-04-19,False
1501,115,B,114,28,2026-04-21,False
1501,116,B,98,6,2026-04-17,False
1501,117,B,84,2,2026-04-21,False
1501,118,B,91,43,2026-04-14,False
1501,119,B,96,45,2026-04-15,False
1501,120,B,86,29,2026-04-19,False
1501,121,B,115,26,2026-04-20,False
1501,122,B,118,5,2026-04-15,False
1501,123,B,109,19,2026-04-20,False
1501,124,B,115,7,2026-04-20,False
1501,125,B,83,23,2026-04-12,False
1501,126,B,123,54,2026-04-20,False
1501,127,B,106,21,2026-04-13,False
1501,128,B,106,34,2026-04-12,False
1501,129,B,119,60,2026-04-16,False
1501,130,B,96,22,2026-04-16,False
1501,131,B,116,18,2026-04-14,False
1501,132,B,122,15,2026-04-14,False
1501,133,B,110,16,2026-04-12,False
1501,134,B,78,2,2026-04-18,False
1501,135,B,107,38,2026-04-15,False
1501,136,B,93,42,2026-04-15,False
1501,137,B,123,58,2026-04-16,False
1501,138,B,107,35,2026-04-14,False
1501,139,B,120,1,2026-04-19,False
1501,140,B,119,42,2026-04-13,False
1501,141,B,82,1,2026-04-12,False
1501,142,B,77,37,2026-04-18,False
1501,143,B,81,25,2026-04-18,False
1501,144,B,103,53,2026-04-18,False
1501,145,B,115,21,2026-04-18,False
1501,146,B,92,49,2026-04-14,False
1501,147,B,114,29,2026-04-12,False
1501,148,B,113,35,2026-04-12,False
1501,149,B,122,27,2026-04-16,False
1501,150,B,109,13,2026-04-15,False
1501,151,B,105,27,2026-04-17,False
1501,152,B,84,41,2026-04-15,False
1501,153,B,108,17,2026-04-20,False
1501,154,B,111,1,2026-04-20,False
1501,155,B,82,25,2026-04-17,False
1501,156,B,110,50,2026-04-21,False
1501,157,B,73,33,2026-04-20,False
1501,158,B,122,51,2026-04-21,False
1501,159,B,105,1,2026-04-16,False
1501,160,B,77,16,2026-04-17,False
1501,161,B,118,35,2026-04-17,False
1501,162,B,79,23,2026-04-17,False
1501,163,B,110,54,2026-04-20,False
1501,164,B,80,5,2026-04-12,False
1501,165,B,112,5,2026-04-21,False
1501,166,B,83,23,2026-04-13,False
1501,167,B,74,35,2026-04-17,False
1501,168,B,74,38,2026-04-19,False
1501,169,B,105,35,2026-04-12,False
1501,170,B,112,60,2026-04-12,False
1501,171,B,112,51,2026-04-18,False
1501,172,B,75,7,2026-04-19,False
1501,173,B,118,12,2026-04-19,False
1501,174,B,101,11,2026-04-21,False
1501,175,B,87,19,2026-04-15,False
1501,176,B,114,24,2026-04-18,False
1501,177,B,84,24,2026-04-14,False
1501,178,B,93,45,2026-04-21,False
1501,179,B,120,55,2026-04-16,False
