ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
2001,1,B,116,5,2026-04-18,False
2001,3,B,100,36,2026-04-13,False
2001,4,B,99,46,2026-04-18,False
2001,5,B,96,35,2026-04-21,False
2001,6,B,106,29,2026-04-12,False
2001,7,B,73,15,2026-04-19,False
2001,8,B,84,16,2026-04-12,False
2001,9,B,112,26,2026-04-12,False
2001,10,B,117,23,2026-04-13,False
2001,11,B,111,36,2026-04-13,False
2001,12,B,83,10,2026-04-15,False
2001,13,B,95,2,2026-04-12,False
2001,14,B,115,38,2026-04-12,False
2001,15,B,105,56,2026-04-19,False
2001,16,B,73,8,2026-04-13,False
2001,17,B,78,4,2026-04-17,False
2001,18,B,85,10,2026-04-21,False
2001,19,B,114,51,2026-04-16,False
2001,20,B,105,15,2026-04-16,False
2001,21,B,93,38,2026-04-16,False
2001,23,B,82,29,2026-04-21,False
2001,24,B,81,27,2026-04-21,False
2001,25,B,92,18,2026-04-19,False
2001,26,B,81,43,2026-04-13,False
2001,27,B,113,50,2026-04-15,False
2001,28,B,121,46,2026-04-16,False
2001,29,B,95,47,2026-04-20,False
2001,30,B,79,27,2026-04-21,False
2001,31,B,80,27,2026-04-14,False
2001,33,B,110,18,2026-04-21,False
2001,34,B,103,54,2026-04-18,False
2001,35,B,92,20,2026-04-20,False
2001,36,B,87,17,2026-04-20,False
2001,37,B,108,18,2026-04-21,False
2001,38,B,97,36,2026-04-19,False
2001,40,B,120,58,2026-04-20,False
2001,41,B,109,22,2026-04-21,False
2001,42,B,117,38,2026-04-21,False
2001,44,B,112,31,2026-04-13,False
2001,45,B,84,19,2026-04-20,False
2001,46,B,84,4,2026-04-21,False
2001,47,B,80,8,2026-04-19,False
2001,48,B,111,26,2026-04-13,False
2001,49,B,111,27,2026-04-16,False
2001,50,B,78,3,2026-04-13,False
2001,51,B,83,12,2026-04-21,False
2001,52,B,95,43,2026-04-19,False
2001,53,B,103,24,2026-04-19,False
2001,55,B,95,26,2026-04-18,False
2001,56,B,101,40,2026-04-14,False
