ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
2101,1,B,99,3,2026-04-21,False
2101,3,B,77,15,2026-04-16,False
2101,4,B,84,11,2026-04-12,False
2101,5,B,104,0,2026-04-19,False
2101,6,B,95,40,2026-04-20,False
2101,7,B,92,4,2026-04-12,False
2101,8,B,117,27,2026-04-15,False
2101,9,B,84,20,2026-04-18,False
2101,11,B,98,29,2026-04-16,False
2101,12,B,107,34,2026-04-15,False
2101,13,B,84,41,2026-04-13,False
2101,16,B,105,29,2026-04-12,False
2101,17,B,112,1,2026-04-17,False
2101,19,B,75,9,2026-04-13,False
2101,20,B,102,48,2026-04-13,False
2101,24,B,116,44,2026-04-17,False
2101,25,B,75,5,2026-04-17,False
2101,26,B,99,15,2026-04-17,False
2101,27,B,93,10,2026-04-20,False
2101,28,B,87,35,2026-04-14,False
2101,29,B,120,53,2026-04-17,False
2101,31,B,120,1,2026-04-13,False
2101,32,B,77,30,2026-04-15,False
2101,33,B,83,13,2026-04-12,False
2101,34,B,81,3,2026-04-17,False
2101,35,B,100,2,2026-04-19,False
2101,36,B,73,19,2026-04-17,False
2101,37,B,105,29,2026-04-14,False
2101,38,B,82,0,2026-04-20,False
2101,39,B,75,15,2026-04-14,False
2101,40,B,122,42,2026-04-14,False
2101,42,B,74,8,2026-04-14,False
2101,43,B,110,41,2026-04-17,False
2101,44,B,106,51,2026-04-12,False
2101,45,B,115,15,2026-04-12,False
2101,46,B,103,31,2026-04-14,False
2101,47,B,97,15,2026-04-19,False
2101,48,B,98,37,2026-04-16,False
2101,49,B,112,33,2026-04-14,False
2101,50,B,86,24,2026-04-12,False
2101,51,B,122,18,2026-04-17,False
2101,52,B,87,38,2026-04-17,False
2101,53,B,104,50,2026-04-14,False
2101,54,B,119,22,2026-04-21,False
2101,55,B,114,8,2026-04-20,False
2101,56,B,92,42,2026-04-12,False
2101,57,B,111,11,2026-04-13,False
2101,58,B,108,18,2026-04-14,False
2101,59,B,78,20,2026-04-12,False
2101,62,B,77,12,2026-04-21,False
2101,64,B,102,7,2026-04-15,False
2101,66,B,114,10,2026-04-21,False
2101,68,B,102,36,2026-04-18,False
2101,69,B,109,34,2026-04-13,False
2101,70,B,89,5,2026-04-14,False
2101,71,B,89,29,2026-04-19,False
2101,72,B,75,26,2026-04-21,False
2101,73,B,115,10,2026-04-20,False
2101,75,B,114,20,2026-04-14,False
2101,76,B,86,14,2026-04-14,False
2101,77,B,108,18,2026-04-16,False
2101,78,B,77,12,2026-04-19,False
2101,79,B,112,33,2026-04-20,False
2101,80,B,93,38,2026-04-17,False
2101,81,B,97,24,2026-04-13,False
2101,82,B,74,16,2026-04-18,False
2101,83,B,102,50,2026-04-17,False
2101,84,B,104,9,2026-04-17,False
2101,85,B,90,39,2026-04-14,False
2101,86,B,114,37,2026-04-15,False
2101,87,B,109,20,2026-04-17,False
2101,88,B,81,4,2026-04-13,False
2101,90,B,122,0,2026-04-18,False
2101,91,B,104,46,2026-04-21,False
2101,92,B,119,61,2026-04-21,False
2101,95,B,102,55,2026-04-12,False
2101,96,B,80,4,2026-04-15,False
2101,97,B,108,4,2026-04-12,False
2101,98,B,81,13,2026-04-14,False
2101,99,B,116,27,2026-04-15,False
2101,100,B,111,39,2026-04-20,False
2101,102,B,102,50,2026-04-18,False
2101,103,B,78,22,2026-04-20,False
2101,104,B,82,29,2026-04-19,False
2101,105,B,111,4,2026-04-14,False
2101,106,B,103,8,2026-04-16,False
2101,107,B,81,7,2026-04-18,False
2101,108,B,116,14,2026-04-21,False
2101,109,B,106,23,2026-04-18,False
2101,110,B,102,16,2026-04-14,False
2101,111,B,110,57,2026-04-16,False
2101,112,B,101,49,2026-04-14,False
2101,113,B,115,15,2026-04-17,False
2101,114,B,73,17,2026-04-14,False
2101,115,B,120,52,2026-04-16,False
2101,116,B,118,41,2026-04-17,False
2101,117,B,88,28,2026-04-14,False
2101,118,B,91,32,2026-04-20,False
2101,119,B,111,45,2026-04-20,False
2101,120,B,103,1,2026-04-17,False
2101,121,B,122,41,2026-04-14,False
2101,122,B,107,5,2026-04-15,False
2101,123,B,86,5,2026-04-18,False
2101,124,B,116,23,2026-04-20,False
2101,125,B,87,28,2026-04-18,False
2101,127,B,74,23,2026-04-21,False
2101,128,B,84,36,2026-04-15,False
2101,129,B,122,61,2026-04-21,False
2101,132,B,74,10,2026-04-14,False
2101,133,B,97,45,2026-04-15,False
2101,134,B,101,31,2026-04-17,False
2101,135,B,121,33,2026-04-20,False
2101,136,B,75,28,2026-04-12,False
2101,137,B,73,14,2026-04-14,False
2101,138,B,106,8,2026-04-14,False
2101,139,B,102,41,2026-04-13,False
2101,140,B,80,30,2026-04-17,False
2101,141,B,111,36,2026-04-15,False
2101,142,B,105,54,2026-04-17,False
