ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
801,1,D,95,36,2026-04-18,True
801,2,D,81,0,2026-04-21,False
801,3,D,91,21,2026-04-20,False
801,4,D,110,30,2026-04-13,False
801,5,D,108,33,2026-04-20,False
801,6,D,117,48,2026-04-17,False
801,7,D,97,14,2026-04-21,False
801,8,D,120,25,2026-04-17,True
801,9,D,101,5,2026-04-19,True
801,10,D,74,11,2026-04-21,False
801,11,D,116,49,2026-04-15,False
801,12,D,87,0,2026-04-14,True
801,13,D,112,19,2026-04-16,True
801,14,D,120,34,2026-04-14,False
801,15,D,120,7,2026-04-12,False
801,16,D,99,25,2026-04-12,True
801,17,D,93,37,2026-04-12,True
801,18,D,78,33,2026-04-17,True
801,19,D,122,21,2026-04-17,True
801,20,D,102,32,2026-04-17,True
801,21,D,100,45,2026-04-14,False
801,22,D,105,45,2026-04-20,False
801,23,D,73,19,2026-04-20,True
801,24,D,106,5,2026-04-16,True
801,25,D,110,57,2026-04-19,True
801,26,D,94,27,2026-04-16,True
801,27,D,73,2,2026-04-19,True
801,28,D,84,30,2026-04-18,False
801,29,D,102,28,2026-04-16,False
801,30,D,97,36,2026-04-20,False
801,31,D,110,41,2026-04-16,True
801,32,D,117,8,2026-04-19,True
801,33,D,108,40,2026-04-18,False
801,34,D,100,13,2026-04-18,True
801,35,D,88,36,2026-04-12,True
801,36,D,117,8,2026-04-13,False
801,37,D,100,22,2026-04-20,True
801,38,D,84,9,2026-04-12,True
801,39,D,87,17,2026-04-18,False
801,40,D,110,14,2026-04-19,False
801,41,D,111,49,2026-04-18,True
801,42,D,72,16,2026-04-20,False
801,43,D,105,51,2026-04-21,False
801,44,D,114,7,2026-04-20,True
801,45,D,87,19,2026-04-18,False
801,46,D,115,36,2026-04-14,True
801,47,D,93,48,2026-04-18,True
801,48,D,102,43,2026-04-20,True
801,49,D,84,29,2026-04-20,True
801,50,D,98,33,2026-04-18,False
801,51,D,105,54,2026-04-21,False
801,52,D,117,35,2026-04-16,False
801,53,D,104,46,2026-04-15,True
801,54,D,81,36,2026-04-16,True
801,55,D,93,7,2026-04-12,False
801,56,D,78,12,2026-04-13,False
801,57,D,90,2,2026-04-13,False
801,58,D,117,27,2026-04-13,True
801,59,D,73,20,2026-04-18,False
801,60,D,118,58,2026-04-21,False
801,61,D,101,27,2026-04-14,False
801,62,D,123,59,2026-04-17,False
801,63,D,94,45,2026-04-15,True
801,64,D,77,37,2026-04-17,True
801,65,D,85,9,2026-04-15,False
801,66,D,94,20,2026-04-21,False
801,67,D,122,34,2026-04-13,True
801,68,D,84,3,2026-04-12,True
801,69,D,120,40,2026-04-19,True
801,70,D,75,10,2026-04-12,False
801,71,D,93,43,2026-04-21,True
801,72,D,113,4,2026-04-20,False
801,73,D,117,37,2026-04-19,False
801,74,D,95,12,2026-04-19,True
801,75,D,79,35,2026-04-18,False
801,76,D,107,1,2026-04-19,False
801,77,D,99,39,2026-04-16,True
801,78,D,119,35,2026-04-18,True
801,79,D,97,23,2026-04-15,False
801,80,D,87,1,2026-04-13,True
801,81,D,81,43,2026-04-14,False
801,82,D,109,40,2026-04-17,False
801,83,D,75,4,2026-04-17,True
801,84,D,83,26,2026-04-16,False
801,85,D,104,43,2026-04-18,True
801,86,D,82,4,2026-04-12,False
801,87,D,78,10,2026-04-21,True
801,88,D,88,22,2026-04-13,True
801,89,D,109,13,2026-04-20,False
801,90,D,120,12,2026-04-21,True
801,91,D,102,22,2026-04-16,False
801,92,D,80,34,2026-04-18,True
801,93,D,120,51,2026-04-20,False
801,94,D,104,21,2026-04-21,False
801,95,D,80,17,2026-04-19,False
801,96,D,111,10,2026-04-12,False
801,97,D,84,30,2026-04-13,False
801,98,D,110,52,2026-04-16,True
801,99,D,75,9,2026-04-16,True
801,100,D,119,11,2026-04-20,False
801,101,D,96,21,2026-04-12,True
801,102,D,78,33,2026-04-21,False
801,103,D,110,46,2026-04-12,True
801,104,D,120,44,2026-04-21,True
801,105,D,116,20,2026-04-20,False
801,106,D,116,55,2026-04-12,True
801,107,D,75,21,2026-04-12,False
801,108,D,111,10,2026-04-18,False
801,109,D,82,17,2026-04-13,False
801,110,D,122,42,2026-04-14,True
801,111,D,76,39,2026-04-18,True
801,112,D,113,38,2026-04-20,False
801,113,D,95,32,2026-04-15,True
801,114,D,103,33,2026-04-14,False
801,115,D,75,9,2026-04-16,False
801,116,D,78,14,2026-04-14,False
801,117,D,107,32,2026-04-17,True
801,118,D,84,9,2026-04-17,True
801,119,D,113,17,2026-04-21,True
801,120,D,119,19,2026-04-16,False
801,121,D,82,16,2026-04-21,True
801,122,D,117,57,2026-04-20,True
801,123,D,115,42,2026-04-13,True
801,124,D,117,39,2026-04-12,True
801,125,D,111,36,2026-04-16,False
801,126,D,75,20,2026-04-12,True
801,127,D,102,7,2026-04-20,False
801,128,D,100,48,2026-04-21,True
801,129,D,97,48,2026-04-16,False
801,130,D,97,10,2026-04-15,True
801,131,D,82,33,2026-04-21,False
801,132,D,107,38,2026-04-13,False
801,133,D,78,3,2026-04-20,True
801,134,D,75,35,2026-04-20,False
801,135,D,87,40,2026-04-12,False
801,136,D,110,16,2026-04-17,False
801,137,D,99,21,2026-04-17,True
801,138,D,107,46,2026-04-12,False
801,139,D,117,46,2026-04-13,True
801,140,D,84,16,2026-04-18,True
801,141,D,100,13,2026-04-21,True
801,142,D,101,38,2026-04-18,True
801,143,D,106,24,2026-04-14,True
801,144,D,72,36,2026-04-16,True
801,145,D,103,28,2026-04-12,False
801,146,D,73,7,2026-04-18,True
801,147,D,85,6,2026-04-12,False
801,148,D,98,46,2026-04-14,False
801,149,D,93,46,2026-04-14,False
801,150,D,81,32,2026-04-16,False
801,151,D,73,14,2026-04-12,False
801,152,D,73,19,2026-04-17,False
801,153,D,113,8,2026-04-16,True
801,154,D,108,28,2026-04-17,False
801,155,D,102,15,2026-04-20,True
801,156,D,113,59,2026-04-19,False
801,157,D,108,25,2026-04-14,True
801,158,D,87,24,2026-04-15,True
801,159,D,95,14,2026-04-16,True
801,160,D,76,39,2026-04-18,True
801,161,D,106,28,2026-04-15,True
801,162,D,102,2,2026-04-17,False
801,163,D,88,14,2026-04-16,True
801,164,D,74,34,2026-04-20,True
801,165,D,107,36,2026-04-12,True
801,166,D,93,27,2026-04-18,True
801,167,D,87,41,2026-04-20,False
801,168,D,100,42,2026-04-13,False
801,169,D,85,27,2026-04-12,False
801,170,D,120,43,2026-04-17,False
801,171,D,91,11,2026-04-16,True
801,172,D,99,9,2026-04-12,False
801,173,D,89,15,2026-04-13,False
801,174,D,74,34,2026-04-15,False
801,175,D,89,26,2026-04-19,True
801,176,D,96,26,2026-04-13,False
801,177,D,113,7,2026-04-13,True
801,178,D,83,37,2026-04-14,True
801,179,D,113,11,2026-04-18,False
801,180,D,109,26,2026-04-17,True
801,181,D,76,10,2026-04-19,True
801,182,D,98,23,2026-04-20,True
801,183,D,103,1,2026-04-19,False
801,184,D,115,7,2026-04-21,False
802,1,D,116,24,2026-04-19,False
802,2,D,92,1,2026-04-21,False
802,3,D,82,1,2026-04-18,False
802,4,D,115,7,2026-04-19,False
802,5,D,121,28,2026-04-18,False
802,6,D,94,29,2026-04-14,False
802,7,D,103,26,2026-04-15,True
802,8,D,120,52,2026-04-16,True
802,9,D,75,28,2026-04-12,False
802,10,D,82,21,2026-04-12,True
802,11,D,99,37,2026-04-16,True
802,12,D,91,39,2026-04-15,True
802,13,D,116,45,2026-04-16,False
802,14,D,87,22,2026-04-12,True
802,15,D,99,40,2026-04-17,False
802,16,D,122,54,2026-04-20,False
802,17,D,83,15,2026-04-20,True
802,18,D,115,52,2026-04-14,True
802,19,D,116,24,2026-04-17,True
802,20,D,114,35,2026-04-18,False
802,21,D,123,46,2026-04-15,True
802,22,D,112,32,2026-04-21,True
802,23,D,102,13,2026-04-21,True
802,24,D,75,32,2026-04-12,True
802,25,D,91,27,2026-04-20,False
802,26,D,98,41,2026-04-13,True
802,27,D,104,20,2026-04-12,False
