ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
153,1,D,114,21,2026-04-15,False
153,2,D,92,22,2026-04-16,True
153,3,D,114,41,2026-04-15,False
153,4,D,88,34,2026-04-15,False
153,5,D,121,17,2026-04-19,True
153,6,D,76,10,2026-04-17,True
153,7,D,75,2,2026-04-17,True
153,8,D,92,1,2026-04-21,False
153,9,D,105,15,2026-04-20,True
153,10,D,83,2,2026-04-15,False
153,11,D,114,53,2026-04-20,True
153,12,D,96,24,2026-04-18,False
153,13,D,88,37,2026-04-20,True
153,14,D,115,54,2026-04-17,True
153,15,D,84,3,2026-04-19,False
153,16,D,86,6,2026-04-19,True
153,17,D,98,13,2026-04-19,False
153,19,B,75,7,2026-04-17,False
153,20,D,107,0,2026-04-19,False
153,21,D,74,21,2026-04-17,True
153,22,D,93,9,2026-04-17,True
153,23,D,121,21,2026-04-17,True
153,24,D,81,1,2026-04-19,True
153,25,D,117,44,2026-04-19,True
153,26,D,80,0,2026-04-21,True
153,28,D,116,12,2026-04-19,False
153,29,D,105,33,2026-04-12,True
153,30,D,105,34,2026-04-19,False
153,31,B,96,42,2026-04-18,False
153,32,D,95,21,2026-04-21,False
153,33,D,103,36,2026-04-20,True
153,35,D,85,21,2026-04-18,True
153,36,D,114,38,2026-04-16,False
153,37,D,88,7,2026-04-14,False
153,38,D,106,11,2026-04-12,False
153,39,B,108,57,2026-04-13,False
153,40,D,78,17,2026-04-15,False
153,41,D,90,24,2026-04-17,True
153,42,D,83,34,2026-04-12,False
153,43,D,119,58,2026-04-12,False
153,44,D,104,13,2026-04-15,True
153,45,D,101,17,2026-04-21,True
153,46,D,122,0,2026-04-14,True
153,47,D,89,38,2026-04-21,False
153,48,D,115,15,2026-04-18,False
153,49,D,82,3,2026-04-19,False
153,50,D,119,24,2026-04-20,False
153,51,D,106,27,2026-04-14,True
153,52,D,92,26,2026-04-20,False
153,53,D,109,47,2026-04-18,False
153,54,D,78,11,2026-04-12,True
153,55,D,98,18,2026-04-16,False
153,56,B,84,45,2026-04-14,False
153,57,D,88,29,2026-04-18,True
153,58,D,114,44,2026-04-17,True
153,59,B,104,32,2026-04-19,False
153,60,B,101,4,2026-04-17,False
153,61,D,102,27,2026-04-19,True
153,62,B,114,10,2026-04-19,False
153,63,D,89,10,2026-04-13,True
153,64,D,102,12,2026-04-13,True
153,65,D,85,12,2026-04-13,False
153,66,D,113,11,2026-04-19,True
153,67,D,115,21,2026-04-12,True
153,68,D,105,24,2026-04-19,False
153,69,D,76,1,2026-04-12,False
153,70,D,107,52,2026-04-21,True
153,71,D,104,17,2026-04-17,True
153,72,D,73,10,2026-04-17,False
153,73,D,89,10,2026-04-19,True
153,74,B,91,16,2026-04-16,False
153,75,D,84,24,2026-04-14,True
153,76,D,81,33,2026-04-12,True
153,77,D,92,36,2026-04-18,False
153,78,D,118,4,2026-04-17,False
153,79,D,96,10,2026-04-12,True
153,80,B,116,12,2026-04-14,False
153,81,D,87,17,2026-04-20,False
153,82,B,95,12,2026-04-16,False
153,83,D,75,35,2026-04-18,True
153,84,D,100,45,2026-04-13,False
153,85,D,104,32,2026-04-12,False
153,86,D,100,50,2026-04-12,True
153,88,B,113,46,2026-04-12,False
153,90,D,93,1,2026-04-16,True
153,91,D,116,48,2026-04-21,False
153,92,D,74,21,2026-04-13,False
153,93,D,109,23,2026-04-12,False
153,94,D,93,3,2026-04-13,True
153,95,D,73,22,2026-04-14,True
153,96,D,90,14,2026-04-19,True
153,97,D,90,0,2026-04-21,False
153,98,B,73,0,2026-04-13,False
153,99,D,91,26,2026-04-20,False
153,100,D,114,38,2026-04-17,False
153,101,D,114,25,2026-04-14,False
153,102,D,95,29,2026-04-16,True
153,103,D,87,39,2026-04-20,False
153,104,D,88,35,2026-04-18,False
153,105,D,117,61,2026-04-15,False
153,107,D,95,2,2026-04-13,False
153,108,B,75,36,2026-04-19,False
153,110,D,73,8,2026-04-14,True
153,111,B,106,47,2026-04-19,False
153,112,D,109,21,2026-04-19,False
153,113,D,110,51,2026-04-17,True
153,114,D,83,7,2026-04-21,False
153,115,D,91,22,2026-04-15,True
153,116,D,118,38,2026-04-20,True
153,117,D,101,27,2026-04-15,False
153,118,D,117,26,2026-04-13,True
153,119,B,120,33,2026-04-21,False
153,120,D,120,40,2026-04-12,False
153,121,D,90,19,2026-04-14,True
153,123,D,74,15,2026-04-18,False
153,124,D,107,52,2026-04-17,True
153,125,D,120,36,2026-04-16,True
153,126,D,81,9,2026-04-21,False
153,127,B,83,20,2026-04-17,False
153,128,D,118,28,2026-04-19,False
153,129,B,81,40,2026-04-20,False
153,130,D,103,18,2026-04-18,False
153,131,D,78,3,2026-04-18,False
153,132,D,97,4,2026-04-16,True
153,133,D,90,45,2026-04-17,True
153,134,D,93,7,2026-04-21,True
153,135,D,112,21,2026-04-15,True
153,136,D,117,41,2026-04-21,False
154,1,D,99,15,2026-04-20,True
154,2,D,80,10,2026-04-16,True
154,3,D,110,47,2026-04-15,False
154,4,D,75,37,2026-04-14,False
154,5,D,97,28,2026-04-13,False
154,6,D,72,3,2026-04-15,False
154,7,D,76,41,2026-04-15,False
154,8,D,110,18,2026-04-19,False
154,9,D,92,40,2026-04-18,True
154,10,D,109,29,2026-04-21,False
154,11,D,84,33,2026-04-20,True
154,12,D,103,46,2026-04-20,True
154,13,D,81,6,2026-04-19,False
154,14,D,94,18,2026-04-13,True
154,15,D,109,23,2026-04-15,False
154,16,D,114,60,2026-04-19,True
154,17,D,111,7,2026-04-13,False
154,18,D,93,19,2026-04-12,True
154,19,D,111,1,2026-04-17,False
154,20,D,95,37,2026-04-20,True
154,21,D,106,42,2026-04-21,False
154,22,D,114,10,2026-04-18,True
154,23,D,97,46,2026-04-17,True
154,24,D,101,1,2026-04-17,True
154,25,D,96,1,2026-04-15,False
154,26,D,123,7,2026-04-17,True
154,27,D,75,8,2026-04-20,True
154,28,D,106,29,2026-04-21,False
154,29,D,83,43,2026-04-18,True
154,30,D,108,1,2026-04-16,False
154,31,D,120,1,2026-04-18,True
154,32,D,113,23,2026-04-13,False
154,33,D,109,35,2026-04-16,True
154,34,D,77,24,2026-04-15,True
154,35,D,79,27,2026-04-14,False
154,36,D,80,41,2026-04-20,False
154,37,D,75,7,2026-04-17,True
154,38,D,99,22,2026-04-20,False
154,39,D,113,25,2026-04-21,False
154,40,D,85,7,2026-04-17,True
154,41,D,90,29,2026-04-14,True
154,42,D,107,43,2026-04-19,True
154,43,D,73,21,2026-04-18,False
154,44,D,114,7,2026-04-20,False
154,45,D,117,7,2026-04-20,True
154,46,D,91,45,2026-04-15,True
154,47,D,101,46,2026-04-14,True
154,48,D,101,16,2026-04-18,False
154,49,D,95,39,2026-04-18,False
154,50,D,73,7,2026-04-21,False
154,51,D,110,6,2026-04-15,False
154,52,D,118,1,2026-04-17,False
154,53,D,87,11,2026-04-16,False
154,54,D,79,13,2026-04-20,True
154,55,D,106,31,2026-04-18,False
154,56,D,82,4,2026-04-19,True
154,57,D,104,0,2026-04-14,True
154,58,D,100,20,2026-04-21,False
154,59,D,92,20,2026-04-19,False
154,60,D,98,1,2026-04-13,False
154,61,D,83,2,2026-04-12,False
154,62,D,102,43,2026-04-12,True
154,63,D,102,20,2026-04-18,True
154,64,D,100,26,2026-04-21,True
154,65,D,101,43,2026-04-21,True
154,66,D,90,4,2026-04-12,True
154,67,D,89,45,2026-04-17,True
154,68,D,95,1,2026-04-12,True
154,69,D,75,10,2026-04-12,False
154,70,D,81,7,2026-04-12,True
154,71,D,107,42,2026-04-19,False
154,72,D,84,19,2026-04-20,False
154,73,D,119,32,2026-04-12,True
154,74,D,100,51,2026-04-16,False
154,75,D,100,40,2026-04-18,False
154,76,D,122,42,2026-04-21,True
154,77,D,87,25,2026-04-15,False
154,78,D,123,22,2026-04-14,True
154,79,D,98,34,2026-04-15,False
154,80,D,88,27,2026-04-17,True
154,81,D,88,5,2026-04-21,False
154,82,D,83,4,2026-04-19,True
154,83,D,83,44,2026-04-14,True
154,84,D,80,17,2026-04-18,True
154,85,D,73,27,2026-04-14,False
154,86,D,97,31,2026-04-12,True
154,87,D,82,42,2026-04-15,False
154,88,D,77,29,2026-04-13,True
154,89,D,117,1,2026-04-14,True
154,90,D,75,32,2026-04-19,False
154,91,D,121,6,2026-04-13,True
154,92,D,103,40,2026-04-16,True
154,93,D,106,45,2026-04-18,True
154,94,D,119,12,2026-04-16,False
154,95,D,120,22,2026-04-21,True
154,96,D,118,31,2026-04-15,False
154,97,D,118,10,2026-04-15,True
154,98,D,122,2,2026-04-20,False
154,99,D,107,52,2026-04-19,False
154,100,D,107,46,2026-04-20,True
154,101,D,105,24,2026-04-15,True
154,102,D,84,43,2026-04-13,False
154,103,D,79,37,2026-04-15,True
154,104,D,79,5,2026-04-21,False
154,105,D,115,0,2026-04-18,True
154,106,D,81,36,2026-04-19,False
154,107,D,76,25,2026-04-14,True
154,108,D,80,26,2026-04-21,False
154,109,D,122,29,2026-04-18,True
154,110,D,115,52,2026-04-12,False
154,111,D,89,2,2026-04-15,False
154,112,D,122,51,2026-04-14,False
154,113,D,86,0,2026-04-16,False
154,114,D,99,1,2026-04-13,True
154,115,D,122,4,2026-04-16,True
154,116,D,121,6,2026-04-13,True
154,117,D,113,2,2026-04-15,True
154,118,D,98,23,2026-04-21,True
154,119,D,97,22,2026-04-16,False
154,120,D,84,18,2026-04-17,True
154,121,D,78,37,2026-04-12,False
154,122,D,118,8,2026-04-19,False
154,123,D,111,13,2026-04-15,True
154,124,D,94,25,2026-04-21,False
154,125,D,96,0,2026-04-19,True
154,126,D,76,28,2026-04-15,True
154,127,D,82,37,2026-04-20,True
154,128,D,81,19,2026-04-12,True
154,129,D,82,26,2026-04-14,False
154,130,D,115,39,2026-04-21,True
154,131,D,102,8,2026-04-20,False
154,132,D,73,28,2026-04-17,True
154,133,D,116,62,2026-04-20,False
154,134,D,121,55,2026-04-14,False
154,135,D,74,23,2026-04-21,True
154,136,D,107,17,2026-04-18,False
154,137,D,105,21,2026-04-18,True
154,138,D,117,21,2026-04-14,False
