ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
501,1,B,109,28,2026-04-17,False
501,2,B,103,8,2026-04-20,False
501,3,D,87,25,2026-04-19,False
501,4,D,115,36,2026-04-12,False
501,5,B,74,26,2026-04-19,False
501,6,B,112,58,2026-04-19,False
501,7,B,102,33,2026-04-16,False
501,8,B,77,15,2026-04-16,False
501,9,B,72,37,2026-04-17,False
501,10,D,98,19,2026-04-16,False
501,12,B,102,36,2026-04-12,False
501,13,D,97,12,2026-04-14,True
501,14,B,111,11,2026-04-16,False
501,15,D,115,37,2026-04-20,False
501,16,B,73,34,2026-04-19,False
501,17,B,78,31,2026-04-14,False
501,18,B,104,55,2026-04-20,False
501,19,B,78,28,2026-04-14,False
501,20,B,105,48,2026-04-15,False
501,21,B,104,20,2026-04-12,False
501,22,B,77,27,2026-04-14,False
501,23,B,92,45,2026-04-17,False
501,24,B,88,40,2026-04-13,False
501,25,B,110,41,2026-04-17,False
501,26,D,85,34,2026-04-13,False
501,27,D,84,2,2026-04-13,False
501,28,B,110,7,2026-04-15,False
501,29,B,94,1,2026-04-20,False
501,30,B,106,25,2026-04-21,False
501,31,B,80,19,2026-04-18,False
501,32,D,96,26,2026-04-12,False
501,33,B,108,51,2026-04-14,False
501,34,B,74,4,2026-04-16,False
501,36,B,77,3,2026-04-18,False
501,37,B,102,9,2026-04-12,False
501,38,B,79,21,2026-04-15,False
501,39,D,94,42,2026-04-21,True
501,40,B,115,29,2026-04-18,False
501,41,B,101,19,2026-04-15,False
501,42,B,88,46,2026-04-16,False
501,43,D,78,37,2026-04-17,False
501,44,B,82,1,2026-04-13,False
501,46,B,122,53,2026-04-12,False
501,47,B,112,15,2026-04-17,False
501,48,B,122,30,2026-04-12,False
501,49,B,96,43,2026-04-16,False
501,50,D,79,0,2026-04-14,False
501,51,D,81,40,2026-04-12,False
501,52,B,75,5,2026-04-20,False
501,54,D,99,7,2026-04-16,False
501,55,B,120,34,2026-04-21,False
501,56,B,97,10,2026-04-19,False
501,58,B,80,3,2026-04-16,False
501,59,D,81,36,2026-04-12,True
501,60,B,107,51,2026-04-16,False
501,61,B,80,30,2026-04-12,False
501,63,B,113,8,2026-04-18,False
501,64,D,95,49,2026-04-12,False
501,65,B,99,1,2026-04-18,False
501,66,D,112,35,2026-04-20,True
501,67,D,80,2,2026-04-12,True
501,68,B,121,43,2026-04-16,False
501,69,B,91,40,2026-04-19,False
501,70,B,100,4,2026-04-21,False
501,71,B,84,17,2026-04-18,False
501,72,B,114,46,2026-04-14,False
501,73,D,112,50,2026-04-12,False
501,74,B,85,41,2026-04-21,False
501,75,D,101,4,2026-04-18,False
501,76,D,90,24,2026-04-19,True
501,77,D,108,40,2026-04-15,False
501,78,D,101,39,2026-04-18,False
501,79,B,92,38,2026-04-17,False
501,80,D,73,25,2026-04-21,True
501,81,B,86,20,2026-04-16,False
501,82,B,98,35,2026-04-15,False
501,83,D,92,33,2026-04-12,False
501,84,B,87,7,2026-04-17,False
501,85,B,118,45,2026-04-19,False
501,86,B,113,49,2026-04-19,False
501,87,B,120,8,2026-04-18,False
501,88,D,83,42,2026-04-13,True
501,89,B,82,41,2026-04-17,False
501,90,D,84,0,2026-04-16,False
501,91,D,87,30,2026-04-18,True
501,93,B,108,22,2026-04-15,False
501,94,B,96,38,2026-04-19,False
501,95,D,118,15,2026-04-19,True
501,96,B,120,11,2026-04-18,False
501,97,B,102,23,2026-04-14,False
501,98,B,81,37,2026-04-20,False
501,99,B,113,22,2026-04-18,False
501,100,D,104,11,2026-04-18,False
501,101,D,87,9,2026-04-13,True
501,102,B,83,35,2026-04-21,False
501,103,B,113,2,2026-04-14,False
501,104,B,123,16,2026-04-16,False
501,105,B,101,6,2026-04-16,False
501,106,B,98,18,2026-04-12,False
501,107,B,80,36,2026-04-14,False
501,108,B,87,8,2026-04-18,False
501,109,B,114,22,2026-04-20,False
501,110,B,114,29,2026-04-18,False
501,111,B,84,12,2026-04-14,False
