ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
101,1,B,101,37,2026-04-19,False
101,2,B,122,15,2026-04-18,False
101,3,B,97,29,2026-04-18,False
101,6,B,116,46,2026-04-18,False
101,7,B,117,10,2026-04-13,False
101,8,D,87,12,2026-04-20,False
101,9,D,75,33,2026-04-16,False
101,10,B,106,39,2026-04-12,False
101,11,D,92,33,2026-04-12,True
101,13,B,122,46,2026-04-13,False
101,14,D,97,30,2026-04-21,True
101,16,B,88,22,2026-04-17,False
101,17,D,92,23,2026-04-13,False
101,18,D,84,5,2026-04-19,False
101,19,B,109,15,2026-04-15,False
101,20,D,87,45,2026-04-16,False
101,21,D,77,40,2026-04-14,False
101,22,B,105,44,2026-04-12,False
101,23,D,119,50,2026-04-16,False
101,24,D,101,35,2026-04-20,False
101,25,D,111,49,2026-04-13,True
101,26,D,84,3,2026-04-16,False
101,28,D,82,13,2026-04-15,True
101,29,B,97,0,2026-04-16,False
101,30,D,123,4,2026-04-20,True
101,31,D,98,42,2026-04-20,True
101,32,D,114,33,2026-04-15,True
101,33,B,91,0,2026-04-21,False
101,34,D,74,26,2026-04-16,True
101,35,B,118,21,2026-04-17,False
101,37,D,86,31,2026-04-13,False
101,38,B,98,15,2026-04-14,False
101,40,D,75,10,2026-04-17,True
101,41,B,105,33,2026-04-16,False
101,42,D,77,4,2026-04-20,True
101,44,B,118,63,2026-04-20,False
101,45,D,93,2,2026-04-12,True
101,46,B,110,11,2026-04-18,False
101,47,B,122,50,2026-04-20,False
101,48,D,99,26,2026-04-18,False
101,49,D,112,0,2026-04-15,False
101,50,B,118,12,2026-04-14,False
101,51,B,76,27,2026-04-20,False
101,52,B,106,49,2026-04-13,False
101,53,D,75,11,2026-04-20,False
101,54,D,96,44,2026-04-16,True
101,55,D,76,17,2026-04-12,True
101,56,B,88,39,2026-04-16,False
101,58,D,93,17,2026-04-16,False
101,59,B,105,5,2026-04-15,False
101,60,D,96,15,2026-04-19,True
101,61,D,93,49,2026-04-19,False
101,63,B,114,31,2026-04-15,False
101,64,B,84,18,2026-04-13,False
101,65,D,110,41,2026-04-12,False
101,66,D,77,21,2026-04-16,True
101,67,D,78,29,2026-04-13,False
101,68,D,118,26,2026-04-12,False
101,69,D,76,24,2026-04-18,True
101,70,B,104,33,2026-04-14,False
101,71,D,97,22,2026-04-19,True
101,72,B,106,51,2026-04-13,False
101,73,B,109,52,2026-04-21,False
101,74,D,82,4,2026-04-12,False
101,75,D,94,21,2026-04-15,True
101,76,B,93,4,2026-04-16,False
101,77,B,113,55,2026-04-16,False
101,78,D,99,28,2026-04-21,True
101,79,D,86,4,2026-04-17,True
101,80,D,100,25,2026-04-15,True
101,82,B,90,47,2026-04-16,False
101,83,B,106,43,2026-04-13,False
101,84,D,90,21,2026-04-18,False
101,85,B,85,39,2026-04-17,False
101,86,B,92,21,2026-04-15,False
101,87,D,92,33,2026-04-14,True
101,88,B,111,47,2026-04-14,False
101,90,B,115,29,2026-04-16,False
101,91,B,118,29,2026-04-18,False
101,92,B,93,9,2026-04-20,False
101,94,D,99,6,2026-04-16,False
101,96,D,74,5,2026-04-17,False
101,97,D,90,45,2026-04-21,True
101,98,B,86,13,2026-04-21,False
101,99,D,119,26,2026-04-12,True
101,100,B,72,7,2026-04-18,False
101,101,B,112,20,2026-04-12,False
101,102,B,107,50,2026-04-19,False
101,103,B,85,32,2026-04-14,False
101,104,B,108,5,2026-04-16,False
101,105,D,114,24,2026-04-15,True
101,106,D,78,4,2026-04-20,False
101,107,B,103,1,2026-04-13,False
101,108,D,101,36,2026-04-14,True
101,109,B,112,39,2026-04-16,False
101,110,D,94,29,2026-04-20,True
101,111,D,116,38,2026-04-16,False
101,113,D,85,16,2026-04-14,True
101,114,B,114,33,2026-04-21,False
101,115,D,102,0,2026-04-16,True
101,116,D,82,19,2026-04-15,False
101,117,B,120,16,2026-04-17,False
101,118,B,110,0,2026-04-15,False
101,120,B,102,0,2026-04-21,False
101,121,B,93,22,2026-04-13,False
101,122,B,119,4,2026-04-20,False
101,123,B,100,0,2026-04-21,False
101,124,D,84,40,2026-04-21,True
101,126,D,106,21,2026-04-18,True
101,127,D,82,19,2026-04-13,True
101,128,D,77,16,2026-04-20,True
101,130,D,81,13,2026-04-12,True
101,131,D,106,32,2026-04-19,True
101,132,D,74,38,2026-04-20,False
101,133,B,105,44,2026-04-12,False
101,135,D,96,49,2026-04-18,False
101,136,D,103,43,2026-04-14,False
101,137,D,97,43,2026-04-14,False
101,138,D,91,1,2026-04-19,False
101,139,B,79,11,2026-04-13,False
101,140,D,95,11,2026-04-18,True
101,141,B,118,27,2026-04-19,False
101,143,D,109,18,2026-04-14,False
101,145,D,87,19,2026-04-19,True
101,146,D,88,24,2026-04-18,True
101,147,D,87,36,2026-04-18,True
101,148,D,111,11,2026-04-21,False
101,149,D,110,13,2026-04-18,False
101,150,B,95,51,2026-04-14,False
101,151,D,96,47,2026-04-13,True
101,152,B,123,41,2026-04-20,False
101,153,B,104,51,2026-04-14,False
101,154,B,83,8,2026-04-16,False
101,156,D,119,51,2026-04-21,False
101,158,B,106,6,2026-04-12,False
101,159,D,120,46,2026-04-14,False
101,160,D,123,10,2026-04-20,True
101,161,D,116,38,2026-04-18,True
101,162,B,109,38,2026-04-16,False
101,163,B,82,21,2026-04-12,False
101,164,D,84,31,2026-04-19,True
101,165,D,118,61,2026-04-21,True
101,166,D,100,40,2026-04-16,True
101,167,D,99,39,2026-04-13,True
101,168,B,78,20,2026-04-20,False
101,169,D,120,49,2026-04-13,False
101,170,D,75,27,2026-04-15,True
101,171,B,97,19,2026-04-12,False
101,172,D,112,32,2026-04-16,True
101,173,D,93,15,2026-04-18,False
101,174,D,72,6,2026-04-17,False
101,175,D,87,29,2026-04-20,True
101,176,B,98,6,2026-04-15,False
101,177,D,120,59,2026-04-16,True
101,178,D,78,32,2026-04-15,False
101,179,D,80,20,2026-04-19,False
101,180,D,77,14,2026-04-17,True
101,181,B,110,14,2026-04-19,False
101,182,B,116,32,2026-04-13,False
101,183,D,95,5,2026-04-16,False
101,184,D,74,11,2026-04-19,True
101,185,D,104,25,2026-04-18,False
102,1,B,98,4,2026-04-14,False
102,2,B,104,53,2026-04-13,False
102,3,B,88,30,2026-04-13,False
102,5,B,82,16,2026-04-13,False
102,7,B,120,51,2026-04-21,False
102,8,B,89,39,2026-04-16,False
102,9,B,85,19,2026-04-17,False
102,10,B,118,39,2026-04-12,False
102,11,B,93,29,2026-04-16,False
102,13,B,103,23,2026-04-16,False
102,14,B,94,13,2026-04-21,False
102,15,B,106,55,2026-04-14,False
102,16,B,78,20,2026-04-12,False
102,17,B,87,10,2026-04-14,False
102,18,B,111,50,2026-04-14,False
102,19,B,102,42,2026-04-16,False
102,20,B,106,35,2026-04-21,False
102,21,B,78,39,2026-04-20,False
102,22,B,111,33,2026-04-20,False
102,23,B,75,36,2026-04-20,False
102,24,B,92,23,2026-04-13,False
102,26,B,113,60,2026-04-19,False
102,29,B,88,40,2026-04-20,False
102,34,B,117,32,2026-04-17,False
102,35,B,73,23,2026-04-20,False
102,36,B,80,5,2026-04-17,False
102,37,B,110,45,2026-04-21,False
102,38,B,93,45,2026-04-17,False
102,39,B,122,31,2026-04-16,False
102,40,B,87,31,2026-04-18,False
102,41,B,117,35,2026-04-19,False
102,42,B,96,30,2026-04-16,False
102,43,B,116,28,2026-04-20,False
102,44,B,105,24,2026-04-19,False
102,45,B,84,35,2026-04-17,False
102,46,B,77,24,2026-04-13,False
102,47,B,87,38,2026-04-20,False
102,48,B,83,21,2026-04-16,False
102,49,B,105,23,2026-04-13,False
102,50,B,111,8,2026-04-19,False
102,51,B,75,36,2026-04-19,False
102,52,B,104,23,2026-04-21,False
102,53,B,102,1,2026-04-16,False
102,54,B,115,57,2026-04-16,False
102,55,B,121,17,2026-04-14,False
102,56,B,85,27,2026-04-14,False
102,57,B,74,3,2026-04-20,False
102,58,B,101,28,2026-04-15,False
102,59,B,102,36,2026-04-18,False
102,60,B,89,37,2026-04-20,False
102,61,B,111,21,2026-04-21,False
102,63,B,111,19,2026-04-13,False
102,64,B,123,43,2026-04-12,False
102,65,B,87,11,2026-04-18,False
102,66,B,119,32,2026-04-12,False
102,67,B,112,36,2026-04-15,False
102,68,B,90,43,2026-04-16,False
102,69,B,110,31,2026-04-16,False
102,70,B,110,27,2026-04-16,False
102,71,B,81,29,2026-04-21,False
102,72,B,78,27,2026-04-17,False
102,73,B,107,55,2026-04-19,False
102,75,B,99,47,2026-04-12,False
102,76,B,120,21,2026-04-19,False
102,78,B,87,2,2026-04-20,False
102,79,B,92,11,2026-04-19,False
102,80,B,85,13,2026-04-18,False
102,81,B,84,31,2026-04-18,False
102,82,B,78,27,2026-04-15,False
102,83,B,101,24,2026-04-21,False
102,84,B,122,38,2026-04-13,False
102,85,B,74,39,2026-04-17,False
102,86,B,112,47,2026-04-12,False
102,87,B,94,3,2026-04-15,False
102,88,B,100,32,2026-04-21,False
102,89,B,82,17,2026-04-13,False
102,90,B,73,3,2026-04-16,False
102,91,B,77,4,2026-04-21,False
102,92,B,86,26,2026-04-15,False
102,93,B,121,28,2026-04-18,False
102,94,B,98,3,2026-04-12,False
102,96,B,123,4,2026-04-20,False
102,99,B,86,38,2026-04-18,False
102,100,B,95,12,2026-04-18,False
102,101,B,73,34,2026-04-20,False
102,103,B,106,49,2026-04-13,False
102,104,B,115,59,2026-04-21,False
102,105,B,106,20,2026-04-13,False
102,106,B,94,8,2026-04-16,False
102,107,B,99,24,2026-04-13,False
102,108,B,79,5,2026-04-18,False
102,109,B,94,7,2026-04-16,False
102,110,B,89,1,2026-04-13,False
102,111,B,114,57,2026-04-18,False
102,112,B,88,26,2026-04-18,False
102,113,B,103,12,2026-04-17,False
102,115,B,109,30,2026-04-12,False
102,116,B,118,42,2026-04-12,False
102,117,B,80,26,2026-04-14,False
102,118,B,107,10,2026-04-17,False
