ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
1401,1,B,79,10,2026-04-13,False
1401,2,B,115,56,2026-04-13,False
1401,3,B,99,41,2026-04-15,False
1401,4,B,122,20,2026-04-16,False
1401,5,B,85,7,2026-04-15,False
1401,6,B,72,22,2026-04-20,False
1401,8,B,84,25,2026-04-14,False
1401,9,B,96,22,2026-04-16,False
1401,10,B,110,36,2026-04-17,False
1401,11,B,110,31,2026-04-16,False
1401,12,B,80,33,2026-04-14,False
1401,13,B,118,41,2026-04-17,False
1401,14,B,83,9,2026-04-19,False
1401,16,B,74,1,2026-04-21,False
1401,17,B,115,45,2026-04-14,False
1401,18,B,115,50,2026-04-20,False
1401,19,B,80,25,2026-04-20,False
1401,20,B,82,17,2026-04-16,False
1401,21,B,88,4,2026-04-14,False
1401,22,B,116,23,2026-04-14,False
1401,23,B,80,39,2026-04-19,False
1401,24,B,122,44,2026-04-20,False
1401,25,B,85,6,2026-04-12,False
1401,26,B,84,2,2026-04-20,False
1401,27,B,122,21,2026-04-16,False
1401,28,B,113,15,2026-04-12,False
1401,29,B,99,36,2026-04-17,False
1401,30,B,87,28,2026-04-20,False
1401,31,B,84,31,2026-04-13,False
1401,32,B,120,50,2026-04-13,False
1401,33,B,106,27,2026-04-20,False
1401,34,B,107,2,2026-04-21,False
1401,35,B,98,0,2026-04-16,False
1401,36,B,113,17,2026-04-14,False
1401,37,B,77,32,2026-04-16,False
1401,38,B,96,4,2026-04-13,False
1401,39,B,75,27,2026-04-14,False
1401,40,B,72,36,2026-04-18,False
1401,41,B,110,59,2026-04-20,False
1401,42,B,98,27,2026-04-20,False
1401,43,B,76,2,2026-04-16,False
1401,44,B,84,34,2026-04-16,False
1401,45,B,82,34,2026-04-13,False
1401,46,B,81,43,2026-04-17,False
1401,50,B,98,32,2026-04-16,False
1401,51,B,106,29,2026-04-13,False
1401,52,B,99,50,2026-04-13,False
1401,53,B,81,19,2026-04-16,False
1401,54,B,88,21,2026-04-21,False
1401,55,B,79,22,2026-04-20,False
1401,56,B,78,4,2026-04-16,False
1401,57,B,122,11,2026-04-17,False
1401,58,B,116,20,2026-04-14,False
1401,59,B,78,29,2026-04-13,False
1401,60,B,114,3,2026-04-16,False
1401,61,B,74,3,2026-04-13,False
1401,62,B,113,53,2026-04-14,False
1401,63,B,100,8,2026-04-20,False
1401,64,B,101,49,2026-04-18,False
1401,65,B,120,48,2026-04-20,False
1401,66,B,81,8,2026-04-12,False
1401,67,B,77,13,2026-04-18,False
1401,68,B,118,40,2026-04-18,False
1401,69,B,107,55,2026-04-15,False
1401,70,B,112,59,2026-04-14,False
1401,71,B,83,40,2026-04-20,False
1401,72,B,97,14,2026-04-18,False
1401,73,B,98,50,2026-04-12,False
1401,74,B,98,2,2026-04-12,False
1401,75,B,105,34,2026-04-13,False
1401,76,B,90,25,2026-04-16,False
1401,77,B,90,31,2026-04-18,False
1401,78,B,108,2,2026-04-16,False
1401,79,B,91,1,2026-04-16,False
1401,80,B,89,1,2026-04-12,False
1401,81,B,95,33,2026-04-17,False
1401,82,B,92,10,2026-04-21,False
1401,83,B,106,18,2026-04-21,False
1401,84,B,75,15,2026-04-17,False
1401,85,B,101,3,2026-04-21,False
1401,86,B,85,19,2026-04-17,False
1401,87,B,78,4,2026-04-17,False
1401,88,B,84,4,2026-04-20,False
1401,89,B,93,36,2026-04-18,False
1401,90,B,96,28,2026-04-16,False
1401,91,B,106,7,2026-04-15,False
1401,92,B,87,10,2026-04-20,False
1401,93,B,78,7,2026-04-17,False
1401,94,B,84,32,2026-04-18,False
1401,95,B,111,27,2026-04-19,False
1401,96,B,107,22,2026-04-21,False
1401,97,B,123,65,2026-04-21,False
1401,98,B,110,46,2026-04-21,False
1401,99,B,94,38,2026-04-15,False
1401,100,B,73,30,2026-04-17,False
1401,101,B,97,17,2026-04-17,False
1401,102,B,77,2,2026-04-15,False
1401,103,B,82,25,2026-04-15,False
1401,104,B,111,0,2026-04-14,False
1401,105,B,94,47,2026-04-12,False
1401,106,B,106,10,2026-04-16,False
1401,107,B,98,41,2026-04-19,False
1401,108,B,92,21,2026-04-20,False
1401,109,B,108,3,2026-04-18,False
1401,110,B,105,34,2026-04-16,False
1401,111,B,85,12,2026-04-13,False
1401,112,B,94,22,2026-04-16,False
1401,113,B,92,11,2026-04-21,False
1401,114,B,74,4,2026-04-13,False
1401,115,B,120,30,2026-04-16,False
1401,116,B,93,20,2026-04-15,False
1401,117,B,119,30,2026-04-13,False
1401,119,B,74,37,2026-04-14,False
1401,120,B,90,11,2026-04-14,False
1401,121,B,105,11,2026-04-15,False
1401,122,B,83,29,2026-04-15,False
1401,123,B,75,15,2026-04-14,False
1401,124,B,120,10,2026-04-14,False
1401,125,B,105,9,2026-04-17,False
1401,126,B,105,27,2026-04-20,False
1401,127,B,97,39,2026-04-21,False
1401,128,B,92,41,2026-04-19,False
1401,129,B,85,40,2026-04-15,False
1401,130,B,122,2,2026-04-21,False
1401,131,B,99,41,2026-04-20,False
1401,132,B,120,13,2026-04-21,False
1401,133,B,101,14,2026-04-21,False
1401,134,B,96,17,2026-04-20,False
1401,135,B,108,56,2026-04-17,False
1401,136,B,93,39,2026-04-21,False
1401,137,B,105,18,2026-04-20,False
1401,138,B,95,2,2026-04-18,False
1401,139,B,109,51,2026-04-14,False
1401,140,B,82,32,2026-04-13,False
1401,141,B,98,41,2026-04-20,False
1401,142,B,117,35,2026-04-15,False
1401,143,B,103,9,2026-04-16,False
1401,144,B,85,44,2026-04-19,False
1401,145,B,75,40,2026-04-19,False
1401,146,B,94,17,2026-04-14,False
1401,147,B,122,38,2026-04-18,False
1401,148,B,115,46,2026-04-12,False
1401,149,B,94,10,2026-04-13,False
1401,150,B,79,8,2026-04-20,False
1401,152,B,93,11,2026-04-12,False
1401,153,B,90,42,2026-04-16,False
1401,154,B,105,41,2026-04-14,False
1401,155,B,101,18,2026-04-21,False
1401,156,B,102,26,2026-04-21,False
1401,157,B,78,37,2026-04-16,False
1401,158,B,98,26,2026-04-12,False
1401,159,B,92,20,2026-04-12,False
1401,160,B,101,35,2026-04-13,False
1401,161,B,108,42,2026-04-17,False
1401,162,B,80,39,2026-04-19,False
1401,163,B,86,26,2026-04-19,False
1401,164,B,74,39,2026-04-13,False
1401,165,B,96,25,2026-04-20,False
1401,167,B,99,3,2026-04-16,False
1401,168,B,86,40,2026-04-14,False
1401,169,B,72,6,2026-04-19,False
1401,170,B,99,5,2026-04-21,False
1401,171,B,88,35,2026-04-12,False
1401,172,B,76,21,2026-04-17,False
1401,173,B,85,12,2026-04-15,False
1401,174,B,100,39,2026-04-14,False
1401,175,B,111,45,2026-04-18,False
1401,176,B,97,47,2026-04-19,False
1401,177,B,91,41,2026-04-13,False
1401,178,B,75,34,2026-04-13,False
1401,179,B,94,34,2026-04-19,False
1401,180,B,97,33,2026-04-14,False
1401,181,B,92,32,2026-04-18,False
1401,182,B,81,14,2026-04-16,False
1401,183,B,101,34,2026-04-21,False
1401,184,B,117,32,2026-04-20,False
1401,185,B,77,22,2026-04-14,False
1401,186,B,83,25,2026-04-20,False
1401,187,B,89,33,2026-04-18,False
1401,188,B,106,41,2026-04-18,False
1401,189,B,78,35,2026-04-17,False
1401,190,B,84,1,2026-04-17,False
1401,191,B,91,21,2026-04-19,False
1401,192,B,84,9,2026-04-21,False
1401,193,B,112,58,2026-04-14,False
1401,194,B,107,8,2026-04-19,False
1401,195,B,121,8,2026-04-20,False
1401,196,B,103,14,2026-04-12,False
1401,197,B,108,51,2026-04-18,False
1401,198,B,117,44,2026-04-15,False
1401,199,B,113,8,2026-04-17,False
1401,200,B,96,16,2026-04-20,False
1402,1,B,108,16,2026-04-17,False
1402,2,B,119,26,2026-04-21,False
1402,7,B,73,4,2026-04-15,False
1402,8,B,96,29,2026-04-14,False
1402,9,B,81,36,2026-04-19,False
1402,10,B,87,38,2026-04-21,False
1402,11,B,116,31,2026-04-16,False
1402,12,B,106,4,2026-04-19,False
1402,13,B,94,12,2026-04-12,False
1402,14,B,93,14,2026-04-16,False
1402,15,B,111,40,2026-04-14,False
1402,16,B,113,28,2026-04-13,False
1402,17,B,110,42,2026-04-15,False
1402,18,B,91,18,2026-04-16,False
1402,19,B,86,23,2026-04-12,False
1402,20,B,112,44,2026-04-13,False
1402,21,B,117,57,2026-04-13,False
1402,22,B,86,46,2026-04-18,False
1402,23,B,100,20,2026-04-12,False
1402,24,B,85,22,2026-04-21,False
1402,25,B,115,44,2026-04-21,False
1402,26,B,117,15,2026-04-15,False
1402,27,B,81,0,2026-04-17,False
1402,28,B,112,58,2026-04-14,False
1402,29,B,106,44,2026-04-14,False
1402,30,B,98,24,2026-04-13,False
1402,31,B,99,50,2026-04-14,False
1402,32,B,113,13,2026-04-16,False
1402,33,B,96,20,2026-04-19,False
1402,34,B,104,38,2026-04-13,False
1402,35,B,103,54,2026-04-18,False
1402,36,B,86,11,2026-04-14,False
1402,37,B,79,9,2026-04-15,False
1402,38,B,112,7,2026-04-19,False
1402,39,B,121,17,2026-04-21,False
1402,40,B,110,5,2026-04-18,False
1402,41,B,79,41,2026-04-17,False
1402,42,B,108,1,2026-04-20,False
1402,43,B,115,53,2026-04-19,False
1402,44,B,103,3,2026-04-15,False
1402,45,B,108,39,2026-04-16,False
1402,46,B,74,9,2026-04-16,False
1402,47,B,76,32,2026-04-21,False
1402,48,B,104,41,2026-04-21,False
1402,49,B,98,29,2026-04-20,False
1402,50,B,106,8,2026-04-19,False
1402,51,B,98,37,2026-04-14,False
1402,52,B,118,6,2026-04-20,False
1402,53,B,110,9,2026-04-20,False
1402,54,B,102,50,2026-04-21,False
1402,55,B,81,36,2026-04-15,False
1402,56,B,103,0,2026-04-21,False
1402,57,B,108,53,2026-04-14,False
1402,58,B,99,42,2026-04-18,False
1402,59,B,89,24,2026-04-20,False
1402,60,B,84,33,2026-04-21,False
1402,61,B,112,15,2026-04-18,False
1402,62,B,111,25,2026-04-14,False
1402,63,B,111,28,2026-04-20,False
1402,64,B,117,20,2026-04-14,False
1402,66,B,89,8,2026-04-16,False
1402,67,B,79,25,2026-04-12,False
1402,68,B,81,26,2026-04-13,False
1402,69,B,91,5,2026-04-19,False
1402,70,B,87,8,2026-04-18,False
1402,71,B,119,58,2026-04-17,False
1402,72,B,75,0,2026-04-14,False
1402,73,B,91,38,2026-04-16,False
1402,74,B,95,14,2026-04-15,False
1402,75,B,90,48,2026-04-19,False
1402,76,B,102,6,2026-04-18,False
1402,77,B,115,7,2026-04-19,False
1402,78,B,101,19,2026-04-19,False
1402,81,B,103,35,2026-04-14,False
1402,82,B,75,20,2026-04-16,False
1402,83,B,105,25,2026-04-19,False
1402,84,B,77,25,2026-04-21,False
1402,85,B,97,32,2026-04-19,False
1402,86,B,80,19,2026-04-14,False
