ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
901,1,D,91,8,2026-04-14,False
901,2,D,96,3,2026-04-21,True
901,3,B,87,5,2026-04-13,False
901,4,D,94,46,2026-04-15,True
901,5,D,95,47,2026-04-15,False
901,6,D,102,37,2026-04-14,False
901,7,B,115,43,2026-04-15,False
901,8,B,78,29,2026-04-17,False
901,9,B,118,19,2026-04-16,False
901,10,B,116,51,2026-04-21,False
901,11,D,93,2,2026-04-14,False
901,12,B,74,38,2026-04-17,False
901,13,D,80,1,2026-04-15,True
901,14,D,104,2,2026-04-15,True
901,15,B,84,30,2026-04-17,False
901,16,B,98,14,2026-04-16,False
901,17,D,120,63,2026-04-19,True
901,18,D,95,17,2026-04-14,True
901,19,D,81,16,2026-04-14,True
901,20,B,74,11,2026-04-16,False
901,22,B,78,32,2026-04-17,False
901,24,B,98,26,2026-04-20,False
901,25,D,81,13,2026-04-21,True
901,26,D,78,25,2026-04-20,False
901,27,D,81,7,2026-04-19,False
901,28,D,85,36,2026-04-17,True
901,29,D,104,54,2026-04-15,True
901,30,D,103,22,2026-04-13,False
901,31,B,101,7,2026-04-17,False
901,32,B,80,31,2026-04-18,False
901,33,D,94,45,2026-04-12,False
901,34,D,120,11,2026-04-16,False
901,35,D,75,34,2026-04-17,False
901,36,D,81,17,2026-04-21,False
901,37,D,81,37,2026-04-17,True
901,38,D,74,31,2026-04-20,True
901,39,B,116,3,2026-04-20,False
901,40,D,94,0,2026-04-16,True
901,41,D,98,1,2026-04-21,True
901,42,B,74,12,2026-04-21,False
901,43,B,110,15,2026-04-18,False
901,44,B,86,41,2026-04-18,False
901,45,D,109,10,2026-04-13,False
901,46,B,118,43,2026-04-19,False
901,47,D,80,7,2026-04-15,True
901,48,D,111,27,2026-04-18,False
901,49,B,73,36,2026-04-14,False
901,50,D,81,43,2026-04-15,False
901,52,D,83,17,2026-04-12,False
901,54,D,98,48,2026-04-13,True
901,55,B,85,35,2026-04-15,False
901,57,B,83,18,2026-04-18,False
901,58,D,116,20,2026-04-17,True
901,59,B,102,38,2026-04-12,False
901,60,B,119,34,2026-04-21,False
901,61,D,80,42,2026-04-18,False
901,62,B,90,41,2026-04-14,False
901,64,D,116,25,2026-04-18,True
901,65,B,108,46,2026-04-21,False
901,66,D,109,46,2026-04-17,True
901,67,D,79,23,2026-04-14,False
901,68,D,73,0,2026-04-13,False
901,69,B,80,10,2026-04-15,False
901,70,B,90,8,2026-04-20,False
901,71,D,77,6,2026-04-17,False
901,72,B,101,33,2026-04-16,False
901,73,B,95,35,2026-04-18,False
901,74,D,88,19,2026-04-17,True
901,75,D,89,34,2026-04-17,True
901,76,B,107,50,2026-04-14,False
901,77,B,82,1,2026-04-15,False
901,78,D,114,24,2026-04-17,False
901,79,D,76,2,2026-04-21,False
901,80,B,120,8,2026-04-13,False
901,82,B,122,45,2026-04-17,False
901,83,D,84,2,2026-04-14,False
901,84,D,87,16,2026-04-15,True
901,85,D,117,40,2026-04-15,False
901,86,B,119,41,2026-04-20,False
901,87,B,116,5,2026-04-18,False
901,88,D,122,3,2026-04-19,True
901,89,B,82,17,2026-04-12,False
901,90,B,85,15,2026-04-18,False
901,91,B,93,10,2026-04-13,False
901,93,D,96,43,2026-04-19,False
901,94,B,86,41,2026-04-14,False
901,95,B,115,15,2026-04-14,False
901,96,B,97,38,2026-04-17,False
901,97,D,78,14,2026-04-19,False
901,98,D,104,14,2026-04-18,False
901,99,B,114,4,2026-04-17,False
901,100,D,109,38,2026-04-13,False
901,101,D,90,38,2026-04-18,True
