ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
301,1,B,74,33,2026-04-17,False
301,3,B,94,15,2026-04-17,False
301,4,B,74,10,2026-04-12,False
301,5,B,88,18,2026-04-20,False
301,6,B,101,26,2026-04-15,False
301,7,B,113,25,2026-04-12,False
301,8,B,96,31,2026-04-17,False
301,9,B,108,24,2026-04-12,False
301,10,B,76,32,2026-04-19,False
301,11,B,75,6,2026-04-12,False
301,20,B,117,53,2026-04-21,False
301,22,B,122,55,2026-04-14,False
301,26,B,96,42,2026-04-16,False
301,29,B,111,16,2026-04-14,False
301,30,B,95,17,2026-04-17,False
301,35,B,109,34,2026-04-20,False
301,36,B,81,12,2026-04-20,False
301,37,B,95,7,2026-04-21,False
301,39,B,97,49,2026-04-18,False
301,41,B,93,4,2026-04-14,False
301,42,B,102,12,2026-04-19,False
301,43,B,105,32,2026-04-14,False
301,46,B,88,17,2026-04-19,False
301,47,B,91,40,2026-04-16,False
301,48,B,82,31,2026-04-13,False
301,49,B,121,55,2026-04-19,False
301,50,B,119,22,2026-04-13,False
301,51,B,100,37,2026-04-19,False
301,55,B,115,45,2026-04-13,False
301,56,B,116,10,2026-04-21,False
301,57,B,76,3,2026-04-18,False
301,58,B,103,5,2026-04-20,False
301,59,B,121,8,2026-04-15,False
301,60,B,86,24,2026-04-20,False
301,61,B,99,0,2026-04-17,False
301,66,B,109,34,2026-04-14,False
301,67,B,101,46,2026-04-21,False
301,68,B,95,28,2026-04-17,False
301,69,B,114,10,2026-04-15,False
301,71,B,104,48,2026-04-17,False
301,74,B,78,5,2026-04-16,False
301,76,B,109,42,2026-04-15,False
301,80,B,103,53,2026-04-13,False
301,81,B,122,44,2026-04-17,False
301,82,B,101,20,2026-04-19,False
301,83,B,82,42,2026-04-14,False
301,84,B,99,42,2026-04-18,False
301,85,B,95,1,2026-04-21,False
301,86,B,75,26,2026-04-14,False
301,87,B,103,22,2026-04-15,False
301,91,B,102,44,2026-04-18,False
301,93,B,89,27,2026-04-15,False
301,94,B,92,34,2026-04-16,False
301,96,B,92,37,2026-04-15,False
301,101,B,113,34,2026-04-13,False
301,105,B,116,35,2026-04-17,False
301,106,B,89,22,2026-04-17,False
301,112,B,74,18,2026-04-21,False
301,113,B,93,8,2026-04-20,False
301,116,B,91,17,2026-04-14,False
301,118,B,113,12,2026-04-21,False
301,121,B,108,24,2026-04-16,False
301,122,B,78,19,2026-04-18,False
301,124,B,84,34,2026-04-17,False
301,127,B,73,25,2026-04-19,False
301,128,B,113,28,2026-04-15,False
301,129,B,95,29,2026-04-20,False
301,132,B,115,4,2026-04-16,False
301,134,B,97,1,2026-04-19,False
301,135,B,94,45,2026-04-19,False
301,138,B,109,56,2026-04-19,False
301,139,B,86,3,2026-04-20,False
301,144,B,96,13,2026-04-12,False
301,146,B,106,34,2026-04-12,False
301,148,B,91,13,2026-04-19,False
301,149,B,111,54,2026-04-20,False
301,151,B,94,2,2026-04-14,False
301,153,B,106,16,2026-04-13,False
301,158,B,118,42,2026-04-18,False
301,160,B,85,31,2026-04-21,False
301,162,B,111,59,2026-04-21,False
301,163,B,101,44,2026-04-17,False
301,164,B,92,34,2026-04-12,False
301,168,B,90,42,2026-04-15,False
301,169,B,107,49,2026-04-21,False
301,170,B,121,17,2026-04-21,False
301,172,B,105,36,2026-04-19,False
301,174,B,103,47,2026-04-17,False
301,175,B,79,28,2026-04-20,False
301,176,B,87,13,2026-04-21,False
301,177,B,119,11,2026-04-18,False
301,178,B,77,22,2026-04-15,False
301,180,B,111,14,2026-04-21,False
301,181,B,83,32,2026-04-13,False
301,183,B,116,23,2026-04-21,False
301,185,B,98,23,2026-04-18,False
302,2,B,79,12,2026-04-14,False
302,5,B,117,26,2026-04-14,False
302,10,B,117,52,2026-04-19,False
302,12,B,94,34,2026-04-13,False
302,14,B,89,28,2026-04-13,False
302,15,B,111,52,2026-04-18,False
302,18,B,94,17,2026-04-16,False
302,21,B,120,35,2026-04-15,False
302,22,B,87,15,2026-04-13,False
302,23,B,118,31,2026-04-13,False
302,24,B,88,31,2026-04-18,False
302,25,B,112,51,2026-04-15,False
302,26,B,114,43,2026-04-20,False
302,27,B,92,13,2026-04-12,False
302,28,B,120,2,2026-04-20,False
302,31,B,111,51,2026-04-17,False
302,32,B,116,52,2026-04-21,False
302,34,B,113,39,2026-04-19,False
302,35,B,83,30,2026-04-16,False
302,40,B,113,22,2026-04-12,False
302,41,B,101,17,2026-04-14,False
302,44,B,119,6,2026-04-17,False
302,46,B,101,30,2026-04-18,False
302,47,B,92,13,2026-04-21,False
302,48,B,122,64,2026-04-14,False
302,49,B,75,13,2026-04-18,False
302,50,B,91,22,2026-04-19,False
302,51,B,86,37,2026-04-19,False
302,52,B,105,55,2026-04-20,False
302,53,B,122,38,2026-04-21,False
302,56,B,80,42,2026-04-17,False
302,57,B,85,21,2026-04-17,False
302,58,B,74,20,2026-04-14,False
302,59,B,120,49,2026-04-15,False
302,60,B,116,30,2026-04-12,False
302,61,B,86,7,2026-04-16,False
302,62,B,105,37,2026-04-20,False
302,63,B,100,32,2026-04-19,False
302,65,B,82,9,2026-04-21,False
302,66,B,72,4,2026-04-19,False
302,67,B,76,29,2026-04-17,False
302,68,B,107,56,2026-04-21,False
302,69,B,87,11,2026-04-19,False
302,71,B,118,57,2026-04-16,False
302,74,B,108,33,2026-04-13,False
302,75,B,102,34,2026-04-17,False
302,77,B,112,8,2026-04-18,False
302,78,B,108,27,2026-04-20,False
302,79,B,92,4,2026-04-12,False
302,80,B,121,16,2026-04-21,False
302,82,B,98,20,2026-04-21,False
302,84,B,113,15,2026-04-12,False
302,85,B,85,45,2026-04-21,False
302,86,B,81,33,2026-04-19,False
302,88,B,82,36,2026-04-16,False
302,89,B,74,17,2026-04-18,False
302,90,B,72,11,2026-04-15,False
302,91,B,120,11,2026-04-21,False
302,92,B,98,38,2026-04-19,False
302,93,B,87,20,2026-04-13,False
302,94,B,72,25,2026-04-21,False
302,99,B,96,32,2026-04-21,False
302,100,B,109,21,2026-04-12,False
302,101,B,88,42,2026-04-17,False
302,103,B,113,46,2026-04-17,False
302,104,B,117,3,2026-04-17,False
302,105,B,115,22,2026-04-17,False
302,107,B,75,3,2026-04-19,False
302,112,B,76,25,2026-04-19,False
302,114,B,82,7,2026-04-18,False
302,116,B,93,19,2026-04-17,False
302,117,B,98,26,2026-04-19,False
302,118,B,98,9,2026-04-21,False
302,119,B,117,0,2026-04-15,False
302,120,B,93,38,2026-04-16,False
302,124,B,116,7,2026-04-15,False
302,126,B,114,0,2026-04-20,False
302,128,B,89,39,2026-04-14,False
302,130,B,99,21,2026-04-12,False
302,133,B,77,39,2026-04-19,False
302,135,B,120,8,2026-04-14,False
302,136,B,72,0,2026-04-21,False
302,138,B,80,39,2026-04-12,False
302,140,B,85,18,2026-04-16,False
302,141,B,104,36,2026-04-20,False
302,145,B,102,48,2026-04-19,False
302,147,B,83,31,2026-04-15,False
302,148,B,82,13,2026-04-21,False
302,149,B,121,65,2026-04-16,False
302,153,B,110,56,2026-04-21,False
302,157,B,77,8,2026-04-12,False
302,158,B,81,22,2026-04-14,False
302,160,B,84,15,2026-04-13,False
302,162,B,87,11,2026-04-12,False
302,163,B,77,15,2026-04-18,False
302,164,B,101,32,2026-04-15,False
302,168,B,89,29,2026-04-16,False
302,169,B,100,50,2026-04-16,False
302,171,B,94,0,2026-04-19,False
302,172,B,76,21,2026-04-15,False
302,175,B,116,3,2026-04-14,False
302,176,B,111,10,2026-04-14,False
302,178,B,78,19,2026-04-13,False
302,180,B,90,31,2026-04-12,False
302,183,B,102,31,2026-04-18,False
302,184,B,78,34,2026-04-14,False
302,185,B,110,27,2026-04-13,False
302,186,B,96,12,2026-04-21,False
302,188,B,104,47,2026-04-13,False
302,189,B,87,7,2026-04-15,False
302,190,B,95,34,2026-04-16,False
302,192,B,109,11,2026-04-14,False
302,193,B,93,30,2026-04-18,False
302,195,B,96,10,2026-04-21,False
302,196,B,75,31,2026-04-17,False
303,2,B,78,32,2026-04-21,False
303,3,B,72,13,2026-04-18,False
303,4,B,80,42,2026-04-17,False
303,5,B,74,30,2026-04-16,False
303,7,B,111,37,2026-04-14,False
303,8,B,86,38,2026-04-12,False
303,13,B,88,33,2026-04-20,False
303,15,B,115,17,2026-04-14,False
303,16,B,77,15,2026-04-13,False
303,17,B,106,33,2026-04-16,False
303,21,B,101,0,2026-04-14,False
303,22,B,86,4,2026-04-21,False
303,23,B,102,37,2026-04-19,False
303,25,B,111,15,2026-04-16,False
303,28,B,109,55,2026-04-20,False
303,29,B,74,21,2026-04-15,False
303,30,B,75,25,2026-04-13,False
303,31,B,120,41,2026-04-14,False
303,33,B,103,49,2026-04-12,False
303,37,B,72,28,2026-04-18,False
303,38,B,105,16,2026-04-18,False
303,40,B,89,46,2026-04-19,False
303,41,B,109,3,2026-04-12,False
303,43,B,100,10,2026-04-12,False
303,44,B,82,35,2026-04-20,False
303,46,B,120,47,2026-04-20,False
303,47,B,93,18,2026-04-13,False
303,48,B,86,7,2026-04-14,False
303,50,B,103,0,2026-04-14,False
303,51,B,84,28,2026-04-20,False
303,53,B,121,45,2026-04-21,False
303,55,B,78,23,2026-04-17,False
303,56,B,101,17,2026-04-13,False
303,58,B,80,26,2026-04-13,False
303,59,B,81,30,2026-04-12,False
303,61,B,99,53,2026-04-18,False
303,62,B,89,42,2026-04-19,False
303,63,B,87,8,2026-04-20,False
303,65,B,95,51,2026-04-14,False
303,66,B,75,27,2026-04-17,False
303,67,B,96,31,2026-04-15,False
303,68,B,90,1,2026-04-13,False
303,69,B,89,26,2026-04-15,False
303,73,B,102,22,2026-04-12,False
303,78,B,99,6,2026-04-16,False
303,80,B,98,19,2026-04-19,False
303,81,B,97,12,2026-04-20,False
303,82,B,84,0,2026-04-15,False
303,83,B,90,33,2026-04-14,False
303,84,B,85,13,2026-04-13,False
303,86,B,111,58,2026-04-15,False
303,87,B,87,33,2026-04-18,False
303,88,B,119,5,2026-04-14,False
303,89,B,88,17,2026-04-21,False
303,90,B,119,51,2026-04-15,False
303,91,B,85,6,2026-04-21,False
303,93,B,95,33,2026-04-15,False
303,94,B,91,44,2026-04-21,False
303,96,B,74,18,2026-04-13,False
303,99,B,83,9,2026-04-17,False
303,103,B,82,26,2026-04-15,False
303,105,B,110,2,2026-04-21,False
303,107,B,81,5,2026-04-17,False
303,109,B,75,20,2026-04-16,False
303,110,B,83,4,2026-04-20,False
303,111,B,102,22,2026-04-21,False
303,114,B,80,19,2026-04-21,False
303,115,B,115,29,2026-04-15,False
303,118,B,123,24,2026-04-20,False
303,119,B,94,22,2026-04-15,False
303,120,B,114,44,2026-04-16,False
303,122,B,80,35,2026-04-13,False
303,125,B,96,42,2026-04-21,False
303,129,B,87,29,2026-04-18,False
303,130,B,101,35,2026-04-15,False
303,131,B,94,12,2026-04-17,False
303,133,B,121,28,2026-04-13,False
303,134,B,122,3,2026-04-16,False
303,135,B,76,41,2026-04-15,False
303,136,B,80,34,2026-04-18,False
303,137,B,123,2,2026-04-16,False
303,138,B,94,26,2026-04-19,False
303,141,B,73,22,2026-04-13,False
303,142,B,80,24,2026-04-13,False
303,143,B,118,33,2026-04-19,False
303,144,B,87,45,2026-04-18,False
303,145,B,109,46,2026-04-14,False
303,148,B,83,2,2026-04-13,False
303,149,B,86,10,2026-04-16,False
