ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
201,1,D,91,11,2026-04-13,False
201,2,D,104,48,2026-04-12,True
201,3,D,119,62,2026-04-13,False
201,4,D,90,1,2026-04-16,True
201,5,D,81,25,2026-04-12,False
201,6,D,99,34,2026-04-15,False
201,7,D,78,19,2026-04-13,True
201,8,D,92,24,2026-04-20,True
201,9,D,91,17,2026-04-12,True
201,10,D,83,12,2026-04-15,True
201,11,D,72,3,2026-04-19,True
201,12,D,116,24,2026-04-15,True
201,13,D,119,52,2026-04-17,False
201,14,D,98,41,2026-04-21,False
201,15,D,110,12,2026-04-18,True
201,16,D,109,31,2026-04-12,True
201,17,D,111,41,2026-04-13,True
201,18,D,74,15,2026-04-17,False
201,19,D,94,22,2026-04-17,True
201,20,D,78,18,2026-04-17,True
201,21,D,98,42,2026-04-15,False
201,22,D,93,8,2026-04-13,False
201,23,D,119,49,2026-04-17,False
201,24,D,80,20,2026-04-15,False
201,25,D,109,9,2026-04-20,True
201,26,D,113,42,2026-04-18,False
201,27,D,121,31,2026-04-17,True
201,28,D,93,5,2026-04-16,False
201,29,D,74,11,2026-04-15,False
201,30,D,96,19,2026-04-17,True
201,31,D,121,55,2026-04-15,True
201,32,D,92,3,2026-04-16,False
201,33,D,115,48,2026-04-18,True
201,34,D,119,19,2026-04-14,False
201,35,D,75,16,2026-04-18,False
201,36,D,100,9,2026-04-17,True
201,37,D,92,4,2026-04-21,True
201,38,D,85,27,2026-04-13,True
201,39,D,72,15,2026-04-19,True
201,40,D,115,4,2026-04-18,True
201,41,D,123,11,2026-04-15,False
201,42,D,90,42,2026-04-13,True
201,43,D,117,33,2026-04-14,False
201,44,D,122,34,2026-04-17,False
201,45,D,110,4,2026-04-13,False
201,46,D,110,36,2026-04-15,True
201,47,D,121,37,2026-04-12,True
201,48,D,108,18,2026-04-18,True
201,49,D,117,38,2026-04-14,False
201,50,D,93,12,2026-04-21,True
201,51,D,108,55,2026-04-18,False
201,52,D,81,15,2026-04-15,True
201,53,D,90,35,2026-04-16,False
201,54,D,92,28,2026-04-13,False
201,55,D,100,20,2026-04-18,True
201,56,D,98,43,2026-04-17,True
201,57,D,117,36,2026-04-14,True
201,58,D,89,26,2026-04-17,False
