ac_code,part_no,booth_category,target_contacts,contacts_done,last_contact_date,flag_form6_filed
1301,1,D,116,32,2026-04-14,True
1301,2,D,117,57,2026-04-15,True
1301,3,D,99,2,2026-04-14,True
1301,4,D,112,31,2026-04-17,False
1301,5,D,80,0,2026-04-18,False
1301,6,D,90,39,2026-04-21,True
1301,7,D,86,30,2026-04-15,False
1301,8,D,86,2,2026-04-20,True
1301,9,D,115,42,2026-04-17,False
1301,10,D,95,34,2026-04-20,False
1301,11,D,92,2,2026-04-14,False
1301,12,D,87,33,2026-04-16,True
1301,13,D,86,46,2026-04-19,False
1301,14,D,113,32,2026-04-20,False
1301,15,D,78,5,2026-04-20,True
1301,16,D,115,10,2026-04-12,True
1301,17,D,116,32,2026-04-17,False
1301,18,D,80,29,2026-04-17,False
1301,19,D,98,34,2026-04-16,True
1301,20,D,76,11,2026-04-17,False
1301,21,D,116,40,2026-04-18,True
1301,22,D,93,22,2026-04-15,False
1301,23,D,83,35,2026-04-14,False
1301,24,D,84,16,2026-04-12,False
1301,25,D,104,15,2026-04-20,True
1301,26,D,106,21,2026-04-19,False
1301,27,D,74,37,2026-04-20,False
1301,28,D,105,42,2026-04-18,True
1301,29,D,90,40,2026-04-18,False
1301,30,D,104,30,2026-04-21,False
1301,31,D,108,49,2026-04-12,False
1301,32,D,89,4,2026-04-21,True
1301,33,D,112,44,2026-04-12,False
1301,34,D,99,24,2026-04-14,False
1301,35,D,103,32,2026-04-21,True
1301,36,D,105,53,2026-04-20,True
1301,37,D,82,29,2026-04-12,False
1301,38,D,106,57,2026-04-21,False
1301,39,D,74,37,2026-04-20,True
1301,40,D,93,40,2026-04-15,False
1301,41,D,108,18,2026-04-14,True
1301,42,D,105,45,2026-04-17,False
1301,43,D,85,30,2026-04-12,True
1301,44,D,95,41,2026-04-14,False
1301,45,D,75,6,2026-04-19,True
1301,46,D,115,44,2026-04-18,False
1301,47,D,75,34,2026-04-12,False
1301,48,D,88,30,2026-04-16,False
1301,49,D,82,13,2026-04-21,False
1301,50,D,121,63,2026-04-18,True
1301,51,D,114,48,2026-04-18,True
1301,52,D,113,7,2026-04-17,False
1301,53,D,100,6,2026-04-17,True
1301,54,D,110,6,2026-04-16,True
1301,55,D,112,24,2026-04-20,True
1301,56,D,94,16,2026-04-13,False
1301,57,D,91,47,2026-04-20,True
1301,58,D,80,24,2026-04-17,False
1301,59,D,108,50,2026-04-17,True
1301,60,D,109,30,2026-04-15,True
1301,61,D,113,42,2026-04-14,False
1301,62,D,120,0,2026-04-21,False
1301,63,D,118,56,2026-04-18,True
1301,64,D,100,10,2026-04-18,False
1301,65,D,108,31,2026-04-21,False
1301,66,D,117,45,2026-04-19,True
1301,67,D,106,41,2026-04-21,True
1301,68,D,91,22,2026-04-19,False
1301,69,D,111,21,2026-04-21,True
1301,70,D,73,19,2026-04-12,False
1301,71,D,79,5,2026-04-13,True
1301,72,D,112,25,2026-04-16,True
1301,73,D,118,56,2026-04-18,True
1301,74,D,117,37,2026-04-12,False
1301,75,D,108,14,2026-04-14,True
1301,76,D,77,26,2026-04-19,False
1301,77,D,75,16,2026-04-18,True
1301,78,D,73,11,2026-04-15,False
1301,79,D,81,26,2026-04-19,True
1301,80,D,96,3,2026-04-20,True
1301,81,D,89,5,2026-04-14,False
1301,82,D,84,7,2026-04-12,True
1301,83,D,112,56,2026-04-20,True
1301,84,D,115,33,2026-04-13,False
1301,85,D,115,56,2026-04-14,True
1301,86,D,98,20,2026-04-17,True
1301,87,D,87,20,2026-04-21,False
1301,88,D,88,19,2026-04-20,True
1301,89,D,73,18,2026-04-19,True
1301,90,D,103,50,2026-04-14,False
1301,91,D,100,42,2026-04-14,False
1301,92,D,95,32,2026-04-14,True
1301,93,D,111,8,2026-04-17,False
1301,94,D,75,5,2026-04-18,False
1301,95,D,86,20,2026-04-16,True
1301,96,D,121,16,2026-04-13,False
1301,97,D,99,47,2026-04-12,True
