district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Alipurduar,1701,Alp-1701,1,Govt Office 1,2019,292,191,4,45,4,536,P1,101,76.7
Alipurduar,1701,Alp-1701,1,Govt Office 1,2021,243,207,6,86,5,547,P1,36,78.3
Alipurduar,1701,Alp-1701,2,Primary School 2,2019,250,204,10,89,6,559,P1,46,83.9
Alipurduar,1701,Alp-1701,2,Primary School 2,2021,256,185,10,78,5,534,P1,71,80.2
Alipurduar,1701,Alp-1701,3,Primary School 3,2019,369,196,4,52,6,627,P1,173,81.3
Alipurduar,1701,Alp-1701,3,Primary School 3,2021,269,221,13,105,6,614,P1,48,79.6
Alipurduar,1701,Alp-1701,4,Market Building 4,2019,186,191,6,89,5,477,P2,5,76.6
Alipurduar,1701,Alp-1701,4,Market Building 4,2021,297,129,5,38,5,474,P1,168,76.1
Alipurduar,1701,Alp-1701,5,Panchayat Bhavan 5,2019,307,216,9,72,6,610,P1,91,83.7
Alipurduar,1701,Alp-1701,5,Panchayat Bhavan 5,2021,260,185,14,96,5,560,P1,75,76.8
Alipurduar,1701,Alp-1701,6,Anganwadi Centre 6,2019,317,191,3,48,6,565,P1,126,82.4
Alipurduar,1701,Alp-1701,6,Anganwadi Centre 6,2021,243,195,6,143,6,593,P1,48,86.4
Alipurduar,1701,Alp-1701,7,Temple Hall 7,2019,331,120,4,41,6,502,P1,211,84.8
Alipurduar,1701,Alp-1701,7,Temple Hall 7,2021,263,164,4,38,5,474,P1,99,80.1
Alipurduar,1701,Alp-1701,8,Panchayat Bhavan 8,2019,258,173,5,38,5,479,P1,85,80.9
Alipurduar,1701,Alp-1701,8,Panchayat Bhavan 8,2021,175,210,8,86,5,484,P2,35,81.8
Alipurduar,1701,Alp-1701,9,Govt Office 9,2019,201,225,10,81,5,522,P2,24,80.3
Alipurduar,1701,Alp-1701,9,Govt Office 9,2021,229,226,5,93,6,559,P1,3,86.0
Alipurduar,1701,Alp-1701,10,Madrasa 10,2019,228,209,4,43,5,489,P1,19,84.7
Alipurduar,1701,Alp-1701,10,Madrasa 10,2021,196,178,4,67,4,449,P1,18,77.8
Alipurduar,1701,Alp-1701,11,Health Sub-Centre 11,2019,233,156,7,65,5,466,P1,77,80.1
Alipurduar,1701,Alp-1701,11,Health Sub-Centre 11,2021,295,123,2,40,5,465,P1,172,79.9
Alipurduar,1701,Alp-1701,12,Govt Office 12,2019,198,221,17,141,6,583,P2,23,81.1
Alipurduar,1701,Alp-1701,12,Govt Office 12,2021,323,169,7,67,7,573,P1,154,79.7
Alipurduar,1701,Alp-1701,13,Market Building 13,2019,349,193,5,49,6,602,P1,156,79.1
Alipurduar,1701,Alp-1701,13,Market Building 13,2021,290,274,5,51,6,626,P1,16,82.3
Alipurduar,1701,Alp-1701,14,Club Building 14,2019,205,163,10,92,5,475,P1,42,78.9
Alipurduar,1701,Alp-1701,14,Club Building 14,2021,213,168,6,101,5,493,P1,45,81.9
Alipurduar,1701,Alp-1701,15,Panchayat Bhavan 15,2019,254,151,5,35,5,450,P1,103,79.9
Alipurduar,1701,Alp-1701,15,Panchayat Bhavan 15,2021,163,159,13,94,4,433,P1,4,76.9
Alipurduar,1701,Alp-1701,16,Temple Hall 16,2019,239,154,4,36,4,437,P1,85,78.2
Alipurduar,1701,Alp-1701,16,Temple Hall 16,2021,242,149,3,36,4,434,P1,93,77.6
Alipurduar,1701,Alp-1701,17,Madrasa 17,2019,278,199,9,164,6,656,P1,79,86.4
Alipurduar,1701,Alp-1701,17,Madrasa 17,2021,340,234,6,71,7,658,P1,106,86.7
Alipurduar,1701,Alp-1701,18,Temple Hall 18,2019,265,222,4,45,5,541,P1,43,79.8
Alipurduar,1701,Alp-1701,18,Temple Hall 18,2021,246,216,6,40,6,514,P1,30,75.8
Alipurduar,1701,Alp-1701,19,Primary School 19,2019,272,163,5,38,5,483,P1,109,84.6
Alipurduar,1701,Alp-1701,19,Primary School 19,2021,182,149,8,99,5,443,P1,33,77.6
Alipurduar,1701,Alp-1701,20,Govt Office 20,2019,218,201,10,70,6,505,P1,17,85.9
Alipurduar,1701,Alp-1701,20,Govt Office 20,2021,204,179,11,92,5,491,P1,25,83.5
Alipurduar,1701,Alp-1701,21,Community Hall 21,2019,311,227,7,47,5,597,P1,84,79.7
Alipurduar,1701,Alp-1701,21,Community Hall 21,2021,346,197,6,49,6,604,P1,149,80.6
Alipurduar,1701,Alp-1701,22,High School 22,2019,237,259,6,44,5,551,P2,22,83.9
Alipurduar,1701,Alp-1701,22,High School 22,2021,274,140,12,123,6,555,P1,134,84.5
Alipurduar,1701,Alp-1701,23,Post Office 23,2019,199,286,9,106,6,606,P2,87,75.8
Alipurduar,1701,Alp-1701,23,Post Office 23,2021,210,230,16,152,7,615,P2,20,77.0
Alipurduar,1701,Alp-1701,24,Primary School 24,2019,408,191,3,57,6,665,P1,217,84.4
Alipurduar,1701,Alp-1701,24,Primary School 24,2021,295,311,8,53,6,673,P2,16,85.4
Alipurduar,1701,Alp-1701,25,Market Building 25,2019,235,230,4,60,6,535,P1,5,79.4
Alipurduar,1701,Alp-1701,25,Market Building 25,2021,255,217,4,43,5,524,P1,38,77.7
Alipurduar,1701,Alp-1701,26,High School 26,2019,187,190,3,34,4,418,P2,3,86.5
Alipurduar,1701,Alp-1701,26,High School 26,2021,190,161,3,35,4,393,P1,29,81.4
Alipurduar,1701,Alp-1701,27,Health Sub-Centre 27,2019,232,241,5,65,5,548,P2,9,78.8
Alipurduar,1701,Alp-1701,27,Health Sub-Centre 27,2021,194,208,14,118,5,539,P2,14,77.6
Alipurduar,1701,Alp-1701,28,Health Sub-Centre 28,2019,228,232,6,58,6,530,P2,4,84.5
Alipurduar,1701,Alp-1701,28,Health Sub-Centre 28,2021,189,241,5,57,4,496,P2,52,79.1
Alipurduar,1701,Alp-1701,29,Govt Office 29,2019,323,236,3,53,6,621,P1,87,85.8
Alipurduar,1701,Alp-1701,29,Govt Office 29,2021,278,269,7,48,6,608,P1,9,84.0
Alipurduar,1701,Alp-1701,30,Govt Office 30,2019,229,149,6,38,4,426,P1,80,83.7
Alipurduar,1701,Alp-1701,30,Govt Office 30,2021,221,105,2,70,4,402,P1,116,79.0
