district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Bankura,1001,Bnk-1001,1,Post Office 1,2019,245,163,3,75,5,491,P1,82,83.6
Bankura,1001,Bnk-1001,1,Post Office 1,2021,266,178,5,40,4,493,P1,88,84.0
Bankura,1001,Bnk-1001,2,Health Sub-Centre 2,2019,324,189,6,45,6,570,P1,135,78.1
Bankura,1001,Bnk-1001,2,Health Sub-Centre 2,2021,349,177,3,50,5,584,P1,172,80.0
Bankura,1001,Bnk-1001,3,High School 3,2019,359,185,4,50,6,604,P1,174,76.4
Bankura,1001,Bnk-1001,3,High School 3,2021,328,232,3,53,6,622,P1,96,78.6
Bankura,1001,Bnk-1001,4,Community Hall 4,2019,185,137,6,86,4,418,P1,48,81.5
Bankura,1001,Bnk-1001,4,Community Hall 4,2021,187,98,5,94,3,387,P1,89,75.4
Bankura,1001,Bnk-1001,5,Club Building 5,2019,312,137,2,43,5,499,P1,175,80.5
Bankura,1001,Bnk-1001,5,Club Building 5,2021,215,189,3,79,6,492,P1,26,79.4
Bankura,1001,Bnk-1001,6,Temple Hall 6,2019,317,135,3,42,5,502,P1,182,82.2
Bankura,1001,Bnk-1001,6,Temple Hall 6,2021,186,141,15,112,5,459,P1,45,75.1
Bankura,1001,Bnk-1001,7,Club Building 7,2019,258,170,7,44,5,484,P1,88,76.1
Bankura,1001,Bnk-1001,7,Club Building 7,2021,274,157,3,41,4,479,P1,117,75.3
Bankura,1001,Bnk-1001,8,Post Office 8,2019,322,244,7,50,6,629,P1,78,80.1
Bankura,1001,Bnk-1001,8,Post Office 8,2021,348,245,3,57,6,659,P1,103,83.9
Bankura,1001,Bnk-1001,9,Club Building 9,2019,200,165,4,32,5,406,P1,35,76.5
Bankura,1001,Bnk-1001,9,Club Building 9,2021,199,117,3,71,3,393,P1,82,74.0
Bankura,1001,Bnk-1001,10,Anganwadi Centre 10,2019,216,102,3,60,4,385,P1,114,80.2
Bankura,1001,Bnk-1001,10,Anganwadi Centre 10,2021,220,125,4,31,3,383,P1,95,79.8
Bankura,1001,Bnk-1001,11,Market Building 11,2019,240,140,2,37,4,423,P1,100,76.8
Bankura,1001,Bnk-1001,11,Market Building 11,2021,267,149,3,38,5,462,P1,118,83.8
Bankura,1001,Bnk-1001,12,Post Office 12,2019,421,146,6,51,6,630,P1,275,82.2
Bankura,1001,Bnk-1001,12,Post Office 12,2021,315,225,6,83,6,635,P1,90,82.9
Bankura,1001,Bnk-1001,13,Govt Office 13,2019,196,151,5,51,4,407,P1,45,74.8
