district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Birbhum,1101,Birb-1101,1,Health Sub-Centre 1,2019,270,122,8,61,5,466,P1,148,81.0
Birbhum,1101,Birb-1101,1,Health Sub-Centre 1,2021,310,101,3,38,5,457,P1,209,79.5
Birbhum,1101,Birb-1101,2,Panchayat Bhavan 2,2019,283,76,15,145,5,524,P1,138,76.1
Birbhum,1101,Birb-1101,2,Panchayat Bhavan 2,2021,307,165,2,45,6,525,P1,142,76.2
Birbhum,1101,Birb-1101,3,Panchayat Bhavan 3,2019,301,165,10,170,6,652,P1,131,79.9
Birbhum,1101,Birb-1101,3,Panchayat Bhavan 3,2021,371,179,4,51,6,611,P1,192,74.9
Birbhum,1101,Birb-1101,4,Market Building 4,2019,349,110,5,45,5,514,P1,239,81.6
Birbhum,1101,Birb-1101,4,Market Building 4,2021,255,116,10,112,5,498,P1,139,79.0
Birbhum,1101,Birb-1101,5,Anganwadi Centre 5,2019,410,163,6,96,6,681,P1,247,85.9
Birbhum,1101,Birb-1101,5,Anganwadi Centre 5,2021,377,197,3,91,7,675,P1,180,85.1
Birbhum,1101,Birb-1101,6,Temple Hall 6,2019,282,102,12,178,5,579,P1,104,76.1
Birbhum,1101,Birb-1101,6,Temple Hall 6,2021,405,168,6,57,7,643,P1,237,84.5
Birbhum,1101,Birb-1101,7,Post Office 7,2019,313,123,3,41,5,485,P1,190,79.2
Birbhum,1101,Birb-1101,7,Post Office 7,2021,383,86,3,44,5,521,P1,297,85.1
Birbhum,1101,Birb-1101,8,Anganwadi Centre 8,2019,355,119,9,170,6,659,P1,185,86.0
Birbhum,1101,Birb-1101,8,Anganwadi Centre 8,2021,300,197,15,129,6,647,P1,103,84.5
Birbhum,1101,Birb-1101,9,Govt Office 9,2019,286,166,10,111,6,579,P1,120,84.3
Birbhum,1101,Birb-1101,9,Govt Office 9,2021,326,131,6,56,6,525,P1,195,76.4
Birbhum,1101,Birb-1101,10,Market Building 10,2019,350,143,6,72,7,578,P1,207,85.0
Birbhum,1101,Birb-1101,10,Market Building 10,2021,358,153,6,45,6,568,P1,205,83.5
Birbhum,1101,Birb-1101,11,Market Building 11,2019,407,166,2,55,7,637,P1,241,78.7
Birbhum,1101,Birb-1101,11,Market Building 11,2021,447,170,7,55,7,686,P1,277,84.8
Birbhum,1101,Birb-1101,12,Govt Office 12,2019,212,128,9,62,4,415,P1,84,78.4
Birbhum,1101,Birb-1101,12,Govt Office 12,2021,289,119,2,39,5,454,P1,170,85.8
Birbhum,1101,Birb-1101,13,Govt Office 13,2019,318,106,5,38,4,471,P1,212,75.0
Birbhum,1101,Birb-1101,13,Govt Office 13,2021,307,157,5,60,5,534,P1,150,85.0
Birbhum,1101,Birb-1101,14,Community Hall 14,2019,375,113,3,45,6,542,P1,262,85.9
Birbhum,1101,Birb-1101,14,Community Hall 14,2021,313,151,3,43,5,515,P1,162,81.6
Birbhum,1101,Birb-1101,15,Panchayat Bhavan 15,2019,355,136,6,89,6,592,P1,219,80.9
Birbhum,1101,Birb-1101,15,Panchayat Bhavan 15,2021,348,111,5,104,6,574,P1,237,78.4
Birbhum,1101,Birb-1101,16,Panchayat Bhavan 16,2019,233,72,10,108,4,427,P1,125,85.1
