district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Cooch Behar,1201,CB-1201,1,Anganwadi Centre 1,2019,165,168,8,55,3,399,P2,3,81.9
Cooch Behar,1201,CB-1201,1,Anganwadi Centre 1,2021,214,118,4,30,3,369,P1,96,75.8
Cooch Behar,1201,CB-1201,2,High School 2,2019,212,174,6,87,5,484,P1,38,80.8
Cooch Behar,1201,CB-1201,2,High School 2,2021,275,154,4,39,4,476,P1,121,79.5
Cooch Behar,1201,CB-1201,3,Club Building 3,2019,207,177,2,37,3,426,P1,30,74.0
Cooch Behar,1201,CB-1201,3,Club Building 3,2021,244,154,5,35,4,442,P1,90,76.7
Cooch Behar,1201,CB-1201,4,Primary School 4,2019,193,184,2,39,5,423,P1,9,83.9
Cooch Behar,1201,CB-1201,4,Primary School 4,2021,209,152,4,40,3,408,P1,57,81.0
Cooch Behar,1201,CB-1201,5,Anganwadi Centre 5,2019,321,208,8,61,6,604,P1,113,76.5
Cooch Behar,1201,CB-1201,5,Anganwadi Centre 5,2021,327,219,6,49,5,606,P1,108,76.7
Cooch Behar,1201,CB-1201,6,Health Sub-Centre 6,2019,244,146,2,37,4,433,P1,98,81.4
Cooch Behar,1201,CB-1201,6,Health Sub-Centre 6,2021,247,111,3,33,4,398,P1,136,74.8
Cooch Behar,1201,CB-1201,7,Market Building 7,2019,193,143,6,46,5,393,P1,50,80.7
Cooch Behar,1201,CB-1201,7,Market Building 7,2021,215,87,3,63,4,372,P1,128,76.4
Cooch Behar,1201,CB-1201,8,Primary School 8,2019,189,157,8,55,4,413,P1,32,83.6
Cooch Behar,1201,CB-1201,8,Primary School 8,2021,163,193,3,32,4,395,P2,30,80.0
Cooch Behar,1201,CB-1201,9,Market Building 9,2019,280,202,3,64,6,555,P1,78,82.8
Cooch Behar,1201,CB-1201,9,Market Building 9,2021,318,181,4,46,6,555,P1,137,82.8
Cooch Behar,1201,CB-1201,10,Club Building 10,2019,211,184,3,49,5,452,P1,27,79.7
Cooch Behar,1201,CB-1201,10,Club Building 10,2021,226,140,4,69,5,444,P1,86,78.3
Cooch Behar,1201,CB-1201,11,High School 11,2019,166,154,3,30,3,356,P1,12,73.6
Cooch Behar,1201,CB-1201,11,High School 11,2021,163,165,5,47,4,384,P2,2,79.3
Cooch Behar,1201,CB-1201,12,Madrasa 12,2019,233,167,2,38,4,444,P1,66,73.1
Cooch Behar,1201,CB-1201,12,Madrasa 12,2021,254,167,5,56,5,487,P1,87,80.2
Cooch Behar,1201,CB-1201,13,Govt Office 13,2019,148,169,8,62,4,391,P2,21,76.2
Cooch Behar,1201,CB-1201,13,Govt Office 13,2021,247,116,4,35,3,405,P1,131,78.9
Cooch Behar,1201,CB-1201,14,Market Building 14,2019,227,207,2,42,4,482,P1,20,76.6
Cooch Behar,1201,CB-1201,14,Market Building 14,2021,262,154,2,40,5,463,P1,108,73.6
Cooch Behar,1201,CB-1201,15,High School 15,2019,231,162,4,44,4,445,P1,69,79.7
Cooch Behar,1201,CB-1201,15,High School 15,2021,164,135,17,119,5,440,P1,29,78.9
Cooch Behar,1201,CB-1201,16,High School 16,2019,217,130,2,33,4,386,P1,87,75.0
Cooch Behar,1201,CB-1201,16,High School 16,2021,195,98,7,73,3,376,P1,97,73.0
Cooch Behar,1201,CB-1201,17,High School 17,2019,240,189,6,73,4,512,P1,51,84.2
Cooch Behar,1201,CB-1201,17,High School 17,2021,256,111,5,106,6,484,P1,145,79.6
Cooch Behar,1201,CB-1201,18,Market Building 18,2019,311,186,4,46,5,552,P1,125,83.4
Cooch Behar,1201,CB-1201,18,Market Building 18,2021,239,229,5,52,5,530,P1,10,80.1
Cooch Behar,1201,CB-1201,19,Govt Office 19,2019,324,123,11,142,6,606,P1,182,74.5
Cooch Behar,1201,CB-1201,19,Govt Office 19,2021,285,265,5,50,6,611,P1,20,75.2
Cooch Behar,1201,CB-1201,20,Community Hall 20,2019,255,197,3,42,5,502,P1,58,78.2
Cooch Behar,1201,CB-1201,20,Community Hall 20,2021,244,187,7,78,6,522,P1,57,81.3
Cooch Behar,1201,CB-1201,21,Primary School 21,2019,244,200,8,145,6,603,P1,44,80.3
Cooch Behar,1201,CB-1201,21,Primary School 21,2021,332,170,6,44,5,557,P1,162,74.2
Cooch Behar,1201,CB-1201,22,Health Sub-Centre 22,2019,184,212,6,93,5,500,P2,28,77.3
Cooch Behar,1201,CB-1201,22,Health Sub-Centre 22,2021,238,157,4,72,5,476,P1,81,73.6
Cooch Behar,1201,CB-1201,23,Panchayat Bhavan 23,2019,191,168,3,33,4,399,P1,23,81.8
Cooch Behar,1201,CB-1201,23,Panchayat Bhavan 23,2021,179,160,6,41,4,390,P1,19,79.9
Cooch Behar,1201,CB-1201,24,Panchayat Bhavan 24,2019,281,211,6,43,6,547,P1,70,83.4
Cooch Behar,1201,CB-1201,24,Panchayat Bhavan 24,2021,271,195,3,64,6,539,P1,76,82.2
Cooch Behar,1201,CB-1201,25,Anganwadi Centre 25,2019,358,179,3,50,6,596,P1,179,76.9
Cooch Behar,1201,CB-1201,25,Anganwadi Centre 25,2021,320,179,12,113,6,630,P1,141,81.3
Cooch Behar,1201,CB-1201,26,Health Sub-Centre 26,2019,192,130,4,28,4,358,P1,62,74.1
Cooch Behar,1201,CB-1201,26,Health Sub-Centre 26,2021,201,157,3,33,4,398,P1,44,82.4
Cooch Behar,1201,CB-1201,27,Anganwadi Centre 27,2019,219,175,3,36,5,438,P1,44,76.2
Cooch Behar,1201,CB-1201,27,Anganwadi Centre 27,2021,195,167,3,84,4,453,P1,28,78.8
Cooch Behar,1201,CB-1201,28,Club Building 28,2019,304,235,4,50,6,599,P1,69,80.1
