district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Dakshin Dinajpur,1801,DD-1801,1,Health Sub-Centre 1,2019,281,128,6,76,5,496,P1,153,80.7
Dakshin Dinajpur,1801,DD-1801,1,Health Sub-Centre 1,2021,229,157,14,104,4,508,P1,72,82.6
Dakshin Dinajpur,1801,DD-1801,2,Post Office 2,2019,275,135,5,110,5,530,P1,140,74.3
Dakshin Dinajpur,1801,DD-1801,2,Post Office 2,2021,378,161,7,47,5,598,P1,217,83.9
Dakshin Dinajpur,1801,DD-1801,3,Health Sub-Centre 3,2019,336,212,15,128,7,698,P1,124,85.2
Dakshin Dinajpur,1801,DD-1801,3,Health Sub-Centre 3,2021,389,161,13,98,7,668,P1,228,81.6
Dakshin Dinajpur,1801,DD-1801,4,Anganwadi Centre 4,2019,381,123,2,68,6,580,P1,258,76.1
Dakshin Dinajpur,1801,DD-1801,4,Anganwadi Centre 4,2021,331,165,7,86,6,595,P1,166,78.1
Dakshin Dinajpur,1801,DD-1801,5,Anganwadi Centre 5,2019,344,171,12,111,8,646,P1,173,81.3
Dakshin Dinajpur,1801,DD-1801,5,Anganwadi Centre 5,2021,375,119,9,129,7,639,P1,246,80.4
Dakshin Dinajpur,1801,DD-1801,6,Market Building 6,2019,268,128,6,99,5,506,P1,140,83.1
Dakshin Dinajpur,1801,DD-1801,6,Market Building 6,2021,284,123,4,55,5,471,P1,161,77.3
Dakshin Dinajpur,1801,DD-1801,7,Temple Hall 7,2019,179,80,6,117,4,386,P1,62,75.1
Dakshin Dinajpur,1801,DD-1801,7,Temple Hall 7,2021,287,85,5,32,4,413,P1,202,80.4
Dakshin Dinajpur,1801,DD-1801,8,Temple Hall 8,2019,257,77,16,122,4,476,P1,135,76.9
Dakshin Dinajpur,1801,DD-1801,8,Temple Hall 8,2021,326,132,4,52,5,519,P1,194,83.8
Dakshin Dinajpur,1801,DD-1801,9,Club Building 9,2019,245,142,16,131,6,540,P1,103,82.6
Dakshin Dinajpur,1801,DD-1801,9,Club Building 9,2021,357,145,5,45,6,558,P1,212,85.3
Dakshin Dinajpur,1801,DD-1801,10,Community Hall 10,2019,397,152,6,49,7,611,P1,245,76.7
Dakshin Dinajpur,1801,DD-1801,10,Community Hall 10,2021,413,165,5,53,7,643,P1,248,80.7
Dakshin Dinajpur,1801,DD-1801,11,Panchayat Bhavan 11,2019,323,143,10,138,6,620,P1,180,83.8
Dakshin Dinajpur,1801,DD-1801,11,Panchayat Bhavan 11,2021,338,103,9,139,6,595,P1,199,80.4
Dakshin Dinajpur,1801,DD-1801,12,Panchayat Bhavan 12,2019,300,117,7,131,5,560,P1,169,78.8
Dakshin Dinajpur,1801,DD-1801,12,Panchayat Bhavan 12,2021,315,167,2,47,4,535,P1,148,75.2
Dakshin Dinajpur,1801,DD-1801,13,Market Building 13,2019,313,120,6,61,5,505,P1,193,79.3
Dakshin Dinajpur,1801,DD-1801,13,Market Building 13,2021,332,107,7,71,6,523,P1,225,82.1
Dakshin Dinajpur,1801,DD-1801,14,High School 14,2019,279,118,7,94,5,503,P1,161,82.7
Dakshin Dinajpur,1801,DD-1801,14,High School 14,2021,312,117,5,67,4,505,P1,195,83.1
Dakshin Dinajpur,1801,DD-1801,15,Primary School 15,2019,374,148,6,107,6,641,P1,226,82.5
Dakshin Dinajpur,1801,DD-1801,15,Primary School 15,2021,371,171,6,48,7,603,P1,200,77.6
Dakshin Dinajpur,1801,DD-1801,16,High School 16,2019,346,154,4,53,6,563,P1,192,74.1
Dakshin Dinajpur,1801,DD-1801,16,High School 16,2021,354,205,5,58,7,629,P1,149,82.8
Dakshin Dinajpur,1801,DD-1801,17,Anganwadi Centre 17,2019,333,63,18,202,7,623,P1,131,82.4
Dakshin Dinajpur,1801,DD-1801,17,Anganwadi Centre 17,2021,328,176,5,93,6,608,P1,152,80.4
Dakshin Dinajpur,1801,DD-1801,18,Govt Office 18,2019,275,179,4,88,5,551,P1,96,75.4
Dakshin Dinajpur,1801,DD-1801,18,Govt Office 18,2021,403,150,4,51,7,615,P1,253,84.1
Dakshin Dinajpur,1801,DD-1801,19,Health Sub-Centre 19,2019,214,143,3,33,4,397,P1,71,79.1
Dakshin Dinajpur,1801,DD-1801,19,Health Sub-Centre 19,2021,203,73,11,102,5,394,P1,101,78.5
Dakshin Dinajpur,1801,DD-1801,20,Madrasa 20,2019,254,204,4,82,6,550,P1,50,80.4
Dakshin Dinajpur,1801,DD-1801,20,Madrasa 20,2021,319,111,5,86,5,526,P1,208,76.9
Dakshin Dinajpur,1801,DD-1801,21,Govt Office 21,2019,334,179,7,54,5,579,P1,155,77.3
Dakshin Dinajpur,1801,DD-1801,21,Govt Office 21,2021,356,197,6,49,7,615,P1,159,82.1
Dakshin Dinajpur,1801,DD-1801,22,Market Building 22,2019,380,131,8,69,6,594,P1,249,78.7
Dakshin Dinajpur,1801,DD-1801,22,Market Building 22,2021,305,167,12,83,5,572,P1,138,75.8
Dakshin Dinajpur,1801,DD-1801,23,Club Building 23,2019,190,106,7,95,4,402,P1,84,77.5
Dakshin Dinajpur,1801,DD-1801,23,Club Building 23,2021,197,108,15,116,5,441,P1,81,85.0
Dakshin Dinajpur,1801,DD-1801,24,Market Building 24,2019,216,150,7,76,4,453,P1,66,76.5
Dakshin Dinajpur,1801,DD-1801,24,Market Building 24,2021,269,133,7,73,5,487,P1,136,82.3
Dakshin Dinajpur,1801,DD-1801,25,Temple Hall 25,2019,326,132,10,94,7,569,P1,194,81.9
Dakshin Dinajpur,1801,DD-1801,25,Temple Hall 25,2021,364,151,3,54,5,577,P1,213,83.0
Dakshin Dinajpur,1801,DD-1801,26,Community Hall 26,2019,299,158,7,135,5,604,P1,141,76.3
Dakshin Dinajpur,1801,DD-1801,26,Community Hall 26,2021,394,176,8,91,6,675,P1,218,85.2
Dakshin Dinajpur,1801,DD-1801,27,Community Hall 27,2019,292,118,4,37,5,456,P1,174,80.7
Dakshin Dinajpur,1801,DD-1801,27,Community Hall 27,2021,284,123,8,61,5,481,P1,161,85.1
Dakshin Dinajpur,1801,DD-1801,28,Govt Office 28,2019,329,127,4,42,5,507,P1,202,78.0
Dakshin Dinajpur,1801,DD-1801,28,Govt Office 28,2021,328,99,6,72,5,510,P1,229,78.5
Dakshin Dinajpur,1801,DD-1801,29,High School 29,2019,289,163,10,119,6,587,P1,126,79.8
Dakshin Dinajpur,1801,DD-1801,29,High School 29,2021,326,74,9,154,6,569,P1,172,77.3
Dakshin Dinajpur,1801,DD-1801,30,Govt Office 30,2019,307,187,8,59,5,566,P1,120,77.6
Dakshin Dinajpur,1801,DD-1801,30,Govt Office 30,2021,307,187,11,85,6,596,P1,120,81.8
Dakshin Dinajpur,1801,DD-1801,31,Community Hall 31,2019,161,135,9,69,3,377,P1,26,78.5
Dakshin Dinajpur,1801,DD-1801,31,Community Hall 31,2021,190,108,4,88,4,394,P1,82,82.1
Dakshin Dinajpur,1801,DD-1801,32,High School 32,2019,270,128,3,89,5,495,P1,142,78.2
Dakshin Dinajpur,1801,DD-1801,32,High School 32,2021,250,149,8,119,6,532,P1,101,84.0
Dakshin Dinajpur,1801,DD-1801,33,Market Building 33,2019,355,68,4,85,6,518,P1,270,79.9
Dakshin Dinajpur,1801,DD-1801,33,Market Building 33,2021,261,110,12,132,5,520,P1,129,80.2
Dakshin Dinajpur,1801,DD-1801,34,Temple Hall 34,2019,263,155,7,60,5,490,P1,108,84.5
Dakshin Dinajpur,1801,DD-1801,34,Temple Hall 34,2021,253,128,6,60,4,451,P1,125,77.8
Dakshin Dinajpur,1801,DD-1801,35,Primary School 35,2019,380,125,6,127,7,645,P1,253,83.3
Dakshin Dinajpur,1801,DD-1801,35,Primary School 35,2021,333,142,11,82,5,573,P1,191,74.0
Dakshin Dinajpur,1801,DD-1801,36,Club Building 36,2019,308,133,5,50,5,501,P1,175,81.2
Dakshin Dinajpur,1801,DD-1801,36,Club Building 36,2021,283,69,4,101,4,461,P1,182,74.7
Dakshin Dinajpur,1801,DD-1801,37,High School 37,2019,338,198,6,108,7,657,P1,140,83.2
Dakshin Dinajpur,1801,DD-1801,37,High School 37,2021,401,156,7,100,7,671,P1,245,84.9
Dakshin Dinajpur,1801,DD-1801,38,Temple Hall 38,2019,277,156,4,76,5,518,P1,121,84.4
Dakshin Dinajpur,1801,DD-1801,38,Temple Hall 38,2021,244,122,10,95,4,475,P1,122,77.4
Dakshin Dinajpur,1801,DD-1801,39,Market Building 39,2019,285,137,3,45,4,474,P1,148,82.0
Dakshin Dinajpur,1801,DD-1801,39,Market Building 39,2021,250,128,2,56,5,441,P1,122,76.3
Dakshin Dinajpur,1801,DD-1801,40,Community Hall 40,2019,317,146,11,153,7,634,P1,164,83.3
Dakshin Dinajpur,1801,DD-1801,40,Community Hall 40,2021,419,163,5,53,6,646,P1,256,84.9
Dakshin Dinajpur,1801,DD-1801,41,Post Office 41,2019,302,115,4,80,5,506,P1,187,83.5
Dakshin Dinajpur,1801,DD-1801,41,Post Office 41,2021,233,147,7,65,5,457,P1,86,75.4
Dakshin Dinajpur,1801,DD-1801,42,Panchayat Bhavan 42,2019,226,108,4,122,4,464,P1,104,76.1
Dakshin Dinajpur,1801,DD-1801,42,Panchayat Bhavan 42,2021,267,114,5,98,5,489,P1,153,80.2
Dakshin Dinajpur,1801,DD-1801,43,Anganwadi Centre 43,2019,225,58,11,209,5,508,P1,16,79.6
Dakshin Dinajpur,1801,DD-1801,43,Anganwadi Centre 43,2021,242,118,9,134,6,509,P1,108,79.8
Dakshin Dinajpur,1801,DD-1801,44,Temple Hall 44,2019,277,132,11,116,4,540,P1,145,77.6
Dakshin Dinajpur,1801,DD-1801,44,Temple Hall 44,2021,356,102,6,80,6,550,P1,254,79.0
Dakshin Dinajpur,1801,DD-1801,45,Primary School 45,2019,221,73,8,122,3,427,P1,99,75.3
Dakshin Dinajpur,1801,DD-1801,45,Primary School 45,2021,305,48,8,117,5,483,P1,188,85.2
Dakshin Dinajpur,1801,DD-1801,46,Post Office 46,2019,346,127,4,88,6,571,P1,219,73.8
Dakshin Dinajpur,1801,DD-1801,46,Post Office 46,2021,440,131,5,52,6,634,P1,309,81.9
Dakshin Dinajpur,1801,DD-1801,47,Madrasa 47,2019,294,154,9,65,5,527,P1,140,82.7
Dakshin Dinajpur,1801,DD-1801,47,Madrasa 47,2021,246,135,8,81,5,475,P1,111,74.6
Dakshin Dinajpur,1801,DD-1801,48,Anganwadi Centre 48,2019,342,130,2,45,5,524,P1,212,80.1
Dakshin Dinajpur,1801,DD-1801,48,Anganwadi Centre 48,2021,266,138,8,87,5,504,P1,128,77.1
Dakshin Dinajpur,1801,DD-1801,49,Post Office 49,2019,254,131,3,58,4,450,P1,123,73.9
Dakshin Dinajpur,1801,DD-1801,49,Post Office 49,2021,288,105,4,63,5,465,P1,183,76.4
Dakshin Dinajpur,1801,DD-1801,50,Panchayat Bhavan 50,2019,306,111,3,57,5,482,P1,195,81.8
Dakshin Dinajpur,1801,DD-1801,50,Panchayat Bhavan 50,2021,249,119,7,103,5,483,P1,130,82.0
Dakshin Dinajpur,1801,DD-1801,51,Health Sub-Centre 51,2019,425,111,2,52,5,595,P1,314,76.9
Dakshin Dinajpur,1801,DD-1801,51,Health Sub-Centre 51,2021,319,114,19,141,7,600,P1,178,77.5
