district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Darjeeling,1901,Drj-1901,1,Market Building 1,2019,174,175,2,33,4,388,P2,1,73.2
Darjeeling,1901,Drj-1901,1,Market Building 1,2021,166,159,7,56,4,392,P1,7,74.0
Darjeeling,1901,Drj-1901,2,Community Hall 2,2019,181,207,4,36,4,432,P2,26,75.9
Darjeeling,1901,Drj-1901,2,Community Hall 2,2021,175,165,5,74,4,423,P1,10,74.3
Darjeeling,1901,Drj-1901,3,Temple Hall 3,2019,207,213,4,52,5,481,P2,6,71.4
Darjeeling,1901,Drj-1901,3,Temple Hall 3,2021,192,241,8,80,6,527,P2,49,78.2
Darjeeling,1901,Drj-1901,4,Community Hall 4,2019,270,232,9,95,6,612,P1,38,75.5
Darjeeling,1901,Drj-1901,4,Community Hall 4,2021,177,237,18,183,6,621,P2,54,76.6
Darjeeling,1901,Drj-1901,5,Madrasa 5,2019,207,266,18,143,6,640,P2,59,79.2
Darjeeling,1901,Drj-1901,5,Madrasa 5,2021,222,277,9,106,6,620,P2,55,76.7
Darjeeling,1901,Drj-1901,6,Post Office 6,2019,169,176,6,50,4,405,P2,7,72.1
Darjeeling,1901,Drj-1901,6,Post Office 6,2021,207,151,5,44,5,412,P1,56,73.3
Darjeeling,1901,Drj-1901,7,Post Office 7,2019,148,168,8,85,4,413,P2,20,75.0
Darjeeling,1901,Drj-1901,7,Post Office 7,2021,262,128,4,35,4,433,P1,134,78.6
Darjeeling,1901,Drj-1901,8,Health Sub-Centre 8,2019,182,148,2,31,4,367,P1,34,71.5
Darjeeling,1901,Drj-1901,8,Health Sub-Centre 8,2021,168,135,4,66,4,377,P1,33,73.5
Darjeeling,1901,Drj-1901,9,Club Building 9,2019,164,188,4,78,4,438,P2,24,73.2
Darjeeling,1901,Drj-1901,9,Club Building 9,2021,187,196,3,44,4,434,P2,9,72.6
Darjeeling,1901,Drj-1901,10,Panchayat Bhavan 10,2019,322,222,4,50,7,605,P1,100,75.3
Darjeeling,1901,Drj-1901,10,Panchayat Bhavan 10,2021,299,215,8,85,6,613,P1,84,76.3
Darjeeling,1901,Drj-1901,11,Market Building 11,2019,195,208,4,58,5,470,P2,13,73.0
Darjeeling,1901,Drj-1901,11,Market Building 11,2021,195,228,5,72,5,505,P2,33,78.4
Darjeeling,1901,Drj-1901,12,Community Hall 12,2019,293,234,3,50,6,586,P1,59,73.6
Darjeeling,1901,Drj-1901,12,Community Hall 12,2021,304,255,7,50,7,623,P1,49,78.3
Darjeeling,1901,Drj-1901,13,Govt Office 13,2019,250,171,4,39,4,468,P1,79,79.3
Darjeeling,1901,Drj-1901,13,Govt Office 13,2021,242,168,6,47,5,468,P1,74,79.3
Darjeeling,1901,Drj-1901,14,Club Building 14,2019,198,174,12,105,5,494,P1,24,76.5
Darjeeling,1901,Drj-1901,14,Club Building 14,2021,182,219,11,96,5,513,P2,37,79.4
Darjeeling,1901,Drj-1901,15,Temple Hall 15,2019,189,180,5,62,5,441,P1,9,75.3
Darjeeling,1901,Drj-1901,15,Temple Hall 15,2021,269,127,3,37,4,440,P1,142,75.1
Darjeeling,1901,Drj-1901,16,Post Office 16,2019,334,199,6,47,6,592,P1,135,76.0
Darjeeling,1901,Drj-1901,16,Post Office 16,2021,286,212,6,44,5,553,P1,74,71.0
Darjeeling,1901,Drj-1901,17,Panchayat Bhavan 17,2019,316,216,7,46,6,591,P1,100,73.2
Darjeeling,1901,Drj-1901,17,Panchayat Bhavan 17,2021,339,201,4,50,6,600,P1,138,74.3
Darjeeling,1901,Drj-1901,18,Govt Office 18,2019,262,231,3,46,6,548,P1,31,75.5
Darjeeling,1901,Drj-1901,18,Govt Office 18,2021,247,225,9,73,6,560,P1,22,77.1
Darjeeling,1901,Drj-1901,19,Club Building 19,2019,207,218,6,73,6,510,P2,11,70.8
Darjeeling,1901,Drj-1901,19,Club Building 19,2021,264,223,2,47,6,542,P1,41,75.3
Darjeeling,1901,Drj-1901,20,Govt Office 20,2019,187,271,4,61,6,529,P2,84,73.4
Darjeeling,1901,Drj-1901,20,Govt Office 20,2021,260,243,8,57,6,574,P1,17,79.6
Darjeeling,1901,Drj-1901,21,Community Hall 21,2019,221,187,4,36,6,454,P1,34,76.7
Darjeeling,1901,Drj-1901,21,Community Hall 21,2021,177,188,2,54,5,426,P2,11,72.0
Darjeeling,1901,Drj-1901,22,Post Office 22,2019,219,194,2,39,5,459,P1,25,76.4
