district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Howrah,701,Hwr-701,1,Panchayat Bhavan 1,2019,347,199,5,65,6,622,P1,148,85.0
Howrah,701,Hwr-701,1,Panchayat Bhavan 1,2021,288,170,15,108,5,586,P1,118,80.1
Howrah,701,Hwr-701,2,Primary School 2,2019,245,119,14,97,4,479,P1,126,80.8
Howrah,701,Hwr-701,2,Primary School 2,2021,301,142,4,40,5,492,P1,159,83.0
Howrah,701,Hwr-701,3,Anganwadi Centre 3,2019,277,114,14,157,7,569,P1,120,83.2
Howrah,701,Hwr-701,3,Anganwadi Centre 3,2021,370,115,3,46,5,539,P1,255,78.8
Howrah,701,Hwr-701,4,Post Office 4,2019,252,117,4,47,4,424,P1,135,86.2
Howrah,701,Hwr-701,4,Post Office 4,2021,215,99,4,62,4,384,P1,116,78.0
Howrah,701,Hwr-701,5,Community Hall 5,2019,288,134,9,80,5,516,P1,154,79.6
Howrah,701,Hwr-701,5,Community Hall 5,2021,287,156,9,79,5,536,P1,131,82.7
Howrah,701,Hwr-701,6,Health Sub-Centre 6,2019,331,205,7,54,6,603,P1,126,75.5
Howrah,701,Hwr-701,6,Health Sub-Centre 6,2021,393,155,4,51,6,609,P1,238,76.2
Howrah,701,Hwr-701,7,Club Building 7,2019,379,191,2,55,7,634,P1,188,78.1
Howrah,701,Hwr-701,7,Club Building 7,2021,317,179,15,118,6,635,P1,138,78.2
Howrah,701,Hwr-701,8,Post Office 8,2019,346,204,5,50,6,611,P1,142,86.1
Howrah,701,Hwr-701,8,Post Office 8,2021,268,162,6,122,6,564,P1,106,79.4
Howrah,701,Hwr-701,9,Club Building 9,2019,245,135,4,104,6,494,P1,110,76.1
Howrah,701,Hwr-701,9,Club Building 9,2021,295,153,7,84,6,545,P1,142,84.0
Howrah,701,Hwr-701,10,Madrasa 10,2019,300,154,4,42,5,505,P1,146,81.2
Howrah,701,Hwr-701,10,Madrasa 10,2021,324,131,5,41,4,505,P1,193,81.2
Howrah,701,Hwr-701,11,Anganwadi Centre 11,2019,289,175,5,42,4,515,P1,114,77.4
Howrah,701,Hwr-701,11,Anganwadi Centre 11,2021,408,106,3,48,6,571,P1,302,85.9
Howrah,701,Hwr-701,12,Madrasa 12,2019,293,149,11,96,6,555,P1,144,75.3
Howrah,701,Hwr-701,12,Madrasa 12,2021,288,189,8,102,6,593,P1,99,80.5
