district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Jalpaiguri,1501,Jlp-1501,1,Madrasa 1,2019,232,163,5,62,4,466,P1,69,84.0
Jalpaiguri,1501,Jlp-1501,1,Madrasa 1,2021,166,185,3,67,4,425,P2,19,76.6
Jalpaiguri,1501,Jlp-1501,2,Club Building 2,2019,176,219,6,60,5,466,P2,43,82.5
Jalpaiguri,1501,Jlp-1501,2,Club Building 2,2021,219,193,5,36,5,458,P1,26,81.1
Jalpaiguri,1501,Jlp-1501,3,Temple Hall 3,2019,307,195,2,69,6,579,P1,112,74.6
Jalpaiguri,1501,Jlp-1501,3,Temple Hall 3,2021,293,222,12,90,6,623,P1,71,80.3
Jalpaiguri,1501,Jlp-1501,4,Community Hall 4,2019,216,161,4,38,5,424,P1,55,73.7
Jalpaiguri,1501,Jlp-1501,4,Community Hall 4,2021,261,135,3,37,5,441,P1,126,76.7
Jalpaiguri,1501,Jlp-1501,5,Health Sub-Centre 5,2019,218,205,4,107,5,539,P1,13,73.5
Jalpaiguri,1501,Jlp-1501,5,Health Sub-Centre 5,2021,268,181,13,94,5,561,P1,87,76.5
Jalpaiguri,1501,Jlp-1501,6,Community Hall 6,2019,240,192,13,125,6,576,P1,48,75.6
Jalpaiguri,1501,Jlp-1501,6,Community Hall 6,2021,347,189,11,84,6,637,P1,158,83.6
Jalpaiguri,1501,Jlp-1501,7,Govt Office 7,2019,299,210,4,92,6,611,P1,89,82.7
Jalpaiguri,1501,Jlp-1501,7,Govt Office 7,2021,272,236,5,45,6,564,P1,36,76.3
Jalpaiguri,1501,Jlp-1501,8,Health Sub-Centre 8,2019,344,213,3,52,7,619,P1,131,79.8
Jalpaiguri,1501,Jlp-1501,8,Health Sub-Centre 8,2021,258,206,15,132,6,617,P1,52,79.5
Jalpaiguri,1501,Jlp-1501,9,Panchayat Bhavan 9,2019,221,224,4,70,6,525,P2,3,77.5
Jalpaiguri,1501,Jlp-1501,9,Panchayat Bhavan 9,2021,178,157,13,183,5,536,P4,5,79.2
Jalpaiguri,1501,Jlp-1501,10,Anganwadi Centre 10,2019,154,188,9,82,6,439,P2,34,81.8
Jalpaiguri,1501,Jlp-1501,10,Anganwadi Centre 10,2021,198,155,3,71,3,430,P1,43,80.1
Jalpaiguri,1501,Jlp-1501,11,Community Hall 11,2019,276,173,8,100,5,562,P1,103,78.2
Jalpaiguri,1501,Jlp-1501,11,Community Hall 11,2021,257,184,4,76,6,527,P1,73,73.3
Jalpaiguri,1501,Jlp-1501,12,Madrasa 12,2019,189,142,3,31,4,369,P1,47,73.2
Jalpaiguri,1501,Jlp-1501,12,Madrasa 12,2021,134,157,8,77,4,380,P2,23,75.4
Jalpaiguri,1501,Jlp-1501,13,Health Sub-Centre 13,2019,234,147,4,66,4,455,P1,87,81.5
Jalpaiguri,1501,Jlp-1501,13,Health Sub-Centre 13,2021,248,146,1,38,4,437,P1,102,78.3
Jalpaiguri,1501,Jlp-1501,14,Health Sub-Centre 14,2019,214,168,3,64,5,454,P1,46,74.5
Jalpaiguri,1501,Jlp-1501,14,Health Sub-Centre 14,2021,205,206,5,76,5,497,P2,1,81.6
Jalpaiguri,1501,Jlp-1501,15,Primary School 15,2019,177,206,3,35,5,426,P2,29,74.1
Jalpaiguri,1501,Jlp-1501,15,Primary School 15,2021,227,133,10,97,5,472,P1,94,82.1
Jalpaiguri,1501,Jlp-1501,16,Temple Hall 16,2019,332,202,4,49,6,593,P1,130,83.8
Jalpaiguri,1501,Jlp-1501,16,Temple Hall 16,2021,229,201,6,141,6,583,P1,28,82.3
Jalpaiguri,1501,Jlp-1501,17,Post Office 17,2019,128,159,3,85,4,379,P2,31,77.5
Jalpaiguri,1501,Jlp-1501,17,Post Office 17,2021,204,118,4,28,4,358,P1,86,73.2
Jalpaiguri,1501,Jlp-1501,18,Post Office 18,2019,263,222,3,46,5,539,P1,41,76.8
Jalpaiguri,1501,Jlp-1501,18,Post Office 18,2021,340,178,6,46,6,576,P1,162,82.1
Jalpaiguri,1501,Jlp-1501,19,High School 19,2019,225,170,5,42,4,446,P1,55,80.8
