district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Jhargram,2001,Jhr-2001,1,Anganwadi Centre 1,2019,320,149,6,128,7,610,P1,171,78.8
Jhargram,2001,Jhr-2001,1,Anganwadi Centre 1,2021,295,199,8,85,6,593,P1,96,76.6
Jhargram,2001,Jhr-2001,2,Community Hall 2,2019,306,236,3,57,6,608,P1,70,77.3
Jhargram,2001,Jhr-2001,2,Community Hall 2,2021,429,151,7,51,6,644,P1,278,81.8
Jhargram,2001,Jhr-2001,3,High School 3,2019,324,142,3,52,5,526,P1,182,79.1
Jhargram,2001,Jhr-2001,3,High School 3,2021,240,151,12,98,6,507,P1,89,76.2
Jhargram,2001,Jhr-2001,4,Panchayat Bhavan 4,2019,236,178,3,82,5,504,P1,58,76.6
Jhargram,2001,Jhr-2001,4,Panchayat Bhavan 4,2021,301,132,4,56,5,498,P1,169,75.7
Jhargram,2001,Jhr-2001,5,Health Sub-Centre 5,2019,268,163,5,40,4,480,P1,105,75.4
Jhargram,2001,Jhr-2001,5,Health Sub-Centre 5,2021,287,156,4,40,6,493,P1,131,77.4
Jhargram,2001,Jhr-2001,6,Market Building 6,2019,321,174,4,45,6,550,P1,147,77.8
Jhargram,2001,Jhr-2001,6,Market Building 6,2021,332,159,3,72,6,572,P1,173,80.9
Jhargram,2001,Jhr-2001,7,Post Office 7,2019,185,95,5,80,4,369,P1,90,75.6
Jhargram,2001,Jhr-2001,7,Post Office 7,2021,199,126,1,31,4,361,P1,73,74.0
Jhargram,2001,Jhr-2001,8,Post Office 8,2019,237,154,5,72,5,473,P1,83,84.0
Jhargram,2001,Jhr-2001,8,Post Office 8,2021,272,135,2,38,5,452,P1,137,80.3
Jhargram,2001,Jhr-2001,9,Temple Hall 9,2019,276,123,5,141,5,550,P1,135,73.6
Jhargram,2001,Jhr-2001,9,Temple Hall 9,2021,287,146,11,170,6,620,P1,117,83.0
Jhargram,2001,Jhr-2001,10,High School 10,2019,272,157,5,157,6,597,P1,115,76.7
Jhargram,2001,Jhr-2001,10,High School 10,2021,284,197,4,110,6,601,P1,87,77.2
Jhargram,2001,Jhr-2001,11,Primary School 11,2019,271,225,6,43,6,551,P1,46,74.7
Jhargram,2001,Jhr-2001,11,Primary School 11,2021,288,227,5,48,6,574,P1,61,77.8
Jhargram,2001,Jhr-2001,12,Madrasa 12,2019,228,173,6,53,5,465,P1,55,83.9
Jhargram,2001,Jhr-2001,12,Madrasa 12,2021,209,132,10,94,4,449,P1,77,81.0
Jhargram,2001,Jhr-2001,13,Govt Office 13,2019,247,174,5,37,5,468,P1,73,73.8
Jhargram,2001,Jhr-2001,13,Govt Office 13,2021,250,135,11,78,4,478,P1,115,75.4
Jhargram,2001,Jhr-2001,14,Primary School 14,2019,363,189,3,52,7,614,P1,174,80.3
Jhargram,2001,Jhr-2001,14,Primary School 14,2021,303,203,12,104,6,628,P1,100,82.1
Jhargram,2001,Jhr-2001,15,Market Building 15,2019,272,124,13,135,6,550,P1,137,78.3
Jhargram,2001,Jhr-2001,15,Market Building 15,2021,311,166,4,43,6,530,P1,145,75.5
Jhargram,2001,Jhr-2001,16,Panchayat Bhavan 16,2019,194,154,5,39,3,395,P1,40,81.3
Jhargram,2001,Jhr-2001,16,Panchayat Bhavan 16,2021,172,128,3,59,4,366,P1,44,75.3
Jhargram,2001,Jhr-2001,17,Post Office 17,2019,255,139,2,39,4,439,P1,116,84.7
Jhargram,2001,Jhr-2001,17,Post Office 17,2021,198,134,4,68,5,409,P1,64,79.0
Jhargram,2001,Jhr-2001,18,Community Hall 18,2019,231,125,9,69,5,439,P1,106,77.4
Jhargram,2001,Jhr-2001,18,Community Hall 18,2021,231,143,3,39,5,421,P1,88,74.3
Jhargram,2001,Jhr-2001,19,Post Office 19,2019,395,160,7,48,7,617,P1,235,80.9
Jhargram,2001,Jhr-2001,19,Post Office 19,2021,231,191,8,174,7,611,P1,40,80.1
Jhargram,2001,Jhr-2001,20,Market Building 20,2019,308,139,6,59,6,518,P1,169,74.3
Jhargram,2001,Jhr-2001,20,Market Building 20,2021,261,238,2,48,6,555,P1,23,79.6
Jhargram,2001,Jhr-2001,21,High School 21,2019,286,158,3,50,4,501,P1,128,80.5
Jhargram,2001,Jhr-2001,21,High School 21,2021,276,178,3,42,6,505,P1,98,81.2
Jhargram,2001,Jhr-2001,22,Market Building 22,2019,314,222,2,51,7,596,P1,92,80.5
Jhargram,2001,Jhr-2001,22,Market Building 22,2021,408,151,5,50,7,621,P1,257,83.9
Jhargram,2001,Jhr-2001,23,Panchayat Bhavan 23,2019,218,93,13,98,4,426,P1,120,78.3
Jhargram,2001,Jhr-2001,23,Panchayat Bhavan 23,2021,270,131,5,35,4,445,P1,139,81.8
Jhargram,2001,Jhr-2001,24,Community Hall 24,2019,206,145,6,54,3,414,P1,61,76.5
Jhargram,2001,Jhr-2001,24,Community Hall 24,2021,205,169,5,33,3,415,P1,36,76.7
Jhargram,2001,Jhr-2001,25,Madrasa 25,2019,274,170,4,63,5,516,P1,104,83.8
Jhargram,2001,Jhr-2001,25,Madrasa 25,2021,303,138,6,39,5,491,P1,165,79.7
Jhargram,2001,Jhr-2001,26,Post Office 26,2019,246,106,3,97,5,457,P1,140,84.2
Jhargram,2001,Jhr-2001,26,Post Office 26,2021,217,145,3,34,4,403,P1,72,74.2
Jhargram,2001,Jhr-2001,27,Club Building 27,2019,248,147,8,164,6,573,P1,84,75.9
Jhargram,2001,Jhr-2001,27,Club Building 27,2021,335,190,4,84,7,620,P1,145,82.1
Jhargram,2001,Jhr-2001,28,Primary School 28,2019,409,196,3,58,6,672,P1,213,83.3
Jhargram,2001,Jhr-2001,28,Primary School 28,2021,379,168,6,48,7,608,P1,211,75.3
Jhargram,2001,Jhr-2001,29,Govt Office 29,2019,313,142,6,40,5,506,P1,171,79.6
Jhargram,2001,Jhr-2001,29,Govt Office 29,2021,307,167,4,44,5,527,P1,140,82.9
Jhargram,2001,Jhr-2001,30,Temple Hall 30,2019,209,145,4,32,3,393,P1,64,74.3
Jhargram,2001,Jhr-2001,30,Temple Hall 30,2021,215,127,7,83,4,436,P1,88,82.4
Jhargram,2001,Jhr-2001,31,Govt Office 31,2019,214,155,3,34,4,410,P1,59,77.1
