district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Kalimpong,2201,Klp-2201,1,Market Building 1,2019,213,214,5,121,4,557,P2,1,68.8
Kalimpong,2201,Klp-2201,1,Market Building 1,2021,201,224,10,104,5,544,P2,23,67.2
Kalimpong,2201,Klp-2201,2,Community Hall 2,2019,154,169,7,67,3,400,P2,15,70.8
Kalimpong,2201,Klp-2201,2,Community Hall 2,2021,167,140,5,52,4,368,P1,27,65.1
Kalimpong,2201,Klp-2201,3,Community Hall 3,2019,166,211,9,76,5,467,P2,45,68.4
Kalimpong,2201,Klp-2201,3,Community Hall 3,2021,172,217,11,81,5,486,P2,45,71.2
Kalimpong,2201,Klp-2201,4,Madrasa 4,2019,142,188,6,92,4,432,P2,46,74.2
Kalimpong,2201,Klp-2201,4,Madrasa 4,2021,176,196,5,35,4,416,P2,20,71.5
Kalimpong,2201,Klp-2201,5,Anganwadi Centre 5,2019,202,233,2,41,6,484,P2,31,72.3
Kalimpong,2201,Klp-2201,5,Anganwadi Centre 5,2021,136,198,6,90,5,435,P2,62,65.0
Kalimpong,2201,Klp-2201,6,Health Sub-Centre 6,2019,241,213,5,50,5,514,P1,28,68.8
Kalimpong,2201,Klp-2201,6,Health Sub-Centre 6,2021,194,226,9,99,6,534,P2,32,71.5
Kalimpong,2201,Klp-2201,7,Community Hall 7,2019,171,142,5,39,3,360,P1,29,71.3
Kalimpong,2201,Klp-2201,7,Community Hall 7,2021,124,174,3,40,2,343,P2,50,67.9
Kalimpong,2201,Klp-2201,8,Community Hall 8,2019,149,210,5,36,3,403,P2,61,66.9
Kalimpong,2201,Klp-2201,8,Community Hall 8,2021,189,178,8,65,5,445,P1,11,73.9
Kalimpong,2201,Klp-2201,9,Madrasa 9,2019,153,198,12,92,5,460,P2,45,68.0
Kalimpong,2201,Klp-2201,9,Madrasa 9,2021,221,180,1,39,4,445,P1,41,65.8
Kalimpong,2201,Klp-2201,10,High School 10,2019,178,271,6,100,6,561,P2,93,72.9
Kalimpong,2201,Klp-2201,10,High School 10,2021,247,242,3,46,6,544,P1,5,70.6
Kalimpong,2201,Klp-2201,11,Market Building 11,2019,213,195,10,90,5,513,P1,18,69.3
Kalimpong,2201,Klp-2201,11,Market Building 11,2021,217,237,4,42,4,504,P2,20,68.1
Kalimpong,2201,Klp-2201,12,Primary School 12,2019,242,192,5,38,5,482,P1,50,66.4
Kalimpong,2201,Klp-2201,12,Primary School 12,2021,214,227,3,46,5,495,P2,13,68.2
Kalimpong,2201,Klp-2201,13,Anganwadi Centre 13,2019,253,214,2,45,5,519,P1,39,66.1
Kalimpong,2201,Klp-2201,13,Anganwadi Centre 13,2021,288,214,7,72,6,587,P1,74,74.8
Kalimpong,2201,Klp-2201,14,Primary School 14,2019,197,276,4,66,5,548,P2,79,71.4
Kalimpong,2201,Klp-2201,14,Primary School 14,2021,173,218,7,98,5,501,P2,45,65.3
Kalimpong,2201,Klp-2201,15,Post Office 15,2019,168,216,2,70,5,461,P2,48,70.3
Kalimpong,2201,Klp-2201,15,Post Office 15,2021,247,156,4,36,5,448,P1,91,68.3
Kalimpong,2201,Klp-2201,16,Temple Hall 16,2019,151,220,2,35,4,412,P2,69,71.4
Kalimpong,2201,Klp-2201,16,Temple Hall 16,2021,105,173,13,126,4,421,P2,47,73.0
Kalimpong,2201,Klp-2201,17,Primary School 17,2019,183,226,10,90,5,514,P2,43,65.6
Kalimpong,2201,Klp-2201,17,Primary School 17,2021,240,270,3,48,5,566,P2,30,72.3
Kalimpong,2201,Klp-2201,18,Health Sub-Centre 18,2019,198,235,4,39,6,482,P2,37,65.6
Kalimpong,2201,Klp-2201,18,Health Sub-Centre 18,2021,190,249,4,43,5,491,P2,59,66.8
Kalimpong,2201,Klp-2201,19,Madrasa 19,2019,189,250,4,40,5,488,P2,61,65.1
Kalimpong,2201,Klp-2201,19,Madrasa 19,2021,175,234,11,82,6,508,P2,59,67.7
Kalimpong,2201,Klp-2201,20,Post Office 20,2019,219,225,4,40,5,493,P2,6,65.5
Kalimpong,2201,Klp-2201,20,Post Office 20,2021,230,241,4,81,5,561,P2,11,74.5
Kalimpong,2201,Klp-2201,21,Market Building 21,2019,198,237,6,58,5,504,P2,39,69.9
Kalimpong,2201,Klp-2201,21,Market Building 21,2021,178,214,11,76,5,484,P2,36,67.1
Kalimpong,2201,Klp-2201,22,Health Sub-Centre 22,2019,132,150,8,64,3,357,P2,18,67.4
Kalimpong,2201,Klp-2201,22,Health Sub-Centre 22,2021,196,116,4,27,4,347,P1,80,65.5
Kalimpong,2201,Klp-2201,23,Post Office 23,2019,144,270,7,65,5,491,P2,126,71.6
Kalimpong,2201,Klp-2201,23,Post Office 23,2021,167,204,8,81,5,465,P2,37,67.8
Kalimpong,2201,Klp-2201,24,Panchayat Bhavan 24,2019,151,145,3,42,3,344,P1,6,70.9
Kalimpong,2201,Klp-2201,24,Panchayat Bhavan 24,2021,155,160,3,37,5,360,P2,5,74.2
Kalimpong,2201,Klp-2201,25,Temple Hall 25,2019,215,254,3,44,5,521,P2,39,66.1
Kalimpong,2201,Klp-2201,25,Temple Hall 25,2021,246,258,4,46,6,560,P2,12,71.1
