district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Kolkata,2101,KOL-2101,1,Temple Hall 1,2019,289,155,5,42,5,496,P1,134,75.4
Kolkata,2101,KOL-2101,1,Temple Hall 1,2021,250,114,15,135,4,518,P1,115,78.7
Kolkata,2101,KOL-2101,2,High School 2,2019,212,100,4,49,3,368,P1,112,75.1
Kolkata,2101,KOL-2101,2,High School 2,2021,262,77,3,31,3,376,P1,185,76.7
Kolkata,2101,KOL-2101,3,Temple Hall 3,2019,215,124,2,56,5,402,P1,91,78.4
Kolkata,2101,KOL-2101,3,Temple Hall 3,2021,214,103,4,74,5,400,P1,111,78.0
Kolkata,2101,KOL-2101,4,Community Hall 4,2019,238,129,4,33,4,408,P1,109,73.0
Kolkata,2101,KOL-2101,4,Community Hall 4,2021,255,104,6,45,5,415,P1,151,74.2
Kolkata,2101,KOL-2101,5,Primary School 5,2019,329,175,4,46,6,560,P1,154,80.7
Kolkata,2101,KOL-2101,5,Primary School 5,2021,251,165,8,89,6,519,P1,86,74.8
Kolkata,2101,KOL-2101,6,Post Office 6,2019,322,149,2,45,5,523,P1,173,82.8
Kolkata,2101,KOL-2101,6,Post Office 6,2021,329,127,5,41,4,506,P1,202,80.1
Kolkata,2101,KOL-2101,7,Club Building 7,2019,229,144,16,113,5,507,P1,85,82.6
Kolkata,2101,KOL-2101,7,Club Building 7,2021,314,138,4,41,5,502,P1,176,81.8
Kolkata,2101,KOL-2101,8,Health Sub-Centre 8,2019,270,139,6,177,6,598,P1,93,77.0
Kolkata,2101,KOL-2101,8,Health Sub-Centre 8,2021,398,160,3,52,6,619,P1,238,79.7
Kolkata,2101,KOL-2101,9,Primary School 9,2019,249,135,2,48,5,439,P1,114,78.1
Kolkata,2101,KOL-2101,9,Primary School 9,2021,237,131,11,75,5,459,P1,106,81.7
Kolkata,2101,KOL-2101,10,Primary School 10,2019,311,115,3,40,4,473,P1,196,74.5
Kolkata,2101,KOL-2101,10,Primary School 10,2021,391,55,2,43,5,496,P1,336,78.1
Kolkata,2101,KOL-2101,11,Post Office 11,2019,274,141,5,74,6,500,P1,133,76.7
