district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Malda,801,Malda-801,1,High School 1,2019,265,50,14,166,4,499,P1,99,79.0
Malda,801,Malda-801,1,High School 1,2021,325,116,4,103,5,553,P1,209,87.5
Malda,801,Malda-801,2,Club Building 2,2019,204,43,13,153,4,417,P1,51,77.4
Malda,801,Malda-801,2,Club Building 2,2021,250,120,4,63,4,441,P1,130,81.8
Malda,801,Malda-801,3,High School 3,2019,241,110,14,106,4,475,P1,131,78.5
Malda,801,Malda-801,3,High School 3,2021,234,126,8,142,6,516,P1,92,85.3
Malda,801,Malda-801,4,Post Office 4,2019,315,158,11,144,6,634,P1,157,86.3
Malda,801,Malda-801,4,Post Office 4,2021,294,127,17,189,7,634,P1,105,86.3
Malda,801,Malda-801,5,Club Building 5,2019,318,138,8,131,6,601,P1,180,83.2
Malda,801,Malda-801,5,Club Building 5,2021,299,145,6,141,6,597,P1,154,82.7
Malda,801,Malda-801,6,Market Building 6,2019,393,161,7,58,7,626,P1,232,79.9
Malda,801,Malda-801,6,Market Building 6,2021,325,220,9,122,7,683,P1,105,87.2
Malda,801,Malda-801,7,Market Building 7,2019,255,154,9,113,5,536,P1,101,83.1
Malda,801,Malda-801,7,Market Building 7,2021,397,59,3,42,6,507,P1,338,78.6
Malda,801,Malda-801,8,Post Office 8,2019,411,168,7,107,7,700,P1,243,87.8
Malda,801,Malda-801,8,Post Office 8,2021,348,168,10,99,6,631,P1,180,79.2
Malda,801,Malda-801,9,Anganwadi Centre 9,2019,330,60,16,160,6,572,P1,170,84.6
Malda,801,Malda-801,9,Anganwadi Centre 9,2021,300,136,7,75,5,523,P1,164,77.4
Malda,801,Malda-801,10,Anganwadi Centre 10,2019,237,65,3,87,5,397,P1,150,80.7
Malda,801,Malda-801,10,Anganwadi Centre 10,2021,198,102,7,73,4,384,P1,96,78.0
Malda,801,Malda-801,11,Health Sub-Centre 11,2019,437,147,7,79,7,677,P1,290,87.8
Malda,801,Malda-801,11,Health Sub-Centre 11,2021,386,68,18,203,6,681,P1,183,88.3
Malda,801,Malda-801,12,Madrasa 12,2019,247,124,7,120,4,502,P1,123,86.3
Malda,801,Malda-801,12,Madrasa 12,2021,252,88,10,101,4,455,P1,151,78.2
Malda,801,Malda-801,13,Post Office 13,2019,384,128,6,50,5,573,P1,256,77.0
Malda,801,Malda-801,13,Post Office 13,2021,318,103,18,134,6,579,P1,184,77.8
Malda,801,Malda-801,14,Primary School 14,2019,288,103,24,250,6,671,P1,38,83.7
Malda,801,Malda-801,14,Primary School 14,2021,453,124,3,55,7,642,P1,329,80.0
Malda,801,Malda-801,15,Madrasa 15,2019,296,199,18,148,6,667,P1,97,83.2
Malda,801,Malda-801,15,Madrasa 15,2021,402,155,8,54,6,625,P1,247,77.9
Malda,801,Malda-801,16,Temple Hall 16,2019,333,98,8,65,5,509,P1,235,76.8
Malda,801,Malda-801,16,Temple Hall 16,2021,235,115,13,199,5,567,P1,36,85.5
Malda,801,Malda-801,17,Club Building 17,2019,276,107,6,134,5,528,P1,142,85.0
Malda,801,Malda-801,17,Club Building 17,2021,271,72,19,142,5,509,P1,129,82.0
Malda,801,Malda-801,18,Anganwadi Centre 18,2019,198,63,12,153,5,431,P1,45,82.4
Malda,801,Malda-801,18,Anganwadi Centre 18,2021,267,73,8,64,4,416,P1,194,79.5
Malda,801,Malda-801,19,Govt Office 19,2019,350,129,7,134,7,627,P1,216,76.9
Malda,801,Malda-801,19,Govt Office 19,2021,376,82,9,207,6,680,P1,169,83.4
Malda,801,Malda-801,20,Post Office 20,2019,333,138,12,101,6,590,P1,195,87.0
