district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Murshidabad,153,Farakka,1,Govt Office 1,2019,343,102,15,193,6,659,P1,150,86.4
Murshidabad,153,Farakka,1,Govt Office 1,2021,354,145,11,119,6,635,P1,209,83.2
Murshidabad,153,Farakka,2,Temple Hall 2,2019,339,51,9,106,6,511,P1,233,83.1
Murshidabad,153,Farakka,2,Temple Hall 2,2021,309,97,6,95,6,513,P1,212,83.4
Murshidabad,153,Farakka,3,Anganwadi Centre 3,2019,399,136,16,129,7,687,P1,263,90.0
Murshidabad,153,Farakka,3,Anganwadi Centre 3,2021,400,150,7,104,7,668,P1,250,87.5
Murshidabad,153,Farakka,4,Market Building 4,2019,260,105,12,89,4,470,P1,155,80.1
Murshidabad,153,Farakka,4,Market Building 4,2021,316,140,3,46,6,511,P1,176,87.1
Murshidabad,153,Farakka,5,Community Hall 5,2019,412,150,9,135,7,713,P1,262,88.7
Murshidabad,153,Farakka,5,Community Hall 5,2021,365,188,7,69,5,634,P1,177,78.9
Murshidabad,153,Farakka,6,Community Hall 6,2019,307,71,2,36,4,420,P1,236,83.0
Murshidabad,153,Farakka,6,Community Hall 6,2021,288,75,4,33,3,403,P1,213,79.6
Murshidabad,153,Farakka,7,Market Building 7,2019,249,130,4,34,4,421,P1,119,83.9
Murshidabad,153,Farakka,7,Market Building 7,2021,279,49,8,70,4,410,P1,209,81.7
Murshidabad,153,Farakka,8,Health Sub-Centre 8,2019,310,118,6,83,5,522,P1,192,85.0
Murshidabad,153,Farakka,8,Health Sub-Centre 8,2021,355,90,5,39,5,494,P1,265,80.5
Murshidabad,153,Farakka,9,High School 9,2019,377,126,9,64,6,582,P1,251,83.4
Murshidabad,153,Farakka,9,High School 9,2021,372,139,12,85,5,613,P1,233,87.8
Murshidabad,153,Farakka,10,Anganwadi Centre 10,2019,244,54,17,136,4,455,P1,108,81.8
Murshidabad,153,Farakka,10,Anganwadi Centre 10,2021,305,115,2,40,5,467,P1,190,84.0
Murshidabad,153,Farakka,11,Primary School 11,2019,303,132,10,177,6,628,P1,126,82.4
Murshidabad,153,Farakka,11,Primary School 11,2021,380,181,11,95,7,674,P1,199,88.5
Murshidabad,153,Farakka,12,Madrasa 12,2019,330,62,8,129,6,535,P1,201,84.0
Murshidabad,153,Farakka,12,Madrasa 12,2021,276,77,18,176,6,553,P1,100,86.8
Murshidabad,153,Farakka,13,Madrasa 13,2019,293,109,5,69,5,481,P1,184,81.9
Murshidabad,153,Farakka,13,Madrasa 13,2021,287,137,6,37,4,471,P1,150,80.2
Murshidabad,153,Farakka,14,Anganwadi Centre 14,2019,393,146,5,81,7,632,P1,247,82.5
Murshidabad,153,Farakka,14,Anganwadi Centre 14,2021,362,186,6,48,7,609,P1,176,79.5
Murshidabad,153,Farakka,15,Govt Office 15,2019,278,86,8,104,4,480,P1,174,85.9
Murshidabad,153,Farakka,15,Govt Office 15,2021,344,109,3,42,5,503,P1,235,90.0
Murshidabad,153,Farakka,16,Govt Office 16,2019,243,117,6,108,5,479,P1,126,84.0
Murshidabad,153,Farakka,16,Govt Office 16,2021,296,89,4,104,4,497,P1,192,87.2
Murshidabad,153,Farakka,17,Market Building 17,2019,415,106,5,47,6,579,P1,309,89.1
Murshidabad,153,Farakka,17,Market Building 17,2021,363,122,3,45,6,539,P1,241,82.9
Murshidabad,153,Farakka,18,Club Building 18,2019,288,151,2,53,5,499,P1,137,82.2
Murshidabad,153,Farakka,18,Club Building 18,2021,342,130,4,44,4,524,P1,212,86.3
Murshidabad,153,Farakka,19,Panchayat Bhavan 19,2019,362,45,4,37,5,453,P1,317,90.8
Murshidabad,153,Farakka,19,Panchayat Bhavan 19,2021,268,112,2,36,4,422,P1,156,84.6
Murshidabad,153,Farakka,20,Panchayat Bhavan 20,2019,393,122,5,90,6,616,P1,271,86.2
Murshidabad,153,Farakka,20,Panchayat Bhavan 20,2021,377,132,6,127,7,649,P1,245,90.8
Murshidabad,153,Farakka,21,Madrasa 21,2019,266,69,7,88,4,434,P1,178,88.2
Murshidabad,153,Farakka,21,Madrasa 21,2021,232,112,5,78,5,432,P1,120,87.8
Murshidabad,153,Farakka,22,Madrasa 22,2019,380,86,6,41,4,517,P1,294,83.1
Murshidabad,153,Farakka,22,Madrasa 22,2021,320,157,5,60,5,547,P1,163,87.9
Murshidabad,153,Farakka,23,Primary School 23,2019,391,160,18,145,7,721,P1,231,89.2
Murshidabad,153,Farakka,23,Primary School 23,2021,448,138,5,82,7,680,P1,310,84.2
Murshidabad,153,Farakka,24,Govt Office 24,2019,266,128,3,57,5,459,P1,138,85.2
Murshidabad,153,Farakka,24,Govt Office 24,2021,263,135,10,71,5,484,P1,128,89.8
Murshidabad,153,Farakka,25,Primary School 25,2019,362,102,8,172,6,650,P1,190,83.7
Murshidabad,153,Farakka,25,Primary School 25,2021,479,124,6,54,7,670,P1,355,86.2
Murshidabad,153,Farakka,26,Temple Hall 26,2019,288,126,6,59,4,483,P1,162,90.3
Murshidabad,153,Farakka,26,Temple Hall 26,2021,306,101,4,36,5,452,P1,205,84.5
Murshidabad,153,Farakka,27,Club Building 27,2019,326,90,17,134,6,573,P1,192,89.5
Murshidabad,153,Farakka,27,Club Building 27,2021,374,139,6,45,6,570,P1,235,89.1
Murshidabad,153,Farakka,28,Temple Hall 28,2019,479,84,4,53,6,626,P1,395,80.8
Murshidabad,153,Farakka,28,Temple Hall 28,2021,419,124,7,81,6,637,P1,295,82.2
Murshidabad,153,Farakka,29,Madrasa 29,2019,259,63,26,220,6,574,P1,39,81.7
Murshidabad,153,Farakka,29,Madrasa 29,2021,373,140,10,107,7,637,P1,233,90.6
Murshidabad,153,Farakka,30,Anganwadi Centre 30,2019,380,118,6,70,5,579,P1,262,82.7
Murshidabad,153,Farakka,30,Anganwadi Centre 30,2021,404,140,8,75,6,633,P1,264,90.4
Murshidabad,153,Farakka,31,Temple Hall 31,2019,434,80,2,49,6,571,P1,354,89.2
Murshidabad,153,Farakka,31,Temple Hall 31,2021,329,154,2,46,5,536,P1,175,83.8
Murshidabad,153,Farakka,32,Madrasa 32,2019,317,90,5,141,5,558,P1,176,88.2
Murshidabad,153,Farakka,32,Madrasa 32,2021,327,91,8,104,5,535,P1,223,84.5
Murshidabad,153,Farakka,33,Panchayat Bhavan 33,2019,382,99,12,109,7,609,P1,273,88.8
