district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Nadia,501,Nadia-501,1,Post Office 1,2019,365,191,7,49,6,618,P1,174,85.4
Nadia,501,Nadia-501,1,Post Office 1,2021,354,209,3,53,7,626,P1,145,86.5
Nadia,501,Nadia-501,2,High School 2,2019,257,236,3,61,5,562,P1,21,82.2
Nadia,501,Nadia-501,2,High School 2,2021,298,172,5,42,5,522,P1,126,76.3
Nadia,501,Nadia-501,3,Community Hall 3,2019,284,130,8,79,6,507,P1,154,87.0
Nadia,501,Nadia-501,3,Community Hall 3,2021,268,127,6,58,5,464,P1,141,79.6
Nadia,501,Nadia-501,4,Club Building 4,2019,330,204,4,49,7,594,P1,126,77.5
Nadia,501,Nadia-501,4,Club Building 4,2021,347,174,4,58,7,590,P1,173,77.0
Nadia,501,Nadia-501,5,Anganwadi Centre 5,2019,225,137,5,48,3,418,P1,88,85.1
Nadia,501,Nadia-501,5,Anganwadi Centre 5,2021,165,147,7,63,4,386,P1,18,78.6
Nadia,501,Nadia-501,6,High School 6,2019,287,194,7,151,7,646,P1,93,86.7
Nadia,501,Nadia-501,6,High School 6,2021,327,151,5,77,5,565,P1,176,75.8
Nadia,501,Nadia-501,7,Panchayat Bhavan 7,2019,334,165,2,48,5,554,P1,169,81.8
Nadia,501,Nadia-501,7,Panchayat Bhavan 7,2021,344,157,4,46,5,556,P1,187,82.1
Nadia,501,Nadia-501,8,High School 8,2019,236,150,3,36,4,429,P1,86,83.1
Nadia,501,Nadia-501,8,High School 8,2021,279,116,5,35,3,438,P1,163,84.9
Nadia,501,Nadia-501,9,Madrasa 9,2019,246,113,3,34,4,400,P1,133,83.3
Nadia,501,Nadia-501,9,Madrasa 9,2021,223,149,1,36,4,413,P1,74,86.0
Nadia,501,Nadia-501,10,Govt Office 10,2019,346,151,2,48,5,552,P1,195,84.9
Nadia,501,Nadia-501,10,Govt Office 10,2021,289,182,3,45,5,524,P1,107,80.6
Nadia,501,Nadia-501,11,Market Building 11,2019,181,154,6,47,4,392,P1,27,76.3
Nadia,501,Nadia-501,11,Market Building 11,2021,292,68,8,70,4,442,P1,222,86.0
Nadia,501,Nadia-501,12,Health Sub-Centre 12,2019,320,178,7,49,6,560,P1,142,82.6
Nadia,501,Nadia-501,12,Health Sub-Centre 12,2021,348,150,5,56,6,565,P1,198,83.3
Nadia,501,Nadia-501,13,Panchayat Bhavan 13,2019,345,137,2,46,6,536,P1,208,83.2
Nadia,501,Nadia-501,13,Panchayat Bhavan 13,2021,322,154,2,56,6,540,P1,168,83.9
Nadia,501,Nadia-501,14,Club Building 14,2019,269,189,4,97,5,564,P1,80,76.0
Nadia,501,Nadia-501,14,Club Building 14,2021,243,250,14,94,5,606,P2,7,81.7
Nadia,501,Nadia-501,15,Health Sub-Centre 15,2019,296,220,9,69,5,599,P1,76,78.2
Nadia,501,Nadia-501,15,Health Sub-Centre 15,2021,367,215,7,51,6,646,P1,152,84.3
Nadia,501,Nadia-501,16,Market Building 16,2019,219,127,4,31,3,384,P1,92,79.3
Nadia,501,Nadia-501,16,Market Building 16,2021,231,145,2,36,4,418,P1,86,86.4
Nadia,501,Nadia-501,17,Govt Office 17,2019,249,132,5,33,4,423,P1,117,80.9
Nadia,501,Nadia-501,17,Govt Office 17,2021,196,115,13,95,4,423,P1,81,80.9
Nadia,501,Nadia-501,18,Market Building 18,2019,316,123,7,88,5,539,P1,193,77.4
Nadia,501,Nadia-501,18,Market Building 18,2021,244,216,13,98,6,577,P1,28,82.9
Nadia,501,Nadia-501,19,Govt Office 19,2019,226,137,2,35,3,403,P1,89,77.1
Nadia,501,Nadia-501,19,Govt Office 19,2021,247,113,3,33,4,400,P1,134,76.5
Nadia,501,Nadia-501,20,Anganwadi Centre 20,2019,403,118,3,49,6,579,P1,285,82.8
Nadia,501,Nadia-501,20,Anganwadi Centre 20,2021,285,142,8,135,6,576,P1,143,82.4
Nadia,501,Nadia-501,21,Market Building 21,2019,368,153,5,47,6,579,P1,215,83.7
Nadia,501,Nadia-501,21,Market Building 21,2021,313,200,5,60,6,584,P1,113,84.4
Nadia,501,Nadia-501,22,Club Building 22,2019,197,139,4,47,3,390,P1,58,76.0
Nadia,501,Nadia-501,22,Club Building 22,2021,200,124,8,72,4,408,P1,76,79.5
Nadia,501,Nadia-501,23,Club Building 23,2019,284,140,3,39,5,471,P1,144,76.6
Nadia,501,Nadia-501,23,Club Building 23,2021,307,177,2,47,4,537,P1,130,87.3
Nadia,501,Nadia-501,24,Panchayat Bhavan 24,2019,289,120,2,39,5,455,P1,169,77.6
Nadia,501,Nadia-501,24,Panchayat Bhavan 24,2021,251,169,4,74,6,504,P1,82,86.0
Nadia,501,Nadia-501,25,High School 25,2019,312,194,4,96,7,613,P1,118,83.4
Nadia,501,Nadia-501,25,High School 25,2021,276,166,5,119,6,572,P1,110,77.8
Nadia,501,Nadia-501,26,High School 26,2019,216,130,4,110,5,465,P1,86,81.7
Nadia,501,Nadia-501,26,High School 26,2021,321,116,6,38,4,485,P1,205,85.2
Nadia,501,Nadia-501,27,Market Building 27,2019,246,168,4,38,5,461,P1,78,82.8
Nadia,501,Nadia-501,27,Market Building 27,2021,257,143,3,37,4,444,P1,114,79.7
Nadia,501,Nadia-501,28,Health Sub-Centre 28,2019,233,235,7,83,5,563,P2,2,76.6
Nadia,501,Nadia-501,28,Health Sub-Centre 28,2021,290,202,5,87,6,590,P1,88,80.3
Nadia,501,Nadia-501,29,High School 29,2019,295,133,4,39,4,475,P1,162,75.9
Nadia,501,Nadia-501,29,High School 29,2021,337,154,4,45,5,545,P1,183,87.1
Nadia,501,Nadia-501,30,Market Building 30,2019,360,182,3,59,7,611,P1,178,86.8
Nadia,501,Nadia-501,30,Market Building 30,2021,324,221,6,49,6,606,P1,103,86.1
Nadia,501,Nadia-501,31,Health Sub-Centre 31,2019,280,123,5,35,4,447,P1,157,84.3
Nadia,501,Nadia-501,31,Health Sub-Centre 31,2021,246,117,4,32,4,403,P1,129,76.0
Nadia,501,Nadia-501,32,Health Sub-Centre 32,2019,284,113,9,81,5,492,P1,171,76.8
Nadia,501,Nadia-501,32,Health Sub-Centre 32,2021,341,163,6,44,6,560,P1,178,87.4
Nadia,501,Nadia-501,33,Madrasa 33,2019,384,144,5,48,5,586,P1,240,81.5
Nadia,501,Nadia-501,33,Madrasa 33,2021,324,181,8,90,5,608,P1,143,84.6
Nadia,501,Nadia-501,34,Temple Hall 34,2019,291,84,4,33,4,416,P1,207,83.9
Nadia,501,Nadia-501,34,Temple Hall 34,2021,231,115,4,43,4,397,P1,116,80.0
Nadia,501,Nadia-501,35,Madrasa 35,2019,371,221,3,63,6,664,P1,150,84.2
Nadia,501,Nadia-501,35,Madrasa 35,2021,438,137,3,54,7,639,P1,301,81.0
Nadia,501,Nadia-501,36,Madrasa 36,2019,225,158,2,54,4,443,P1,67,86.2
Nadia,501,Nadia-501,36,Madrasa 36,2021,212,157,5,41,4,419,P1,55,81.5
Nadia,501,Nadia-501,37,Market Building 37,2019,294,222,6,46,5,573,P1,72,84.1
Nadia,501,Nadia-501,37,Market Building 37,2021,271,190,12,104,7,584,P1,81,85.8
Nadia,501,Nadia-501,38,Health Sub-Centre 38,2019,230,162,2,40,4,438,P1,68,83.4
Nadia,501,Nadia-501,38,Health Sub-Centre 38,2021,202,145,9,71,5,432,P1,57,82.3
Nadia,501,Nadia-501,39,Primary School 39,2019,268,151,2,70,5,496,P1,117,79.1
Nadia,501,Nadia-501,39,Primary School 39,2021,255,166,7,114,5,547,P1,89,87.2
Nadia,501,Nadia-501,40,Community Hall 40,2019,315,199,14,126,6,660,P1,116,86.3
Nadia,501,Nadia-501,40,Community Hall 40,2021,277,249,6,65,6,603,P1,28,78.8
Nadia,501,Nadia-501,41,Temple Hall 41,2019,276,187,8,59,5,535,P1,89,79.1
Nadia,501,Nadia-501,41,Temple Hall 41,2021,258,245,8,65,5,581,P1,13,85.9
Nadia,501,Nadia-501,42,Govt Office 42,2019,295,114,2,39,5,455,P1,181,77.9
Nadia,501,Nadia-501,42,Govt Office 42,2021,263,111,6,60,4,444,P1,152,76.0
Nadia,501,Nadia-501,43,Community Hall 43,2019,212,142,7,90,5,456,P1,70,87.4
Nadia,501,Nadia-501,43,Community Hall 43,2021,272,113,2,37,4,428,P1,159,82.0
Nadia,501,Nadia-501,44,Market Building 44,2019,245,172,5,37,5,464,P1,73,85.1
Nadia,501,Nadia-501,44,Market Building 44,2021,191,184,3,35,4,417,P1,7,76.5
Nadia,501,Nadia-501,45,Primary School 45,2019,192,138,4,49,4,387,P1,54,79.6
Nadia,501,Nadia-501,45,Primary School 45,2021,259,81,4,30,3,377,P1,178,77.6
Nadia,501,Nadia-501,46,Madrasa 46,2019,379,237,6,56,6,684,P1,142,84.2
Nadia,501,Nadia-501,46,Madrasa 46,2021,372,234,8,53,7,674,P1,138,83.0
Nadia,501,Nadia-501,47,Post Office 47,2019,226,161,6,192,6,591,P1,34,79.2
Nadia,501,Nadia-501,47,Post Office 47,2021,292,143,6,133,6,580,P1,149,77.7
Nadia,501,Nadia-501,48,Club Building 48,2019,348,249,4,56,7,664,P1,99,81.8
Nadia,501,Nadia-501,48,Club Building 48,2021,311,233,10,86,6,646,P1,78,79.6
Nadia,501,Nadia-501,49,Anganwadi Centre 49,2019,248,134,13,104,6,505,P1,114,79.3
Nadia,501,Nadia-501,49,Anganwadi Centre 49,2021,295,188,6,42,6,537,P1,107,84.3
Nadia,501,Nadia-501,50,Anganwadi Centre 50,2019,283,115,2,38,4,442,P1,168,83.9
Nadia,501,Nadia-501,50,Anganwadi Centre 50,2021,238,138,2,36,3,417,P1,100,79.1
Nadia,501,Nadia-501,51,Club Building 51,2019,226,114,8,90,4,442,P1,112,81.9
Nadia,501,Nadia-501,51,Club Building 51,2021,277,120,4,36,4,441,P1,157,81.7
Nadia,501,Nadia-501,52,Govt Office 52,2019,221,135,4,31,4,395,P1,86,78.8
Nadia,501,Nadia-501,52,Govt Office 52,2021,254,121,3,35,4,417,P1,133,83.2
Nadia,501,Nadia-501,53,Madrasa 53,2019,239,126,5,41,4,415,P1,113,85.0
Nadia,501,Nadia-501,53,Madrasa 53,2021,258,96,3,32,4,393,P1,162,80.5
Nadia,501,Nadia-501,54,Madrasa 54,2019,347,157,3,60,6,573,P1,190,86.7
Nadia,501,Nadia-501,54,Madrasa 54,2021,276,170,5,65,4,520,P1,106,78.7
Nadia,501,Nadia-501,55,Anganwadi Centre 55,2019,310,265,4,85,8,672,P1,45,83.9
Nadia,501,Nadia-501,55,Anganwadi Centre 55,2021,398,181,6,51,7,643,P1,217,80.3
Nadia,501,Nadia-501,56,Community Hall 56,2019,220,169,6,158,6,559,P1,51,86.8
Nadia,501,Nadia-501,56,Community Hall 56,2021,289,173,4,63,5,534,P1,116,82.9
Nadia,501,Nadia-501,57,Club Building 57,2019,335,150,4,44,6,539,P1,185,78.8
Nadia,501,Nadia-501,57,Club Building 57,2021,381,130,7,44,6,568,P1,251,83.0
Nadia,501,Nadia-501,58,Post Office 58,2019,280,105,5,34,4,428,P1,175,80.5
Nadia,501,Nadia-501,58,Post Office 58,2021,187,131,13,100,4,435,P1,56,81.8
Nadia,501,Nadia-501,59,Health Sub-Centre 59,2019,197,142,9,73,5,426,P1,55,78.5
Nadia,501,Nadia-501,59,Health Sub-Centre 59,2021,329,90,2,40,5,466,P1,239,85.8
Nadia,501,Nadia-501,60,Temple Hall 60,2019,310,191,2,48,5,556,P1,119,77.9
Nadia,501,Nadia-501,60,Temple Hall 60,2021,261,227,4,45,5,542,P1,34,75.9
Nadia,501,Nadia-501,61,Primary School 61,2019,251,112,3,62,5,433,P1,139,80.9
Nadia,501,Nadia-501,61,Primary School 61,2021,224,114,6,105,5,454,P1,110,84.9
Nadia,501,Nadia-501,62,Community Hall 62,2019,370,217,4,55,7,653,P1,153,83.1
Nadia,501,Nadia-501,62,Community Hall 62,2021,409,149,7,48,7,620,P1,260,78.9
Nadia,501,Nadia-501,63,Panchayat Bhavan 63,2019,451,124,8,50,6,639,P1,327,85.0
Nadia,501,Nadia-501,63,Panchayat Bhavan 63,2021,330,169,6,96,7,608,P1,161,80.9
Nadia,501,Nadia-501,64,Club Building 64,2019,305,133,5,67,6,516,P1,172,81.3
Nadia,501,Nadia-501,64,Club Building 64,2021,258,110,9,117,5,499,P1,141,78.6
Nadia,501,Nadia-501,65,Anganwadi Centre 65,2019,307,201,6,45,5,564,P1,106,85.5
