district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
North 24 Parganas,101,N24P-101,1,Health Sub-Centre 1,2019,325,144,2,44,6,521,P1,181,77.2
North 24 Parganas,101,N24P-101,1,Health Sub-Centre 1,2021,299,162,2,44,6,513,P1,137,76.0
North 24 Parganas,101,N24P-101,2,Madrasa 2,2019,361,226,4,93,7,691,P1,135,85.1
North 24 Parganas,101,N24P-101,2,Madrasa 2,2021,444,187,6,57,7,701,P1,257,86.3
North 24 Parganas,101,N24P-101,3,Temple Hall 3,2019,283,150,11,110,5,559,P1,133,86.1
North 24 Parganas,101,N24P-101,3,Temple Hall 3,2021,320,184,3,48,5,560,P1,136,86.3
North 24 Parganas,101,N24P-101,4,Health Sub-Centre 4,2019,304,204,13,99,6,626,P1,100,83.4
North 24 Parganas,101,N24P-101,4,Health Sub-Centre 4,2021,423,129,6,49,6,613,P1,294,81.6
North 24 Parganas,101,N24P-101,5,Anganwadi Centre 5,2019,344,163,4,52,6,569,P1,181,77.0
North 24 Parganas,101,N24P-101,5,Anganwadi Centre 5,2021,419,151,5,52,7,634,P1,268,85.8
North 24 Parganas,101,N24P-101,6,Market Building 6,2019,291,192,4,102,5,594,P1,99,76.7
North 24 Parganas,101,N24P-101,6,Market Building 6,2021,284,163,12,151,5,615,P1,121,79.5
North 24 Parganas,101,N24P-101,7,Madrasa 7,2019,279,190,10,114,5,598,P1,89,76.8
North 24 Parganas,101,N24P-101,7,Madrasa 7,2021,351,184,6,47,7,595,P1,167,76.4
North 24 Parganas,101,N24P-101,8,Health Sub-Centre 8,2019,245,159,2,38,5,449,P1,86,77.8
North 24 Parganas,101,N24P-101,8,Health Sub-Centre 8,2021,312,141,2,43,6,504,P1,171,87.3
North 24 Parganas,101,N24P-101,9,Health Sub-Centre 9,2019,238,99,3,41,5,386,P1,139,77.0
North 24 Parganas,101,N24P-101,9,Health Sub-Centre 9,2021,241,102,5,65,4,417,P1,139,83.2
North 24 Parganas,101,N24P-101,10,Community Hall 10,2019,259,179,6,86,5,535,P1,80,75.9
North 24 Parganas,101,N24P-101,10,Community Hall 10,2021,239,139,16,191,5,590,P1,48,83.7
North 24 Parganas,101,N24P-101,11,Market Building 11,2019,331,134,3,43,5,516,P1,197,84.6
North 24 Parganas,101,N24P-101,11,Market Building 11,2021,275,140,8,71,4,498,P1,135,81.6
North 24 Parganas,101,N24P-101,12,Market Building 12,2019,242,231,9,63,5,550,P1,11,78.0
North 24 Parganas,101,N24P-101,12,Market Building 12,2021,399,86,3,46,5,539,P1,313,76.5
North 24 Parganas,101,N24P-101,13,Health Sub-Centre 13,2019,438,188,5,57,7,695,P1,250,85.8
North 24 Parganas,101,N24P-101,13,Health Sub-Centre 13,2021,405,171,7,51,6,640,P1,234,79.0
North 24 Parganas,101,N24P-101,14,Temple Hall 14,2019,373,132,6,45,6,562,P1,241,86.7
North 24 Parganas,101,N24P-101,14,Temple Hall 14,2021,248,121,17,135,5,526,P1,113,81.2
North 24 Parganas,101,N24P-101,15,Club Building 15,2019,316,188,3,53,6,566,P1,128,78.7
North 24 Parganas,101,N24P-101,15,Club Building 15,2021,405,113,4,72,6,600,P1,292,83.4
North 24 Parganas,101,N24P-101,16,Market Building 16,2019,262,168,3,40,5,478,P1,94,81.0
North 24 Parganas,101,N24P-101,16,Market Building 16,2021,273,143,3,39,5,463,P1,130,78.5
North 24 Parganas,101,N24P-101,17,Primary School 17,2019,256,148,8,85,5,502,P1,108,82.3
North 24 Parganas,101,N24P-101,17,Primary School 17,2021,264,131,3,61,4,463,P1,133,75.9
North 24 Parganas,101,N24P-101,18,Market Building 18,2019,267,125,5,35,4,436,P1,142,77.7
North 24 Parganas,101,N24P-101,18,Market Building 18,2021,264,89,6,107,4,470,P1,157,83.8
North 24 Parganas,101,N24P-101,19,Govt Office 19,2019,313,190,13,94,6,616,P1,123,84.5
North 24 Parganas,101,N24P-101,19,Govt Office 19,2021,332,198,6,49,6,591,P1,134,81.1
North 24 Parganas,101,N24P-101,20,Madrasa 20,2019,292,138,5,38,5,478,P1,154,82.0
North 24 Parganas,101,N24P-101,20,Madrasa 20,2021,307,121,3,40,5,476,P1,186,81.6
North 24 Parganas,101,N24P-101,21,High School 21,2019,288,116,5,35,5,449,P1,172,87.2
North 24 Parganas,101,N24P-101,21,High School 21,2021,232,147,4,34,5,422,P1,85,81.9
North 24 Parganas,101,N24P-101,22,Health Sub-Centre 22,2019,412,132,5,49,6,604,P1,280,86.5
North 24 Parganas,101,N24P-101,22,Health Sub-Centre 22,2021,265,196,5,108,5,579,P1,69,83.0
North 24 Parganas,101,N24P-101,23,Primary School 23,2019,394,225,5,57,6,687,P1,169,86.9
North 24 Parganas,101,N24P-101,23,Primary School 23,2021,347,188,4,105,7,651,P1,159,82.3
North 24 Parganas,101,N24P-101,24,Madrasa 24,2019,342,141,5,44,4,536,P1,201,79.6
North 24 Parganas,101,N24P-101,24,Madrasa 24,2021,287,142,5,78,6,518,P1,145,77.0
North 24 Parganas,101,N24P-101,25,Health Sub-Centre 25,2019,308,241,5,80,5,639,P1,67,86.6
North 24 Parganas,101,N24P-101,25,Health Sub-Centre 25,2021,337,179,4,48,6,574,P1,158,77.8
North 24 Parganas,101,N24P-101,26,Temple Hall 26,2019,287,112,4,67,4,474,P1,175,84.5
North 24 Parganas,101,N24P-101,26,Temple Hall 26,2021,252,132,2,36,5,427,P1,120,76.1
North 24 Parganas,101,N24P-101,27,Health Sub-Centre 27,2019,286,179,2,45,5,517,P1,107,77.3
