district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Paschim Bardhaman,1401,WBrd-1401,1,Anganwadi Centre 1,2019,221,117,6,88,4,436,P1,104,82.4
Paschim Bardhaman,1401,WBrd-1401,1,Anganwadi Centre 1,2021,232,167,3,37,4,443,P1,65,83.7
Paschim Bardhaman,1401,WBrd-1401,2,Anganwadi Centre 2,2019,416,128,7,48,6,605,P1,288,78.8
Paschim Bardhaman,1401,WBrd-1401,2,Anganwadi Centre 2,2021,294,201,10,119,7,631,P1,93,82.2
Paschim Bardhaman,1401,WBrd-1401,3,Govt Office 3,2019,287,161,3,42,5,498,P1,126,75.3
Paschim Bardhaman,1401,WBrd-1401,3,Govt Office 3,2021,217,218,8,85,5,533,P2,1,80.6
Paschim Bardhaman,1401,WBrd-1401,4,High School 4,2019,402,162,8,49,6,627,P1,240,77.4
Paschim Bardhaman,1401,WBrd-1401,4,High School 4,2021,316,252,3,53,7,631,P1,64,77.9
Paschim Bardhaman,1401,WBrd-1401,5,Club Building 5,2019,285,123,2,39,5,454,P1,162,79.8
Paschim Bardhaman,1401,WBrd-1401,5,Club Building 5,2021,263,157,3,39,4,466,P1,106,81.9
Paschim Bardhaman,1401,WBrd-1401,6,Club Building 6,2019,139,137,7,91,4,378,P1,2,78.8
Paschim Bardhaman,1401,WBrd-1401,6,Club Building 6,2021,197,92,7,59,4,359,P1,105,74.8
Paschim Bardhaman,1401,WBrd-1401,7,Primary School 7,2019,213,131,6,42,3,395,P1,82,82.0
Paschim Bardhaman,1401,WBrd-1401,7,Primary School 7,2021,257,83,4,30,4,378,P1,174,78.4
Paschim Bardhaman,1401,WBrd-1401,8,Community Hall 8,2019,256,123,3,37,5,424,P1,133,75.8
Paschim Bardhaman,1401,WBrd-1401,8,Community Hall 8,2021,265,137,2,44,4,452,P1,128,80.9
Paschim Bardhaman,1401,WBrd-1401,9,Community Hall 9,2019,292,187,5,43,5,532,P1,105,83.5
Paschim Bardhaman,1401,WBrd-1401,9,Community Hall 9,2021,299,191,6,43,5,544,P1,108,85.4
Paschim Bardhaman,1401,WBrd-1401,10,Govt Office 10,2019,296,177,9,68,5,555,P1,119,75.5
Paschim Bardhaman,1401,WBrd-1401,10,Govt Office 10,2021,267,179,9,151,7,613,P1,88,83.4
Paschim Bardhaman,1401,WBrd-1401,11,Primary School 11,2019,380,149,2,51,6,588,P1,231,80.4
Paschim Bardhaman,1401,WBrd-1401,11,Primary School 11,2021,313,161,4,87,5,570,P1,152,78.0
Paschim Bardhaman,1401,WBrd-1401,12,Club Building 12,2019,248,127,3,35,4,417,P1,121,78.7
Paschim Bardhaman,1401,WBrd-1401,12,Club Building 12,2021,247,159,3,37,5,451,P1,88,85.1
Paschim Bardhaman,1401,WBrd-1401,13,Anganwadi Centre 13,2019,356,172,10,105,7,650,P1,184,82.4
Paschim Bardhaman,1401,WBrd-1401,13,Anganwadi Centre 13,2021,368,231,3,57,6,665,P1,137,84.3
Paschim Bardhaman,1401,WBrd-1401,14,Health Sub-Centre 14,2019,241,159,7,55,5,467,P1,82,84.8
Paschim Bardhaman,1401,WBrd-1401,14,Health Sub-Centre 14,2021,234,108,7,64,4,417,P1,126,75.7
