district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Paschim Medinipur,601,WMed-601,1,Post Office 1,2019,245,229,5,146,6,631,P1,16,79.2
Paschim Medinipur,601,WMed-601,1,Post Office 1,2021,341,170,15,104,7,637,P1,171,79.9
Paschim Medinipur,601,WMed-601,2,Govt Office 2,2019,230,145,4,34,3,416,P1,85,79.5
Paschim Medinipur,601,WMed-601,2,Govt Office 2,2021,244,101,5,63,4,417,P1,143,79.7
Paschim Medinipur,601,WMed-601,3,Panchayat Bhavan 3,2019,382,133,6,46,6,573,P1,249,85.0
Paschim Medinipur,601,WMed-601,3,Panchayat Bhavan 3,2021,296,154,2,43,5,500,P1,142,74.2
Paschim Medinipur,601,WMed-601,4,Market Building 4,2019,264,113,9,80,4,470,P1,151,83.0
Paschim Medinipur,601,WMed-601,4,Market Building 4,2021,238,133,8,64,4,447,P1,105,79.0
Paschim Medinipur,601,WMed-601,5,Primary School 5,2019,346,156,3,48,5,558,P1,190,76.2
Paschim Medinipur,601,WMed-601,5,Primary School 5,2021,295,149,5,127,6,582,P1,146,79.5
Paschim Medinipur,601,WMed-601,6,Govt Office 6,2019,325,183,8,150,6,672,P1,142,84.4
Paschim Medinipur,601,WMed-601,6,Govt Office 6,2021,355,206,6,83,6,656,P1,149,82.4
Paschim Medinipur,601,WMed-601,7,Madrasa 7,2019,309,125,3,41,4,482,P1,184,73.9
Paschim Medinipur,601,WMed-601,7,Madrasa 7,2021,315,150,5,41,5,516,P1,165,79.1
Paschim Medinipur,601,WMed-601,8,Club Building 8,2019,338,188,2,51,5,584,P1,150,74.0
Paschim Medinipur,601,WMed-601,8,Club Building 8,2021,374,172,3,52,6,607,P1,202,76.9
Paschim Medinipur,601,WMed-601,9,Madrasa 9,2019,316,129,10,80,6,541,P1,187,79.4
Paschim Medinipur,601,WMed-601,9,Madrasa 9,2021,301,192,4,46,4,547,P1,109,80.3
Paschim Medinipur,601,WMed-601,10,Community Hall 10,2019,351,158,6,45,5,565,P1,193,76.5
Paschim Medinipur,601,WMed-601,10,Community Hall 10,2021,396,140,3,51,5,595,P1,256,80.5
Paschim Medinipur,601,WMed-601,11,Anganwadi Centre 11,2019,319,101,2,40,4,466,P1,218,79.1
Paschim Medinipur,601,WMed-601,11,Anganwadi Centre 11,2021,231,101,8,112,4,456,P1,119,77.4
Paschim Medinipur,601,WMed-601,12,Market Building 12,2019,379,156,6,47,6,594,P1,223,80.1
Paschim Medinipur,601,WMed-601,12,Market Building 12,2021,340,175,6,48,6,575,P1,165,77.5
Paschim Medinipur,601,WMed-601,13,Temple Hall 13,2019,259,174,8,63,5,509,P1,85,75.2
Paschim Medinipur,601,WMed-601,13,Temple Hall 13,2021,257,196,3,56,5,517,P1,61,76.4
Paschim Medinipur,601,WMed-601,14,Govt Office 14,2019,228,134,6,42,4,414,P1,94,80.7
Paschim Medinipur,601,WMed-601,14,Govt Office 14,2021,250,119,4,41,4,418,P1,131,81.5
Paschim Medinipur,601,WMed-601,15,Post Office 15,2019,316,111,14,124,5,570,P1,192,76.5
Paschim Medinipur,601,WMed-601,15,Post Office 15,2021,286,167,16,140,5,614,P1,119,82.4
Paschim Medinipur,601,WMed-601,16,High School 16,2019,342,177,2,53,6,580,P1,165,81.1
Paschim Medinipur,601,WMed-601,16,High School 16,2021,317,201,7,45,6,576,P1,116,80.6
Paschim Medinipur,601,WMed-601,17,Health Sub-Centre 17,2019,313,202,6,71,6,598,P1,111,84.8
Paschim Medinipur,601,WMed-601,17,Health Sub-Centre 17,2021,343,150,4,46,5,548,P1,193,77.7
Paschim Medinipur,601,WMed-601,18,Market Building 18,2019,342,228,7,50,7,634,P1,114,80.6
Paschim Medinipur,601,WMed-601,18,Market Building 18,2021,364,171,6,48,5,594,P1,193,75.5
Paschim Medinipur,601,WMed-601,19,Madrasa 19,2019,281,167,9,65,6,528,P1,114,83.5
Paschim Medinipur,601,WMed-601,19,Madrasa 19,2021,268,131,11,113,5,528,P1,137,83.5
Paschim Medinipur,601,WMed-601,20,Health Sub-Centre 20,2019,286,129,2,39,5,461,P1,157,85.1
Paschim Medinipur,601,WMed-601,20,Health Sub-Centre 20,2021,281,107,5,34,4,431,P1,174,79.5
Paschim Medinipur,601,WMed-601,21,Temple Hall 21,2019,211,170,5,92,4,482,P1,41,78.5
Paschim Medinipur,601,WMed-601,21,Temple Hall 21,2021,313,122,5,38,5,483,P1,191,78.7
Paschim Medinipur,601,WMed-601,22,Health Sub-Centre 22,2019,313,187,5,54,6,565,P1,126,80.9
Paschim Medinipur,601,WMed-601,22,Health Sub-Centre 22,2021,333,158,2,47,5,545,P1,175,78.1
Paschim Medinipur,601,WMed-601,23,Govt Office 23,2019,284,175,5,41,6,511,P1,109,84.5
Paschim Medinipur,601,WMed-601,23,Govt Office 23,2021,240,181,4,38,5,468,P1,59,77.4
