district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Purba Bardhaman,901,EBrd-901,1,Madrasa 1,2019,269,100,5,86,5,465,P1,169,76.6
Purba Bardhaman,901,EBrd-901,1,Madrasa 1,2021,225,153,11,87,5,481,P1,72,79.2
Purba Bardhaman,901,EBrd-901,2,Community Hall 2,2019,288,128,9,124,6,555,P1,160,86.3
Purba Bardhaman,901,EBrd-901,2,Community Hall 2,2021,356,90,8,67,5,526,P1,266,81.8
Purba Bardhaman,901,EBrd-901,3,Madrasa 3,2019,256,121,4,111,5,497,P1,135,85.7
Purba Bardhaman,901,EBrd-901,3,Madrasa 3,2021,301,114,5,44,4,468,P1,187,80.7
Purba Bardhaman,901,EBrd-901,4,Madrasa 4,2019,334,139,7,64,5,549,P1,195,88.0
Purba Bardhaman,901,EBrd-901,4,Madrasa 4,2021,326,167,3,46,6,548,P1,159,87.8
Purba Bardhaman,901,EBrd-901,5,Community Hall 5,2019,306,103,9,93,5,516,P1,203,81.8
Purba Bardhaman,901,EBrd-901,5,Community Hall 5,2021,362,106,6,55,5,534,P1,256,84.6
Purba Bardhaman,901,EBrd-901,6,Post Office 6,2019,352,154,3,60,6,575,P1,198,84.2
Purba Bardhaman,901,EBrd-901,6,Post Office 6,2021,279,120,18,124,4,545,P1,155,79.8
Purba Bardhaman,901,EBrd-901,7,Post Office 7,2019,397,135,10,125,7,674,P1,262,87.6
Purba Bardhaman,901,EBrd-901,7,Post Office 7,2021,342,171,12,99,5,629,P1,171,81.8
Purba Bardhaman,901,EBrd-901,8,Madrasa 8,2019,266,100,5,43,5,419,P1,166,80.4
Purba Bardhaman,901,EBrd-901,8,Madrasa 8,2021,259,143,3,37,4,446,P1,116,85.6
Purba Bardhaman,901,EBrd-901,9,Market Building 9,2019,393,209,4,56,6,668,P1,184,84.8
Purba Bardhaman,901,EBrd-901,9,Market Building 9,2021,333,97,24,203,7,664,P1,130,84.3
Purba Bardhaman,901,EBrd-901,10,Temple Hall 10,2019,319,137,17,124,7,604,P1,182,78.2
Purba Bardhaman,901,EBrd-901,10,Temple Hall 10,2021,358,154,15,123,5,655,P1,204,84.8
