district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Purba Medinipur,301,PMed-301,1,Market Building 1,2019,265,109,1,36,5,416,P1,156,84.7
Purba Medinipur,301,PMed-301,1,Market Building 1,2021,259,126,5,40,5,435,P1,133,88.6
Purba Medinipur,301,PMed-301,2,Panchayat Bhavan 2,2019,446,181,3,63,7,700,P1,265,89.1
Purba Medinipur,301,PMed-301,2,Panchayat Bhavan 2,2021,447,127,5,53,5,637,P1,320,81.0
Purba Medinipur,301,PMed-301,3,Market Building 3,2019,411,55,5,41,5,517,P1,356,82.7
Purba Medinipur,301,PMed-301,3,Market Building 3,2021,319,140,4,42,5,510,P1,179,81.6
Purba Medinipur,301,PMed-301,4,Primary School 4,2019,249,55,6,88,4,402,P1,161,81.0
Purba Medinipur,301,PMed-301,4,Primary School 4,2021,262,112,7,50,4,435,P1,150,87.7
Purba Medinipur,301,PMed-301,5,Health Sub-Centre 5,2019,309,92,10,125,5,541,P1,184,92.0
Purba Medinipur,301,PMed-301,5,Health Sub-Centre 5,2021,311,140,4,43,4,502,P1,171,85.4
Purba Medinipur,301,PMed-301,6,Market Building 6,2019,465,68,6,48,6,593,P1,397,88.2
Purba Medinipur,301,PMed-301,6,Market Building 6,2021,321,214,10,69,6,620,P1,107,92.3
Purba Medinipur,301,PMed-301,7,Post Office 7,2019,367,209,4,82,6,668,P1,158,88.9
Purba Medinipur,301,PMed-301,7,Post Office 7,2021,359,189,7,71,6,632,P1,170,84.2
Purba Medinipur,301,PMed-301,8,Panchayat Bhavan 8,2019,352,137,10,72,6,577,P1,215,90.6
Purba Medinipur,301,PMed-301,8,Panchayat Bhavan 8,2021,312,135,13,123,5,588,P1,177,92.3
Purba Medinipur,301,PMed-301,9,Health Sub-Centre 9,2019,330,154,11,81,6,582,P1,176,80.5
Purba Medinipur,301,PMed-301,9,Health Sub-Centre 9,2021,403,168,7,51,6,635,P1,235,87.8
Purba Medinipur,301,PMed-301,10,Madrasa 10,2019,297,104,5,35,4,445,P1,193,88.3
Purba Medinipur,301,PMed-301,10,Madrasa 10,2021,265,123,2,47,4,441,P1,142,87.5
Purba Medinipur,301,PMed-301,11,Panchayat Bhavan 11,2019,296,79,4,33,5,417,P1,217,83.6
Purba Medinipur,301,PMed-301,11,Panchayat Bhavan 11,2021,257,136,2,50,5,450,P1,121,90.2
Purba Medinipur,301,PMed-301,12,Post Office 12,2019,456,134,4,55,6,655,P1,322,80.8
Purba Medinipur,301,PMed-301,12,Post Office 12,2021,466,158,5,57,7,693,P1,308,85.5
Purba Medinipur,301,PMed-301,13,Anganwadi Centre 13,2019,339,130,2,45,5,521,P1,209,88.9
Purba Medinipur,301,PMed-301,13,Anganwadi Centre 13,2021,387,90,4,44,5,530,P1,297,90.4
Purba Medinipur,301,PMed-301,14,Health Sub-Centre 14,2019,431,143,7,53,6,640,P1,288,87.9
Purba Medinipur,301,PMed-301,14,Health Sub-Centre 14,2021,424,120,5,50,5,604,P1,304,83.0
Purba Medinipur,301,PMed-301,15,High School 15,2019,294,120,3,45,5,467,P1,174,89.0
Purba Medinipur,301,PMed-301,15,High School 15,2021,306,107,5,40,5,463,P1,199,88.2
Purba Medinipur,301,PMed-301,16,Madrasa 16,2019,379,190,4,81,7,661,P1,189,86.7
Purba Medinipur,301,PMed-301,16,Madrasa 16,2021,470,145,6,56,7,684,P1,325,89.8
Purba Medinipur,301,PMed-301,17,Madrasa 17,2019,446,126,5,52,7,636,P1,320,88.7
Purba Medinipur,301,PMed-301,17,Madrasa 17,2021,417,135,3,52,6,613,P1,282,85.5
Purba Medinipur,301,PMed-301,18,Club Building 18,2019,379,136,12,95,6,628,P1,243,82.3
Purba Medinipur,301,PMed-301,18,Club Building 18,2021,450,128,8,50,6,642,P1,322,84.1
Purba Medinipur,301,PMed-301,19,Market Building 19,2019,327,144,8,90,5,574,P1,183,80.7
Purba Medinipur,301,PMed-301,19,Market Building 19,2021,450,92,5,49,7,603,P1,358,84.8
Purba Medinipur,301,PMed-301,20,Health Sub-Centre 20,2019,532,118,7,58,7,722,P1,414,92.6
Purba Medinipur,301,PMed-301,20,Health Sub-Centre 20,2021,413,144,3,79,6,645,P1,269,82.7
Purba Medinipur,301,PMed-301,21,Madrasa 21,2019,287,150,2,41,6,486,P1,137,89.2
Purba Medinipur,301,PMed-301,21,Madrasa 21,2021,316,79,2,38,4,439,P1,237,80.6
Purba Medinipur,301,PMed-301,22,Club Building 22,2019,427,131,7,123,7,695,P1,296,85.4
Purba Medinipur,301,PMed-301,22,Club Building 22,2021,367,124,20,183,7,701,P1,184,86.1
Purba Medinipur,301,PMed-301,23,Temple Hall 23,2019,398,133,4,49,6,590,P1,265,86.8
Purba Medinipur,301,PMed-301,23,Temple Hall 23,2021,464,94,4,52,6,620,P1,370,91.2
Purba Medinipur,301,PMed-301,24,Govt Office 24,2019,387,76,17,122,6,608,P1,265,90.6
Purba Medinipur,301,PMed-301,24,Govt Office 24,2021,389,83,7,58,5,542,P1,306,80.8
Purba Medinipur,301,PMed-301,25,Madrasa 25,2019,269,106,4,34,4,417,P1,163,84.8
Purba Medinipur,301,PMed-301,25,Madrasa 25,2021,281,81,4,32,4,402,P1,200,81.7
Purba Medinipur,301,PMed-301,26,Panchayat Bhavan 26,2019,416,104,2,50,6,578,P1,312,90.5
Purba Medinipur,301,PMed-301,26,Panchayat Bhavan 26,2021,334,184,7,54,6,585,P1,150,91.5
Purba Medinipur,301,PMed-301,27,Madrasa 27,2019,354,141,6,43,6,550,P1,213,92.4
Purba Medinipur,301,PMed-301,27,Madrasa 27,2021,347,111,4,48,6,516,P1,236,86.7
Purba Medinipur,301,PMed-301,28,Govt Office 28,2019,320,98,2,40,5,465,P1,222,89.8
Purba Medinipur,301,PMed-301,28,Govt Office 28,2021,294,103,4,36,5,442,P1,191,85.3
Purba Medinipur,301,PMed-301,29,Market Building 29,2019,373,150,12,109,6,650,P1,223,88.1
Purba Medinipur,301,PMed-301,29,Market Building 29,2021,373,226,7,53,7,666,P1,147,90.2
Purba Medinipur,301,PMed-301,30,Panchayat Bhavan 30,2019,388,122,3,48,6,567,P1,266,89.3
Purba Medinipur,301,PMed-301,30,Panchayat Bhavan 30,2021,316,138,8,59,5,526,P1,178,82.8
Purba Medinipur,301,PMed-301,31,Post Office 31,2019,317,67,4,34,4,426,P1,250,85.9
Purba Medinipur,301,PMed-301,31,Post Office 31,2021,268,93,5,32,3,401,P1,175,80.8
Purba Medinipur,301,PMed-301,32,Temple Hall 32,2019,271,95,1,35,4,406,P1,176,81.0
Purba Medinipur,301,PMed-301,32,Temple Hall 32,2021,292,88,5,33,4,422,P1,204,84.2
Purba Medinipur,301,PMed-301,33,Govt Office 33,2019,392,130,2,50,6,580,P1,262,91.8
Purba Medinipur,301,PMed-301,33,Govt Office 33,2021,359,107,3,43,6,518,P1,252,82.0
Purba Medinipur,301,PMed-301,34,Market Building 34,2019,367,89,5,136,5,602,P1,231,82.1
Purba Medinipur,301,PMed-301,34,Market Building 34,2021,493,62,5,51,6,617,P1,431,84.2
Purba Medinipur,301,PMed-301,35,Govt Office 35,2019,371,143,12,112,6,644,P1,228,89.0
Purba Medinipur,301,PMed-301,35,Govt Office 35,2021,379,101,9,113,6,608,P1,266,84.0
Purba Medinipur,301,PMed-301,36,Market Building 36,2019,339,104,6,38,5,492,P1,235,91.6
Purba Medinipur,301,PMed-301,36,Market Building 36,2021,227,149,5,64,5,450,P1,78,83.8
Purba Medinipur,301,PMed-301,37,Health Sub-Centre 37,2019,314,110,10,110,5,549,P1,204,86.3
Purba Medinipur,301,PMed-301,37,Health Sub-Centre 37,2021,300,131,12,101,7,551,P1,169,86.6
Purba Medinipur,301,PMed-301,38,Health Sub-Centre 38,2019,352,121,4,77,5,559,P1,231,91.3
Purba Medinipur,301,PMed-301,38,Health Sub-Centre 38,2021,375,120,4,46,6,551,P1,255,90.0
Purba Medinipur,301,PMed-301,39,Post Office 39,2019,309,109,12,109,6,545,P1,200,84.2
Purba Medinipur,301,PMed-301,39,Post Office 39,2021,298,131,5,115,5,554,P1,167,85.6
Purba Medinipur,301,PMed-301,40,Govt Office 40,2019,349,105,6,69,6,535,P1,244,89.6
Purba Medinipur,301,PMed-301,40,Govt Office 40,2021,383,95,5,43,5,531,P1,288,88.9
Purba Medinipur,301,PMed-301,41,Club Building 41,2019,348,167,2,50,5,572,P1,181,92.0
Purba Medinipur,301,PMed-301,41,Club Building 41,2021,355,153,5,45,7,565,P1,202,90.8
Purba Medinipur,301,PMed-301,42,Anganwadi Centre 42,2019,430,118,5,50,6,609,P1,312,89.7
Purba Medinipur,301,PMed-301,42,Anganwadi Centre 42,2021,380,176,5,51,6,618,P1,204,91.0
Purba Medinipur,301,PMed-301,43,Govt Office 43,2019,410,128,5,49,6,598,P1,282,85.1
Purba Medinipur,301,PMed-301,43,Govt Office 43,2021,401,126,11,101,7,646,P1,275,91.9
Purba Medinipur,301,PMed-301,44,Anganwadi Centre 44,2019,312,123,3,57,5,500,P1,189,85.5
Purba Medinipur,301,PMed-301,44,Anganwadi Centre 44,2021,335,114,5,55,5,514,P1,221,87.9
Purba Medinipur,301,PMed-301,45,Govt Office 45,2019,349,172,5,47,6,579,P1,177,81.9
Purba Medinipur,301,PMed-301,45,Govt Office 45,2021,434,152,4,55,6,651,P1,282,92.1
Purba Medinipur,301,PMed-301,46,Madrasa 46,2019,377,49,2,40,6,474,P1,328,80.3
Purba Medinipur,301,PMed-301,46,Madrasa 46,2021,318,137,2,43,6,506,P1,181,85.8
Purba Medinipur,301,PMed-301,47,Health Sub-Centre 47,2019,332,114,2,43,5,496,P1,218,82.0
Purba Medinipur,301,PMed-301,47,Health Sub-Centre 47,2021,347,149,6,44,5,551,P1,198,91.1
Purba Medinipur,301,PMed-301,48,Govt Office 48,2019,308,99,7,72,5,491,P1,209,89.8
Purba Medinipur,301,PMed-301,48,Govt Office 48,2021,277,106,6,66,4,459,P1,171,83.9
Purba Medinipur,301,PMed-301,49,Market Building 49,2019,569,71,8,56,7,711,P1,498,88.1
Purba Medinipur,301,PMed-301,49,Market Building 49,2021,434,180,5,59,7,685,P1,254,84.9
Purba Medinipur,301,PMed-301,50,Primary School 50,2019,426,151,2,59,6,644,P1,275,81.0
Purba Medinipur,301,PMed-301,50,Primary School 50,2021,441,219,8,58,7,733,P1,222,92.2
Purba Medinipur,301,PMed-301,51,Panchayat Bhavan 51,2019,407,138,6,49,6,606,P1,269,91.3
Purba Medinipur,301,PMed-301,51,Panchayat Bhavan 51,2021,329,153,5,44,4,535,P1,176,80.6
Purba Medinipur,301,PMed-301,52,Temple Hall 52,2019,229,129,12,155,5,530,P1,74,82.6
Purba Medinipur,301,PMed-301,52,Temple Hall 52,2021,391,102,5,44,5,547,P1,289,85.2
Purba Medinipur,301,PMed-301,53,Market Building 53,2019,379,179,14,99,6,677,P1,200,90.6
