district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Purulia,1601,Prl-1601,1,Anganwadi Centre 1,2019,260,243,6,44,6,559,P1,17,83.4
Purulia,1601,Prl-1601,1,Anganwadi Centre 1,2021,346,130,6,42,5,529,P1,216,79.0
Purulia,1601,Prl-1601,2,Temple Hall 2,2019,336,253,6,68,7,670,P1,83,84.8
Purulia,1601,Prl-1601,2,Temple Hall 2,2021,304,223,2,57,6,592,P1,81,74.9
Purulia,1601,Prl-1601,3,Post Office 3,2019,236,156,8,72,4,476,P1,80,82.1
Purulia,1601,Prl-1601,3,Post Office 3,2021,297,104,5,35,4,445,P1,193,76.7
Purulia,1601,Prl-1601,4,Madrasa 4,2019,182,167,10,75,3,437,P1,15,81.7
Purulia,1601,Prl-1601,4,Madrasa 4,2021,239,150,6,55,5,455,P1,89,85.0
Purulia,1601,Prl-1601,5,Madrasa 5,2019,242,160,16,118,6,542,P1,82,77.0
Purulia,1601,Prl-1601,5,Madrasa 5,2021,307,200,6,45,6,564,P1,107,80.1
Purulia,1601,Prl-1601,6,Club Building 6,2019,315,216,5,74,6,616,P1,99,78.6
Purulia,1601,Prl-1601,6,Club Building 6,2021,308,236,7,106,6,663,P1,72,84.6
Purulia,1601,Prl-1601,7,Temple Hall 7,2019,302,262,9,89,6,668,P1,40,85.5
Purulia,1601,Prl-1601,7,Temple Hall 7,2021,308,174,5,101,6,594,P1,134,76.1
Purulia,1601,Prl-1601,8,Temple Hall 8,2019,230,208,10,108,5,561,P1,22,80.0
Purulia,1601,Prl-1601,8,Temple Hall 8,2021,324,148,10,68,5,555,P1,176,79.2
Purulia,1601,Prl-1601,9,Primary School 9,2019,340,197,3,69,6,615,P1,143,75.3
Purulia,1601,Prl-1601,9,Primary School 9,2021,326,234,4,69,6,639,P1,92,78.2
Purulia,1601,Prl-1601,10,Community Hall 10,2019,246,173,6,107,6,538,P1,73,81.9
Purulia,1601,Prl-1601,10,Community Hall 10,2021,266,164,10,78,5,523,P1,102,79.6
Purulia,1601,Prl-1601,11,Club Building 11,2019,296,148,6,39,4,493,P1,148,78.4
Purulia,1601,Prl-1601,11,Club Building 11,2021,205,146,12,122,6,491,P1,59,78.1
Purulia,1601,Prl-1601,12,Market Building 12,2019,244,176,5,70,5,500,P1,68,80.5
Purulia,1601,Prl-1601,12,Market Building 12,2021,252,149,12,82,5,500,P1,103,80.5
Purulia,1601,Prl-1601,13,High School 13,2019,376,209,5,53,8,651,P1,167,83.5
Purulia,1601,Prl-1601,13,High School 13,2021,351,234,6,55,7,653,P1,117,83.7
Purulia,1601,Prl-1601,14,Madrasa 14,2019,348,176,5,124,7,660,P1,172,83.8
Purulia,1601,Prl-1601,14,Madrasa 14,2021,391,154,2,52,7,606,P1,237,76.9
Purulia,1601,Prl-1601,15,Panchayat Bhavan 15,2019,311,179,4,45,5,544,P1,132,81.2
Purulia,1601,Prl-1601,15,Panchayat Bhavan 15,2021,199,188,4,119,6,516,P1,11,77.0
Purulia,1601,Prl-1601,16,High School 16,2019,189,112,9,61,3,374,P1,77,76.2
Purulia,1601,Prl-1601,16,High School 16,2021,176,144,7,64,4,395,P1,32,80.4
Purulia,1601,Prl-1601,17,Anganwadi Centre 17,2019,152,155,5,64,4,380,P2,3,75.4
Purulia,1601,Prl-1601,17,Anganwadi Centre 17,2021,218,124,5,49,4,400,P1,94,79.4
Purulia,1601,Prl-1601,18,Temple Hall 18,2019,359,198,4,52,6,619,P1,161,85.5
Purulia,1601,Prl-1601,18,Temple Hall 18,2021,275,231,4,68,6,584,P1,44,80.7
Purulia,1601,Prl-1601,19,Primary School 19,2019,367,182,6,48,7,610,P1,185,84.7
Purulia,1601,Prl-1601,19,Primary School 19,2021,310,180,9,65,6,570,P1,130,79.2
Purulia,1601,Prl-1601,20,Club Building 20,2019,278,157,3,41,4,483,P1,121,77.0
Purulia,1601,Prl-1601,20,Club Building 20,2021,218,184,4,117,6,529,P1,34,84.4
Purulia,1601,Prl-1601,21,Club Building 21,2019,189,140,6,89,4,428,P1,49,76.4
Purulia,1601,Prl-1601,21,Club Building 21,2021,248,158,4,36,6,452,P1,90,80.7
Purulia,1601,Prl-1601,22,High School 22,2019,246,181,3,40,5,475,P1,65,77.6
Purulia,1601,Prl-1601,22,High School 22,2021,268,152,6,53,4,483,P1,116,78.9
Purulia,1601,Prl-1601,23,Temple Hall 23,2019,246,161,2,38,6,453,P1,85,77.0
Purulia,1601,Prl-1601,23,Temple Hall 23,2021,221,176,2,37,5,441,P1,45,75.0
Purulia,1601,Prl-1601,24,Health Sub-Centre 24,2019,227,178,10,97,5,517,P1,49,80.7
Purulia,1601,Prl-1601,24,Health Sub-Centre 24,2021,242,156,5,89,5,497,P1,86,77.5
Purulia,1601,Prl-1601,25,Club Building 25,2019,380,239,8,54,7,688,P1,141,84.6
Purulia,1601,Prl-1601,25,Club Building 25,2021,345,278,4,58,7,692,P1,67,85.1
Purulia,1601,Prl-1601,26,Market Building 26,2019,366,234,10,73,6,689,P1,132,84.4
Purulia,1601,Prl-1601,26,Market Building 26,2021,262,228,8,107,6,611,P1,34,74.9
Purulia,1601,Prl-1601,27,Anganwadi Centre 27,2019,290,195,5,43,6,539,P1,95,80.9
Purulia,1601,Prl-1601,27,Anganwadi Centre 27,2021,219,212,6,70,5,512,P1,7,76.9
Purulia,1601,Prl-1601,28,Panchayat Bhavan 28,2019,282,144,3,40,4,473,P1,138,81.6
Purulia,1601,Prl-1601,28,Panchayat Bhavan 28,2021,228,149,5,45,4,431,P1,79,74.3
Purulia,1601,Prl-1601,29,Primary School 29,2019,191,113,7,99,4,414,P1,78,77.7
Purulia,1601,Prl-1601,29,Primary School 29,2021,176,172,4,87,3,442,P1,4,82.9
Purulia,1601,Prl-1601,30,Community Hall 30,2019,259,201,3,43,5,511,P1,58,77.7
Purulia,1601,Prl-1601,30,Community Hall 30,2021,268,154,4,74,5,505,P1,114,76.7
Purulia,1601,Prl-1601,31,Govt Office 31,2019,244,170,5,58,5,482,P1,74,78.6
Purulia,1601,Prl-1601,31,Govt Office 31,2021,354,101,4,41,5,505,P1,253,82.4
Purulia,1601,Prl-1601,32,Panchayat Bhavan 32,2019,203,149,2,33,4,391,P1,54,76.2
Purulia,1601,Prl-1601,32,Panchayat Bhavan 32,2021,172,141,5,66,4,388,P1,31,75.6
Purulia,1601,Prl-1601,33,Panchayat Bhavan 33,2019,277,167,8,192,7,651,P1,85,83.5
Purulia,1601,Prl-1601,33,Panchayat Bhavan 33,2021,331,219,6,49,6,611,P1,112,78.3
Purulia,1601,Prl-1601,34,Market Building 34,2019,280,120,11,84,5,500,P1,160,76.8
Purulia,1601,Prl-1601,34,Market Building 34,2021,281,157,4,43,6,491,P1,124,75.4
Purulia,1601,Prl-1601,35,Panchayat Bhavan 35,2019,289,162,2,43,5,501,P1,127,77.0
Purulia,1601,Prl-1601,35,Panchayat Bhavan 35,2021,230,179,4,80,5,498,P1,51,76.5
Purulia,1601,Prl-1601,36,Market Building 36,2019,243,107,12,92,4,458,P1,136,75.5
Purulia,1601,Prl-1601,36,Market Building 36,2021,228,198,6,71,5,508,P1,30,83.7
Purulia,1601,Prl-1601,37,High School 37,2019,265,204,14,157,6,646,P1,61,84.0
Purulia,1601,Prl-1601,37,High School 37,2021,292,232,11,110,6,651,P1,60,84.7
Purulia,1601,Prl-1601,38,Govt Office 38,2019,262,159,9,75,6,511,P1,103,81.1
Purulia,1601,Prl-1601,38,Govt Office 38,2021,265,165,2,41,5,478,P1,100,75.9
Purulia,1601,Prl-1601,39,Community Hall 39,2019,292,234,6,62,7,601,P1,58,80.0
Purulia,1601,Prl-1601,39,Community Hall 39,2021,363,184,3,52,5,607,P1,179,80.8
Purulia,1601,Prl-1601,40,High School 40,2019,330,183,10,68,6,597,P1,147,74.1
Purulia,1601,Prl-1601,40,High School 40,2021,327,256,2,56,7,648,P1,71,80.4
Purulia,1601,Prl-1601,41,Health Sub-Centre 41,2019,236,124,4,36,4,404,P1,112,75.9
Purulia,1601,Prl-1601,41,Health Sub-Centre 41,2021,270,110,4,34,5,423,P1,160,79.5
Purulia,1601,Prl-1601,42,Club Building 42,2019,359,121,5,43,6,534,P1,238,84.8
Purulia,1601,Prl-1601,42,Club Building 42,2021,296,171,3,44,4,518,P1,125,82.2
Purulia,1601,Prl-1601,43,Post Office 43,2019,232,156,2,39,4,433,P1,76,84.1
Purulia,1601,Prl-1601,43,Post Office 43,2021,223,150,4,45,5,427,P1,73,82.9
Purulia,1601,Prl-1601,44,Anganwadi Centre 44,2019,312,156,4,63,5,540,P1,156,78.6
Purulia,1601,Prl-1601,44,Anganwadi Centre 44,2021,355,170,3,50,6,584,P1,185,85.0
Purulia,1601,Prl-1601,45,Club Building 45,2019,271,256,2,51,6,586,P1,15,74.2
Purulia,1601,Prl-1601,45,Club Building 45,2021,367,160,4,49,6,586,P1,207,74.2
Purulia,1601,Prl-1601,46,Govt Office 46,2019,188,190,9,166,5,558,P2,2,83.2
Purulia,1601,Prl-1601,46,Govt Office 46,2021,276,195,3,45,4,523,P1,81,77.9
Purulia,1601,Prl-1601,47,Community Hall 47,2019,305,163,8,51,5,532,P1,142,85.0
Purulia,1601,Prl-1601,47,Community Hall 47,2021,247,133,5,80,4,469,P1,114,74.9
Purulia,1601,Prl-1601,48,Panchayat Bhavan 48,2019,306,247,3,52,7,615,P1,59,81.9
Purulia,1601,Prl-1601,48,Panchayat Bhavan 48,2021,299,245,5,57,7,613,P1,54,81.6
Purulia,1601,Prl-1601,49,Club Building 49,2019,163,141,7,61,4,376,P1,22,76.9
Purulia,1601,Prl-1601,49,Club Building 49,2021,237,122,5,31,4,399,P1,115,81.6
Purulia,1601,Prl-1601,50,Madrasa 50,2019,202,147,4,30,5,388,P1,55,78.9
Purulia,1601,Prl-1601,50,Madrasa 50,2021,208,122,4,40,4,378,P1,86,76.8
Purulia,1601,Prl-1601,51,Panchayat Bhavan 51,2019,346,191,2,51,6,596,P1,155,79.8
Purulia,1601,Prl-1601,51,Panchayat Bhavan 51,2021,229,198,8,161,7,603,P1,31,80.7
Purulia,1601,Prl-1601,52,Community Hall 52,2019,247,152,8,54,5,466,P1,95,78.2
Purulia,1601,Prl-1601,52,Community Hall 52,2021,214,172,5,61,4,456,P1,42,76.5
Purulia,1601,Prl-1601,53,Post Office 53,2019,214,158,4,96,5,477,P1,56,82.1
Purulia,1601,Prl-1601,53,Post Office 53,2021,215,186,4,36,4,445,P1,29,76.6
Purulia,1601,Prl-1601,54,Post Office 54,2019,284,185,5,42,5,521,P1,99,74.6
Purulia,1601,Prl-1601,54,Post Office 54,2021,310,200,7,47,5,569,P1,110,81.5
Purulia,1601,Prl-1601,55,Health Sub-Centre 55,2019,301,222,2,50,7,582,P1,79,82.4
Purulia,1601,Prl-1601,55,Health Sub-Centre 55,2021,290,227,7,45,6,575,P1,63,81.4
Purulia,1601,Prl-1601,56,Temple Hall 56,2019,280,220,2,48,6,556,P1,60,76.1
Purulia,1601,Prl-1601,56,Temple Hall 56,2021,212,168,12,164,6,562,P1,44,76.9
Purulia,1601,Prl-1601,57,Primary School 57,2019,223,161,3,39,5,431,P1,62,75.9
Purulia,1601,Prl-1601,57,Primary School 57,2021,206,100,6,106,5,423,P1,100,74.5
Purulia,1601,Prl-1601,58,Post Office 58,2019,307,172,2,46,6,533,P1,135,83.7
Purulia,1601,Prl-1601,58,Post Office 58,2021,297,170,2,45,5,519,P1,127,81.5
Purulia,1601,Prl-1601,59,Community Hall 59,2019,305,159,7,93,6,570,P1,146,77.1
Purulia,1601,Prl-1601,59,Community Hall 59,2021,283,200,11,77,7,578,P1,83,78.2
Purulia,1601,Prl-1601,60,Panchayat Bhavan 60,2019,178,149,10,76,5,418,P1,29,81.8
Purulia,1601,Prl-1601,60,Panchayat Bhavan 60,2021,242,131,1,36,4,414,P1,111,81.0
Purulia,1601,Prl-1601,61,Market Building 61,2019,338,115,2,44,4,503,P1,223,81.3
Purulia,1601,Prl-1601,61,Market Building 61,2021,273,183,3,54,4,517,P1,90,83.5
Purulia,1601,Prl-1601,62,Club Building 62,2019,363,180,3,51,6,603,P1,183,75.8
Purulia,1601,Prl-1601,62,Club Building 62,2021,479,119,6,54,7,665,P1,360,83.6
Purulia,1601,Prl-1601,63,High School 63,2019,226,239,4,63,5,537,P2,13,79.3
Purulia,1601,Prl-1601,63,High School 63,2021,260,231,4,45,5,545,P1,29,80.5
Purulia,1601,Prl-1601,64,Post Office 64,2019,239,186,15,138,6,584,P1,53,74.6
Purulia,1601,Prl-1601,64,Post Office 64,2021,325,132,6,169,5,637,P1,156,81.4
Purulia,1601,Prl-1601,65,Market Building 65,2019,366,158,4,48,6,582,P1,208,75.2
Purulia,1601,Prl-1601,65,Market Building 65,2021,307,226,6,61,7,607,P1,81,78.4
Purulia,1601,Prl-1601,66,Panchayat Bhavan 66,2019,341,198,6,48,6,599,P1,143,75.4
Purulia,1601,Prl-1601,66,Panchayat Bhavan 66,2021,262,174,20,161,7,624,P1,88,78.6
Purulia,1601,Prl-1601,67,Market Building 67,2019,223,170,4,50,5,452,P1,53,80.0
Purulia,1601,Prl-1601,67,Market Building 67,2021,244,134,3,81,4,466,P1,110,82.5
Purulia,1601,Prl-1601,68,Club Building 68,2019,277,113,4,35,4,433,P1,164,80.6
Purulia,1601,Prl-1601,68,Club Building 68,2021,270,92,3,33,4,402,P1,178,74.9
Purulia,1601,Prl-1601,69,Temple Hall 69,2019,285,156,3,41,5,490,P1,129,82.9
Purulia,1601,Prl-1601,69,Temple Hall 69,2021,262,152,7,77,5,503,P1,110,85.1
Purulia,1601,Prl-1601,70,Panchayat Bhavan 70,2019,325,206,3,50,5,589,P1,119,77.1
Purulia,1601,Prl-1601,70,Panchayat Bhavan 70,2021,306,213,6,46,5,576,P1,93,75.4
Purulia,1601,Prl-1601,71,Health Sub-Centre 71,2019,207,164,6,81,5,463,P1,43,81.4
Purulia,1601,Prl-1601,71,Health Sub-Centre 71,2021,206,174,10,70,5,465,P1,32,81.7
Purulia,1601,Prl-1601,72,Madrasa 72,2019,433,159,7,52,7,658,P1,274,83.2
Purulia,1601,Prl-1601,72,Madrasa 72,2021,349,212,3,53,7,624,P1,137,78.9
Purulia,1601,Prl-1601,73,High School 73,2019,219,215,8,105,5,552,P1,4,81.9
Purulia,1601,Prl-1601,73,High School 73,2021,308,189,7,58,5,567,P1,119,84.1
Purulia,1601,Prl-1601,74,Temple Hall 74,2019,360,207,6,51,8,632,P1,153,80.2
Purulia,1601,Prl-1601,74,Temple Hall 74,2021,365,232,4,65,7,673,P1,133,85.4
Purulia,1601,Prl-1601,75,Health Sub-Centre 75,2019,196,101,7,55,4,363,P1,95,75.5
Purulia,1601,Prl-1601,75,Health Sub-Centre 75,2021,192,172,2,35,4,405,P1,20,84.2
Purulia,1601,Prl-1601,76,Madrasa 76,2019,363,184,4,50,7,608,P1,179,76.7
Purulia,1601,Prl-1601,76,Madrasa 76,2021,313,226,10,108,6,663,P1,87,83.6
Purulia,1601,Prl-1601,77,Club Building 77,2019,271,246,6,58,6,587,P1,25,76.2
Purulia,1601,Prl-1601,77,Club Building 77,2021,321,202,2,50,6,581,P1,119,75.5
Purulia,1601,Prl-1601,78,Market Building 78,2019,277,186,6,41,4,514,P1,91,78.8
Purulia,1601,Prl-1601,78,Market Building 78,2021,292,162,5,40,6,505,P1,130,77.5
Purulia,1601,Prl-1601,79,Community Hall 79,2019,345,242,7,66,7,667,P1,103,85.5
Purulia,1601,Prl-1601,79,Community Hall 79,2021,282,262,7,58,6,615,P1,20,78.8
Purulia,1601,Prl-1601,80,Health Sub-Centre 80,2019,227,139,3,70,4,443,P1,88,78.0
Purulia,1601,Prl-1601,80,Health Sub-Centre 80,2021,231,143,5,73,5,457,P1,88,80.5
Purulia,1601,Prl-1601,81,Club Building 81,2019,250,152,3,37,5,447,P1,98,74.6
Purulia,1601,Prl-1601,81,Club Building 81,2021,182,214,2,53,5,456,P2,32,76.1
Purulia,1601,Prl-1601,82,Govt Office 82,2019,201,140,4,30,4,379,P1,61,77.3
Purulia,1601,Prl-1601,82,Govt Office 82,2021,227,136,3,38,4,408,P1,91,83.3
Purulia,1601,Prl-1601,83,Panchayat Bhavan 83,2019,329,136,2,45,5,517,P1,193,84.2
Purulia,1601,Prl-1601,83,Panchayat Bhavan 83,2021,288,166,3,42,5,504,P1,122,82.1
Purulia,1601,Prl-1601,84,Post Office 84,2019,208,98,4,54,4,368,P1,110,75.7
Purulia,1601,Prl-1601,84,Post Office 84,2021,209,137,3,31,4,384,P1,72,79.0
Purulia,1601,Prl-1601,85,Market Building 85,2019,303,199,12,114,6,634,P1,104,79.7
Purulia,1601,Prl-1601,85,Market Building 85,2021,387,199,4,54,7,651,P1,188,81.9
Purulia,1601,Prl-1601,86,Post Office 86,2019,321,233,3,53,6,616,P1,88,81.5
Purulia,1601,Prl-1601,86,Post Office 86,2021,332,186,6,100,6,630,P1,146,83.3
Purulia,1601,Prl-1601,87,Health Sub-Centre 87,2019,338,167,2,50,6,563,P1,171,85.0
Purulia,1601,Prl-1601,87,Health Sub-Centre 87,2021,245,156,9,83,5,498,P1,89,75.2
Purulia,1601,Prl-1601,88,Primary School 88,2019,300,132,5,43,5,485,P1,168,84.2
Purulia,1601,Prl-1601,88,Primary School 88,2021,255,115,6,70,5,451,P1,140,78.3
Purulia,1601,Prl-1601,89,Anganwadi Centre 89,2019,243,149,4,35,4,435,P1,94,81.3
Purulia,1601,Prl-1601,89,Anganwadi Centre 89,2021,249,143,6,45,5,448,P1,106,83.7
Purulia,1601,Prl-1601,90,Anganwadi Centre 90,2019,368,104,3,44,5,524,P1,264,74.9
Purulia,1601,Prl-1601,90,Anganwadi Centre 90,2021,227,184,11,99,5,526,P1,43,75.1
Purulia,1601,Prl-1601,91,High School 91,2019,238,189,3,39,5,474,P1,49,78.2
Purulia,1601,Prl-1601,91,High School 91,2021,263,159,4,38,5,469,P1,104,77.4
Purulia,1601,Prl-1601,92,Govt Office 92,2019,325,218,3,98,6,650,P1,107,82.7
Purulia,1601,Prl-1601,92,Govt Office 92,2021,291,207,10,93,7,608,P1,84,77.4
Purulia,1601,Prl-1601,93,Market Building 93,2019,249,142,3,36,4,434,P1,107,82.8
Purulia,1601,Prl-1601,93,Market Building 93,2021,249,145,4,35,5,438,P1,104,83.6
