district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
South 24 Parganas,201,S24P-201,1,Post Office 1,2019,293,130,5,38,4,470,P1,163,77.8
South 24 Parganas,201,S24P-201,1,Post Office 1,2021,221,108,10,137,5,481,P1,84,79.6
South 24 Parganas,201,S24P-201,2,Govt Office 2,2019,411,113,6,46,6,582,P1,298,84.0
South 24 Parganas,201,S24P-201,2,Govt Office 2,2021,395,121,6,45,6,573,P1,274,82.7
South 24 Parganas,201,S24P-201,3,Post Office 3,2019,404,159,5,52,5,625,P1,245,78.8
South 24 Parganas,201,S24P-201,3,Post Office 3,2021,440,156,6,54,7,663,P1,284,83.6
South 24 Parganas,201,S24P-201,4,Health Sub-Centre 4,2019,284,140,6,47,4,481,P1,144,79.9
South 24 Parganas,201,S24P-201,4,Health Sub-Centre 4,2021,349,86,4,40,5,484,P1,263,80.4
South 24 Parganas,201,S24P-201,5,Health Sub-Centre 5,2019,286,119,3,38,5,451,P1,167,83.5
South 24 Parganas,201,S24P-201,5,Health Sub-Centre 5,2021,276,110,5,34,3,428,P1,166,79.3
South 24 Parganas,201,S24P-201,6,Post Office 6,2019,363,141,2,49,5,560,P1,222,84.5
South 24 Parganas,201,S24P-201,6,Post Office 6,2021,326,82,10,100,5,523,P1,226,78.9
South 24 Parganas,201,S24P-201,7,Govt Office 7,2019,274,87,4,32,4,401,P1,187,77.6
South 24 Parganas,201,S24P-201,7,Govt Office 7,2021,293,94,2,37,4,430,P1,199,83.2
South 24 Parganas,201,S24P-201,8,Market Building 8,2019,298,141,4,40,5,488,P1,157,79.5
South 24 Parganas,201,S24P-201,8,Market Building 8,2021,246,140,10,123,6,525,P1,106,85.5
South 24 Parganas,201,S24P-201,9,Health Sub-Centre 9,2019,280,111,9,76,5,481,P1,169,79.0
South 24 Parganas,201,S24P-201,9,Health Sub-Centre 9,2021,268,118,12,95,6,499,P1,150,81.9
South 24 Parganas,201,S24P-201,10,Post Office 10,2019,263,121,4,34,5,427,P1,142,77.2
South 24 Parganas,201,S24P-201,10,Post Office 10,2021,258,136,8,62,5,469,P1,122,84.8
South 24 Parganas,201,S24P-201,11,Health Sub-Centre 11,2019,274,40,6,76,4,400,P1,198,83.0
South 24 Parganas,201,S24P-201,11,Health Sub-Centre 11,2021,225,85,5,55,4,374,P1,140,77.6
South 24 Parganas,201,S24P-201,12,Health Sub-Centre 12,2019,469,78,4,51,5,607,P1,391,78.6
South 24 Parganas,201,S24P-201,12,Health Sub-Centre 12,2021,393,205,5,54,7,664,P1,188,86.0
South 24 Parganas,201,S24P-201,13,Community Hall 13,2019,304,154,12,154,6,630,P1,150,79.5
South 24 Parganas,201,S24P-201,13,Community Hall 13,2021,383,137,9,120,7,656,P1,246,82.8
South 24 Parganas,201,S24P-201,14,Govt Office 14,2019,300,157,5,42,5,509,P1,143,77.9
South 24 Parganas,201,S24P-201,14,Govt Office 14,2021,382,92,2,45,6,527,P1,290,80.7
South 24 Parganas,201,S24P-201,15,Market Building 15,2019,347,176,4,52,7,586,P1,171,79.8
South 24 Parganas,201,S24P-201,15,Market Building 15,2021,322,189,2,49,6,568,P1,133,77.4
South 24 Parganas,201,S24P-201,16,Community Hall 16,2019,310,194,2,51,5,562,P1,116,77.4
South 24 Parganas,201,S24P-201,16,Community Hall 16,2021,340,162,3,53,5,563,P1,178,77.5
South 24 Parganas,201,S24P-201,17,High School 17,2019,369,163,5,99,6,642,P1,206,86.4
South 24 Parganas,201,S24P-201,17,High School 17,2021,396,149,5,50,6,606,P1,247,81.6
South 24 Parganas,201,S24P-201,18,Post Office 18,2019,195,76,6,98,4,379,P1,97,77.2
South 24 Parganas,201,S24P-201,18,Post Office 18,2021,271,80,5,31,3,390,P1,191,79.4
South 24 Parganas,201,S24P-201,19,Madrasa 19,2019,315,153,3,44,6,521,P1,162,82.7
South 24 Parganas,201,S24P-201,19,Madrasa 19,2021,315,84,7,143,5,554,P1,172,87.9
South 24 Parganas,201,S24P-201,20,Anganwadi Centre 20,2019,226,142,3,34,4,409,P1,84,78.5
South 24 Parganas,201,S24P-201,20,Anganwadi Centre 20,2021,246,135,7,46,5,439,P1,111,84.3
South 24 Parganas,201,S24P-201,21,Anganwadi Centre 21,2019,338,140,4,44,5,531,P1,198,81.6
South 24 Parganas,201,S24P-201,21,Anganwadi Centre 21,2021,320,137,8,55,5,525,P1,183,80.6
South 24 Parganas,201,S24P-201,22,Club Building 22,2019,258,162,3,55,5,483,P1,96,78.2
South 24 Parganas,201,S24P-201,22,Club Building 22,2021,363,121,2,46,6,538,P1,242,87.1
South 24 Parganas,201,S24P-201,23,Govt Office 23,2019,353,174,13,106,6,652,P1,179,82.4
South 24 Parganas,201,S24P-201,23,Govt Office 23,2021,422,175,7,53,6,663,P1,247,83.8
South 24 Parganas,201,S24P-201,24,Govt Office 24,2019,261,136,4,36,4,441,P1,125,82.7
South 24 Parganas,201,S24P-201,24,Govt Office 24,2021,208,78,14,108,3,411,P1,100,77.1
South 24 Parganas,201,S24P-201,25,Health Sub-Centre 25,2019,355,142,8,58,7,570,P1,213,78.3
South 24 Parganas,201,S24P-201,25,Health Sub-Centre 25,2021,329,134,8,96,6,573,P1,195,78.7
South 24 Parganas,201,S24P-201,26,High School 26,2019,390,153,4,50,6,603,P1,237,80.3
South 24 Parganas,201,S24P-201,26,High School 26,2021,318,153,8,124,6,609,P1,165,81.1
South 24 Parganas,201,S24P-201,27,Govt Office 27,2019,438,123,5,51,6,623,P1,315,77.2
South 24 Parganas,201,S24P-201,27,Govt Office 27,2021,472,150,4,59,6,691,P1,322,85.6
