district,ac_code,ac_name,part_no,booth_name,year,votes_P1,votes_P2,votes_P3,votes_P4,votes_NOTA,total_votes,winner,margin,turnout_pct
Uttar Dinajpur,1301,UD-1301,1,Govt Office 1,2019,378,173,4,56,7,618,P1,205,79.9
Uttar Dinajpur,1301,UD-1301,1,Govt Office 1,2021,423,156,7,50,7,643,P1,267,83.2
Uttar Dinajpur,1301,UD-1301,2,Panchayat Bhavan 2,2019,354,189,17,123,7,690,P1,165,88.1
Uttar Dinajpur,1301,UD-1301,2,Panchayat Bhavan 2,2021,293,147,13,212,7,672,P1,81,85.8
Uttar Dinajpur,1301,UD-1301,3,Madrasa 3,2019,333,117,5,61,5,521,P1,216,78.6
Uttar Dinajpur,1301,UD-1301,3,Madrasa 3,2021,323,173,7,51,6,560,P1,150,84.5
Uttar Dinajpur,1301,UD-1301,4,Temple Hall 4,2019,373,118,11,109,5,616,P1,255,82.7
Uttar Dinajpur,1301,UD-1301,4,Temple Hall 4,2021,411,126,2,51,7,597,P1,285,80.1
Uttar Dinajpur,1301,UD-1301,5,Health Sub-Centre 5,2019,242,94,7,110,4,457,P1,132,86.1
Uttar Dinajpur,1301,UD-1301,5,Health Sub-Centre 5,2021,227,120,10,89,5,451,P1,107,84.9
Uttar Dinajpur,1301,UD-1301,6,Health Sub-Centre 6,2019,277,134,10,91,5,517,P1,143,86.0
Uttar Dinajpur,1301,UD-1301,6,Health Sub-Centre 6,2021,269,93,13,104,4,483,P1,165,80.4
Uttar Dinajpur,1301,UD-1301,7,Madrasa 7,2019,275,158,3,54,6,496,P1,117,86.6
Uttar Dinajpur,1301,UD-1301,7,Madrasa 7,2021,262,113,5,93,4,477,P1,149,83.2
Uttar Dinajpur,1301,UD-1301,8,Health Sub-Centre 8,2019,306,85,10,81,5,487,P1,221,85.0
Uttar Dinajpur,1301,UD-1301,8,Health Sub-Centre 8,2021,189,52,13,199,5,458,P4,10,79.9
Uttar Dinajpur,1301,UD-1301,9,Community Hall 9,2019,326,154,6,116,6,608,P1,172,79.6
Uttar Dinajpur,1301,UD-1301,9,Community Hall 9,2021,333,167,9,85,6,600,P1,166,78.5
Uttar Dinajpur,1301,UD-1301,10,Panchayat Bhavan 10,2019,351,75,4,66,6,502,P1,276,79.1
Uttar Dinajpur,1301,UD-1301,10,Panchayat Bhavan 10,2021,289,59,18,151,5,522,P1,138,82.2
Uttar Dinajpur,1301,UD-1301,11,Post Office 11,2019,281,104,9,101,5,500,P1,177,81.4
Uttar Dinajpur,1301,UD-1301,11,Post Office 11,2021,307,89,8,69,5,478,P1,218,77.9
Uttar Dinajpur,1301,UD-1301,12,Health Sub-Centre 12,2019,253,73,22,156,5,509,P1,97,87.5
Uttar Dinajpur,1301,UD-1301,12,Health Sub-Centre 12,2021,289,121,5,59,4,478,P1,168,82.1
Uttar Dinajpur,1301,UD-1301,13,Temple Hall 13,2019,261,68,17,146,6,498,P1,115,87.2
Uttar Dinajpur,1301,UD-1301,13,Temple Hall 13,2021,294,107,6,53,5,465,P1,187,81.4
Uttar Dinajpur,1301,UD-1301,14,Govt Office 14,2019,344,127,5,128,5,609,P1,216,80.7
Uttar Dinajpur,1301,UD-1301,14,Govt Office 14,2021,413,156,10,79,7,665,P1,257,88.1
Uttar Dinajpur,1301,UD-1301,15,Post Office 15,2019,289,105,1,38,4,437,P1,184,83.9
Uttar Dinajpur,1301,UD-1301,15,Post Office 15,2021,224,155,5,45,4,433,P1,69,83.1
Uttar Dinajpur,1301,UD-1301,16,Panchayat Bhavan 16,2019,325,95,15,177,7,619,P1,148,80.7
Uttar Dinajpur,1301,UD-1301,16,Panchayat Bhavan 16,2021,446,123,4,53,7,633,P1,323,82.5
Uttar Dinajpur,1301,UD-1301,17,High School 17,2019,359,138,10,85,6,598,P1,221,77.5
Uttar Dinajpur,1301,UD-1301,17,High School 17,2021,354,127,12,140,6,639,P1,214,82.8
Uttar Dinajpur,1301,UD-1301,18,Anganwadi Centre 18,2019,291,94,7,72,4,468,P1,197,87.5
Uttar Dinajpur,1301,UD-1301,18,Anganwadi Centre 18,2021,319,93,4,37,4,457,P1,226,85.4
Uttar Dinajpur,1301,UD-1301,19,Community Hall 19,2019,350,108,6,42,6,512,P1,242,78.5
Uttar Dinajpur,1301,UD-1301,19,Community Hall 19,2021,294,97,13,154,5,563,P1,140,86.3
Uttar Dinajpur,1301,UD-1301,20,Govt Office 20,2019,308,81,4,35,4,432,P1,227,85.4
Uttar Dinajpur,1301,UD-1301,20,Govt Office 20,2021,206,106,9,85,4,410,P1,100,81.0
Uttar Dinajpur,1301,UD-1301,21,Madrasa 21,2019,353,98,20,158,7,636,P1,195,82.4
Uttar Dinajpur,1301,UD-1301,21,Madrasa 21,2021,245,81,18,248,5,597,P4,3,77.3
Uttar Dinajpur,1301,UD-1301,22,Anganwadi Centre 22,2019,291,126,4,61,5,487,P1,165,78.8
Uttar Dinajpur,1301,UD-1301,22,Anganwadi Centre 22,2021,293,100,10,72,3,478,P1,193,77.3
Uttar Dinajpur,1301,UD-1301,23,Health Sub-Centre 23,2019,244,86,6,107,5,448,P1,137,81.3
Uttar Dinajpur,1301,UD-1301,23,Health Sub-Centre 23,2021,255,112,3,53,5,428,P1,143,77.7
Uttar Dinajpur,1301,UD-1301,24,Post Office 24,2019,215,125,10,97,5,452,P1,90,80.7
Uttar Dinajpur,1301,UD-1301,24,Post Office 24,2021,269,109,7,68,4,457,P1,160,81.6
Uttar Dinajpur,1301,UD-1301,25,Govt Office 25,2019,373,117,6,97,6,599,P1,256,86.3
Uttar Dinajpur,1301,UD-1301,25,Govt Office 25,2021,337,131,10,90,5,573,P1,206,82.6
Uttar Dinajpur,1301,UD-1301,26,Madrasa 26,2019,233,100,21,184,6,544,P1,49,76.6
Uttar Dinajpur,1301,UD-1301,26,Madrasa 26,2021,378,128,4,47,5,562,P1,250,79.2
Uttar Dinajpur,1301,UD-1301,27,Market Building 27,2019,259,85,2,72,4,422,P1,174,85.4
Uttar Dinajpur,1301,UD-1301,27,Market Building 27,2021,308,67,3,35,4,417,P1,241,84.4
Uttar Dinajpur,1301,UD-1301,28,Govt Office 28,2019,363,56,10,122,5,556,P1,241,79.3
Uttar Dinajpur,1301,UD-1301,28,Govt Office 28,2021,365,68,12,164,6,615,P1,201,87.7
Uttar Dinajpur,1301,UD-1301,29,Govt Office 29,2019,292,122,3,54,4,475,P1,170,78.9
Uttar Dinajpur,1301,UD-1301,29,Govt Office 29,2021,311,141,4,56,4,516,P1,170,85.7
Uttar Dinajpur,1301,UD-1301,30,Temple Hall 30,2019,317,104,6,123,5,555,P1,194,80.3
Uttar Dinajpur,1301,UD-1301,30,Temple Hall 30,2021,324,143,6,89,6,568,P1,181,82.2
Uttar Dinajpur,1301,UD-1301,31,Primary School 31,2019,324,152,10,77,6,569,P1,172,78.8
Uttar Dinajpur,1301,UD-1301,31,Primary School 31,2021,287,148,23,166,7,631,P1,121,87.4
Uttar Dinajpur,1301,UD-1301,32,Madrasa 32,2019,319,108,4,39,5,475,P1,211,80.2
Uttar Dinajpur,1301,UD-1301,32,Madrasa 32,2021,321,145,6,41,5,518,P1,176,87.5
Uttar Dinajpur,1301,UD-1301,33,Community Hall 33,2019,379,153,13,99,6,650,P1,226,86.9
Uttar Dinajpur,1301,UD-1301,33,Community Hall 33,2021,262,172,21,182,6,643,P1,80,86.0
Uttar Dinajpur,1301,UD-1301,34,Govt Office 34,2019,271,160,9,80,5,525,P1,111,79.4
Uttar Dinajpur,1301,UD-1301,34,Govt Office 34,2021,305,125,14,118,6,568,P1,180,85.9
Uttar Dinajpur,1301,UD-1301,35,Community Hall 35,2019,328,81,10,132,6,557,P1,196,81.4
