district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Alipurduar,1701,Alp-1701,1,Govt Office 1,363,336,0,699,48.07
Alipurduar,1701,Alp-1701,2,Primary School 2,351,315,0,666,47.3
Alipurduar,1701,Alp-1701,3,Primary School 3,381,390,0,771,50.58
Alipurduar,1701,Alp-1701,4,Market Building 4,314,309,0,623,49.6
Alipurduar,1701,Alp-1701,5,Panchayat Bhavan 5,376,353,0,729,48.42
Alipurduar,1701,Alp-1701,6,Anganwadi Centre 6,343,343,0,686,50.0
Alipurduar,1701,Alp-1701,7,Temple Hall 7,299,292,1,592,49.32
Alipurduar,1701,Alp-1701,8,Panchayat Bhavan 8,305,287,0,592,48.48
Alipurduar,1701,Alp-1701,9,Govt Office 9,333,316,1,650,48.62
Alipurduar,1701,Alp-1701,10,Madrasa 10,289,287,1,577,49.74
Alipurduar,1701,Alp-1701,11,Health Sub-Centre 11,293,289,0,582,49.66
Alipurduar,1701,Alp-1701,12,Govt Office 12,379,340,0,719,47.29
Alipurduar,1701,Alp-1701,13,Market Building 13,378,383,0,761,50.33
Alipurduar,1701,Alp-1701,14,Club Building 14,312,290,0,602,48.17
Alipurduar,1701,Alp-1701,15,Panchayat Bhavan 15,295,267,1,563,47.42
Alipurduar,1701,Alp-1701,16,Temple Hall 16,286,272,1,559,48.66
Alipurduar,1701,Alp-1701,17,Madrasa 17,398,361,0,759,47.56
Alipurduar,1701,Alp-1701,18,Temple Hall 18,340,337,1,678,49.71
Alipurduar,1701,Alp-1701,19,Primary School 19,291,279,1,571,48.86
Alipurduar,1701,Alp-1701,20,Govt Office 20,293,294,1,588,50.0
Alipurduar,1701,Alp-1701,21,Community Hall 21,376,373,0,749,49.8
Alipurduar,1701,Alp-1701,22,High School 22,324,332,1,657,50.53
Alipurduar,1701,Alp-1701,23,Post Office 23,415,384,0,799,48.06
Alipurduar,1701,Alp-1701,24,Primary School 24,387,400,1,788,50.76
Alipurduar,1701,Alp-1701,25,Market Building 25,354,320,0,674,47.48
Alipurduar,1701,Alp-1701,26,High School 26,244,238,1,483,49.28
Alipurduar,1701,Alp-1701,27,Health Sub-Centre 27,354,341,0,695,49.06
Alipurduar,1701,Alp-1701,28,Health Sub-Centre 28,330,297,0,627,47.37
Alipurduar,1701,Alp-1701,29,Govt Office 29,377,347,0,724,47.93
Alipurduar,1701,Alp-1701,30,Govt Office 30,259,250,0,509,49.12
Alipurduar,1701,Alp-1701,31,Govt Office 31,327,310,0,637,48.67
Alipurduar,1701,Alp-1701,32,High School 32,311,302,1,614,49.19
Alipurduar,1701,Alp-1701,33,Market Building 33,396,369,0,765,48.24
Alipurduar,1701,Alp-1701,34,Temple Hall 34,327,295,0,622,47.43
Alipurduar,1701,Alp-1701,35,Anganwadi Centre 35,304,281,1,586,47.95
Alipurduar,1701,Alp-1701,36,High School 36,363,325,0,688,47.24
Alipurduar,1701,Alp-1701,37,Market Building 37,388,386,0,774,49.87
Alipurduar,1701,Alp-1701,38,Anganwadi Centre 38,358,335,1,694,48.27
Alipurduar,1701,Alp-1701,39,Primary School 39,414,386,1,801,48.19
Alipurduar,1701,Alp-1701,40,Club Building 40,329,316,1,646,48.92
Alipurduar,1701,Alp-1701,41,Health Sub-Centre 41,309,305,0,614,49.67
Alipurduar,1701,Alp-1701,42,Health Sub-Centre 42,383,391,0,774,50.52
Alipurduar,1701,Alp-1701,43,Primary School 43,286,265,1,552,48.01
Alipurduar,1701,Alp-1701,44,Club Building 44,293,287,0,580,49.48
Alipurduar,1701,Alp-1701,45,Temple Hall 45,354,330,0,684,48.25
Alipurduar,1701,Alp-1701,46,Club Building 46,292,291,1,584,49.83
Alipurduar,1701,Alp-1701,47,Govt Office 47,418,375,1,794,47.23
Alipurduar,1701,Alp-1701,48,Temple Hall 48,255,252,0,507,49.7
Alipurduar,1701,Alp-1701,49,Anganwadi Centre 49,390,381,0,771,49.42
