district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Bankura,1001,Bnk-1001,1,Post Office 1,298,288,1,587,49.06
Bankura,1001,Bnk-1001,2,Health Sub-Centre 2,375,355,0,730,48.63
Bankura,1001,Bnk-1001,3,High School 3,402,388,1,791,49.05
Bankura,1001,Bnk-1001,4,Community Hall 4,256,256,1,513,49.9
Bankura,1001,Bnk-1001,5,Club Building 5,313,306,1,620,49.35
Bankura,1001,Bnk-1001,6,Temple Hall 6,313,298,0,611,48.77
Bankura,1001,Bnk-1001,7,Club Building 7,327,308,1,636,48.43
Bankura,1001,Bnk-1001,8,Post Office 8,393,391,1,785,49.81
Bankura,1001,Bnk-1001,9,Club Building 9,269,262,0,531,49.34
Bankura,1001,Bnk-1001,10,Anganwadi Centre 10,238,242,0,480,50.42
Bankura,1001,Bnk-1001,11,Market Building 11,290,260,1,551,47.19
Bankura,1001,Bnk-1001,12,Post Office 12,391,374,1,766,48.83
Bankura,1001,Bnk-1001,13,Govt Office 13,269,275,0,544,50.55
Bankura,1001,Bnk-1001,14,High School 14,257,236,0,493,47.87
Bankura,1001,Bnk-1001,15,Post Office 15,327,330,1,658,50.15
Bankura,1001,Bnk-1001,16,Madrasa 16,369,335,1,705,47.52
Bankura,1001,Bnk-1001,17,Market Building 17,404,384,0,788,48.73
Bankura,1001,Bnk-1001,18,Post Office 18,317,286,1,604,47.35
Bankura,1001,Bnk-1001,19,Community Hall 19,379,385,1,765,50.33
Bankura,1001,Bnk-1001,20,Health Sub-Centre 20,247,251,1,499,50.3
Bankura,1001,Bnk-1001,21,Primary School 21,250,233,0,483,48.24
Bankura,1001,Bnk-1001,22,Panchayat Bhavan 22,362,339,0,701,48.36
Bankura,1001,Bnk-1001,23,Community Hall 23,321,307,0,628,48.89
Bankura,1001,Bnk-1001,24,Madrasa 24,318,325,0,643,50.54
Bankura,1001,Bnk-1001,25,Post Office 25,376,344,0,720,47.78
Bankura,1001,Bnk-1001,26,Health Sub-Centre 26,408,397,0,805,49.32
Bankura,1001,Bnk-1001,27,Madrasa 27,395,354,1,750,47.2
Bankura,1001,Bnk-1001,28,Panchayat Bhavan 28,384,368,1,753,48.87
Bankura,1001,Bnk-1001,29,Market Building 29,355,361,1,717,50.35
Bankura,1001,Bnk-1001,30,Temple Hall 30,333,329,0,662,49.7
Bankura,1001,Bnk-1001,31,Club Building 31,334,330,0,664,49.7
Bankura,1001,Bnk-1001,32,Primary School 32,327,300,1,628,47.77
Bankura,1001,Bnk-1001,33,Club Building 33,352,352,1,705,49.93
Bankura,1001,Bnk-1001,34,Community Hall 34,247,251,0,498,50.4
Bankura,1001,Bnk-1001,35,Market Building 35,365,346,1,712,48.6
Bankura,1001,Bnk-1001,36,High School 36,314,300,1,615,48.78
Bankura,1001,Bnk-1001,37,Club Building 37,340,314,0,654,48.01
Bankura,1001,Bnk-1001,38,Health Sub-Centre 38,387,383,0,770,49.74
Bankura,1001,Bnk-1001,39,Govt Office 39,358,356,0,714,49.86
Bankura,1001,Bnk-1001,40,Health Sub-Centre 40,319,305,1,625,48.8
Bankura,1001,Bnk-1001,41,Community Hall 41,385,391,0,776,50.39
Bankura,1001,Bnk-1001,42,Panchayat Bhavan 42,350,346,1,697,49.64
Bankura,1001,Bnk-1001,43,Club Building 43,253,258,1,512,50.39
Bankura,1001,Bnk-1001,44,Community Hall 44,286,294,1,581,50.6
Bankura,1001,Bnk-1001,45,Club Building 45,350,323,0,673,47.99
Bankura,1001,Bnk-1001,46,Panchayat Bhavan 46,292,295,0,587,50.26
Bankura,1001,Bnk-1001,47,Post Office 47,325,306,1,632,48.42
Bankura,1001,Bnk-1001,48,Temple Hall 48,389,355,0,744,47.72
Bankura,1001,Bnk-1001,49,Community Hall 49,425,385,0,810,47.53
Bankura,1001,Bnk-1001,50,Health Sub-Centre 50,363,327,1,691,47.32
Bankura,1001,Bnk-1001,51,Club Building 51,309,298,1,608,49.01
Bankura,1001,Bnk-1001,52,Primary School 52,318,325,1,644,50.47
Bankura,1001,Bnk-1001,53,Market Building 53,307,290,1,598,48.49
Bankura,1001,Bnk-1001,54,Temple Hall 54,289,285,1,575,49.57
Bankura,1001,Bnk-1001,55,Temple Hall 55,312,308,1,621,49.6
Bankura,1001,Bnk-1001,56,Madrasa 56,379,370,0,749,49.4
Bankura,1001,Bnk-1001,57,Club Building 57,386,396,1,783,50.57
Bankura,1001,Bnk-1001,58,High School 58,357,328,0,685,47.88
Bankura,1001,Bnk-1001,59,Post Office 59,402,390,0,792,49.24
Bankura,1001,Bnk-1001,60,High School 60,358,328,1,687,47.74
Bankura,1001,Bnk-1001,61,Market Building 61,421,380,0,801,47.44
Bankura,1001,Bnk-1001,62,Health Sub-Centre 62,285,296,1,582,50.86
Bankura,1001,Bnk-1001,63,Primary School 63,405,365,0,770,47.4
Bankura,1001,Bnk-1001,64,Community Hall 64,297,269,1,567,47.44
Bankura,1001,Bnk-1001,65,Temple Hall 65,380,349,1,730,47.81
Bankura,1001,Bnk-1001,66,Govt Office 66,255,249,1,505,49.31
Bankura,1001,Bnk-1001,67,Madrasa 67,311,315,0,626,50.32
Bankura,1001,Bnk-1001,68,High School 68,398,394,1,793,49.68
Bankura,1001,Bnk-1001,69,Temple Hall 69,271,278,1,550,50.55
Bankura,1001,Bnk-1001,70,Primary School 70,367,365,0,732,49.86
Bankura,1001,Bnk-1001,71,Club Building 71,295,281,0,576,48.78
Bankura,1001,Bnk-1001,72,Govt Office 72,290,265,0,555,47.75
Bankura,1001,Bnk-1001,73,Community Hall 73,306,274,0,580,47.24
Bankura,1001,Bnk-1001,74,Post Office 74,400,411,0,811,50.68
Bankura,1001,Bnk-1001,75,Post Office 75,249,249,0,498,50.0
Bankura,1001,Bnk-1001,76,Market Building 76,293,278,1,572,48.6
Bankura,1001,Bnk-1001,77,Community Hall 77,254,240,1,495,48.48
Bankura,1001,Bnk-1001,78,Anganwadi Centre 78,269,274,1,544,50.37
Bankura,1001,Bnk-1001,79,Madrasa 79,264,252,0,516,48.84
Bankura,1001,Bnk-1001,80,Club Building 80,288,289,1,578,50.0
Bankura,1001,Bnk-1001,81,Temple Hall 81,388,361,0,749,48.2
Bankura,1001,Bnk-1001,82,Post Office 82,344,310,1,655,47.33
Bankura,1001,Bnk-1001,83,Anganwadi Centre 83,272,247,0,519,47.59
Bankura,1001,Bnk-1001,84,Health Sub-Centre 84,270,242,0,512,47.27
Bankura,1001,Bnk-1001,85,Govt Office 85,296,292,0,588,49.66
Bankura,1001,Bnk-1001,86,Temple Hall 86,276,262,1,539,48.61
Bankura,1001,Bnk-1001,87,Primary School 87,304,288,0,592,48.65
Bankura,1001,Bnk-1001,88,High School 88,408,368,1,777,47.36
Bankura,1001,Bnk-1001,89,Post Office 89,368,343,0,711,48.24
Bankura,1001,Bnk-1001,90,Health Sub-Centre 90,297,304,1,602,50.5
Bankura,1001,Bnk-1001,91,Community Hall 91,406,370,1,777,47.62
Bankura,1001,Bnk-1001,92,High School 92,380,347,1,728,47.66
Bankura,1001,Bnk-1001,93,Temple Hall 93,245,252,1,498,50.6
Bankura,1001,Bnk-1001,94,Panchayat Bhavan 94,359,348,1,708,49.15
Bankura,1001,Bnk-1001,95,Market Building 95,351,318,1,670,47.46
Bankura,1001,Bnk-1001,96,Madrasa 96,372,343,0,715,47.97
Bankura,1001,Bnk-1001,97,Primary School 97,336,333,0,669,49.78
Bankura,1001,Bnk-1001,98,Market Building 98,351,341,1,693,49.21
Bankura,1001,Bnk-1001,99,Govt Office 99,337,309,1,647,47.76
Bankura,1001,Bnk-1001,100,High School 100,312,319,0,631,50.55
Bankura,1001,Bnk-1001,101,Market Building 101,413,377,0,790,47.72
Bankura,1001,Bnk-1001,102,Health Sub-Centre 102,280,278,1,559,49.73
Bankura,1001,Bnk-1001,103,High School 103,281,270,1,552,48.91
Bankura,1001,Bnk-1001,104,Govt Office 104,390,374,0,764,48.95
Bankura,1001,Bnk-1001,105,Market Building 105,405,374,1,780,47.95
Bankura,1001,Bnk-1001,106,Post Office 106,312,321,1,634,50.63
Bankura,1001,Bnk-1001,107,Health Sub-Centre 107,404,363,0,767,47.33
Bankura,1001,Bnk-1001,108,Anganwadi Centre 108,393,401,0,794,50.5
Bankura,1001,Bnk-1001,109,Temple Hall 109,268,249,0,517,48.16
Bankura,1001,Bnk-1001,110,Post Office 110,260,258,1,519,49.71
Bankura,1001,Bnk-1001,111,Temple Hall 111,379,354,0,733,48.29
Bankura,1001,Bnk-1001,112,Market Building 112,349,330,1,680,48.53
Bankura,1001,Bnk-1001,113,Market Building 113,319,289,0,608,47.53
Bankura,1001,Bnk-1001,114,Primary School 114,393,372,1,766,48.56
Bankura,1001,Bnk-1001,115,Post Office 115,287,269,0,556,48.38
Bankura,1001,Bnk-1001,116,Primary School 116,345,334,0,679,49.19
Bankura,1001,Bnk-1001,117,Madrasa 117,391,380,0,771,49.29
Bankura,1001,Bnk-1001,118,Anganwadi Centre 118,265,243,1,509,47.74
Bankura,1001,Bnk-1001,119,Market Building 119,300,279,0,579,48.19
Bankura,1001,Bnk-1001,120,Temple Hall 120,325,312,0,637,48.98
Bankura,1001,Bnk-1001,121,Community Hall 121,376,377,1,754,50.0
Bankura,1001,Bnk-1001,122,Post Office 122,392,386,1,779,49.55
Bankura,1001,Bnk-1001,123,Market Building 123,378,387,1,766,50.52
