district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Birbhum,1101,Birb-1101,1,Health Sub-Centre 1,290,284,1,575,49.39
Birbhum,1101,Birb-1101,2,Panchayat Bhavan 2,345,343,1,689,49.78
Birbhum,1101,Birb-1101,3,Panchayat Bhavan 3,431,385,0,816,47.18
Birbhum,1101,Birb-1101,4,Market Building 4,313,317,0,630,50.32
Birbhum,1101,Birb-1101,5,Anganwadi Centre 5,392,400,1,793,50.44
Birbhum,1101,Birb-1101,6,Temple Hall 6,390,370,1,761,48.62
Birbhum,1101,Birb-1101,7,Post Office 7,318,294,0,612,48.04
Birbhum,1101,Birb-1101,8,Anganwadi Centre 8,385,380,1,766,49.61
Birbhum,1101,Birb-1101,9,Govt Office 9,351,336,0,687,48.91
Birbhum,1101,Birb-1101,10,Market Building 10,346,334,0,680,49.12
Birbhum,1101,Birb-1101,11,Market Building 11,408,401,0,809,49.57
Birbhum,1101,Birb-1101,12,Govt Office 12,265,263,1,529,49.72
Birbhum,1101,Birb-1101,13,Govt Office 13,329,298,1,628,47.45
Birbhum,1101,Birb-1101,14,Community Hall 14,321,310,0,631,49.13
Birbhum,1101,Birb-1101,15,Panchayat Bhavan 15,380,352,0,732,48.09
Birbhum,1101,Birb-1101,16,Panchayat Bhavan 16,252,249,1,502,49.6
Birbhum,1101,Birb-1101,17,Club Building 17,310,310,1,621,49.92
Birbhum,1101,Birb-1101,18,High School 18,362,354,1,717,49.37
Birbhum,1101,Birb-1101,19,Community Hall 19,335,314,0,649,48.38
Birbhum,1101,Birb-1101,20,Temple Hall 20,282,278,0,560,49.64
Birbhum,1101,Birb-1101,21,Health Sub-Centre 21,324,316,1,641,49.3
Birbhum,1101,Birb-1101,22,Panchayat Bhavan 22,295,268,1,564,47.52
Birbhum,1101,Birb-1101,23,Community Hall 23,316,282,0,598,47.16
Birbhum,1101,Birb-1101,24,Govt Office 24,335,305,1,641,47.58
Birbhum,1101,Birb-1101,25,Panchayat Bhavan 25,364,331,0,695,47.63
Birbhum,1101,Birb-1101,26,Primary School 26,350,357,1,708,50.42
Birbhum,1101,Birb-1101,27,High School 27,375,347,0,722,48.06
Birbhum,1101,Birb-1101,28,Club Building 28,285,277,1,563,49.2
Birbhum,1101,Birb-1101,29,Govt Office 29,348,356,1,705,50.5
